Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.31,0.33,0.29,0.27,0.23,0.19,0.27,0.24,0.2,0.22,0.2,0.27,0.26,0.28,0.23,0.27,0.31,0.25,0.26,0.22,0.32,0.28,0.35,0.26,0.31,0.31,0.35,0.24,0.31,0.25
AdiacTruncEnd,0.24552429667519182,0.22506393861892582,0.23785166240409208,0.23017902813299232,0.23273657289002558,0.24808184143222506,0.24040920716112532,0.2659846547314578,0.2531969309462916,0.24296675191815856,0.23273657289002558,0.24552429667519182,0.23273657289002558,0.2659846547314578,0.23785166240409208,0.24296675191815856,0.1969309462915601,0.24808184143222506,0.21739130434782608,0.23529411764705882,0.24552429667519182,0.24040920716112532,0.2966751918158568,0.21739130434782608,0.23017902813299232,0.25831202046035806,0.24552429667519182,0.21994884910485935,0.22762148337595908,0.21994884910485935
ArrowHeadTruncEnd,0.49714285714285716,0.5371428571428571,0.49142857142857144,0.45714285714285713,0.5085714285714286,0.5257142857142857,0.44,0.48,0.52,0.5085714285714286,0.5085714285714286,0.42857142857142855,0.52,0.56,0.46285714285714286,0.5028571428571429,0.4514285714285714,0.4685714285714286,0.4742857142857143,0.5085714285714286,0.45714285714285713,0.5657142857142857,0.4857142857142857,0.5028571428571429,0.5257142857142857,0.56,0.48,0.5142857142857142,0.4342857142857143,0.5085714285714286
BMETruncEnd,0.6733333333333333,0.6666666666666666,0.74,0.6,0.7733333333333333,0.66,0.7066666666666667,0.7,0.7333333333333333,0.7066666666666667,0.7133333333333334,0.76,0.7733333333333333,0.6666666666666666,0.7133333333333334,0.7066666666666667,0.6733333333333333,0.6733333333333333,0.7066666666666667,0.6733333333333333,0.7666666666666667,0.6266666666666667,0.58,0.7466666666666667,0.7533333333333333,0.6333333333333333,0.6866666666666666,0.7266666666666667,0.7133333333333334,0.7733333333333333
BeefTruncStart,0.4666666666666667,0.4,0.3333333333333333,0.5,0.4666666666666667,0.5,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.43333333333333335,0.4,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.4,0.4,0.3333333333333333,0.5,0.4666666666666667,0.4,0.5,0.43333333333333335,0.4666666666666667,0.5333333333333333,0.4,0.36666666666666664,0.4,0.3333333333333333,0.43333333333333335
BeetleFlyTruncEnd,0.6,0.6,0.65,0.55,0.6,0.65,0.5,0.65,0.6,0.6,0.55,0.7,0.65,0.45,0.65,0.55,0.55,0.6,0.6,0.6,0.55,0.7,0.6,0.55,0.6,0.6,0.65,0.5,0.35,0.7
BirdChickenTruncEnd,0.65,0.55,0.6,0.7,0.55,0.8,0.65,0.65,0.55,0.6,0.35,0.35,0.45,0.55,0.5,0.5,0.6,0.7,0.55,0.75,0.75,0.5,0.5,0.55,0.75,0.7,0.5,0.6,0.55,0.75
CBFTruncEnd,0.94,0.9211111111111111,0.9388888888888889,0.9366666666666666,0.8911111111111111,0.9044444444444445,0.9544444444444444,0.9211111111111111,0.9555555555555556,0.9288888888888889,0.9555555555555556,0.9255555555555556,0.9466666666666667,0.9455555555555556,0.9422222222222222,0.9222222222222223,0.8977777777777778,0.9233333333333333,0.9222222222222223,0.9422222222222222,0.9322222222222222,0.8644444444444445,0.9711111111111111,0.8988888888888888,0.9311111111111111,0.9044444444444445,0.9288888888888889,0.9677777777777777,0.8155555555555556,0.8522222222222222
CarTruncEnd,0.3333333333333333,0.31666666666666665,0.38333333333333336,0.4,0.35,0.4166666666666667,0.3333333333333333,0.43333333333333335,0.4166666666666667,0.31666666666666665,0.36666666666666664,0.3333333333333333,0.31666666666666665,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.36666666666666664,0.25,0.4166666666666667,0.4166666666666667,0.2833333333333333,0.35,0.36666666666666664,0.36666666666666664,0.38333333333333336,0.36666666666666664,0.35,0.3,0.35,0.4166666666666667
ChinatownTruncEnd,0.9416909620991254,0.8483965014577259,0.9096209912536443,0.892128279883382,0.9387755102040817,0.924198250728863,0.9212827988338192,0.8221574344023324,0.9096209912536443,0.956268221574344,0.6559766763848397,0.6822157434402333,0.8892128279883382,0.8513119533527697,0.9271137026239067,0.6880466472303207,0.8833819241982507,0.8979591836734694,0.8513119533527697,0.9008746355685131,0.8892128279883382,0.760932944606414,0.880466472303207,0.880466472303207,0.880466472303207,0.9154518950437318,0.8950437317784257,0.9329446064139941,0.8950437317784257,0.9125364431486881
