Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.27,0.3,0.34,0.34,0.23,0.28,0.31,0.29,0.27,0.28,0.25,0.28,0.27,0.32,0.28,0.31,0.31,0.34,0.26,0.23,0.33,0.36,0.34,0.29,0.31,0.36,0.39,0.3,0.37,0.32
AdiacTruncEnd,0.23785166240409208,0.24552429667519182,0.24296675191815856,0.23017902813299232,0.21994884910485935,0.25831202046035806,0.24808184143222506,0.26854219948849106,0.2506393861892583,0.24040920716112532,0.23017902813299232,0.26854219948849106,0.24552429667519182,0.2608695652173913,0.25831202046035806,0.2506393861892583,0.21739130434782608,0.25831202046035806,0.21227621483375958,0.23785166240409208,0.24808184143222506,0.22762148337595908,0.2813299232736573,0.21739130434782608,0.24552429667519182,0.2506393861892583,0.2531969309462916,0.20971867007672634,0.22250639386189258,0.1918158567774936
ArrowHeadTruncEnd,0.5142857142857142,0.5314285714285715,0.5142857142857142,0.4342857142857143,0.52,0.5371428571428571,0.4342857142857143,0.4742857142857143,0.5028571428571429,0.5142857142857142,0.5028571428571429,0.4228571428571429,0.5085714285714286,0.56,0.4685714285714286,0.5142857142857142,0.4514285714285714,0.4514285714285714,0.4685714285714286,0.5142857142857142,0.44571428571428573,0.56,0.49714285714285716,0.5028571428571429,0.5142857142857142,0.5485714285714286,0.48,0.52,0.4514285714285714,0.5142857142857142
BMETruncEnd,0.6333333333333333,0.6666666666666666,0.7,0.5933333333333334,0.7333333333333333,0.6533333333333333,0.7066666666666667,0.6666666666666666,0.7133333333333334,0.72,0.6933333333333334,0.7733333333333333,0.7533333333333333,0.6466666666666666,0.72,0.68,0.62,0.66,0.7133333333333334,0.6533333333333333,0.7133333333333334,0.6,0.5666666666666667,0.6933333333333334,0.7466666666666667,0.6733333333333333,0.6333333333333333,0.7466666666666667,0.7,0.74
BeefTruncStart,0.5,0.36666666666666664,0.3,0.5,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.4,0.4,0.36666666666666664,0.4,0.3333333333333333,0.36666666666666664,0.4,0.4,0.36666666666666664,0.3333333333333333,0.5,0.43333333333333335,0.4,0.5,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.4,0.36666666666666664,0.43333333333333335,0.36666666666666664,0.4
BeetleFlyTruncEnd,0.65,0.55,0.65,0.65,0.6,0.6,0.5,0.65,0.6,0.55,0.55,0.7,0.6,0.4,0.7,0.55,0.4,0.6,0.65,0.5,0.55,0.7,0.6,0.45,0.5,0.65,0.7,0.55,0.3,0.65
BirdChickenTruncEnd,0.6,0.55,0.55,0.65,0.5,0.75,0.65,0.65,0.55,0.55,0.4,0.35,0.45,0.55,0.55,0.5,0.7,0.7,0.5,0.75,0.75,0.45,0.45,0.5,0.6,0.65,0.5,0.6,0.6,0.65
CBFTruncEnd,0.9477777777777778,0.9144444444444444,0.9277777777777778,0.9511111111111111,0.8733333333333333,0.92,0.9488888888888889,0.9144444444444444,0.9544444444444444,0.9544444444444444,0.9255555555555556,0.9244444444444444,0.9333333333333333,0.9466666666666667,0.9488888888888889,0.8977777777777778,0.8711111111111111,0.9022222222222223,0.9111111111111111,0.92,0.9466666666666667,0.8955555555555555,0.9533333333333334,0.8944444444444445,0.9322222222222222,0.9144444444444444,0.9044444444444445,0.9255555555555556,0.8133333333333334,0.8322222222222222
CarTruncEnd,0.31666666666666665,0.31666666666666665,0.4,0.4166666666666667,0.35,0.4166666666666667,0.35,0.43333333333333335,0.4166666666666667,0.31666666666666665,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.31666666666666665,0.36666666666666664,0.26666666666666666,0.4166666666666667,0.38333333333333336,0.3,0.35,0.38333333333333336,0.36666666666666664,0.4,0.38333333333333336,0.35,0.31666666666666665,0.35,0.4166666666666667
ChinatownTruncEnd,0.9416909620991254,0.8483965014577259,0.9212827988338192,0.892128279883382,0.9300291545189504,0.8862973760932945,0.9183673469387755,0.8075801749271136,0.9037900874635568,0.9504373177842566,0.6705539358600583,0.6793002915451894,0.8717201166180758,0.8396501457725948,0.9329446064139941,0.6647230320699709,0.8950437317784257,0.8979591836734694,0.8571428571428571,0.8979591836734694,0.8483965014577259,0.7842565597667639,0.8717201166180758,0.8629737609329446,0.8571428571428571,0.9183673469387755,0.8775510204081632,0.924198250728863,0.8483965014577259,0.8979591836734694
ChlorineConcentrationTruncStart,0.4549479166666667,0.44635416666666666,0.44140625,0.4627604166666667,0.43828125,0.44453125,0.44557291666666665,0.45651041666666664,0.45703125,0.45625,0.4231770833333333,0.4515625,0.45286458333333335,0.45807291666666666,0.43515625,0.4549479166666667,0.43776041666666665,0.46510416666666665,0.4661458333333333,0.4622395833333333,0.45859375,0.4513020833333333,0.44869791666666664,0.4505208333333333,0.45286458333333335,0.4625,0.43359375,0.46015625,0.4322916666666667,0.4669270833333333
CinCECGTorsoTruncEnd,0.4391304347826087,0.42391304347826086,0.4797101449275362,0.5159420289855072,0.4688405797101449,0.4623188405797101,0.45869565217391306,0.4311594202898551,0.44130434782608696,0.49130434782608695,0.4528985507246377,0.42028985507246375,0.3927536231884058,0.48478260869565215,0.49130434782608695,0.44710144927536233,0.4420289855072464,0.49927536231884057,0.42681159420289855,0.47246376811594204,0.47753623188405797,0.4797101449275362,0.48840579710144927,0.5028985507246376,0.4608695652173913,0.4673913043478261,0.4688405797101449,0.4528985507246377,0.4956521739130435,0.48478260869565215
