Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.71,0.61,0.61,0.63,0.61,0.6,0.61,0.67,0.53,0.6,0.68,0.57,0.62,0.6,0.63,0.56,0.57,0.65,0.61,0.58,0.54,0.62,0.63,0.65,0.66,0.57,0.55,0.58,0.65,0.57
AdiacTruncEnd,0.3657289002557545,0.32225063938618925,0.3375959079283887,0.37851662404092073,0.3631713554987212,0.3836317135549872,0.35038363171355497,0.37595907928388744,0.3631713554987212,0.36061381074168797,0.37595907928388744,0.3657289002557545,0.35805626598465473,0.3887468030690537,0.35294117647058826,0.37084398976982097,0.319693094629156,0.36061381074168797,0.3273657289002558,0.34782608695652173,0.3375959079283887,0.32225063938618925,0.36828644501278773,0.3145780051150895,0.37595907928388744,0.391304347826087,0.3452685421994885,0.36061381074168797,0.36828644501278773,0.340153452685422
ArrowHeadTruncEnd,0.6685714285714286,0.6514285714285715,0.6742857142857143,0.6857142857142857,0.6228571428571429,0.6171428571428571,0.5657142857142857,0.6342857142857142,0.6285714285714286,0.6857142857142857,0.6285714285714286,0.6742857142857143,0.7257142857142858,0.68,0.5657142857142857,0.7085714285714285,0.6114285714285714,0.6857142857142857,0.5485714285714286,0.6685714285714286,0.6228571428571429,0.7485714285714286,0.5885714285714285,0.64,0.6914285714285714,0.64,0.48,0.7028571428571428,0.6685714285714286,0.64
BMETruncEnd,0.7666666666666667,0.8466666666666667,0.7733333333333333,0.72,0.7333333333333333,0.76,0.7666666666666667,0.84,0.7733333333333333,0.8133333333333334,0.84,0.78,0.7933333333333333,0.7866666666666666,0.7466666666666667,0.8066666666666666,0.8066666666666666,0.84,0.7933333333333333,0.7466666666666667,0.7933333333333333,0.7733333333333333,0.7,0.7733333333333333,0.78,0.7466666666666667,0.8133333333333334,0.8,0.7733333333333333,0.7866666666666666
BeefTruncStart,0.3,0.36666666666666664,0.23333333333333334,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.3,0.23333333333333334,0.36666666666666664,0.36666666666666664,0.26666666666666666,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,0.3,0.43333333333333335,0.26666666666666666,0.5,0.4,0.4,0.26666666666666666,0.3,0.4,0.3333333333333333
BeetleFlyTruncEnd,0.7,0.7,0.8,0.6,0.8,0.7,0.8,0.7,0.7,0.85,0.65,0.75,0.55,0.75,0.7,0.8,0.6,0.7,0.75,0.7,0.8,0.7,0.85,0.7,0.65,0.75,0.75,0.75,0.45,0.65
BirdChickenTruncEnd,0.85,0.9,0.8,0.75,1.0,1.0,0.95,0.95,0.95,0.9,0.8,0.9,0.75,0.85,0.85,0.9,0.75,0.75,0.85,0.95,0.8,0.7,0.65,0.8,0.95,0.9,1.0,0.85,0.95,0.95
CBFTruncEnd,0.8622222222222222,0.84,0.9055555555555556,0.8711111111111111,0.9011111111111111,0.8922222222222222,0.9188888888888889,0.8477777777777777,0.9044444444444445,0.9111111111111111,0.86,0.8933333333333333,0.8522222222222222,0.8811111111111111,0.9011111111111111,0.8766666666666667,0.8444444444444444,0.8911111111111111,0.9066666666666666,0.9055555555555556,0.9088888888888889,0.8422222222222222,0.9,0.8844444444444445,0.9111111111111111,0.8777777777777778,0.9277777777777778,0.9122222222222223,0.8222222222222222,0.9111111111111111
CarTruncEnd,0.7333333333333333,0.5833333333333334,0.7,0.6833333333333333,0.7,0.6333333333333333,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.7166666666666667,0.7166666666666667,0.7,0.5833333333333334,0.7,0.7166666666666667,0.6,0.6833333333333333,0.6,0.6166666666666667,0.75,0.6833333333333333,0.7166666666666667,0.7,0.65,0.7,0.7,0.5166666666666667,0.6833333333333333,0.65,0.7666666666666667
ChinatownTruncEnd,0.8979591836734694,0.8017492711370262,0.9008746355685131,0.8658892128279884,0.8396501457725948,0.9154518950437318,0.8979591836734694,0.8658892128279884,0.8454810495626822,0.924198250728863,0.8221574344023324,0.760932944606414,0.8950437317784257,0.9271137026239067,0.8629737609329446,0.7026239067055393,0.8688046647230321,0.9271137026239067,0.8483965014577259,0.8046647230320699,0.8454810495626822,0.8688046647230321,0.8688046647230321,0.7813411078717201,0.8454810495626822,0.9212827988338192,0.892128279883382,0.8542274052478134,0.8309037900874635,0.8396501457725948
