Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.63,0.71,0.64,0.6,0.62,0.52,0.6,0.61,0.56,0.49,0.55,0.61,0.66,0.59,0.63,0.62,0.55,0.57,0.59,0.59,0.6,0.61,0.62,0.51,0.6,0.63,0.63,0.59,0.63,0.5
AdiacTruncEnd,0.4424552429667519,0.44501278772378516,0.42455242966751916,0.47570332480818417,0.4475703324808184,0.4680306905370844,0.45268542199488493,0.4731457800511509,0.4475703324808184,0.40664961636828645,0.4424552429667519,0.4475703324808184,0.4424552429667519,0.49104859335038364,0.4373401534526854,0.4398976982097187,0.4092071611253197,0.4629156010230179,0.4475703324808184,0.4296675191815857,0.42710997442455245,0.4296675191815857,0.49872122762148335,0.4578005115089514,0.4322250639386189,0.4833759590792839,0.4731457800511509,0.4680306905370844,0.4117647058823529,0.42455242966751916
ArrowHeadTruncEnd,0.5371428571428571,0.6514285714285715,0.6,0.6114285714285714,0.5257142857142857,0.5942857142857143,0.4342857142857143,0.5485714285714286,0.4857142857142857,0.56,0.5942857142857143,0.5828571428571429,0.6,0.5942857142857143,0.4742857142857143,0.6457142857142857,0.4514285714285714,0.5771428571428572,0.5028571428571429,0.5771428571428572,0.5485714285714286,0.6,0.5714285714285714,0.6057142857142858,0.52,0.6628571428571428,0.41714285714285715,0.6685714285714286,0.5828571428571429,0.6114285714285714
BMETruncEnd,0.8,0.7333333333333333,0.7666666666666667,0.8066666666666666,0.78,0.74,0.7333333333333333,0.72,0.8066666666666666,0.8066666666666666,0.8133333333333334,0.7666666666666667,0.8133333333333334,0.7866666666666666,0.7866666666666666,0.7733333333333333,0.7666666666666667,0.7133333333333334,0.8133333333333334,0.7933333333333333,0.8,0.8266666666666667,0.7666666666666667,0.7933333333333333,0.7866666666666666,0.7533333333333333,0.78,0.7533333333333333,0.7933333333333333,0.76
BeefTruncStart,0.3333333333333333,0.26666666666666666,0.23333333333333334,0.4666666666666667,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.4,0.3,0.36666666666666664,0.26666666666666666,0.4,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.23333333333333334,0.36666666666666664,0.23333333333333334,0.26666666666666666,0.36666666666666664,0.26666666666666666,0.4,0.4,0.3333333333333333,0.3,0.3333333333333333,0.26666666666666666,0.4
BeetleFlyTruncEnd,0.5,0.65,0.55,0.75,0.75,0.55,0.55,0.8,0.7,0.65,0.65,0.65,0.35,0.75,0.65,0.55,0.5,0.7,0.6,0.75,0.6,0.65,0.7,0.6,0.55,0.85,0.65,0.65,0.5,0.65
BirdChickenTruncEnd,0.7,0.85,0.8,0.85,0.75,0.8,0.65,0.75,0.65,0.9,0.8,0.7,0.55,0.75,0.8,0.7,0.75,0.65,0.65,0.7,0.85,0.6,0.6,0.75,0.55,0.9,0.6,0.75,0.55,0.65
CBFTruncEnd,0.7988888888888889,0.7566666666666667,0.8377777777777777,0.8377777777777777,0.8322222222222222,0.8111111111111111,0.8633333333333333,0.6855555555555556,0.7722222222222223,0.81,0.8311111111111111,0.7222222222222222,0.8188888888888889,0.8711111111111111,0.8211111111111111,0.7533333333333333,0.77,0.8055555555555556,0.8344444444444444,0.8077777777777778,0.8155555555555556,0.7544444444444445,0.84,0.7911111111111111,0.8222222222222222,0.8077777777777778,0.8866666666666667,0.89,0.8077777777777778,0.8677777777777778
CarTruncEnd,0.6166666666666667,0.6,0.5833333333333334,0.5333333333333333,0.6,0.6,0.5,0.5333333333333333,0.6333333333333333,0.5666666666666667,0.6666666666666666,0.6,0.4666666666666667,0.5,0.5666666666666667,0.5333333333333333,0.65,0.3333333333333333,0.5,0.5666666666666667,0.6666666666666666,0.48333333333333334,0.5166666666666667,0.4666666666666667,0.65,0.5666666666666667,0.4666666666666667,0.4166666666666667,0.55,0.6166666666666667
ChinatownTruncEnd,0.967930029154519,0.9708454810495627,0.956268221574344,0.9387755102040817,0.9416909620991254,0.9708454810495627,0.9737609329446064,0.9271137026239067,0.9650145772594753,0.967930029154519,0.9300291545189504,0.8658892128279884,0.9475218658892128,0.9620991253644315,0.9446064139941691,0.9096209912536443,0.9708454810495627,0.9533527696793003,0.9533527696793003,0.9358600583090378,0.9300291545189504,0.9766763848396501,0.9708454810495627,0.9504373177842566,0.9358600583090378,0.9533527696793003,0.9271137026239067,0.9358600583090378,0.9533527696793003,0.9533527696793003
