Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.69,0.67,0.63,0.64,0.73,0.57,0.59,0.64,0.62,0.69,0.63,0.74,0.69,0.7,0.68,0.66,0.62,0.66,0.64,0.67,0.61,0.72,0.7,0.6,0.68,0.64,0.62,0.69,0.68,0.56
AdiacTruncEnd,0.7493606138107417,0.7672634271099744,0.7263427109974424,0.7263427109974424,0.7365728900255755,0.7442455242966752,0.7493606138107417,0.7033248081841432,0.7544757033248082,0.7365728900255755,0.7186700767263428,0.7289002557544757,0.7391304347826086,0.7084398976982097,0.7340153452685422,0.7340153452685422,0.7468030690537084,0.7468030690537084,0.7212276214833759,0.7340153452685422,0.7468030690537084,0.7698209718670077,0.7595907928388747,0.7468030690537084,0.7877237851662404,0.7442455242966752,0.7186700767263428,0.7493606138107417,0.7135549872122762,0.7468030690537084
ArrowHeadTruncEnd,0.6971428571428572,0.7314285714285714,0.6342857142857142,0.8342857142857143,0.7142857142857143,0.7542857142857143,0.7771428571428571,0.7371428571428571,0.8171428571428572,0.7828571428571428,0.7371428571428571,0.7657142857142857,0.7885714285714286,0.8171428571428572,0.7485714285714286,0.7885714285714286,0.7028571428571428,0.6514285714285715,0.7085714285714285,0.7314285714285714,0.8114285714285714,0.72,0.76,0.7657142857142857,0.8057142857142857,0.6857142857142857,0.6742857142857143,0.7428571428571429,0.7371428571428571,0.76
BMETruncEnd,0.64,0.74,0.6,0.6866666666666666,0.68,0.6933333333333334,0.7333333333333333,0.7266666666666667,0.7066666666666667,0.7066666666666667,0.6933333333333334,0.6533333333333333,0.5733333333333334,0.6933333333333334,0.84,0.7133333333333334,0.7,0.6733333333333333,0.64,0.6666666666666666,0.6866666666666666,0.7066666666666667,0.6533333333333333,0.6533333333333333,0.6666666666666666,0.7,0.7133333333333334,0.7,0.7066666666666667,0.68
BeefTruncStart,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.3,0.2,0.3,0.2,0.23333333333333334,0.2,0.23333333333333334,0.16666666666666666,0.36666666666666664,0.26666666666666666,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.16666666666666666,0.3333333333333333,0.23333333333333334,0.2,0.2,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.36666666666666664,0.3,0.2,0.3,0.23333333333333334
BeetleFlyTruncEnd,0.9,0.8,0.55,0.7,0.7,0.8,0.7,0.7,0.65,0.85,0.7,0.7,0.75,0.85,0.7,0.65,0.75,0.75,0.85,0.85,0.7,0.8,0.7,0.8,0.55,0.6,0.8,0.85,0.9,0.75
BirdChickenTruncEnd,0.8,0.65,0.7,0.85,0.7,0.8,0.65,0.75,0.7,0.7,0.7,1.0,0.85,0.75,0.9,0.85,0.6,0.75,0.6,0.9,0.9,0.75,0.75,0.85,0.85,0.7,0.75,0.8,0.8,0.85
CBFTruncEnd,0.8911111111111111,0.8144444444444444,0.9322222222222222,0.6911111111111111,0.7488888888888889,0.6566666666666666,0.7466666666666667,0.9455555555555556,0.8133333333333334,0.7844444444444445,0.7822222222222223,0.8777777777777778,0.9288888888888889,0.7155555555555555,0.8644444444444445,0.7,0.6633333333333333,0.8566666666666667,0.66,0.9433333333333334,0.9444444444444444,0.7277777777777777,0.8155555555555556,0.9,0.8333333333333334,0.81,0.6566666666666666,0.8,0.7211111111111111,0.7266666666666667
CarTruncEnd,0.7333333333333333,0.7833333333333333,0.75,0.7,0.8166666666666667,0.7833333333333333,0.8166666666666667,0.7166666666666667,0.7666666666666667,0.7,0.75,0.7,0.6666666666666666,0.8,0.6833333333333333,0.8,0.7833333333333333,0.7333333333333333,0.8333333333333334,0.7666666666666667,0.75,0.7166666666666667,0.7333333333333333,0.7666666666666667,0.6833333333333333,0.75,0.7833333333333333,0.7666666666666667,0.75,0.7833333333333333
ChlorineConcentrationTruncStart,0.5307291666666667,0.5447916666666667,0.5421875,0.5486979166666667,0.5484375,0.5447916666666667,0.5513020833333333,0.5442708333333334,0.54140625,0.5463541666666667,0.5447916666666667,0.5494791666666666,0.5385416666666667,0.5455729166666666,0.5369791666666667,0.5442708333333334,0.5458333333333333,0.55078125,0.5471354166666667,0.5419270833333333,0.54453125,0.5552083333333333,0.5388020833333333,0.5354166666666667,0.5453125,0.5403645833333334,0.5463541666666667,0.5408854166666667,0.5356770833333333,0.5541666666666667
CinCECGTorsoTruncEnd,0.9231884057971015,0.9536231884057971,0.9384057971014492,0.8521739130434782,0.8833333333333333,0.9021739130434783,0.8644927536231884,0.8724637681159421,0.8673913043478261,0.8768115942028986,0.8434782608695652,0.9094202898550725,0.7731884057971015,0.8557971014492753,0.9485507246376812,0.7695652173913043,0.8797101449275362,0.8608695652173913,0.8818840579710145,0.8608695652173913,0.8702898550724638,0.8297101449275363,0.7427536231884058,0.9666666666666667,0.8753623188405797,0.8434782608695652,0.9347826086956522,0.8775362318840579,0.9195652173913044,0.9355072463768116
CoffeeTruncStart,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.5,0.5357142857142857,0.6785714285714286,0.5357142857142857,0.4642857142857143,0.42857142857142855,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.32142857142857145,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.42857142857142855,0.5714285714285714,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.4642857142857143,0.5,0.5,0.42857142857142855
ComputersTruncStart,0.74,0.78,0.804,0.752,0.8,0.772,0.772,0.764,0.796,0.74,0.8,0.796,0.804,0.816,0.772,0.808,0.756,0.752,0.8,0.82,0.796,0.72,0.76,0.772,0.716,0.82,0.788,0.784,0.724,0.724
CricketXTruncEnd,0.5076923076923077,0.5230769230769231,0.541025641025641,0.5230769230769231,0.517948717948718,0.5230769230769231,0.5538461538461539,0.48717948717948717,0.5102564102564102,0.5333333333333333,0.541025641025641,0.5461538461538461,0.5692307692307692,0.49230769230769234,0.5128205128205128,0.5307692307692308,0.4794871794871795,0.5282051282051282,0.5076923076923077,0.5307692307692308,0.5051282051282051,0.5307692307692308,0.4846153846153846,0.5102564102564102,0.5333333333333333,0.5025641025641026,0.5025641025641026,0.5025641025641026,0.49743589743589745,0.5230769230769231
CricketYTruncEnd,0.5230769230769231,0.5461538461538461,0.5205128205128206,0.5205128205128206,0.5692307692307692,0.5307692307692308,0.5384615384615384,0.5051282051282051,0.5102564102564102,0.5256410256410257,0.517948717948718,0.5641025641025641,0.5153846153846153,0.541025641025641,0.4948717948717949,0.5230769230769231,0.541025641025641,0.5076923076923077,0.558974358974359,0.5153846153846153,0.5282051282051282,0.5128205128205128,0.5307692307692308,0.5256410256410257,0.5153846153846153,0.47435897435897434,0.5333333333333333,0.48205128205128206,0.558974358974359,0.5102564102564102
CricketZTruncEnd,0.47435897435897434,0.48205128205128206,0.5333333333333333,0.5307692307692308,0.5128205128205128,0.5025641025641026,0.5128205128205128,0.5025641025641026,0.5153846153846153,0.5333333333333333,0.5282051282051282,0.5538461538461539,0.517948717948718,0.5205128205128206,0.49743589743589745,0.5307692307692308,0.5615384615384615,0.5051282051282051,0.4897435897435897,0.5128205128205128,0.5128205128205128,0.5102564102564102,0.5230769230769231,0.5358974358974359,0.4846153846153846,0.4794871794871795,0.5461538461538461,0.46153846153846156,0.5358974358974359,0.5256410256410257
CropTruncEnd,0.6343452380952381,0.6393452380952381,0.639702380952381,0.6366666666666667,0.6393452380952381,0.6373809523809524,0.638095238095238,0.6417857142857143,0.6397619047619048,0.6327380952380952,0.6378571428571429,0.6358333333333334,0.64,0.6394047619047619,0.636547619047619,0.642797619047619,0.6347619047619047,0.6411904761904762,0.6424404761904762,0.64375,0.6340476190476191,0.6379761904761905,0.6373809523809524,0.6399404761904762,0.6345238095238095,0.6410714285714286,0.6366666666666667,0.6406547619047619,0.6408928571428572,0.641547619047619
DiatomSizeReductionTruncEnd,0.9640522875816994,0.8888888888888888,0.8758169934640523,0.9640522875816994,0.9215686274509803,0.9444444444444444,0.8986928104575164,0.8823529411764706,0.8954248366013072,0.9117647058823529,0.8888888888888888,0.934640522875817,0.8725490196078431,0.8790849673202614,0.9411764705882353,0.7745098039215687,0.8954248366013072,0.9803921568627451,0.9411764705882353,0.9248366013071896,0.8725490196078431,0.8921568627450981,0.9411764705882353,0.9803921568627451,0.9803921568627451,0.8921568627450981,0.9150326797385621,0.8790849673202614,0.9379084967320261,0.8856209150326797
DistalPhalanxOutlineAgeGroupTruncStart,0.6330935251798561,0.6834532374100719,0.6834532374100719,0.6618705035971223,0.7050359712230215,0.7122302158273381,0.6258992805755396,0.6690647482014388,0.6546762589928058,0.6546762589928058,0.6906474820143885,0.6690647482014388,0.697841726618705,0.7194244604316546,0.6402877697841727,0.697841726618705,0.6618705035971223,0.7194244604316546,0.6762589928057554,0.6690647482014388,0.6546762589928058,0.697841726618705,0.6546762589928058,0.6402877697841727,0.7122302158273381,0.6762589928057554,0.6690647482014388,0.6690647482014388,0.6546762589928058,0.6258992805755396
DistalPhalanxOutlineCorrectTruncStart,0.6594202898550725,0.7065217391304348,0.7391304347826086,0.7463768115942029,0.7137681159420289,0.6702898550724637,0.6811594202898551,0.7101449275362319,0.6847826086956522,0.6847826086956522,0.7282608695652174,0.6956521739130435,0.6956521739130435,0.6702898550724637,0.677536231884058,0.717391304347826,0.6920289855072463,0.6739130434782609,0.717391304347826,0.7210144927536232,0.7355072463768116,0.6557971014492754,0.6884057971014492,0.6956521739130435,0.7137681159420289,0.7101449275362319,0.7210144927536232,0.6992753623188406,0.6594202898550725,0.6847826086956522
DistalPhalanxTWTruncStart,0.5611510791366906,0.60431654676259,0.5611510791366906,0.5611510791366906,0.539568345323741,0.5611510791366906,0.5539568345323741,0.5899280575539568,0.5683453237410072,0.5827338129496403,0.60431654676259,0.5683453237410072,0.5899280575539568,0.6402877697841727,0.5611510791366906,0.5971223021582733,0.5899280575539568,0.539568345323741,0.5755395683453237,0.5611510791366906,0.5467625899280576,0.5179856115107914,0.5755395683453237,0.5899280575539568,0.6115107913669064,0.5539568345323741,0.5611510791366906,0.5971223021582733,0.5683453237410072,0.5539568345323741
ECG200TruncEnd,0.85,0.89,0.85,0.87,0.87,0.83,0.81,0.82,0.82,0.8,0.81,0.87,0.82,0.86,0.89,0.88,0.87,0.85,0.86,0.83,0.83,0.84,0.86,0.84,0.9,0.85,0.84,0.84,0.86,0.84
ECG5000TruncStart,0.8517777777777777,0.856,0.8564444444444445,0.8608888888888889,0.8504444444444444,0.8524444444444444,0.8635555555555555,0.8324444444444444,0.8564444444444445,0.8575555555555555,0.8444444444444444,0.8542222222222222,0.8662222222222222,0.8486666666666667,0.8615555555555555,0.85,0.8562222222222222,0.8571111111111112,0.8531111111111112,0.848,0.8548888888888889,0.846,0.8613333333333333,0.8651111111111112,0.8568888888888889,0.8584444444444445,0.8491111111111111,0.8544444444444445,0.8553333333333333,0.8575555555555555
ECGFiveDaysTruncStart,0.5040650406504065,0.5586527293844367,0.5516840882694541,0.5563298490127758,0.5551684088269454,0.5458768873403019,0.5331010452961672,0.48664343786295006,0.5609756097560976,0.5075493612078978,0.5516840882694541,0.5853658536585366,0.5133565621370499,0.5400696864111498,0.5598141695702671,0.5737514518002322,0.5563298490127758,0.5667828106852497,0.519163763066202,0.5365853658536586,0.554006968641115,0.5342624854819977,0.5563298490127758,0.5133565621370499,0.5574912891986062,0.5481997677119629,0.5296167247386759,0.5923344947735192,0.5842044134727061,0.5121951219512195
EOGHorizontalSignalTruncEnd,0.08011049723756906,0.1464088397790055,0.11878453038674033,0.11602209944751381,0.1132596685082873,0.1298342541436464,0.12430939226519337,0.11602209944751381,0.15469613259668508,0.11602209944751381,0.11049723756906077,0.1132596685082873,0.11602209944751381,0.12430939226519337,0.13259668508287292,0.1270718232044199,0.13535911602209943,0.1270718232044199,0.09392265193370165,0.1464088397790055,0.10497237569060773,0.1270718232044199,0.12154696132596685,0.10497237569060773,0.11878453038674033,0.13812154696132597,0.11602209944751381,0.1298342541436464,0.09668508287292818,0.09944751381215469
EOGVerticalSignalTruncEnd,0.0718232044198895,0.143646408839779,0.11049723756906077,0.10220994475138122,0.1132596685082873,0.1270718232044199,0.10773480662983426,0.143646408839779,0.16298342541436464,0.11602209944751381,0.11049723756906077,0.12154696132596685,0.1132596685082873,0.1408839779005525,0.1132596685082873,0.11049723756906077,0.1298342541436464,0.08839779005524862,0.10220994475138122,0.10220994475138122,0.12154696132596685,0.13535911602209943,0.12430939226519337,0.11049723756906077,0.1132596685082873,0.11878453038674033,0.09944751381215469,0.11878453038674033,0.10773480662983426,0.1298342541436464
EarthquakesTruncStart,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043
ElectricDevicesTruncStart,0.5745039553884062,0.6493321229412528,0.646349371028401,0.6506289715990144,0.6528336143172092,0.6484243288808196,0.6530929840487615,0.6490727532097005,0.6524445597198807,0.6556866813642848,0.6524445597198807,0.6502399170016859,0.65348203864609,0.6529632991829853,0.6503696018674621,0.6568538451562702,0.6477759045519388,0.6525742445856568,0.648683698612372,0.6484243288808196,0.6540007781091947,0.6523148748541046,0.6497211775385813,0.6451822072364155,0.651925820256776,0.648683698612372,0.6523148748541046,0.65348203864609,0.6492024380754766,0.6437556737128777
EthanolLevelTruncEnd,0.386,0.476,0.474,0.484,0.54,0.542,0.506,0.494,0.52,0.476,0.49,0.514,0.516,0.478,0.518,0.482,0.51,0.49,0.498,0.502,0.47,0.532,0.512,0.478,0.5,0.488,0.468,0.506,0.48,0.492
FaceAllTruncEnd,0.8011834319526627,0.8035502958579882,0.7899408284023669,0.8118343195266272,0.8153846153846154,0.7769230769230769,0.8011834319526627,0.8094674556213017,0.8076923076923077,0.8106508875739645,0.8059171597633136,0.7970414201183432,0.808284023668639,0.808284023668639,0.8112426035502959,0.8041420118343195,0.7946745562130177,0.7946745562130177,0.8053254437869822,0.8284023668639053,0.8112426035502959,0.8053254437869822,0.8236686390532545,0.8130177514792899,0.8005917159763314,0.8153846153846154,0.7988165680473372,0.7970414201183432,0.8041420118343195,0.8035502958579882
