Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.74,0.72,0.68,0.69,0.65,0.59,0.65,0.7,0.6,0.69,0.61,0.69,0.74,0.64,0.81,0.7,0.6,0.65,0.68,0.68,0.72,0.77,0.77,0.71,0.74,0.74,0.66,0.7,0.73,0.65
AdiacTruncEnd,0.6035805626598465,0.5677749360613811,0.5959079283887468,0.6112531969309463,0.5652173913043478,0.5959079283887468,0.5524296675191815,0.6163682864450127,0.6240409207161125,0.5831202046035806,0.6572890025575447,0.6649616368286445,0.6445012787723785,0.6547314578005116,0.6572890025575447,0.659846547314578,0.6777493606138107,0.6675191815856778,0.670076726342711,0.6265984654731458,0.659846547314578,0.639386189258312,0.6930946291560103,0.6930946291560103,0.6854219948849105,0.6368286445012787,0.670076726342711,0.6624040920716112,0.6445012787723785,0.659846547314578
ArrowHeadTruncEnd,0.6171428571428571,0.7885714285714286,0.7142857142857143,0.7314285714285714,0.6685714285714286,0.7657142857142857,0.5714285714285714,0.6514285714285715,0.68,0.7257142857142858,0.6742857142857143,0.6971428571428572,0.76,0.7371428571428571,0.6971428571428572,0.7028571428571428,0.6342857142857142,0.6742857142857143,0.6342857142857142,0.7657142857142857,0.76,0.76,0.7085714285714285,0.7257142857142858,0.7371428571428571,0.72,0.64,0.7257142857142858,0.7714285714285715,0.7428571428571429
BMETruncEnd,0.8333333333333334,0.7933333333333333,0.8,0.7733333333333333,0.7933333333333333,0.76,0.7666666666666667,0.82,0.82,0.8333333333333334,0.8266666666666667,0.84,0.86,0.8066666666666666,0.8133333333333334,0.7933333333333333,0.8133333333333334,0.8333333333333334,0.8133333333333334,0.8066666666666666,0.84,0.8333333333333334,0.7866666666666666,0.8266666666666667,0.8133333333333334,0.82,0.7533333333333333,0.8333333333333334,0.8133333333333334,0.7866666666666666
BeefTruncStart,0.3333333333333333,0.36666666666666664,0.3,0.5333333333333333,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.4,0.43333333333333335,0.3333333333333333,0.3,0.3,0.3,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.3,0.2,0.4,0.26666666666666666,0.5,0.4666666666666667,0.5,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4
BeetleFlyTruncEnd,0.8,0.75,0.85,0.75,0.85,0.7,0.7,0.7,0.85,0.85,0.75,0.85,0.6,0.7,0.9,0.8,0.75,0.75,0.85,0.7,0.75,0.85,0.85,0.75,0.7,0.8,0.75,0.75,0.65,0.85
BirdChickenTruncEnd,0.85,0.8,0.9,0.95,0.85,0.85,0.95,0.8,0.85,0.85,0.8,0.8,0.95,0.95,1.0,0.95,0.7,0.9,0.85,0.95,0.9,0.8,0.9,0.85,0.9,0.85,0.95,0.95,0.9,0.85
CBFTruncEnd,0.96,0.9344444444444444,0.9344444444444444,0.9188888888888889,0.9155555555555556,0.9611111111111111,0.9466666666666667,0.8833333333333333,0.9544444444444444,0.9144444444444444,0.9444444444444444,0.9377777777777778,0.9288888888888889,0.9522222222222222,0.96,0.8966666666666666,0.9133333333333333,0.9411111111111111,0.9588888888888889,0.9288888888888889,0.9622222222222222,0.9311111111111111,0.9688888888888889,0.9344444444444444,0.9455555555555556,0.9144444444444444,0.9733333333333334,0.9644444444444444,0.9344444444444444,0.9511111111111111
CarTruncEnd,0.7833333333333333,0.7,0.75,0.7333333333333333,0.8166666666666667,0.7,0.8,0.6666666666666666,0.75,0.7166666666666667,0.7833333333333333,0.7833333333333333,0.7166666666666667,0.75,0.75,0.7833333333333333,0.7833333333333333,0.65,0.7,0.7666666666666667,0.7166666666666667,0.7166666666666667,0.7833333333333333,0.7666666666666667,0.75,0.7166666666666667,0.65,0.75,0.7333333333333333,0.7833333333333333
ChinatownTruncEnd,0.9795918367346939,0.9766763848396501,0.9737609329446064,0.9795918367346939,0.9475218658892128,0.9854227405247813,0.9504373177842566,0.9766763848396501,0.9766763848396501,0.9854227405247813,0.9533527696793003,0.8192419825072886,0.924198250728863,0.9825072886297376,0.8833819241982507,0.8775510204081632,0.9766763848396501,0.9795918367346939,0.9825072886297376,0.8775510204081632,0.8892128279883382,0.9854227405247813,0.9854227405247813,0.9825072886297376,0.8775510204081632,0.9708454810495627,0.9795918367346939,0.9008746355685131,0.8775510204081632,0.9620991253644315
