Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.67,0.64,0.66,0.61,0.62,0.57,0.63,0.6,0.58,0.55,0.57,0.67,0.64,0.64,0.73,0.69,0.54,0.64,0.63,0.63,0.7,0.69,0.72,0.42,0.59,0.61,0.66,0.65,0.63,0.52
AdiacTruncEnd,0.5191815856777494,0.49104859335038364,0.5166240409207161,0.5191815856777494,0.5191815856777494,0.5217391304347826,0.49872122762148335,0.5549872122762148,0.5089514066496164,0.46035805626598464,0.5038363171355499,0.5217391304347826,0.4782608695652174,0.5089514066496164,0.5012787723785166,0.4936061381074169,0.49872122762148335,0.5140664961636828,0.4859335038363171,0.48081841432225064,0.4731457800511509,0.47570332480818417,0.5473145780051151,0.5038363171355499,0.5191815856777494,0.5063938618925832,0.5166240409207161,0.5038363171355499,0.46547314578005117,0.4961636828644501
ArrowHeadTruncEnd,0.46285714285714286,0.5885714285714285,0.5085714285714286,0.6571428571428571,0.5085714285714286,0.6228571428571429,0.41714285714285715,0.5714285714285714,0.49714285714285716,0.6228571428571429,0.6114285714285714,0.5942857142857143,0.5828571428571429,0.56,0.5028571428571429,0.6114285714285714,0.4742857142857143,0.5428571428571428,0.5142857142857142,0.6,0.5828571428571429,0.7371428571428571,0.6685714285714286,0.6,0.5028571428571429,0.6171428571428571,0.4228571428571429,0.6628571428571428,0.5828571428571429,0.6514285714285715
BMETruncEnd,0.6466666666666666,0.7466666666666667,0.78,0.7933333333333333,0.7666666666666667,0.7466666666666667,0.74,0.8,0.8266666666666667,0.8066666666666666,0.8533333333333334,0.8133333333333334,0.8266666666666667,0.8,0.74,0.8,0.8,0.7333333333333333,0.7533333333333333,0.8333333333333334,0.82,0.8066666666666666,0.7733333333333333,0.8266666666666667,0.7933333333333333,0.74,0.7733333333333333,0.8333333333333334,0.7866666666666666,0.7333333333333333
BeefTruncStart,0.3333333333333333,0.3,0.26666666666666666,0.4666666666666667,0.4,0.43333333333333335,0.4,0.4,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.5,0.3,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.4,0.26666666666666666,0.3333333333333333,0.4,0.36666666666666664,0.4666666666666667,0.5666666666666667,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.4666666666666667
BeetleFlyTruncEnd,0.75,0.6,0.6,0.65,0.75,0.6,0.6,0.8,0.55,0.65,0.65,0.65,0.65,0.85,0.75,0.75,0.4,0.7,0.6,0.8,0.75,0.55,0.85,0.75,0.65,0.5,0.6,0.7,0.45,0.75
BirdChickenTruncEnd,0.75,0.75,0.8,0.8,0.75,0.7,0.55,0.65,0.75,0.65,0.8,0.75,0.65,0.9,0.8,0.85,0.6,0.55,0.7,0.45,0.8,0.7,0.75,0.65,0.7,0.9,0.7,0.65,0.6,0.6
CBFTruncEnd,0.8922222222222222,0.8622222222222222,0.9133333333333333,0.8866666666666667,0.8511111111111112,0.9033333333333333,0.9322222222222222,0.8266666666666667,0.8555555555555555,0.8366666666666667,0.9388888888888889,0.8366666666666667,0.8211111111111111,0.9488888888888889,0.8977777777777778,0.8488888888888889,0.7788888888888889,0.9122222222222223,0.9066666666666666,0.9277777777777778,0.8755555555555555,0.8233333333333334,0.9055555555555556,0.8744444444444445,0.8944444444444445,0.8633333333333333,0.9444444444444444,0.8755555555555555,0.8366666666666667,0.9244444444444444
CarTruncEnd,0.5833333333333334,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.48333333333333334,0.55,0.5333333333333333,0.6833333333333333,0.6166666666666667,0.5833333333333334,0.5333333333333333,0.6333333333333333,0.45,0.7,0.45,0.5333333333333333,0.55,0.65,0.48333333333333334,0.55,0.5666666666666667,0.6666666666666666,0.5333333333333333,0.48333333333333334,0.4666666666666667,0.6,0.6166666666666667
ChinatownTruncEnd,0.9708454810495627,0.9766763848396501,0.9825072886297376,0.9620991253644315,0.9737609329446064,0.9708454810495627,0.9795918367346939,0.9533527696793003,0.9795918367346939,0.9795918367346939,0.9766763848396501,0.8979591836734694,0.9737609329446064,0.9708454810495627,0.9708454810495627,0.9533527696793003,0.9795918367346939,0.9766763848396501,0.9737609329446064,0.956268221574344,0.9591836734693877,0.9650145772594753,0.9854227405247813,0.9650145772594753,0.9708454810495627,0.9708454810495627,0.9504373177842566,0.9737609329446064,0.9620991253644315,0.9795918367346939
