Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.79,0.64,0.71,0.74,0.75,0.66,0.72,0.75,0.72,0.71,0.69,0.77,0.7,0.73,0.77,0.75,0.61,0.7,0.69,0.74,0.76,0.73,0.84,0.65,0.76,0.72,0.73,0.75,0.68,0.7
AdiacTruncEnd,0.649616368286445,0.6342710997442456,0.6138107416879796,0.6035805626598465,0.6342710997442456,0.6086956521739131,0.5959079283887468,0.6317135549872123,0.6265984654731458,0.6061381074168798,0.6035805626598465,0.639386189258312,0.6240409207161125,0.6240409207161125,0.649616368286445,0.6419437340153452,0.6214833759590793,0.6521739130434783,0.618925831202046,0.5703324808184144,0.6163682864450127,0.6035805626598465,0.649616368286445,0.6317135549872123,0.639386189258312,0.618925831202046,0.6317135549872123,0.618925831202046,0.5959079283887468,0.629156010230179
ArrowHeadTruncEnd,0.6742857142857143,0.7028571428571428,0.6171428571428571,0.7028571428571428,0.6057142857142858,0.7485714285714286,0.5828571428571429,0.6457142857142857,0.6342857142857142,0.68,0.6514285714285715,0.6742857142857143,0.6742857142857143,0.6914285714285714,0.5942857142857143,0.6685714285714286,0.5885714285714285,0.6114285714285714,0.64,0.6571428571428571,0.7085714285714285,0.7485714285714286,0.6857142857142857,0.76,0.6685714285714286,0.6857142857142857,0.5257142857142857,0.72,0.6914285714285714,0.7028571428571428
BMETruncEnd,0.8333333333333334,0.8133333333333334,0.8,0.8133333333333334,0.8266666666666667,0.7866666666666666,0.8133333333333334,0.7666666666666667,0.82,0.8333333333333334,0.8466666666666667,0.8666666666666667,0.8666666666666667,0.8066666666666666,0.8533333333333334,0.8066666666666666,0.84,0.8533333333333334,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8533333333333334,0.84,0.86,0.84,0.8133333333333334,0.8066666666666666,0.82,0.8133333333333334,0.7533333333333333
BeefTruncStart,0.3,0.3333333333333333,0.36666666666666664,0.4666666666666667,0.3,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.43333333333333335,0.3,0.3,0.26666666666666666,0.3,0.26666666666666666,0.23333333333333334,0.3,0.3333333333333333,0.23333333333333334,0.4666666666666667,0.3333333333333333,0.4,0.4,0.5333333333333333,0.3,0.36666666666666664,0.3333333333333333,0.3333333333333333
BeetleFlyTruncEnd,0.7,0.7,0.85,0.8,0.85,0.85,0.65,0.8,0.65,0.9,0.8,0.85,0.7,0.7,0.95,0.8,0.75,0.75,0.65,0.9,0.85,0.9,0.9,0.75,0.8,0.7,0.8,0.8,0.8,0.85
BirdChickenTruncEnd,0.95,0.95,1.0,0.9,0.9,0.9,0.9,0.85,0.95,0.95,0.85,0.95,0.9,1.0,0.95,0.95,0.9,0.8,1.0,1.0,1.0,0.8,0.85,1.0,1.0,0.9,0.95,0.95,0.8,0.9
CBFTruncEnd,0.9177777777777778,0.7766666666666666,0.9211111111111111,0.8644444444444445,0.8844444444444445,0.95,0.9533333333333334,0.9133333333333333,0.9433333333333334,0.9011111111111111,0.9633333333333334,0.8488888888888889,0.9044444444444445,0.9477777777777778,0.94,0.8411111111111111,0.8944444444444445,0.8633333333333333,0.9488888888888889,0.9611111111111111,0.89,0.9544444444444444,0.94,0.9088888888888889,0.9422222222222222,0.8877777777777778,0.9122222222222223,0.9311111111111111,0.8877777777777778,0.9222222222222223
CarTruncEnd,0.7333333333333333,0.6833333333333333,0.65,0.7,0.65,0.6666666666666666,0.65,0.6833333333333333,0.6666666666666666,0.6166666666666667,0.8,0.7,0.7166666666666667,0.7166666666666667,0.7,0.7166666666666667,0.6666666666666666,0.6,0.6333333333333333,0.6833333333333333,0.7,0.6333333333333333,0.65,0.7166666666666667,0.7,0.6833333333333333,0.65,0.6333333333333333,0.5166666666666667,0.7333333333333333
ChinatownTruncEnd,0.9737609329446064,0.9737609329446064,0.9795918367346939,0.967930029154519,0.9708454810495627,0.9620991253644315,0.9737609329446064,0.9504373177842566,0.9766763848396501,0.9795918367346939,0.9708454810495627,0.9358600583090378,0.9766763848396501,0.9650145772594753,0.9795918367346939,0.9766763848396501,0.9795918367346939,0.9737609329446064,0.9766763848396501,0.9620991253644315,0.967930029154519,0.967930029154519,0.9766763848396501,0.9737609329446064,0.9737609329446064,0.967930029154519,0.9766763848396501,0.9708454810495627,0.9766763848396501,0.9795918367346939
