Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9,0.77,0.77,0.79,0.83,0.73,0.78,0.76,0.69,0.83,0.85,0.76,0.8,0.79,0.83,0.81,0.7,0.77,0.86,0.78,0.79,0.73,0.77,0.87,0.85,0.79,0.72,0.77,0.85,0.87
AdiacTruncEnd,0.7058823529411765,0.6726342710997443,0.6624040920716112,0.710997442455243,0.7033248081841432,0.6828644501278772,0.680306905370844,0.6956521739130435,0.7340153452685422,0.6956521739130435,0.6572890025575447,0.6521739130434783,0.6649616368286445,0.6777493606138107,0.7033248081841432,0.6828644501278772,0.6828644501278772,0.7033248081841432,0.6649616368286445,0.649616368286445,0.6624040920716112,0.649616368286445,0.731457800511509,0.6930946291560103,0.6854219948849105,0.680306905370844,0.6930946291560103,0.690537084398977,0.639386189258312,0.7058823529411765
ArrowHeadTruncEnd,0.7314285714285714,0.68,0.7428571428571429,0.7771428571428571,0.7085714285714285,0.7771428571428571,0.6742857142857143,0.76,0.6971428571428572,0.7542857142857143,0.7428571428571429,0.7314285714285714,0.8057142857142857,0.6971428571428572,0.76,0.7371428571428571,0.6285714285714286,0.68,0.6285714285714286,0.7771428571428571,0.72,0.7542857142857143,0.7028571428571428,0.7485714285714286,0.7314285714285714,0.6685714285714286,0.7028571428571428,0.7657142857142857,0.76,0.7428571428571429
BMETruncEnd,0.86,0.82,0.8,0.7666666666666667,0.8,0.7733333333333333,0.8466666666666667,0.82,0.7933333333333333,0.8333333333333334,0.82,0.8,0.8066666666666666,0.7866666666666666,0.82,0.8133333333333334,0.82,0.8533333333333334,0.82,0.8133333333333334,0.7866666666666666,0.7666666666666667,0.76,0.8533333333333334,0.84,0.78,0.8066666666666666,0.7733333333333333,0.7933333333333333,0.74
BeefTruncStart,0.43333333333333335,0.6333333333333333,0.6,0.4,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.4,0.5,0.6,0.4666666666666667,0.7333333333333333,0.43333333333333335,0.6,0.6,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6333333333333333,0.5333333333333333,0.5666666666666667,0.6,0.7,0.6,0.6666666666666666,0.5,0.4,0.4,0.7666666666666667
BeetleFlyTruncEnd,0.85,1.0,0.95,0.85,0.95,0.9,0.85,0.95,0.95,0.9,0.95,0.8,0.6,0.85,1.0,0.9,0.8,0.8,0.95,0.95,0.9,0.85,0.9,0.75,0.8,0.9,1.0,0.8,0.65,0.9
BirdChickenTruncEnd,0.95,0.85,1.0,0.95,0.9,0.95,1.0,0.95,1.0,0.95,0.9,0.85,0.8,0.95,1.0,0.9,0.75,1.0,1.0,0.95,0.9,0.9,0.75,0.8,1.0,0.9,1.0,0.8,0.85,0.85
CBFTruncEnd,0.9411111111111111,0.9277777777777778,0.9633333333333334,0.94,0.9255555555555556,0.9277777777777778,0.9433333333333334,0.8544444444444445,0.9666666666666667,0.9522222222222222,0.9455555555555556,0.9177777777777778,0.92,0.9277777777777778,0.9711111111111111,0.9322222222222222,0.9344444444444444,0.9333333333333333,0.9644444444444444,0.9288888888888889,0.9477777777777778,0.9388888888888889,0.96,0.9355555555555556,0.9422222222222222,0.9422222222222222,0.9666666666666667,0.9622222222222222,0.9144444444444444,0.9522222222222222
CarTruncEnd,0.7333333333333333,0.8166666666666667,0.8,0.8166666666666667,0.85,0.7833333333333333,0.8333333333333334,0.7,0.8333333333333334,0.8,0.8333333333333334,0.8333333333333334,0.7166666666666667,0.7833333333333333,0.8166666666666667,0.6666666666666666,0.8,0.6833333333333333,0.8166666666666667,0.7833333333333333,0.8,0.7666666666666667,0.75,0.7666666666666667,0.75,0.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.85
ChinatownTruncEnd,0.9475218658892128,0.9650145772594753,0.9650145772594753,0.9766763848396501,0.8658892128279884,0.9620991253644315,0.9271137026239067,0.9183673469387755,0.9650145772594753,0.9650145772594753,0.8513119533527697,0.8046647230320699,0.9154518950437318,0.967930029154519,0.8775510204081632,0.6793002915451894,0.9446064139941691,0.9766763848396501,0.9271137026239067,0.8571428571428571,0.8600583090379009,0.9708454810495627,0.9766763848396501,0.924198250728863,0.8571428571428571,0.9329446064139941,0.9446064139941691,0.8688046647230321,0.8600583090379009,0.9650145772594753
