Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.65,0.59,0.64,0.54,0.48,0.56,0.46,0.57,0.47,0.53,0.55,0.59,0.49,0.62,0.59,0.62,0.56,0.51,0.49,0.49,0.61,0.62,0.57,0.52,0.47,0.53,0.59,0.53,0.59,0.48
AdiacTruncEnd,0.4859335038363171,0.4322250639386189,0.4731457800511509,0.4936061381074169,0.42455242966751916,0.4782608695652174,0.4373401534526854,0.5421994884910486,0.49104859335038364,0.4782608695652174,0.4398976982097187,0.4884910485933504,0.4629156010230179,0.4936061381074169,0.47058823529411764,0.4782608695652174,0.4296675191815857,0.4680306905370844,0.40153452685422,0.42455242966751916,0.43478260869565216,0.45012787723785164,0.5115089514066496,0.4322250639386189,0.47570332480818417,0.5063938618925832,0.47570332480818417,0.45524296675191817,0.42455242966751916,0.45012787723785164
ArrowHeadTruncEnd,0.6742857142857143,0.7028571428571428,0.6457142857142857,0.68,0.6342857142857142,0.7314285714285714,0.56,0.68,0.7142857142857143,0.7428571428571429,0.6228571428571429,0.6171428571428571,0.7142857142857143,0.6285714285714286,0.6628571428571428,0.6628571428571428,0.6114285714285714,0.64,0.5942857142857143,0.6971428571428572,0.6571428571428571,0.6285714285714286,0.6057142857142858,0.6628571428571428,0.6914285714285714,0.6514285714285715,0.6342857142857142,0.7542857142857143,0.64,0.7314285714285714
BMETruncEnd,0.76,0.7066666666666667,0.7,0.7866666666666666,0.7133333333333334,0.78,0.8,0.68,0.7133333333333334,0.7066666666666667,0.72,0.7866666666666666,0.8133333333333334,0.7733333333333333,0.8,0.76,0.68,0.7866666666666666,0.76,0.6733333333333333,0.7533333333333333,0.7,0.6933333333333334,0.76,0.7266666666666667,0.7533333333333333,0.7733333333333333,0.8,0.78,0.7333333333333333
BeefTruncStart,0.26666666666666666,0.36666666666666664,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.4,0.3333333333333333,0.36666666666666664,0.23333333333333334,0.3333333333333333,0.2,0.4,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.36666666666666664,0.26666666666666666,0.3,0.3,0.26666666666666666,0.23333333333333334,0.4,0.23333333333333334,0.4,0.5,0.36666666666666664,0.26666666666666666,0.3,0.3333333333333333,0.36666666666666664
BeetleFlyTruncEnd,0.5,0.55,0.75,0.7,0.55,0.65,0.7,0.75,0.7,0.65,0.6,0.6,0.45,0.5,0.6,0.55,0.6,0.65,0.65,0.6,0.75,0.6,0.6,0.6,0.7,0.8,0.7,0.7,0.4,0.7
BirdChickenTruncEnd,0.7,0.8,0.75,0.9,0.8,0.7,0.9,0.8,0.75,0.75,0.75,0.85,0.6,0.85,0.85,0.8,0.75,0.75,0.9,0.95,0.85,0.75,0.75,0.95,0.9,0.85,0.85,0.85,0.75,0.9
CBFTruncEnd,0.8766666666666667,0.8522222222222222,0.9133333333333333,0.8844444444444445,0.9055555555555556,0.8966666666666666,0.9322222222222222,0.8677777777777778,0.8944444444444445,0.9277777777777778,0.9111111111111111,0.9044444444444445,0.9144444444444444,0.9222222222222223,0.8866666666666667,0.8988888888888888,0.87,0.9111111111111111,0.8888888888888888,0.9322222222222222,0.9244444444444444,0.88,0.9188888888888889,0.9044444444444445,0.9155555555555556,0.9022222222222223,0.9355555555555556,0.9166666666666666,0.8422222222222222,0.9311111111111111
CarTruncEnd,0.7,0.75,0.7333333333333333,0.6833333333333333,0.75,0.75,0.7,0.7,0.7833333333333333,0.6333333333333333,0.75,0.7166666666666667,0.6666666666666666,0.7333333333333333,0.6833333333333333,0.6,0.75,0.6,0.7666666666666667,0.7333333333333333,0.75,0.6833333333333333,0.7,0.6833333333333333,0.75,0.7166666666666667,0.7166666666666667,0.6333333333333333,0.7166666666666667,0.8
ChinatownTruncEnd,0.9271137026239067,0.7230320699708455,0.7725947521865889,0.8629737609329446,0.8513119533527697,0.9708454810495627,0.8717201166180758,0.7784256559766763,0.9271137026239067,0.8629737609329446,0.8104956268221575,0.7551020408163265,0.8104956268221575,0.9329446064139941,0.8075801749271136,0.717201166180758,0.8513119533527697,0.9416909620991254,0.8658892128279884,0.8571428571428571,0.8192419825072886,0.9650145772594753,0.924198250728863,0.8425655976676385,0.8396501457725948,0.9008746355685131,0.880466472303207,0.8717201166180758,0.8017492711370262,0.9300291545189504
