Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.89,0.76,0.79,0.79,0.79,0.77,0.76,0.74,0.76,0.77,0.75,0.81,0.78,0.81,0.84,0.79,0.69,0.86,0.77,0.72,0.81,0.78,0.84,0.79,0.82,0.78,0.75,0.79,0.78,0.81
AdiacTruncEnd,0.6854219948849105,0.6470588235294118,0.6265984654731458,0.6572890025575447,0.6751918158567775,0.6419437340153452,0.6419437340153452,0.6956521739130435,0.670076726342711,0.6521739130434783,0.6547314578005116,0.659846547314578,0.6879795396419437,0.6751918158567775,0.6930946291560103,0.6751918158567775,0.6572890025575447,0.6879795396419437,0.6470588235294118,0.6726342710997443,0.6572890025575447,0.6265984654731458,0.7289002557544757,0.6854219948849105,0.690537084398977,0.6726342710997443,0.6854219948849105,0.6675191815856778,0.649616368286445,0.680306905370844
ArrowHeadTruncEnd,0.7771428571428571,0.7428571428571429,0.7771428571428571,0.8057142857142857,0.7714285714285715,0.8685714285714285,0.7942857142857143,0.7828571428571428,0.8628571428571429,0.7885714285714286,0.8,0.8057142857142857,0.8457142857142858,0.7428571428571429,0.7714285714285715,0.7771428571428571,0.72,0.6914285714285714,0.6628571428571428,0.8228571428571428,0.8171428571428572,0.8514285714285714,0.8685714285714285,0.7885714285714286,0.7828571428571428,0.7542857142857143,0.76,0.8171428571428572,0.8,0.8285714285714286
BMETruncEnd,0.8466666666666667,0.7266666666666667,0.7266666666666667,0.78,0.7933333333333333,0.7933333333333333,0.84,0.7866666666666666,0.8066666666666666,0.8266666666666667,0.82,0.8133333333333334,0.8466666666666667,0.7733333333333333,0.8333333333333334,0.8133333333333334,0.8066666666666666,0.84,0.7733333333333333,0.82,0.8266666666666667,0.7266666666666667,0.82,0.8066666666666666,0.78,0.82,0.82,0.8133333333333334,0.8133333333333334,0.78
BeefTruncStart,0.4,0.5,0.5333333333333333,0.4666666666666667,0.5,0.43333333333333335,0.6,0.4,0.4666666666666667,0.5333333333333333,0.43333333333333335,0.5666666666666667,0.5,0.36666666666666664,0.5333333333333333,0.3333333333333333,0.43333333333333335,0.4,0.43333333333333335,0.4666666666666667,0.36666666666666664,0.5333333333333333,0.3333333333333333,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.5
BeetleFlyTruncEnd,0.9,0.9,0.9,0.85,0.9,0.8,0.8,0.85,0.9,0.95,0.85,0.9,0.6,0.75,1.0,0.95,0.85,0.7,0.85,0.95,0.85,0.8,0.95,0.8,0.7,0.85,0.95,0.85,0.8,0.85
BirdChickenTruncEnd,0.9,0.9,0.9,1.0,0.95,0.9,1.0,0.95,0.95,0.85,0.9,0.95,0.85,0.9,0.95,0.95,0.75,0.95,0.95,1.0,0.9,0.85,0.9,1.0,0.95,0.75,0.95,0.85,0.95,0.95
CBFTruncEnd,0.9144444444444444,0.8977777777777778,0.9188888888888889,0.91,0.9055555555555556,0.9122222222222223,0.9422222222222222,0.9066666666666666,0.9311111111111111,0.9244444444444444,0.9266666666666666,0.9088888888888889,0.9188888888888889,0.9211111111111111,0.9211111111111111,0.9177777777777778,0.8911111111111111,0.92,0.9066666666666666,0.9366666666666666,0.9377777777777778,0.8911111111111111,0.9133333333333333,0.9088888888888889,0.9277777777777778,0.9044444444444445,0.9511111111111111,0.9355555555555556,0.8988888888888888,0.93
CarTruncEnd,0.8166666666666667,0.85,0.8166666666666667,0.8,0.8,0.8833333333333333,0.8166666666666667,0.75,0.8166666666666667,0.7833333333333333,0.7666666666666667,0.75,0.75,0.8166666666666667,0.85,0.6666666666666666,0.8166666666666667,0.75,0.8333333333333334,0.8,0.8,0.75,0.8333333333333334,0.8,0.8333333333333334,0.8166666666666667,0.7666666666666667,0.8,0.7833333333333333,0.85
ChinatownTruncEnd,0.9591836734693877,0.9037900874635568,0.956268221574344,0.9504373177842566,0.8775510204081632,0.9825072886297376,0.924198250728863,0.892128279883382,0.9795918367346939,0.9300291545189504,0.8746355685131195,0.7580174927113703,0.924198250728863,0.9591836734693877,0.8571428571428571,0.7084548104956269,0.9329446064139941,0.9795918367346939,0.9446064139941691,0.8483965014577259,0.8279883381924198,0.9766763848396501,0.9708454810495627,0.892128279883382,0.8658892128279884,0.9300291545189504,0.956268221574344,0.8775510204081632,0.8571428571428571,0.9620991253644315
