Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.33,0.36,0.37,0.23,0.33,0.29,0.3,0.3,0.28,0.23,0.21,0.28,0.33,0.31,0.25,0.29,0.3,0.26,0.38,0.25,0.38,0.31,0.31,0.23,0.29,0.32,0.31,0.26,0.32,0.27
AdiacTruncEnd,0.45268542199488493,0.4578005115089514,0.4782608695652174,0.49104859335038364,0.4578005115089514,0.47058823529411764,0.46547314578005117,0.5063938618925832,0.49872122762148335,0.4296675191815857,0.45524296675191817,0.4859335038363171,0.45012787723785164,0.4884910485933504,0.46547314578005117,0.4629156010230179,0.44501278772378516,0.48081841432225064,0.44501278772378516,0.44501278772378516,0.46035805626598464,0.4578005115089514,0.4936061381074169,0.46547314578005117,0.4782608695652174,0.5242966751918159,0.5089514066496164,0.46547314578005117,0.44501278772378516,0.44501278772378516
ArrowHeadTruncEnd,0.6057142857142858,0.6971428571428572,0.6342857142857142,0.7028571428571428,0.6114285714285714,0.7657142857142857,0.5485714285714286,0.6514285714285715,0.7257142857142858,0.6914285714285714,0.6057142857142858,0.6514285714285715,0.7085714285714285,0.6628571428571428,0.6171428571428571,0.6514285714285715,0.6228571428571429,0.6342857142857142,0.5657142857142857,0.72,0.6628571428571428,0.7028571428571428,0.6914285714285714,0.6571428571428571,0.7142857142857143,0.5771428571428572,0.6228571428571429,0.7085714285714285,0.7314285714285714,0.7542857142857143
BMETruncEnd,0.7666666666666667,0.78,0.7933333333333333,0.8066666666666666,0.7466666666666667,0.78,0.8333333333333334,0.8266666666666667,0.8533333333333334,0.8266666666666667,0.84,0.7933333333333333,0.86,0.8266666666666667,0.8066666666666666,0.8133333333333334,0.7866666666666666,0.8333333333333334,0.78,0.82,0.7933333333333333,0.8733333333333333,0.7666666666666667,0.8466666666666667,0.84,0.8133333333333334,0.8266666666666667,0.8266666666666667,0.7933333333333333,0.84
BeefTruncStart,0.3333333333333333,0.3333333333333333,0.4,0.36666666666666664,0.36666666666666664,0.5333333333333333,0.36666666666666664,0.4,0.26666666666666666,0.4,0.3333333333333333,0.43333333333333335,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.36666666666666664,0.36666666666666664,0.26666666666666666,0.3,0.4,0.43333333333333335,0.4,0.5,0.5333333333333333,0.3,0.4,0.36666666666666664,0.43333333333333335
BeetleFlyTruncEnd,0.6,0.6,0.8,0.55,0.7,0.65,0.55,0.65,0.6,0.6,0.55,0.7,0.45,0.6,0.65,0.55,0.65,0.65,0.65,0.7,0.55,0.7,0.65,0.6,0.6,0.6,0.7,0.65,0.45,0.5
BirdChickenTruncEnd,0.8,0.8,0.8,0.85,0.75,0.75,0.85,0.9,0.75,0.85,0.8,0.75,0.65,0.85,0.9,0.7,0.65,0.8,0.8,0.95,0.7,0.7,0.65,0.8,0.85,0.8,0.85,0.8,0.75,0.8
CBFTruncEnd,0.91,0.85,0.9422222222222222,0.8911111111111111,0.92,0.9133333333333333,0.9544444444444444,0.8511111111111112,0.91,0.9,0.9133333333333333,0.8933333333333333,0.8422222222222222,0.9522222222222222,0.9055555555555556,0.88,0.9088888888888889,0.9211111111111111,0.9122222222222223,0.9288888888888889,0.9311111111111111,0.9033333333333333,0.9411111111111111,0.8866666666666667,0.9122222222222223,0.9122222222222223,0.9544444444444444,0.94,0.84,0.9577777777777777
CarTruncEnd,0.6833333333333333,0.75,0.7666666666666667,0.6833333333333333,0.65,0.6666666666666666,0.7166666666666667,0.6666666666666666,0.7333333333333333,0.7166666666666667,0.7833333333333333,0.7333333333333333,0.6666666666666666,0.6833333333333333,0.7166666666666667,0.7166666666666667,0.75,0.65,0.7333333333333333,0.7166666666666667,0.6833333333333333,0.7166666666666667,0.6333333333333333,0.7333333333333333,0.6833333333333333,0.7333333333333333,0.6833333333333333,0.65,0.7333333333333333,0.7666666666666667
ChinatownTruncEnd,0.9766763848396501,0.956268221574344,0.9650145772594753,0.9300291545189504,0.9504373177842566,0.9591836734693877,0.9650145772594753,0.9067055393586005,0.9533527696793003,0.9708454810495627,0.9154518950437318,0.8221574344023324,0.9591836734693877,0.967930029154519,0.9504373177842566,0.7755102040816326,0.9650145772594753,0.967930029154519,0.9475218658892128,0.880466472303207,0.9329446064139941,0.9533527696793003,0.9504373177842566,0.9650145772594753,0.9446064139941691,0.9650145772594753,0.956268221574344,0.9212827988338192,0.9504373177842566,0.967930029154519
ChlorineConcentrationTruncStart,0.4940104166666667,0.503125,0.5140625,0.51640625,0.4901041666666667,0.5111979166666667,0.50546875,0.5130208333333334,0.51484375,0.5109375,0.5046875,0.5197916666666667,0.4947916666666667,0.50859375,0.4786458333333333,0.5046875,0.5125,0.51015625,0.5190104166666667,0.51328125,0.5203125,0.5010416666666667,0.5111979166666667,0.51484375,0.5161458333333333,0.5111979166666667,0.4908854166666667,0.5033854166666667,0.5065104166666666,0.5161458333333333
CinCECGTorsoTruncEnd,0.7036231884057971,0.7188405797101449,0.7724637681159421,0.6942028985507246,0.7275362318840579,0.6884057971014492,0.7021739130434783,0.6028985507246377,0.7471014492753624,0.6992753623188406,0.717391304347826,0.6608695652173913,0.7405797101449275,0.6550724637681159,0.6021739130434782,0.6384057971014493,0.6949275362318841,0.6695652173913044,0.7021739130434783,0.6768115942028986,0.6876811594202898,0.7065217391304348,0.6673913043478261,0.6840579710144927,0.7260869565217392,0.6804347826086956,0.677536231884058,0.6942028985507246,0.7507246376811594,0.6572463768115943
CoffeeTruncStart,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.9642857142857143,1.0,0.9642857142857143,1.0,0.9642857142857143,0.8214285714285714,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9642857142857143,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
ComputersTruncStart,0.752,0.804,0.804,0.816,0.788,0.8,0.796,0.808,0.78,0.808,0.832,0.808,0.812,0.808,0.82,0.832,0.736,0.788,0.8,0.764,0.78,0.812,0.808,0.776,0.788,0.836,0.808,0.78,0.768,0.8
CricketXTruncEnd,0.658974358974359,0.676923076923077,0.6358974358974359,0.6846153846153846,0.676923076923077,0.6717948717948717,0.6820512820512821,0.6692307692307692,0.6410256410256411,0.6615384615384615,0.6743589743589744,0.6717948717948717,0.6897435897435897,0.6487179487179487,0.6717948717948717,0.6512820512820513,0.6692307692307692,0.6615384615384615,0.7025641025641025,0.6410256410256411,0.6615384615384615,0.6897435897435897,0.6512820512820513,0.6538461538461539,0.6512820512820513,0.6820512820512821,0.6666666666666666,0.6717948717948717,0.6641025641025641,0.676923076923077
CricketYTruncEnd,0.7025641025641025,0.6461538461538462,0.6487179487179487,0.6948717948717948,0.6564102564102564,0.6410256410256411,0.6666666666666666,0.676923076923077,0.6538461538461539,0.6487179487179487,0.6615384615384615,0.6846153846153846,0.6666666666666666,0.6923076923076923,0.6615384615384615,0.7051282051282052,0.6435897435897436,0.6717948717948717,0.676923076923077,0.6743589743589744,0.6923076923076923,0.7025641025641025,0.7051282051282052,0.6717948717948717,0.6641025641025641,0.6205128205128205,0.6487179487179487,0.6692307692307692,0.7,0.6871794871794872
CricketZTruncEnd,0.6743589743589744,0.7153846153846154,0.6794871794871795,0.7051282051282052,0.6666666666666666,0.6820512820512821,0.7307692307692307,0.6871794871794872,0.6923076923076923,0.6974358974358974,0.6897435897435897,0.6923076923076923,0.7025641025641025,0.7128205128205128,0.7076923076923077,0.717948717948718,0.6846153846153846,0.6692307692307692,0.7,0.6358974358974359,0.7025641025641025,0.6820512820512821,0.6974358974358974,0.7025641025641025,0.7102564102564103,0.676923076923077,0.6974358974358974,0.6615384615384615,0.676923076923077,0.7
CropTruncEnd,0.62375,0.6248809523809524,0.6242857142857143,0.6189285714285714,0.6194047619047619,0.6198809523809524,0.6195238095238095,0.6210119047619047,0.6225,0.6256547619047619,0.6207142857142857,0.6196428571428572,0.6190476190476191,0.622202380952381,0.6261904761904762,0.6256547619047619,0.62,0.6232738095238095,0.6220833333333333,0.6219642857142857,0.6214880952380952,0.6254166666666666,0.6229166666666667,0.6210714285714286,0.6198214285714285,0.6242261904761904,0.6220238095238095,0.6232142857142857,0.6244047619047619,0.6205357142857143
DiatomSizeReductionTruncEnd,0.5947712418300654,0.7026143790849673,0.46078431372549017,0.7254901960784313,0.5882352941176471,0.5882352941176471,0.6862745098039216,0.6111111111111112,0.7189542483660131,0.696078431372549,0.6633986928104575,0.565359477124183,0.7941176470588235,0.6928104575163399,0.7581699346405228,0.7026143790849673,0.6862745098039216,0.673202614379085,0.7026143790849673,0.6764705882352942,0.6895424836601307,0.8235294117647058,0.6699346405228758,0.6666666666666666,0.7156862745098039,0.6078431372549019,0.46405228758169936,0.5980392156862745,0.6013071895424836,0.7091503267973857
DistalPhalanxOutlineAgeGroupTruncStart,0.7553956834532374,0.7985611510791367,0.7985611510791367,0.7697841726618705,0.7410071942446043,0.8057553956834532,0.7841726618705036,0.7769784172661871,0.7985611510791367,0.7697841726618705,0.762589928057554,0.7769784172661871,0.7553956834532374,0.7553956834532374,0.7338129496402878,0.8201438848920863,0.8273381294964028,0.8057553956834532,0.762589928057554,0.7482014388489209,0.7697841726618705,0.8273381294964028,0.7913669064748201,0.8057553956834532,0.7913669064748201,0.8273381294964028,0.7985611510791367,0.7769784172661871,0.7266187050359713,0.7841726618705036
DistalPhalanxOutlineCorrectTruncStart,0.7355072463768116,0.782608695652174,0.782608695652174,0.8115942028985508,0.782608695652174,0.782608695652174,0.7572463768115942,0.7717391304347826,0.7934782608695652,0.7681159420289855,0.7717391304347826,0.8115942028985508,0.7644927536231884,0.7572463768115942,0.7572463768115942,0.8007246376811594,0.7898550724637681,0.7717391304347826,0.7644927536231884,0.7971014492753623,0.7717391304347826,0.7934782608695652,0.7572463768115942,0.7753623188405797,0.7789855072463768,0.7644927536231884,0.8079710144927537,0.7934782608695652,0.75,0.7608695652173914
DistalPhalanxTWTruncStart,0.7050359712230215,0.6906474820143885,0.6834532374100719,0.6834532374100719,0.6258992805755396,0.7050359712230215,0.6906474820143885,0.7122302158273381,0.6834532374100719,0.6618705035971223,0.6834532374100719,0.6618705035971223,0.6834532374100719,0.697841726618705,0.6762589928057554,0.7050359712230215,0.6618705035971223,0.7050359712230215,0.6762589928057554,0.6834532374100719,0.7122302158273381,0.6906474820143885,0.6906474820143885,0.7122302158273381,0.7122302158273381,0.6906474820143885,0.6474820143884892,0.6474820143884892,0.6330935251798561,0.6546762589928058
ECG200TruncEnd,0.82,0.87,0.7,0.85,0.76,0.76,0.83,0.75,0.84,0.82,0.79,0.89,0.82,0.79,0.86,0.87,0.77,0.87,0.79,0.78,0.82,0.81,0.86,0.81,0.83,0.81,0.8,0.81,0.86,0.81
ECG5000TruncStart,0.9375555555555556,0.9402222222222222,0.94,0.9371111111111111,0.9357777777777778,0.9366666666666666,0.9424444444444444,0.934,0.9404444444444444,0.9386666666666666,0.9384444444444444,0.9413333333333334,0.9375555555555556,0.9366666666666666,0.9351111111111111,0.9391111111111111,0.9344444444444444,0.94,0.9393333333333334,0.9386666666666666,0.9344444444444444,0.9373333333333334,0.9368888888888889,0.9366666666666666,0.9328888888888889,0.9393333333333334,0.9337777777777778,0.9395555555555556,0.9395555555555556,0.94
ECGFiveDaysTruncStart,0.8048780487804879,0.7793263646922184,0.8118466898954704,0.8699186991869918,0.8002322880371661,0.8641114982578397,0.8397212543554007,0.7967479674796748,0.859465737514518,0.778164924506388,0.8873403019744484,0.8606271777003485,0.6747967479674797,0.7746806039488966,0.7560975609756098,0.8559814169570267,0.7839721254355401,0.9140534262485482,0.7084785133565621,0.8896631823461092,0.7677119628339141,0.8861788617886179,0.867595818815331,0.8281068524970964,0.7955865272938444,0.8013937282229965,0.8385598141695703,0.859465737514518,0.8199767711962834,0.7990708478513356
EOGHorizontalSignalTruncEnd,0.5220994475138122,0.6878453038674033,0.6657458563535912,0.6850828729281768,0.6740331491712708,0.6850828729281768,0.6712707182320442,0.6712707182320442,0.6657458563535912,0.6657458563535912,0.6795580110497238,0.6657458563535912,0.6795580110497238,0.6325966850828729,0.6767955801104972,0.6823204419889503,0.6740331491712708,0.6519337016574586,0.6712707182320442,0.6906077348066298,0.6464088397790055,0.6546961325966851,0.6574585635359116,0.6712707182320442,0.649171270718232,0.6988950276243094,0.6353591160220995,0.6464088397790055,0.6602209944751382,0.6574585635359116
EOGVerticalSignalTruncEnd,0.425414364640884,0.5883977900552486,0.6243093922651933,0.6325966850828729,0.6104972375690608,0.574585635359116,0.580110497237569,0.585635359116022,0.6104972375690608,0.6187845303867403,0.5994475138121547,0.5883977900552486,0.6077348066298343,0.5828729281767956,0.6160220994475138,0.6215469613259669,0.6160220994475138,0.5414364640883977,0.6243093922651933,0.6160220994475138,0.5966850828729282,0.5580110497237569,0.6022099447513812,0.5911602209944752,0.569060773480663,0.6243093922651933,0.5607734806629834,0.5607734806629834,0.5911602209944752,0.6077348066298343
EarthquakesTruncStart,0.7050359712230215,0.7410071942446043,0.762589928057554,0.762589928057554,0.7338129496402878,0.7482014388489209,0.7266187050359713,0.7482014388489209,0.7553956834532374,0.7553956834532374,0.7410071942446043,0.762589928057554,0.7482014388489209,0.7553956834532374,0.7266187050359713,0.762589928057554,0.7410071942446043,0.7266187050359713,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7769784172661871,0.7482014388489209,0.7482014388489209,0.7553956834532374,0.7553956834532374,0.7482014388489209,0.7697841726618705
ElectricDevicesTruncStart,0.6814939696537414,0.8145506419400856,0.8074179743223966,0.8092335624432628,0.8146803268058618,0.8089741927117106,0.8078070289197251,0.8122163143561146,0.8136428478796525,0.81169757489301,0.8123459992218908,0.8119569446245624,0.81169757489301,0.8054727013357541,0.8135131630138763,0.8145506419400856,0.8148100116716379,0.8080663986512774,0.8001556218389314,0.8123459992218908,0.8123459992218908,0.8118272597587861,0.8110491505641292,0.8070289197250681,0.8131241084165478,0.8127350538192193,0.810919465698353,0.8105304111010245,0.8128647386849954,0.8129944235507717
EthanolLevelTruncEnd,0.354,0.416,0.39,0.386,0.448,0.408,0.434,0.44,0.422,0.4,0.412,0.41,0.414,0.418,0.404,0.426,0.436,0.412,0.426,0.422,0.416,0.448,0.402,0.386,0.402,0.422,0.454,0.42,0.394,0.382
FaceAllTruncEnd,0.850887573964497,0.8852071005917159,0.8905325443786982,0.8970414201183432,0.8816568047337278,0.8857988165680474,0.8834319526627219,0.8857988165680474,0.8804733727810651,0.8970414201183432,0.8928994082840237,0.8781065088757396,0.8781065088757396,0.8668639053254438,0.8751479289940829,0.8958579881656805,0.8798816568047337,0.8893491124260355,0.8857988165680474,0.8828402366863906,0.8881656804733727,0.8804733727810651,0.8881656804733727,0.8798816568047337,0.9035502958579882,0.8875739644970414,0.8704142011834319,0.9005917159763314,0.8964497041420119,0.8970414201183432
FaceFourTruncEnd,0.5340909090909091,0.6477272727272727,0.6477272727272727,0.6818181818181818,0.6363636363636364,0.6590909090909091,0.5227272727272727,0.5568181818181818,0.6136363636363636,0.6477272727272727,0.625,0.7045454545454546,0.625,0.6931818181818182,0.6704545454545454,0.6931818181818182,0.6477272727272727,0.6704545454545454,0.6818181818181818,0.6818181818181818,0.7386363636363636,0.7386363636363636,0.5568181818181818,0.5568181818181818,0.6363636363636364,0.6477272727272727,0.6931818181818182,0.5227272727272727,0.6590909090909091,0.6022727272727273
FacesUCRTruncStart,0.7146341463414634,0.7112195121951219,0.7258536585365853,0.7385365853658536,0.7219512195121951,0.7268292682926829,0.7151219512195122,0.7273170731707317,0.7526829268292683,0.6995121951219512,0.7478048780487805,0.7360975609756097,0.7326829268292683,0.7102439024390244,0.7263414634146341,0.6917073170731707,0.7468292682926829,0.7209756097560975,0.697560975609756,0.7097560975609756,0.7229268292682927,0.7336585365853658,0.7239024390243902,0.7282926829268292,0.7039024390243902,0.7009756097560975,0.724390243902439,0.744390243902439,0.7317073170731707,0.7258536585365853
FiftyWordsTruncEnd,0.5186813186813187,0.5274725274725275,0.5362637362637362,0.5076923076923077,0.5318681318681319,0.5098901098901099,0.5714285714285714,0.512087912087912,0.5164835164835165,0.5296703296703297,0.5230769230769231,0.5318681318681319,0.5296703296703297,0.5098901098901099,0.5362637362637362,0.5384615384615384,0.5648351648351648,0.5098901098901099,0.5472527472527473,0.5340659340659341,0.5098901098901099,0.5186813186813187,0.4879120879120879,0.5252747252747253,0.5032967032967033,0.5384615384615384,0.5296703296703297,0.545054945054945,0.5582417582417583,0.5252747252747253
FishTruncEnd,0.88,0.9028571428571428,0.8628571428571429,0.8457142857142858,0.8514285714285714,0.8628571428571429,0.8857142857142857,0.8628571428571429,0.88,0.8685714285714285,0.8571428571428571,0.9028571428571428,0.8971428571428571,0.8742857142857143,0.8685714285714285,0.8857142857142857,0.8628571428571429,0.8685714285714285,0.8685714285714285,0.8742857142857143,0.8685714285714285,0.8514285714285714,0.8342857142857143,0.8914285714285715,0.8742857142857143,0.8457142857142858,0.88,0.9028571428571428,0.84,0.8571428571428571
