Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.79,0.73,0.66,0.7,0.57,0.69,0.7,0.68,0.65,0.69,0.68,0.65,0.67,0.74,0.71,0.66,0.64,0.71,0.7,0.68,0.69,0.77,0.73,0.69,0.71,0.65,0.62,0.71,0.66,0.63
AdiacTruncEnd,0.7007672634271099,0.690537084398977,0.6777493606138107,0.6956521739130435,0.6956521739130435,0.7084398976982097,0.6854219948849105,0.6854219948849105,0.7084398976982097,0.6777493606138107,0.6726342710997443,0.6982097186700768,0.6956521739130435,0.680306905370844,0.6956521739130435,0.6879795396419437,0.7186700767263428,0.7084398976982097,0.6777493606138107,0.659846547314578,0.680306905370844,0.6777493606138107,0.7237851662404092,0.710997442455243,0.7365728900255755,0.680306905370844,0.6854219948849105,0.6956521739130435,0.639386189258312,0.7135549872122762
ArrowHeadTruncEnd,0.6971428571428572,0.7542857142857143,0.76,0.8342857142857143,0.7542857142857143,0.7771428571428571,0.7028571428571428,0.6914285714285714,0.7942857142857143,0.7771428571428571,0.7257142857142858,0.7314285714285714,0.76,0.7485714285714286,0.7657142857142857,0.7485714285714286,0.6057142857142858,0.7142857142857143,0.7142857142857143,0.7542857142857143,0.7542857142857143,0.7942857142857143,0.7714285714285715,0.76,0.7828571428571428,0.7371428571428571,0.6914285714285714,0.7771428571428571,0.7828571428571428,0.7371428571428571
BMETruncEnd,0.8,0.7666666666666667,0.8066666666666666,0.7866666666666666,0.8133333333333334,0.7733333333333333,0.8333333333333334,0.8333333333333334,0.8066666666666666,0.86,0.8133333333333334,0.8266666666666667,0.86,0.8133333333333334,0.84,0.82,0.7733333333333333,0.8333333333333334,0.78,0.8066666666666666,0.8,0.86,0.7866666666666666,0.8333333333333334,0.7933333333333333,0.82,0.7933333333333333,0.7933333333333333,0.8066666666666666,0.8
BeefTruncStart,0.36666666666666664,0.43333333333333335,0.36666666666666664,0.5,0.26666666666666666,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3,0.36666666666666664,0.3,0.26666666666666666,0.3,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.4,0.36666666666666664,0.3,0.4,0.3,0.43333333333333335,0.4,0.43333333333333335,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.3333333333333333
BeetleFlyTruncEnd,0.7,0.75,0.9,0.55,0.9,0.8,0.7,0.75,0.85,0.75,0.7,0.85,0.7,0.75,0.6,0.65,0.7,0.7,0.85,0.5,0.8,0.85,0.85,0.65,0.75,0.75,0.75,0.7,0.55,0.8
BirdChickenTruncEnd,0.9,0.75,0.9,0.9,0.85,0.9,0.95,0.85,0.85,0.95,0.7,1.0,0.8,0.95,0.85,0.95,0.65,0.9,0.5,0.9,1.0,0.85,0.9,0.75,0.8,0.65,0.95,0.75,0.85,0.7
CBFTruncEnd,0.9544444444444444,0.9588888888888889,0.9566666666666667,0.9388888888888889,0.9222222222222223,0.9244444444444444,0.9422222222222222,0.8077777777777778,0.9722222222222222,0.9144444444444444,0.9544444444444444,0.9011111111111111,0.9133333333333333,0.9544444444444444,0.95,0.9011111111111111,0.89,0.9211111111111111,0.9666666666666667,0.9177777777777778,0.9555555555555556,0.93,0.9577777777777777,0.9344444444444444,0.9455555555555556,0.9477777777777778,0.9677777777777777,0.9622222222222222,0.9311111111111111,0.9555555555555556
CarTruncEnd,0.7666666666666667,0.7666666666666667,0.8333333333333334,0.75,0.75,0.7333333333333333,0.8333333333333334,0.7333333333333333,0.7666666666666667,0.7,0.7833333333333333,0.8166666666666667,0.6833333333333333,0.7666666666666667,0.8,0.7833333333333333,0.8333333333333334,0.6333333333333333,0.7166666666666667,0.8166666666666667,0.8166666666666667,0.7333333333333333,0.8166666666666667,0.8166666666666667,0.7833333333333333,0.75,0.7166666666666667,0.7833333333333333,0.8,0.8166666666666667
ChinatownTruncEnd,0.9795918367346939,0.9708454810495627,0.9825072886297376,0.9737609329446064,0.9795918367346939,0.9737609329446064,0.9708454810495627,0.9620991253644315,0.9795918367346939,0.9795918367346939,0.967930029154519,0.956268221574344,0.9766763848396501,0.9708454810495627,0.9708454810495627,0.9387755102040817,0.9737609329446064,0.9766763848396501,0.9795918367346939,0.9708454810495627,0.9533527696793003,0.9766763848396501,0.9825072886297376,0.9737609329446064,0.9766763848396501,0.9620991253644315,0.9795918367346939,0.9766763848396501,0.9737609329446064,0.9795918367346939
ChlorineConcentrationTruncStart,0.5247395833333334,0.5356770833333333,0.5403645833333334,0.54140625,0.5223958333333333,0.5401041666666667,0.5388020833333333,0.5341145833333333,0.5427083333333333,0.546875,0.52890625,0.5471354166666667,0.5265625,0.5432291666666667,0.52578125,0.5473958333333333,0.5416666666666666,0.5484375,0.5513020833333333,0.5388020833333333,0.5380208333333333,0.54765625,0.5421875,0.5341145833333333,0.5463541666666667,0.5317708333333333,0.5390625,0.5315104166666667,0.5309895833333333,0.553125
CinCECGTorsoTruncEnd,0.8623188405797102,0.8797101449275362,0.8666666666666667,0.8,0.8246376811594203,0.8630434782608696,0.85,0.8478260869565217,0.8876811594202898,0.8384057971014492,0.868840579710145,0.8485507246376811,0.8702898550724638,0.7760869565217391,0.8717391304347826,0.7594202898550725,0.7420289855072464,0.7934782608695652,0.8210144927536231,0.9094202898550725,0.8543478260869565,0.8050724637681159,0.8478260869565217,0.9057971014492754,0.8623188405797102,0.8202898550724638,0.8963768115942029,0.8731884057971014,0.8934782608695652,0.8891304347826087
CoffeeTruncStart,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.8928571428571429,0.8214285714285714,0.8928571428571429,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.8214285714285714,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9285714285714286
ComputersTruncStart,0.728,0.752,0.824,0.796,0.756,0.76,0.784,0.804,0.788,0.836,0.772,0.8,0.796,0.78,0.784,0.808,0.8,0.788,0.772,0.784,0.78,0.768,0.812,0.8,0.732,0.808,0.768,0.788,0.74,0.776
CricketXTruncEnd,0.6641025641025641,0.6615384615384615,0.6410256410256411,0.6564102564102564,0.6743589743589744,0.6461538461538462,0.6897435897435897,0.6820512820512821,0.6794871794871795,0.6384615384615384,0.6641025641025641,0.6794871794871795,0.7256410256410256,0.6410256410256411,0.6615384615384615,0.6871794871794872,0.6692307692307692,0.676923076923077,0.6692307692307692,0.6487179487179487,0.6794871794871795,0.676923076923077,0.6538461538461539,0.6512820512820513,0.658974358974359,0.6358974358974359,0.6230769230769231,0.676923076923077,0.6641025641025641,0.6307692307692307
