Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.68,0.65,0.62,0.57,0.62,0.64,0.63,0.56,0.52,0.58,0.66,0.61,0.71,0.64,0.68,0.6,0.51,0.6,0.71,0.6,0.66,0.63,0.58,0.6,0.67,0.57,0.64,0.58,0.65,0.52
AdiacTruncEnd,0.4398976982097187,0.42455242966751916,0.38107416879795397,0.43478260869565216,0.4194373401534527,0.41687979539641945,0.4296675191815857,0.44501278772378516,0.44501278772378516,0.3989769820971867,0.43478260869565216,0.43478260869565216,0.391304347826087,0.4475703324808184,0.4194373401534527,0.4322250639386189,0.41687979539641945,0.44501278772378516,0.38618925831202044,0.3887468030690537,0.4040920716112532,0.3989769820971867,0.46035805626598464,0.4143222506393862,0.43478260869565216,0.47570332480818417,0.45012787723785164,0.4143222506393862,0.3989769820971867,0.37595907928388744
ArrowHeadTruncEnd,0.5085714285714286,0.5885714285714285,0.5428571428571428,0.6,0.56,0.6171428571428571,0.45714285714285713,0.5771428571428572,0.5257142857142857,0.56,0.5085714285714286,0.5428571428571428,0.56,0.5942857142857143,0.5142857142857142,0.6057142857142858,0.45714285714285713,0.5314285714285715,0.5485714285714286,0.5714285714285714,0.5314285714285715,0.6171428571428571,0.6685714285714286,0.6285714285714286,0.5314285714285715,0.6057142857142858,0.4114285714285714,0.6685714285714286,0.5485714285714286,0.6228571428571429
BMETruncEnd,0.7866666666666666,0.7333333333333333,0.7733333333333333,0.82,0.7733333333333333,0.7866666666666666,0.7666666666666667,0.78,0.8266666666666667,0.84,0.82,0.78,0.8,0.82,0.8,0.8,0.78,0.7266666666666667,0.7666666666666667,0.8333333333333334,0.78,0.84,0.7733333333333333,0.7933333333333333,0.8266666666666667,0.7666666666666667,0.8266666666666667,0.8266666666666667,0.7733333333333333,0.82
BeefTruncStart,0.36666666666666664,0.26666666666666666,0.3333333333333333,0.5666666666666667,0.3333333333333333,0.4,0.3333333333333333,0.43333333333333335,0.36666666666666664,0.36666666666666664,0.3,0.4,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.3,0.3333333333333333,0.2,0.16666666666666666,0.36666666666666664,0.23333333333333334,0.4,0.5,0.4,0.3,0.36666666666666664,0.3333333333333333,0.36666666666666664
BeetleFlyTruncEnd,0.55,0.6,0.6,0.6,0.7,0.6,0.5,0.7,0.6,0.65,0.55,0.7,0.45,0.55,0.65,0.6,0.55,0.7,0.75,0.65,0.8,0.5,0.75,0.55,0.65,0.7,0.6,0.6,0.4,0.7
BirdChickenTruncEnd,0.8,0.8,0.65,0.7,0.65,0.75,0.7,0.8,0.6,0.8,0.75,0.65,0.5,0.65,0.75,0.95,0.65,0.65,0.7,0.5,0.75,0.6,0.65,0.75,0.6,0.7,0.4,0.6,0.55,0.5
CBFTruncEnd,0.8633333333333333,0.81,0.8711111111111111,0.8544444444444445,0.86,0.8466666666666667,0.9022222222222223,0.7377777777777778,0.8255555555555556,0.8588888888888889,0.8977777777777778,0.8033333333333333,0.8366666666666667,0.9322222222222222,0.8666666666666667,0.8388888888888889,0.8077777777777778,0.8533333333333334,0.84,0.8744444444444445,0.8822222222222222,0.8033333333333333,0.9388888888888889,0.8022222222222222,0.8777777777777778,0.8733333333333333,0.9155555555555556,0.9166666666666666,0.8255555555555556,0.9288888888888889
CarTruncEnd,0.6666666666666666,0.6166666666666667,0.5,0.55,0.5833333333333334,0.55,0.5666666666666667,0.5333333333333333,0.6333333333333333,0.5833333333333334,0.6,0.65,0.5333333333333333,0.5333333333333333,0.6,0.5833333333333334,0.6333333333333333,0.5166666666666667,0.55,0.6333333333333333,0.6333333333333333,0.5333333333333333,0.6166666666666667,0.55,0.7,0.6833333333333333,0.48333333333333334,0.38333333333333336,0.6,0.6833333333333333
ChinatownTruncEnd,0.9737609329446064,0.9737609329446064,0.9795918367346939,0.9446064139941691,0.9766763848396501,0.9737609329446064,0.9766763848396501,0.9183673469387755,0.9737609329446064,0.9708454810495627,0.9300291545189504,0.8892128279883382,0.9620991253644315,0.9620991253644315,0.9708454810495627,0.7988338192419825,0.9620991253644315,0.9620991253644315,0.9766763848396501,0.9504373177842566,0.9533527696793003,0.9795918367346939,0.9766763848396501,0.967930029154519,0.9708454810495627,0.9533527696793003,0.9591836734693877,0.9766763848396501,0.9650145772594753,0.9620991253644315
ChlorineConcentrationTruncStart,0.52734375,0.5317708333333333,0.54296875,0.54296875,0.52109375,0.53515625,0.5458333333333333,0.53515625,0.5458333333333333,0.5419270833333333,0.5244791666666667,0.5427083333333333,0.52265625,0.5403645833333334,0.5260416666666666,0.5395833333333333,0.53984375,0.5354166666666667,0.5380208333333333,0.5356770833333333,0.5408854166666667,0.5419270833333333,0.5385416666666667,0.5276041666666667,0.5346354166666667,0.5255208333333333,0.5309895833333333,0.5333333333333333,0.5377604166666666,0.5513020833333333
CinCECGTorsoTruncEnd,0.6536231884057971,0.6833333333333333,0.6659420289855073,0.6876811594202898,0.6239130434782608,0.6384057971014493,0.6528985507246376,0.5253623188405797,0.6478260869565218,0.591304347826087,0.5927536231884057,0.5471014492753623,0.5398550724637681,0.5833333333333334,0.6789855072463769,0.6195652173913043,0.6550724637681159,0.618840579710145,0.618840579710145,0.5572463768115942,0.6086956521739131,0.6297101449275362,0.5543478260869565,0.5615942028985508,0.636231884057971,0.636231884057971,0.6536231884057971,0.6594202898550725,0.5891304347826087,0.605072463768116
CoffeeTruncStart,0.8214285714285714,0.75,0.7142857142857143,0.5357142857142857,0.6428571428571429,0.6071428571428571,0.6071428571428571,0.7142857142857143,0.6428571428571429,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.6071428571428571,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.5357142857142857,0.6785714285714286,0.75,0.7857142857142857,0.75,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.75,0.5714285714285714,0.7142857142857143
ComputersTruncStart,0.724,0.768,0.804,0.776,0.772,0.764,0.804,0.748,0.784,0.804,0.776,0.768,0.764,0.76,0.78,0.76,0.788,0.764,0.788,0.776,0.744,0.812,0.792,0.792,0.736,0.82,0.796,0.78,0.74,0.792
