Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.88,0.83,0.71,0.74,0.82,0.77,0.73,0.72,0.75,0.78,0.83,0.73,0.77,0.74,0.78,0.73,0.69,0.79,0.8,0.74,0.73,0.78,0.8,0.79,0.84,0.71,0.69,0.77,0.77,0.81
AdiacTruncEnd,0.5063938618925832,0.4731457800511509,0.5012787723785166,0.5447570332480819,0.5166240409207161,0.5396419437340153,0.5268542199488491,0.5217391304347826,0.5294117647058824,0.5549872122762148,0.4833759590792839,0.5063938618925832,0.5115089514066496,0.5063938618925832,0.5396419437340153,0.5012787723785166,0.48081841432225064,0.5140664961636828,0.45268542199488493,0.5242966751918159,0.5140664961636828,0.46035805626598464,0.5728900255754475,0.4731457800511509,0.5166240409207161,0.5063938618925832,0.5217391304347826,0.5626598465473146,0.5191815856777494,0.5421994884910486
ArrowHeadTruncEnd,0.64,0.6628571428571428,0.6514285714285715,0.7371428571428571,0.6457142857142857,0.7142857142857143,0.6514285714285715,0.6628571428571428,0.7257142857142858,0.7314285714285714,0.6857142857142857,0.8285714285714286,0.7542857142857143,0.7085714285714285,0.6857142857142857,0.7657142857142857,0.6685714285714286,0.7028571428571428,0.5828571428571429,0.7085714285714285,0.72,0.7257142857142858,0.7314285714285714,0.76,0.6914285714285714,0.6857142857142857,0.64,0.72,0.7314285714285714,0.7485714285714286
BMETruncEnd,0.84,0.8266666666666667,0.7933333333333333,0.8,0.82,0.7933333333333333,0.8133333333333334,0.84,0.82,0.84,0.82,0.8333333333333334,0.84,0.82,0.8266666666666667,0.8333333333333334,0.78,0.8333333333333334,0.8266666666666667,0.8333333333333334,0.8133333333333334,0.82,0.8133333333333334,0.86,0.7733333333333333,0.8333333333333334,0.8266666666666667,0.7866666666666666,0.8066666666666666,0.8333333333333334
BeefTruncStart,0.36666666666666664,0.26666666666666666,0.4,0.3333333333333333,0.43333333333333335,0.43333333333333335,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.26666666666666666,0.36666666666666664,0.3,0.26666666666666666,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.3,0.36666666666666664,0.4,0.3,0.5,0.3,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.43333333333333335
BeetleFlyTruncEnd,0.85,0.85,0.85,0.85,0.95,0.75,0.7,0.8,0.85,0.7,0.65,0.85,0.7,0.8,0.95,0.85,0.8,0.8,0.85,0.9,0.85,0.7,0.9,0.7,0.7,0.85,0.8,0.75,0.8,0.75
BirdChickenTruncEnd,0.85,0.85,0.9,0.8,0.85,0.9,1.0,0.75,0.85,1.0,0.7,0.95,0.95,0.9,0.9,1.0,0.65,0.85,0.9,0.95,0.9,0.75,0.75,0.95,0.95,0.85,1.0,0.7,0.9,0.75
CBFTruncEnd,0.9255555555555556,0.9111111111111111,0.9433333333333334,0.9022222222222223,0.9488888888888889,0.9377777777777778,0.9311111111111111,0.8433333333333334,0.9644444444444444,0.92,0.9311111111111111,0.9,0.8944444444444445,0.9311111111111111,0.9511111111111111,0.9055555555555556,0.8888888888888888,0.9255555555555556,0.9633333333333334,0.9088888888888889,0.9411111111111111,0.9122222222222223,0.9555555555555556,0.9366666666666666,0.9444444444444444,0.94,0.9566666666666667,0.9366666666666666,0.8911111111111111,0.9188888888888889
CarTruncEnd,0.75,0.8666666666666667,0.8166666666666667,0.8333333333333334,0.8333333333333334,0.8833333333333333,0.8666666666666667,0.8166666666666667,0.8333333333333334,0.8,0.9,0.8333333333333334,0.7666666666666667,0.8166666666666667,0.9,0.7666666666666667,0.8666666666666667,0.8833333333333333,0.7833333333333333,0.9166666666666666,0.7833333333333333,0.7833333333333333,0.8333333333333334,0.85,0.8,0.8,0.8833333333333333,0.85,0.85,0.8833333333333333
ChinatownTruncEnd,0.9650145772594753,0.9766763848396501,0.9504373177842566,0.9620991253644315,0.9154518950437318,0.9766763848396501,0.9650145772594753,0.9183673469387755,0.9795918367346939,0.9708454810495627,0.9154518950437318,0.8192419825072886,0.9387755102040817,0.9650145772594753,0.8658892128279884,0.7813411078717201,0.9183673469387755,0.9650145772594753,0.9766763848396501,0.8892128279883382,0.8338192419825073,0.9504373177842566,0.9766763848396501,0.9154518950437318,0.9037900874635568,0.924198250728863,0.967930029154519,0.8950437317784257,0.880466472303207,0.9271137026239067
