Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.35,0.34,0.32,0.25,0.29,0.29,0.29,0.33,0.27,0.29,0.24,0.22,0.32,0.28,0.3,0.32,0.25,0.26,0.31,0.25,0.33,0.32,0.27,0.27,0.27,0.32,0.35,0.26,0.3,0.28
AdiacTruncEnd,0.44501278772378516,0.4040920716112532,0.4475703324808184,0.43478260869565216,0.4219948849104859,0.4117647058823529,0.4296675191815857,0.45268542199488493,0.4680306905370844,0.4296675191815857,0.42455242966751916,0.4680306905370844,0.3938618925831202,0.4117647058823529,0.39641943734015345,0.4296675191815857,0.4092071611253197,0.43478260869565216,0.43478260869565216,0.4143222506393862,0.4322250639386189,0.4322250639386189,0.4424552429667519,0.4143222506393862,0.4143222506393862,0.4296675191815857,0.4424552429667519,0.4322250639386189,0.40153452685422,0.4424552429667519
ArrowHeadTruncEnd,0.6285714285714286,0.6571428571428571,0.6228571428571429,0.72,0.5771428571428572,0.72,0.6228571428571429,0.6857142857142857,0.7085714285714285,0.7314285714285714,0.5828571428571429,0.64,0.7257142857142858,0.6685714285714286,0.6171428571428571,0.6285714285714286,0.6,0.6514285714285715,0.5428571428571428,0.7314285714285714,0.6514285714285715,0.7371428571428571,0.6742857142857143,0.7085714285714285,0.7314285714285714,0.5885714285714285,0.6228571428571429,0.7142857142857143,0.6685714285714286,0.72
BMETruncEnd,0.82,0.7733333333333333,0.7333333333333333,0.78,0.7466666666666667,0.7733333333333333,0.78,0.7933333333333333,0.74,0.8,0.7933333333333333,0.8,0.84,0.8066666666666666,0.8333333333333334,0.8066666666666666,0.72,0.8,0.74,0.7533333333333333,0.7933333333333333,0.84,0.7466666666666667,0.8533333333333334,0.7733333333333333,0.8,0.8,0.7866666666666666,0.7733333333333333,0.7666666666666667
BeefTruncStart,0.3,0.3333333333333333,0.3333333333333333,0.4,0.36666666666666664,0.4666666666666667,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.3,0.4,0.43333333333333335,0.4,0.3333333333333333,0.4,0.3,0.3333333333333333,0.23333333333333334,0.3,0.3333333333333333,0.5,0.36666666666666664,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.3,0.36666666666666664,0.36666666666666664,0.43333333333333335
BeetleFlyTruncEnd,0.5,0.65,0.7,0.6,0.65,0.55,0.65,0.75,0.6,0.55,0.6,0.65,0.5,0.55,0.65,0.6,0.7,0.55,0.6,0.7,0.65,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.5,0.65
BirdChickenTruncEnd,0.7,0.75,0.8,0.8,0.7,0.7,0.85,0.8,0.7,0.95,0.75,0.75,0.7,0.8,0.8,0.8,0.5,0.75,0.75,0.9,0.8,0.7,0.7,0.95,0.85,0.85,0.8,0.7,0.75,0.75
CBFTruncEnd,0.8555555555555555,0.8722222222222222,0.9,0.8866666666666667,0.8955555555555555,0.8877777777777778,0.9111111111111111,0.8622222222222222,0.8988888888888888,0.8888888888888888,0.9022222222222223,0.88,0.86,0.91,0.87,0.8966666666666666,0.8855555555555555,0.9044444444444445,0.8977777777777778,0.9211111111111111,0.9166666666666666,0.8466666666666667,0.9155555555555556,0.89,0.8944444444444445,0.86,0.9388888888888889,0.9211111111111111,0.8666666666666667,0.9222222222222223
CarTruncEnd,0.75,0.85,0.8166666666666667,0.75,0.7833333333333333,0.8333333333333334,0.8833333333333333,0.7166666666666667,0.8,0.75,0.85,0.8,0.7833333333333333,0.7833333333333333,0.8166666666666667,0.7166666666666667,0.8,0.7,0.7666666666666667,0.8,0.7333333333333333,0.7666666666666667,0.8,0.85,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.85
ChinatownTruncEnd,0.9387755102040817,0.8542274052478134,0.956268221574344,0.892128279883382,0.956268221574344,0.9650145772594753,0.9212827988338192,0.8950437317784257,0.8688046647230321,0.9708454810495627,0.7376093294460642,0.7842565597667639,0.9387755102040817,0.9620991253644315,0.9183673469387755,0.7959183673469388,0.9037900874635568,0.9708454810495627,0.9504373177842566,0.9446064139941691,0.7959183673469388,0.9650145772594753,0.967930029154519,0.9475218658892128,0.8658892128279884,0.9620991253644315,0.9271137026239067,0.8629737609329446,0.8979591836734694,0.9271137026239067
