Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.45,0.48,0.46,0.38,0.41,0.39,0.35,0.42,0.28,0.41,0.36,0.42,0.4,0.38,0.46,0.4,0.36,0.33,0.45,0.4,0.37,0.47,0.45,0.42,0.4,0.42,0.44,0.43,0.39,0.37
AdiacTruncEnd,0.649616368286445,0.6265984654731458,0.6521739130434783,0.639386189258312,0.6547314578005116,0.6112531969309463,0.6342710997442456,0.6086956521739131,0.6445012787723785,0.5933503836317136,0.6419437340153452,0.6445012787723785,0.6547314578005116,0.6265984654731458,0.6214833759590793,0.6214833759590793,0.6265984654731458,0.6419437340153452,0.639386189258312,0.6214833759590793,0.6265984654731458,0.6138107416879796,0.6726342710997443,0.6317135549872123,0.6649616368286445,0.6240409207161125,0.6342710997442456,0.6419437340153452,0.5907928388746803,0.6419437340153452
ArrowHeadTruncEnd,0.7314285714285714,0.72,0.6228571428571429,0.7657142857142857,0.7828571428571428,0.7428571428571429,0.6971428571428572,0.7028571428571428,0.6914285714285714,0.7371428571428571,0.6514285714285715,0.7428571428571429,0.76,0.7314285714285714,0.7257142857142858,0.7371428571428571,0.5657142857142857,0.6514285714285715,0.6571428571428571,0.7428571428571429,0.7885714285714286,0.7885714285714286,0.6971428571428572,0.7314285714285714,0.7428571428571429,0.6628571428571428,0.7485714285714286,0.7542857142857143,0.7028571428571428,0.76
BMETruncEnd,0.7866666666666666,0.82,0.7333333333333333,0.74,0.78,0.74,0.74,0.8333333333333334,0.8133333333333334,0.8466666666666667,0.84,0.8066666666666666,0.8133333333333334,0.8,0.8333333333333334,0.8066666666666666,0.8,0.7533333333333333,0.8133333333333334,0.7933333333333333,0.7666666666666667,0.8066666666666666,0.76,0.84,0.8066666666666666,0.8133333333333334,0.76,0.74,0.8133333333333334,0.7866666666666666
BeefTruncStart,0.3,0.23333333333333334,0.16666666666666666,0.26666666666666666,0.3,0.36666666666666664,0.3,0.4,0.26666666666666666,0.23333333333333334,0.13333333333333333,0.36666666666666664,0.23333333333333334,0.2,0.36666666666666664,0.3,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.23333333333333334,0.4,0.26666666666666666,0.3,0.4,0.36666666666666664,0.3,0.2,0.26666666666666666,0.26666666666666666
BeetleFlyTruncEnd,0.7,0.45,0.35,0.45,0.45,0.35,0.4,0.7,0.5,0.5,0.45,0.35,0.65,0.5,0.4,0.35,0.55,0.45,0.7,0.7,0.5,0.4,0.5,0.55,0.5,0.55,0.45,0.55,0.5,0.5
BirdChickenTruncEnd,0.65,0.45,0.65,0.55,0.7,0.8,0.7,0.45,0.5,0.5,0.5,0.65,0.65,0.6,0.5,0.6,0.45,0.75,0.45,0.8,0.8,0.6,0.4,0.8,0.5,0.6,0.65,0.6,0.65,0.6
CBFTruncEnd,0.88,0.8233333333333334,0.8177777777777778,0.8622222222222222,0.8355555555555556,0.8855555555555555,0.8611111111111112,0.7155555555555555,0.8611111111111112,0.7711111111111111,0.8688888888888889,0.7755555555555556,0.8377777777777777,0.8333333333333334,0.8033333333333333,0.8022222222222222,0.7711111111111111,0.8033333333333333,0.8744444444444445,0.8566666666666667,0.9,0.78,0.8533333333333334,0.85,0.82,0.8744444444444445,0.8733333333333333,0.8733333333333333,0.8566666666666667,0.8488888888888889
CarTruncEnd,0.6333333333333333,0.65,0.8333333333333334,0.6833333333333333,0.85,0.6833333333333333,0.8666666666666667,0.7166666666666667,0.7,0.6833333333333333,0.8,0.5833333333333334,0.65,0.7166666666666667,0.6833333333333333,0.7166666666666667,0.7666666666666667,0.6,0.7833333333333333,0.7333333333333333,0.7666666666666667,0.75,0.65,0.7833333333333333,0.7,0.7333333333333333,0.7666666666666667,0.6833333333333333,0.6666666666666666,0.8166666666666667
ChinatownTruncEnd,0.9825072886297376,0.9854227405247813,0.9912536443148688,0.9825072886297376,0.9795918367346939,0.9825072886297376,0.9708454810495627,0.9708454810495627,0.9825072886297376,0.9854227405247813,0.9766763848396501,0.9533527696793003,0.9883381924198251,0.9795918367346939,0.9825072886297376,0.9854227405247813,0.9854227405247813,0.9854227405247813,0.9795918367346939,0.9708454810495627,0.9766763848396501,0.9825072886297376,0.9941690962099126,0.9737609329446064,0.9825072886297376,0.9737609329446064,0.9737609329446064,0.9825072886297376,0.9795918367346939,0.9854227405247813
