Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.39,0.39,0.39,0.31,0.36,0.27,0.4,0.34,0.3,0.32,0.34,0.33,0.37,0.36,0.3,0.27,0.3,0.29,0.32,0.29,0.46,0.42,0.37,0.3,0.4,0.45,0.4,0.34,0.32,0.31
AdiacTruncEnd,0.3734015345268542,0.31202046035805625,0.3452685421994885,0.3734015345268542,0.35294117647058826,0.3375959079283887,0.36061381074168797,0.3452685421994885,0.35805626598465473,0.3069053708439898,0.36061381074168797,0.36828644501278773,0.3350383631713555,0.37084398976982097,0.3631713554987212,0.33248081841432225,0.3145780051150895,0.3657289002557545,0.37851662404092073,0.340153452685422,0.3069053708439898,0.32225063938618925,0.35294117647058826,0.34271099744245526,0.3631713554987212,0.3887468030690537,0.329923273657289,0.34271099744245526,0.35294117647058826,0.3248081841432225
ArrowHeadTruncEnd,0.4228571428571429,0.5371428571428571,0.45714285714285713,0.5771428571428572,0.4742857142857143,0.5657142857142857,0.4228571428571429,0.5257142857142857,0.4057142857142857,0.5314285714285715,0.48,0.4,0.5028571428571429,0.5085714285714286,0.45714285714285713,0.5314285714285715,0.46285714285714286,0.52,0.5028571428571429,0.5371428571428571,0.5428571428571428,0.5542857142857143,0.49714285714285716,0.5142857142857142,0.52,0.49142857142857144,0.4057142857142857,0.5828571428571429,0.46285714285714286,0.5257142857142857
BMETruncEnd,0.7266666666666667,0.7666666666666667,0.7466666666666667,0.7133333333333334,0.6933333333333334,0.7466666666666667,0.7066666666666667,0.7933333333333333,0.7466666666666667,0.78,0.7866666666666666,0.76,0.7866666666666666,0.7266666666666667,0.7733333333333333,0.7666666666666667,0.7466666666666667,0.78,0.7666666666666667,0.6333333333333333,0.7733333333333333,0.74,0.7333333333333333,0.7933333333333333,0.7866666666666666,0.7733333333333333,0.78,0.7666666666666667,0.7933333333333333,0.8066666666666666
BeefTruncStart,0.3,0.26666666666666666,0.3,0.36666666666666664,0.3333333333333333,0.43333333333333335,0.36666666666666664,0.4,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.26666666666666666,0.3333333333333333,0.3,0.26666666666666666,0.23333333333333334,0.4,0.3,0.36666666666666664,0.43333333333333335,0.3,0.23333333333333334,0.3,0.23333333333333334,0.3333333333333333
BeetleFlyTruncEnd,0.4,0.45,0.55,0.5,0.5,0.55,0.4,0.7,0.45,0.5,0.4,0.35,0.35,0.65,0.45,0.4,0.6,0.4,0.3,0.45,0.35,0.45,0.45,0.45,0.55,0.5,0.55,0.45,0.4,0.55
BirdChickenTruncEnd,0.6,0.4,0.4,0.45,0.55,0.5,0.5,0.5,0.5,0.6,0.6,0.35,0.55,0.6,0.6,0.7,0.6,0.65,0.45,0.65,0.45,0.5,0.6,0.6,0.5,0.55,0.35,0.4,0.65,0.45
CBFTruncEnd,0.71,0.7088888888888889,0.7077777777777777,0.6811111111111111,0.6766666666666666,0.6722222222222223,0.7177777777777777,0.5377777777777778,0.6877777777777778,0.6855555555555556,0.7033333333333334,0.6644444444444444,0.6777777777777778,0.6333333333333333,0.6955555555555556,0.6333333333333333,0.6711111111111111,0.65,0.6944444444444444,0.7066666666666667,0.7088888888888889,0.6666666666666666,0.67,0.7211111111111111,0.6522222222222223,0.6955555555555556,0.6944444444444444,0.6377777777777778,0.68,0.7333333333333333
CarTruncEnd,0.5333333333333333,0.43333333333333335,0.5666666666666667,0.43333333333333335,0.55,0.5166666666666667,0.48333333333333334,0.43333333333333335,0.5666666666666667,0.4666666666666667,0.55,0.4166666666666667,0.36666666666666664,0.5166666666666667,0.5166666666666667,0.4,0.5833333333333334,0.36666666666666664,0.43333333333333335,0.48333333333333334,0.5833333333333334,0.4666666666666667,0.5,0.6333333333333333,0.5166666666666667,0.5166666666666667,0.35,0.35,0.48333333333333334,0.5166666666666667
ChinatownTruncEnd,0.9737609329446064,0.9795918367346939,0.9795918367346939,0.9591836734693877,0.9737609329446064,0.9737609329446064,0.9737609329446064,0.9446064139941691,0.9795918367346939,0.9795918367346939,0.9737609329446064,0.9008746355685131,0.9620991253644315,0.9737609329446064,0.9737609329446064,0.9620991253644315,0.9795918367346939,0.9795918367346939,0.9708454810495627,0.9533527696793003,0.9650145772594753,0.9708454810495627,0.9766763848396501,0.956268221574344,0.9795918367346939,0.9650145772594753,0.9533527696793003,0.9650145772594753,0.9650145772594753,0.9708454810495627
