Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.82,0.74,0.67,0.72,0.8,0.69,0.75,0.72,0.7,0.74,0.68,0.73,0.73,0.74,0.83,0.73,0.66,0.73,0.71,0.65,0.82,0.75,0.82,0.78,0.83,0.68,0.66,0.75,0.75,0.77
AdiacTruncEnd,0.6445012787723785,0.5882352941176471,0.5882352941176471,0.629156010230179,0.618925831202046,0.6163682864450127,0.6035805626598465,0.639386189258312,0.6163682864450127,0.5933503836317136,0.5754475703324808,0.6035805626598465,0.6035805626598465,0.629156010230179,0.6035805626598465,0.5933503836317136,0.5728900255754475,0.59846547314578,0.5882352941176471,0.6010230179028133,0.5882352941176471,0.5652173913043478,0.6445012787723785,0.6138107416879796,0.5856777493606138,0.6061381074168798,0.6086956521739131,0.6035805626598465,0.5268542199488491,0.5754475703324808
ArrowHeadTruncEnd,0.6571428571428571,0.6857142857142857,0.7142857142857143,0.6742857142857143,0.6228571428571429,0.7142857142857143,0.7142857142857143,0.7314285714285714,0.6171428571428571,0.6228571428571429,0.7257142857142858,0.7028571428571428,0.7314285714285714,0.6228571428571429,0.6971428571428572,0.6571428571428571,0.64,0.6285714285714286,0.5942857142857143,0.7314285714285714,0.7428571428571429,0.6914285714285714,0.6857142857142857,0.6971428571428572,0.72,0.6342857142857142,0.6628571428571428,0.7428571428571429,0.6571428571428571,0.6971428571428572
BMETruncEnd,0.74,0.7333333333333333,0.72,0.7666666666666667,0.68,0.72,0.6933333333333334,0.7533333333333333,0.72,0.8066666666666666,0.7866666666666666,0.72,0.74,0.78,0.7333333333333333,0.6866666666666666,0.6866666666666666,0.72,0.6866666666666666,0.82,0.6866666666666666,0.68,0.6733333333333333,0.6666666666666666,0.7266666666666667,0.6866666666666666,0.78,0.7266666666666667,0.7866666666666666,0.7266666666666667
BeefTruncStart,0.5333333333333333,0.5,0.5,0.5666666666666667,0.36666666666666664,0.5,0.5333333333333333,0.4666666666666667,0.5,0.5,0.36666666666666664,0.5,0.43333333333333335,0.4,0.5,0.4,0.26666666666666666,0.5,0.43333333333333335,0.43333333333333335,0.3333333333333333,0.5333333333333333,0.43333333333333335,0.5333333333333333,0.5333333333333333,0.5666666666666667,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.5333333333333333
BeetleFlyTruncEnd,0.75,0.9,0.9,0.85,0.8,0.7,0.9,0.85,0.9,0.7,0.8,0.9,0.6,0.85,0.9,0.9,0.8,0.6,0.65,0.8,0.7,0.9,0.9,0.75,0.75,0.85,0.85,0.8,0.85,0.9
BirdChickenTruncEnd,0.7,0.75,0.8,0.65,0.75,0.75,0.95,0.7,0.75,0.9,0.75,0.8,0.6,0.9,0.75,0.9,0.65,0.8,0.95,0.95,0.85,0.8,0.8,0.55,0.7,0.65,0.75,0.65,0.8,0.8
CBFTruncEnd,0.84,0.9011111111111111,0.8833333333333333,0.8688888888888889,0.9055555555555556,0.8877777777777778,0.8844444444444445,0.8266666666666667,0.9266666666666666,0.9111111111111111,0.8655555555555555,0.9222222222222223,0.8933333333333333,0.8855555555555555,0.94,0.8266666666666667,0.86,0.8911111111111111,0.9088888888888889,0.8911111111111111,0.91,0.8222222222222222,0.8777777777777778,0.8622222222222222,0.8933333333333333,0.8588888888888889,0.9133333333333333,0.9077777777777778,0.8966666666666666,0.8733333333333333
CarTruncEnd,0.7166666666666667,0.7666666666666667,0.8166666666666667,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.6666666666666666,0.7666666666666667,0.75,0.8333333333333334,0.8666666666666667,0.6333333333333333,0.7833333333333333,0.7833333333333333,0.6833333333333333,0.8,0.7833333333333333,0.6,0.75,0.8,0.8,0.7666666666666667,0.8166666666666667,0.7833333333333333,0.8,0.65,0.7166666666666667,0.7166666666666667,0.7666666666666667
ChinatownTruncEnd,0.892128279883382,0.9212827988338192,0.9300291545189504,0.8046647230320699,0.8775510204081632,0.9183673469387755,0.9212827988338192,0.8717201166180758,0.8892128279883382,0.9358600583090378,0.793002915451895,0.7900874635568513,0.9067055393586005,0.8833819241982507,0.8775510204081632,0.6647230320699709,0.8950437317784257,0.9329446064139941,0.8483965014577259,0.8600583090379009,0.8746355685131195,0.9037900874635568,0.9358600583090378,0.892128279883382,0.892128279883382,0.880466472303207,0.9008746355685131,0.8717201166180758,0.8658892128279884,0.924198250728863
ChlorineConcentrationTruncStart,0.57890625,0.58671875,0.59296875,0.5973958333333333,0.6028645833333334,0.5778645833333333,0.59453125,0.5895833333333333,0.5848958333333333,0.5880208333333333,0.5697916666666667,0.6072916666666667,0.56484375,0.59453125,0.5854166666666667,0.5919270833333333,0.5966145833333333,0.58671875,0.58515625,0.5786458333333333,0.5791666666666667,0.603125,0.5924479166666666,0.5807291666666666,0.5989583333333334,0.5729166666666666,0.5981770833333333,0.5908854166666667,0.5908854166666667,0.6018229166666667
CinCECGTorsoTruncEnd,0.9057971014492754,0.763768115942029,0.8869565217391304,0.8818840579710145,0.8601449275362318,0.7384057971014493,0.8557971014492753,0.6442028985507247,0.8826086956521739,0.8847826086956522,0.8333333333333334,0.7492753623188406,0.9166666666666666,0.8434782608695652,0.7934782608695652,0.881159420289855,0.8021739130434783,0.8144927536231884,0.7608695652173914,0.8760869565217392,0.7442028985507246,0.8391304347826087,0.7485507246376811,0.8913043478260869,0.8144927536231884,0.7876811594202898,0.8101449275362319,0.7804347826086957,0.8992753623188405,0.8492753623188406
CoffeeTruncStart,0.9285714285714286,0.9642857142857143,0.8214285714285714,1.0,1.0,1.0,0.8928571428571429,0.9642857142857143,0.9285714285714286,0.9285714285714286,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,0.9285714285714286,0.9642857142857143,1.0,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.9285714285714286,0.9285714285714286
ComputersTruncStart,0.716,0.752,0.76,0.744,0.74,0.788,0.784,0.768,0.76,0.78,0.724,0.76,0.756,0.744,0.772,0.756,0.76,0.728,0.784,0.784,0.72,0.76,0.744,0.724,0.728,0.8,0.748,0.792,0.68,0.764
CricketXTruncEnd,0.6615384615384615,0.7076923076923077,0.6615384615384615,0.6641025641025641,0.7051282051282052,0.6564102564102564,0.7102564102564103,0.676923076923077,0.676923076923077,0.7153846153846154,0.6897435897435897,0.676923076923077,0.7282051282051282,0.6666666666666666,0.6666666666666666,0.7102564102564103,0.6538461538461539,0.7230769230769231,0.6692307692307692,0.6871794871794872,0.6897435897435897,0.658974358974359,0.6871794871794872,0.6641025641025641,0.6820512820512821,0.6666666666666666,0.6205128205128205,0.6820512820512821,0.6384615384615384,0.6923076923076923
CricketYTruncEnd,0.6871794871794872,0.6358974358974359,0.5897435897435898,0.676923076923077,0.6641025641025641,0.6461538461538462,0.6307692307692307,0.6538461538461539,0.6410256410256411,0.6743589743589744,0.6743589743589744,0.7025641025641025,0.6743589743589744,0.6666666666666666,0.6923076923076923,0.658974358974359,0.6615384615384615,0.6717948717948717,0.6307692307692307,0.6564102564102564,0.6615384615384615,0.6743589743589744,0.6743589743589744,0.658974358974359,0.6794871794871795,0.6564102564102564,0.6487179487179487,0.6384615384615384,0.6512820512820513,0.7
CricketZTruncEnd,0.6948717948717948,0.7128205128205128,0.6794871794871795,0.717948717948718,0.6384615384615384,0.6820512820512821,0.6871794871794872,0.6897435897435897,0.6615384615384615,0.6692307692307692,0.7051282051282052,0.6871794871794872,0.7,0.6794871794871795,0.7,0.6871794871794872,0.6948717948717948,0.6717948717948717,0.6410256410256411,0.676923076923077,0.7025641025641025,0.7128205128205128,0.6743589743589744,0.6846153846153846,0.7,0.6923076923076923,0.7102564102564103,0.676923076923077,0.7025641025641025,0.6871794871794872
