Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.41,0.41,0.49,0.35,0.26,0.33,0.23,0.36,0.27,0.27,0.31,0.35,0.36,0.38,0.41,0.43,0.41,0.35,0.32,0.39,0.37,0.42,0.44,0.41,0.33,0.42,0.45,0.35,0.37,0.32
AdiacTruncEnd,0.45524296675191817,0.39641943734015345,0.4194373401534527,0.4475703324808184,0.43478260869565216,0.3989769820971867,0.4143222506393862,0.4782608695652174,0.42455242966751916,0.4322250639386189,0.4219948849104859,0.4398976982097187,0.4040920716112532,0.4578005115089514,0.44501278772378516,0.42455242966751916,0.3938618925831202,0.4296675191815857,0.4194373401534527,0.38107416879795397,0.4322250639386189,0.41687979539641945,0.46035805626598464,0.38107416879795397,0.4398976982097187,0.4578005115089514,0.4373401534526854,0.37595907928388744,0.38618925831202044,0.37595907928388744
ArrowHeadTruncEnd,0.6742857142857143,0.6857142857142857,0.6685714285714286,0.6971428571428572,0.6457142857142857,0.7371428571428571,0.6171428571428571,0.6971428571428572,0.7428571428571429,0.7485714285714286,0.68,0.6171428571428571,0.7657142857142857,0.6628571428571428,0.7257142857142858,0.6685714285714286,0.6228571428571429,0.6285714285714286,0.6685714285714286,0.6914285714285714,0.68,0.6057142857142858,0.68,0.6914285714285714,0.6628571428571428,0.7142857142857143,0.6457142857142857,0.7028571428571428,0.6685714285714286,0.7371428571428571
BMETruncEnd,0.6333333333333333,0.58,0.6933333333333334,0.62,0.6066666666666667,0.6533333333333333,0.7666666666666667,0.6,0.6133333333333333,0.62,0.6333333333333333,0.7133333333333334,0.7133333333333334,0.6133333333333333,0.72,0.64,0.6266666666666667,0.7666666666666667,0.68,0.56,0.6666666666666666,0.5866666666666667,0.7333333333333333,0.6133333333333333,0.5733333333333334,0.6666666666666666,0.8,0.6866666666666666,0.72,0.64
BeefTruncStart,0.26666666666666666,0.3,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.4,0.36666666666666664,0.3,0.23333333333333334,0.26666666666666666,0.2,0.3333333333333333,0.2,0.23333333333333334,0.3,0.3333333333333333,0.3333333333333333,0.3,0.3,0.26666666666666666,0.3,0.36666666666666664,0.3,0.3,0.4,0.36666666666666664,0.26666666666666666,0.23333333333333334,0.26666666666666666,0.36666666666666664
BeetleFlyTruncEnd,0.5,0.55,0.75,0.6,0.55,0.7,0.65,0.8,0.65,0.5,0.45,0.65,0.5,0.65,0.5,0.55,0.7,0.7,0.65,0.5,0.7,0.6,0.6,0.55,0.7,0.7,0.65,0.65,0.3,0.7
BirdChickenTruncEnd,0.75,0.75,0.85,0.85,0.8,0.75,0.85,0.8,0.9,0.9,0.75,0.8,0.55,0.9,0.9,0.9,0.65,0.8,0.95,0.95,0.95,0.8,0.85,0.95,0.95,0.9,0.95,0.8,0.9,0.9
CBFTruncEnd,0.8777777777777778,0.86,0.9066666666666666,0.8533333333333334,0.8633333333333333,0.8966666666666666,0.8977777777777778,0.8133333333333334,0.8877777777777778,0.8833333333333333,0.8766666666666667,0.8655555555555555,0.8822222222222222,0.8988888888888888,0.8466666666666667,0.8777777777777778,0.8211111111111111,0.92,0.8711111111111111,0.92,0.92,0.8722222222222222,0.8988888888888888,0.8744444444444445,0.9177777777777778,0.8788888888888889,0.92,0.9033333333333333,0.8822222222222222,0.89
CarTruncEnd,0.65,0.7166666666666667,0.6166666666666667,0.7333333333333333,0.7333333333333333,0.7166666666666667,0.6333333333333333,0.7,0.8166666666666667,0.6666666666666666,0.75,0.6666666666666666,0.5666666666666667,0.6666666666666666,0.7,0.6,0.7333333333333333,0.6166666666666667,0.7,0.7333333333333333,0.6833333333333333,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.75,0.6666666666666666,0.7333333333333333,0.5,0.6833333333333333,0.7333333333333333
ChinatownTruncEnd,0.7434402332361516,0.5714285714285714,0.6355685131195336,0.5830903790087464,0.7551020408163265,0.7842565597667639,0.7376093294460642,0.7725947521865889,0.641399416909621,0.7026239067055393,0.6793002915451894,0.6705539358600583,0.5743440233236151,0.7638483965014577,0.760932944606414,0.6472303206997084,0.7142857142857143,0.7142857142857143,0.7725947521865889,0.7580174927113703,0.7230320699708455,0.8542274052478134,0.7288629737609329,0.7580174927113703,0.7959183673469388,0.7959183673469388,0.6297376093294461,0.717201166180758,0.6501457725947521,0.7725947521865889
ChlorineConcentrationTruncStart,0.48333333333333334,0.47734375,0.4908854166666667,0.49375,0.5010416666666667,0.5088541666666667,0.49114583333333334,0.49973958333333335,0.50234375,0.48333333333333334,0.478125,0.5192708333333333,0.48723958333333334,0.49296875,0.49505208333333334,0.47291666666666665,0.5158854166666667,0.4953125,0.5091145833333334,0.5052083333333334,0.5002604166666667,0.47421875,0.5,0.5046875,0.5239583333333333,0.4984375,0.49713541666666666,0.4856770833333333,0.4986979166666667,0.5036458333333333
CinCECGTorsoTruncEnd,0.7956521739130434,0.7717391304347826,0.7768115942028986,0.7384057971014493,0.7760869565217391,0.7340579710144928,0.763768115942029,0.7021739130434783,0.7956521739130434,0.7210144927536232,0.7565217391304347,0.7094202898550724,0.7485507246376811,0.768840579710145,0.7797101449275362,0.6978260869565217,0.808695652173913,0.7463768115942029,0.7166666666666667,0.6992753623188406,0.7239130434782609,0.7275362318840579,0.6666666666666666,0.8057971014492754,0.7471014492753624,0.7840579710144927,0.8369565217391305,0.7340579710144928,0.7086956521739131,0.7326086956521739
CoffeeTruncStart,0.7857142857142857,0.7857142857142857,0.75,0.8214285714285714,0.6785714285714286,0.8214285714285714,0.8214285714285714,0.7142857142857143,0.9285714285714286,0.6428571428571429,0.7142857142857143,0.6785714285714286,0.8214285714285714,0.8928571428571429,0.75,0.7857142857142857,0.7857142857142857,0.6785714285714286,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.75,0.7857142857142857,0.7857142857142857,0.75,0.7142857142857143,0.7142857142857143,0.8214285714285714
ComputersTruncStart,0.72,0.772,0.772,0.752,0.744,0.784,0.772,0.776,0.756,0.792,0.74,0.776,0.748,0.74,0.764,0.784,0.776,0.736,0.744,0.716,0.752,0.764,0.768,0.76,0.732,0.784,0.752,0.78,0.748,0.776
CricketXTruncEnd,0.6025641025641025,0.6102564102564103,0.5307692307692308,0.6282051282051282,0.6102564102564103,0.5871794871794872,0.6384615384615384,0.5897435897435898,0.5615384615384615,0.6128205128205129,0.5846153846153846,0.6410256410256411,0.6538461538461539,0.5871794871794872,0.5923076923076923,0.5846153846153846,0.5717948717948718,0.6307692307692307,0.6461538461538462,0.6076923076923076,0.6153846153846154,0.617948717948718,0.6025641025641025,0.5897435897435898,0.6128205128205129,0.5923076923076923,0.5717948717948718,0.617948717948718,0.5846153846153846,0.5923076923076923
CricketYTruncEnd,0.5794871794871795,0.6,0.5897435897435898,0.617948717948718,0.6025641025641025,0.5897435897435898,0.6282051282051282,0.5897435897435898,0.6153846153846154,0.617948717948718,0.6025641025641025,0.6102564102564103,0.5897435897435898,0.5692307692307692,0.5974358974358974,0.5948717948717949,0.6282051282051282,0.5846153846153846,0.6051282051282051,0.6,0.6384615384615384,0.6256410256410256,0.6051282051282051,0.6,0.5923076923076923,0.5512820512820513,0.6051282051282051,0.5974358974358974,0.6282051282051282,0.6512820512820513
CricketZTruncEnd,0.6,0.6538461538461539,0.5692307692307692,0.6333333333333333,0.6282051282051282,0.5820512820512821,0.6307692307692307,0.617948717948718,0.6076923076923076,0.6333333333333333,0.5897435897435898,0.6410256410256411,0.6307692307692307,0.6615384615384615,0.6615384615384615,0.6205128205128205,0.6641025641025641,0.6153846153846154,0.6461538461538462,0.6230769230769231,0.6820512820512821,0.6435897435897436,0.6025641025641025,0.6333333333333333,0.6743589743589744,0.6128205128205129,0.6564102564102564,0.6256410256410256,0.5923076923076923,0.6487179487179487
