Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.79,0.69,0.72,0.59,0.78,0.67,0.68,0.69,0.68,0.7,0.67,0.65,0.68,0.65,0.64,0.68,0.59,0.67,0.72,0.63,0.73,0.71,0.69,0.66,0.74,0.73,0.64,0.66,0.7,0.67
AdiacTruncEnd,0.5831202046035806,0.5601023017902813,0.5549872122762148,0.5601023017902813,0.5728900255754475,0.5805626598465473,0.5473145780051151,0.5754475703324808,0.59846547314578,0.5447570332480819,0.6010230179028133,0.5575447570332481,0.5856777493606138,0.5703324808184144,0.5805626598465473,0.5498721227621484,0.6112531969309463,0.5959079283887468,0.5217391304347826,0.5754475703324808,0.5677749360613811,0.5805626598465473,0.59846547314578,0.5959079283887468,0.5575447570332481,0.5524296675191815,0.5217391304347826,0.5626598465473146,0.5370843989769821,0.5805626598465473
ArrowHeadTruncEnd,0.72,0.7714285714285715,0.7142857142857143,0.76,0.6971428571428572,0.6971428571428572,0.7085714285714285,0.6971428571428572,0.7542857142857143,0.7542857142857143,0.6571428571428571,0.8057142857142857,0.68,0.7142857142857143,0.6914285714285714,0.7428571428571429,0.7485714285714286,0.68,0.72,0.68,0.6971428571428572,0.6628571428571428,0.7314285714285714,0.72,0.6628571428571428,0.7028571428571428,0.7314285714285714,0.72,0.72,0.7657142857142857
BMETruncEnd,0.6933333333333334,0.6866666666666666,0.68,0.6733333333333333,0.6866666666666666,0.74,0.68,0.6733333333333333,0.6866666666666666,0.6533333333333333,0.66,0.6733333333333333,0.6466666666666666,0.7133333333333334,0.8466666666666667,0.6866666666666666,0.6466666666666666,0.7466666666666667,0.6866666666666666,0.6733333333333333,0.66,0.68,0.68,0.7066666666666667,0.5866666666666667,0.6666666666666666,0.6933333333333334,0.64,0.68,0.6533333333333333
BeefTruncStart,0.16666666666666666,0.3,0.2,0.3,0.3333333333333333,0.3,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.2,0.36666666666666664,0.26666666666666666,0.23333333333333334,0.26666666666666666,0.23333333333333334,0.16666666666666666,0.3,0.23333333333333334,0.3333333333333333,0.4,0.3333333333333333,0.26666666666666666,0.2,0.3,0.36666666666666664
BeetleFlyTruncEnd,0.9,0.85,0.75,0.7,0.8,0.55,0.9,0.8,0.9,0.7,0.85,0.7,0.85,0.75,0.7,0.55,0.8,0.75,0.8,0.75,0.75,0.85,0.6,0.8,0.8,0.85,0.7,0.85,0.85,0.95
BirdChickenTruncEnd,0.7,0.65,0.55,0.8,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.9,0.85,0.7,0.8,0.95,0.55,0.75,0.55,0.7,0.85,0.7,0.7,0.75,0.8,0.9,0.7,0.85,0.8,0.8
CBFTruncEnd,0.7633333333333333,0.7711111111111111,0.8577777777777778,0.5877777777777777,0.7555555555555555,0.61,0.6677777777777778,0.8244444444444444,0.66,0.6866666666666666,0.69,0.8022222222222222,0.8822222222222222,0.6122222222222222,0.6533333333333333,0.6188888888888889,0.7044444444444444,0.7366666666666667,0.6022222222222222,0.7344444444444445,0.7922222222222223,0.6188888888888889,0.6288888888888889,0.7466666666666667,0.7333333333333333,0.6577777777777778,0.5844444444444444,0.6333333333333333,0.67,0.6011111111111112
CarTruncEnd,0.6166666666666667,0.7333333333333333,0.6333333333333333,0.6666666666666666,0.7,0.6833333333333333,0.6833333333333333,0.6666666666666666,0.6666666666666666,0.75,0.7333333333333333,0.7,0.6666666666666666,0.7333333333333333,0.6833333333333333,0.6833333333333333,0.7,0.6666666666666666,0.7166666666666667,0.6833333333333333,0.65,0.7,0.65,0.6666666666666666,0.6833333333333333,0.6666666666666666,0.6833333333333333,0.5833333333333334,0.6166666666666667,0.6833333333333333
ChlorineConcentrationTruncStart,0.49583333333333335,0.5044270833333333,0.5088541666666667,0.5151041666666667,0.5010416666666667,0.5072916666666667,0.5234375,0.5052083333333334,0.4973958333333333,0.5049479166666667,0.4973958333333333,0.48541666666666666,0.5114583333333333,0.4940104166666667,0.5028645833333333,0.5036458333333333,0.5067708333333333,0.49765625,0.521875,0.509375,0.5401041666666667,0.51328125,0.5111979166666667,0.5002604166666667,0.5122395833333333,0.49296875,0.5203125,0.49114583333333334,0.5044270833333333,0.5153645833333333
CinCECGTorsoTruncEnd,0.9630434782608696,0.981159420289855,0.9847826086956522,0.9876811594202899,0.9826086956521739,0.9594202898550724,0.9681159420289855,0.9442028985507246,0.9231884057971015,0.9557971014492753,0.9746376811594203,0.9884057971014493,0.9434782608695652,0.9565217391304348,0.9630434782608696,0.8586956521739131,0.9739130434782609,0.9659420289855073,0.9630434782608696,0.9456521739130435,0.9347826086956522,0.9579710144927536,0.7869565217391304,0.9637681159420289,0.9746376811594203,0.9340579710144927,0.9623188405797102,0.9159420289855073,0.9101449275362319,0.9369565217391305
CoffeeTruncStart,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.4642857142857143,0.6785714285714286,0.6785714285714286,0.75,0.75,0.5,0.6428571428571429,0.6071428571428571,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.75,0.75,0.42857142857142855,0.6071428571428571,0.6785714285714286,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5
ComputersTruncStart,0.66,0.78,0.736,0.724,0.748,0.76,0.752,0.744,0.732,0.74,0.744,0.736,0.74,0.732,0.764,0.784,0.736,0.764,0.764,0.768,0.74,0.712,0.724,0.756,0.712,0.768,0.72,0.744,0.72,0.752
CricketXTruncEnd,0.4564102564102564,0.4358974358974359,0.43846153846153846,0.441025641025641,0.43333333333333335,0.4205128205128205,0.4897435897435897,0.4153846153846154,0.4282051282051282,0.43846153846153846,0.45897435897435895,0.4128205128205128,0.46153846153846156,0.41025641025641024,0.39487179487179486,0.4461538461538462,0.41794871794871796,0.4358974358974359,0.4282051282051282,0.4564102564102564,0.4358974358974359,0.4282051282051282,0.43333333333333335,0.45384615384615384,0.45384615384615384,0.44358974358974357,0.4076923076923077,0.43333333333333335,0.43333333333333335,0.3974358974358974
CricketYTruncEnd,0.4794871794871795,0.4794871794871795,0.4641025641025641,0.49743589743589745,0.5,0.4641025641025641,0.4846153846153846,0.43333333333333335,0.45897435897435895,0.4846153846153846,0.5,0.4512820512820513,0.4641025641025641,0.4641025641025641,0.49743589743589745,0.5128205128205128,0.441025641025641,0.4256410256410256,0.5256410256410257,0.4794871794871795,0.4717948717948718,0.46153846153846156,0.47435897435897434,0.44871794871794873,0.46923076923076923,0.441025641025641,0.48717948717948717,0.48717948717948717,0.49743589743589745,0.4794871794871795
