Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.83,0.75,0.79,0.72,0.84,0.73,0.74,0.72,0.71,0.75,0.73,0.71,0.75,0.7,0.76,0.75,0.68,0.77,0.71,0.69,0.77,0.76,0.76,0.77,0.76,0.76,0.69,0.66,0.76,0.68
AdiacTruncEnd,0.6342710997442456,0.5882352941176471,0.6445012787723785,0.6368286445012787,0.680306905370844,0.6214833759590793,0.6240409207161125,0.6751918158567775,0.6265984654731458,0.6317135549872123,0.6010230179028133,0.6649616368286445,0.6035805626598465,0.6675191815856778,0.6547314578005116,0.6521739130434783,0.639386189258312,0.6317135549872123,0.639386189258312,0.6828644501278772,0.6572890025575447,0.59846547314578,0.670076726342711,0.6649616368286445,0.6547314578005116,0.5933503836317136,0.6240409207161125,0.6112531969309463,0.5882352941176471,0.6265984654731458
ArrowHeadTruncEnd,0.76,0.72,0.8571428571428571,0.8057142857142857,0.7542857142857143,0.8628571428571429,0.84,0.8171428571428572,0.8685714285714285,0.8285714285714286,0.8057142857142857,0.6571428571428571,0.8685714285714285,0.6914285714285714,0.8114285714285714,0.7714285714285715,0.8171428571428572,0.6742857142857143,0.6571428571428571,0.8057142857142857,0.8742857142857143,0.8285714285714286,0.8514285714285714,0.7485714285714286,0.7828571428571428,0.8171428571428572,0.6628571428571428,0.8114285714285714,0.8285714285714286,0.8228571428571428
BMETruncEnd,0.66,0.5933333333333334,0.7266666666666667,0.54,0.7,0.78,0.8266666666666667,0.72,0.6866666666666666,0.8,0.8066666666666666,0.8066666666666666,0.7733333333333333,0.58,0.8,0.78,0.6333333333333333,0.84,0.7666666666666667,0.5533333333333333,0.76,0.6133333333333333,0.6533333333333333,0.7933333333333333,0.7266666666666667,0.7466666666666667,0.8066666666666666,0.7466666666666667,0.8333333333333334,0.7333333333333333
BeefTruncStart,0.4,0.4,0.5,0.4666666666666667,0.4666666666666667,0.5,0.5,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.5666666666666667,0.4,0.23333333333333334,0.5333333333333333,0.36666666666666664,0.5,0.4666666666666667,0.4,0.36666666666666664,0.4,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.6,0.6,0.3,0.43333333333333335,0.43333333333333335,0.4666666666666667
BeetleFlyTruncEnd,0.9,0.85,0.9,0.75,0.95,0.8,0.9,0.9,0.8,1.0,0.7,0.95,0.75,0.8,0.95,0.95,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.85,0.75,0.9,0.8,0.6,0.9
BirdChickenTruncEnd,0.85,0.8,0.9,1.0,0.85,0.8,0.85,0.85,0.95,1.0,0.85,0.85,0.7,0.9,1.0,0.95,0.6,0.85,0.85,0.95,0.9,0.75,0.9,0.95,0.75,0.85,0.85,0.8,0.9,0.9
CBFTruncEnd,0.9188888888888889,0.8944444444444445,0.9322222222222222,0.9055555555555556,0.8977777777777778,0.8977777777777778,0.9288888888888889,0.8433333333333334,0.9244444444444444,0.9022222222222223,0.9277777777777778,0.9033333333333333,0.9355555555555556,0.9244444444444444,0.9088888888888889,0.9277777777777778,0.9022222222222223,0.8977777777777778,0.9288888888888889,0.95,0.9322222222222222,0.8666666666666667,0.9222222222222223,0.9,0.9177777777777778,0.8633333333333333,0.9577777777777777,0.9333333333333333,0.8811111111111111,0.9455555555555556
CarTruncEnd,0.8,0.8333333333333334,0.85,0.8833333333333333,0.65,0.9333333333333333,0.75,0.7833333333333333,0.85,0.6666666666666666,0.7833333333333333,0.65,0.7666666666666667,0.6666666666666666,0.8166666666666667,0.6833333333333333,0.85,0.6166666666666667,0.8833333333333333,0.8666666666666667,0.8,0.6166666666666667,0.7833333333333333,0.8333333333333334,0.7833333333333333,0.8166666666666667,0.6833333333333333,0.75,0.8166666666666667,0.8666666666666667
ChinatownTruncEnd,0.8513119533527697,0.8688046647230321,0.7784256559766763,0.8425655976676385,0.793002915451895,0.8571428571428571,0.8454810495626822,0.8367346938775511,0.8542274052478134,0.9037900874635568,0.8134110787172012,0.7638483965014577,0.6588921282798834,0.9125364431486881,0.7755102040816326,0.6034985422740525,0.8250728862973761,0.8746355685131195,0.8192419825072886,0.7667638483965015,0.8134110787172012,0.8367346938775511,0.8892128279883382,0.8746355685131195,0.7871720116618076,0.8309037900874635,0.7580174927113703,0.7784256559766763,0.7142857142857143,0.8688046647230321
ChlorineConcentrationTruncStart,0.6583333333333333,0.6609375,0.6622395833333333,0.6611979166666667,0.6653645833333334,0.6377604166666667,0.6580729166666667,0.6635416666666667,0.6473958333333333,0.6544270833333333,0.64609375,0.66640625,0.6682291666666667,0.6541666666666667,0.6544270833333333,0.6640625,0.66484375,0.6572916666666667,0.6494791666666667,0.66953125,0.6674479166666667,0.6471354166666666,0.65546875,0.6645833333333333,0.6552083333333333,0.6473958333333333,0.6481770833333333,0.6432291666666666,0.6744791666666666,0.6619791666666667
CinCECGTorsoTruncEnd,0.9710144927536232,0.8855072463768116,0.9710144927536232,0.9768115942028985,0.7391304347826086,0.9637681159420289,0.9391304347826087,0.9333333333333333,0.9427536231884058,0.8826086956521739,0.8775362318840579,0.9195652173913044,0.7739130434782608,0.9282608695652174,0.9297101449275362,0.8586956521739131,0.9050724637681159,0.8217391304347826,0.8405797101449275,0.8463768115942029,0.9688405797101449,0.9594202898550724,0.8405797101449275,0.9405797101449276,0.8985507246376812,0.8768115942028986,0.9572463768115942,0.8913043478260869,0.9376811594202898,0.8057971014492754
CoffeeTruncStart,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.9642857142857143,1.0,1.0,1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,1.0
ComputersTruncStart,0.664,0.808,0.824,0.816,0.804,0.828,0.784,0.812,0.788,0.788,0.824,0.828,0.804,0.808,0.784,0.82,0.812,0.76,0.82,0.8,0.8,0.816,0.788,0.792,0.772,0.824,0.776,0.78,0.808,0.804
CricketXTruncEnd,0.717948717948718,0.7307692307692307,0.7128205128205128,0.7282051282051282,0.7307692307692307,0.6538461538461539,0.7435897435897436,0.7153846153846154,0.7384615384615385,0.7564102564102564,0.7333333333333333,0.7589743589743589,0.7794871794871795,0.617948717948718,0.6743589743589744,0.7205128205128205,0.7307692307692307,0.7538461538461538,0.7384615384615385,0.7102564102564103,0.7102564102564103,0.7666666666666667,0.7051282051282052,0.7205128205128205,0.7076923076923077,0.7128205128205128,0.6153846153846154,0.7435897435897436,0.7512820512820513,0.7461538461538462
CricketYTruncEnd,0.7076923076923077,0.6128205128205129,0.5846153846153846,0.6564102564102564,0.5923076923076923,0.6794871794871795,0.7051282051282052,0.7102564102564103,0.6897435897435897,0.6923076923076923,0.7230769230769231,0.7307692307692307,0.717948717948718,0.6051282051282051,0.7615384615384615,0.7230769230769231,0.7153846153846154,0.6410256410256411,0.6743589743589744,0.5897435897435898,0.6307692307692307,0.7230769230769231,0.617948717948718,0.7384615384615385,0.6102564102564103,0.6307692307692307,0.7051282051282052,0.7076923076923077,0.7589743589743589,0.7282051282051282
CricketZTruncEnd,0.7076923076923077,0.7512820512820513,0.7102564102564103,0.764102564102564,0.7282051282051282,0.7435897435897436,0.7512820512820513,0.764102564102564,0.7,0.7410256410256411,0.7487179487179487,0.7333333333333333,0.7487179487179487,0.6794871794871795,0.7282051282051282,0.7333333333333333,0.7794871794871795,0.6974358974358974,0.6538461538461539,0.717948717948718,0.7769230769230769,0.7256410256410256,0.7205128205128205,0.7461538461538462,0.7666666666666667,0.7564102564102564,0.7743589743589744,0.7384615384615385,0.7307692307692307,0.7128205128205128
CropTruncEnd,0.6205357142857143,0.6198214285714285,0.6185714285714285,0.6117261904761905,0.6135119047619048,0.6127380952380952,0.6223809523809524,0.6207738095238096,0.6214285714285714,0.6220833333333333,0.619702380952381,0.6163690476190476,0.6145833333333334,0.6192857142857143,0.6079166666666667,0.6226785714285714,0.6086309523809523,0.6225,0.6183928571428572,0.6213690476190477,0.617202380952381,0.6151785714285715,0.6105357142857143,0.6206547619047619,0.6101190476190477,0.625297619047619,0.6180357142857142,0.6185119047619048,0.6189880952380953,0.6192857142857143
DiatomSizeReductionTruncEnd,0.8529411764705882,0.8137254901960784,0.6143790849673203,0.8758169934640523,0.8169934640522876,0.803921568627451,0.8202614379084967,0.8529411764705882,0.8790849673202614,0.8660130718954249,0.826797385620915,0.8300653594771242,0.8758169934640523,0.826797385620915,0.8888888888888888,0.8758169934640523,0.8006535947712419,0.7418300653594772,0.8366013071895425,0.8823529411764706,0.8790849673202614,0.8823529411764706,0.738562091503268,0.8823529411764706,0.8660130718954249,0.761437908496732,0.8300653594771242,0.8790849673202614,0.7810457516339869,0.8333333333333334
DistalPhalanxOutlineAgeGroupTruncStart,0.7194244604316546,0.7985611510791367,0.7913669064748201,0.7410071942446043,0.7697841726618705,0.7769784172661871,0.7697841726618705,0.8201438848920863,0.7697841726618705,0.7841726618705036,0.7410071942446043,0.762589928057554,0.7410071942446043,0.8201438848920863,0.7194244604316546,0.762589928057554,0.8057553956834532,0.7841726618705036,0.7913669064748201,0.8201438848920863,0.7338129496402878,0.7769784172661871,0.7482014388489209,0.7769784172661871,0.7913669064748201,0.8345323741007195,0.7913669064748201,0.7266187050359713,0.7410071942446043,0.7769784172661871
