Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.27,0.32,0.3,0.26,0.29,0.21,0.2,0.26,0.18,0.23,0.24,0.24,0.3,0.28,0.26,0.3,0.24,0.23,0.27,0.22,0.27,0.26,0.29,0.29,0.26,0.28,0.26,0.2,0.29,0.23
AdiacTruncEnd,0.4475703324808184,0.45268542199488493,0.4578005115089514,0.4884910485933504,0.4424552429667519,0.4475703324808184,0.46547314578005117,0.5166240409207161,0.4884910485933504,0.4424552429667519,0.4373401534526854,0.4884910485933504,0.45268542199488493,0.5268542199488491,0.46035805626598464,0.4731457800511509,0.42710997442455245,0.4833759590792839,0.46547314578005117,0.4578005115089514,0.47058823529411764,0.4424552429667519,0.5038363171355499,0.44501278772378516,0.4629156010230179,0.5115089514066496,0.4859335038363171,0.46035805626598464,0.4629156010230179,0.45012787723785164
ArrowHeadTruncEnd,0.56,0.6914285714285714,0.6514285714285715,0.6857142857142857,0.5828571428571429,0.7371428571428571,0.5828571428571429,0.6628571428571428,0.6742857142857143,0.7142857142857143,0.6285714285714286,0.6457142857142857,0.7028571428571428,0.6285714285714286,0.5771428571428572,0.7085714285714285,0.6628571428571428,0.6114285714285714,0.5542857142857143,0.7314285714285714,0.6514285714285715,0.64,0.6571428571428571,0.6685714285714286,0.6342857142857142,0.5771428571428572,0.6171428571428571,0.7257142857142858,0.6285714285714286,0.6914285714285714
BMETruncEnd,0.78,0.7733333333333333,0.7466666666666667,0.7866666666666666,0.7133333333333334,0.78,0.8,0.8,0.7266666666666667,0.7933333333333333,0.8266666666666667,0.7933333333333333,0.82,0.7533333333333333,0.7933333333333333,0.7933333333333333,0.76,0.8333333333333334,0.7733333333333333,0.7933333333333333,0.7666666666666667,0.84,0.82,0.82,0.8,0.78,0.8266666666666667,0.86,0.8133333333333334,0.8133333333333334
BeefTruncStart,0.3333333333333333,0.4,0.3,0.43333333333333335,0.3333333333333333,0.5666666666666667,0.4,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.26666666666666666,0.4666666666666667,0.36666666666666664,0.4,0.4,0.36666666666666664,0.26666666666666666,0.3333333333333333,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.36666666666666664,0.4666666666666667,0.5,0.43333333333333335,0.3,0.3333333333333333,0.3333333333333333,0.43333333333333335
BeetleFlyTruncEnd,0.7,0.7,0.8,0.8,0.75,0.7,0.8,0.9,0.65,0.55,0.6,0.75,0.6,0.55,0.75,0.75,0.75,0.55,0.75,0.6,0.8,0.55,0.85,0.65,0.65,0.7,0.75,0.65,0.65,0.6
BirdChickenTruncEnd,0.8,0.85,0.75,0.85,0.7,0.75,0.85,0.95,0.85,0.8,0.75,0.9,0.55,0.85,0.85,0.9,0.7,0.8,0.8,0.95,0.95,0.8,0.8,0.95,0.85,0.9,0.95,0.9,0.8,0.75
CBFTruncEnd,0.9322222222222222,0.9388888888888889,0.9233333333333333,0.92,0.9033333333333333,0.9366666666666666,0.9233333333333333,0.8566666666666667,0.9177777777777778,0.9177777777777778,0.9033333333333333,0.8944444444444445,0.9077777777777778,0.92,0.8988888888888888,0.9344444444444444,0.8944444444444445,0.93,0.92,0.9255555555555556,0.93,0.9177777777777778,0.95,0.8955555555555555,0.9111111111111111,0.9177777777777778,0.9344444444444444,0.9177777777777778,0.8977777777777778,0.9355555555555556
CarTruncEnd,0.65,0.75,0.7166666666666667,0.7166666666666667,0.65,0.7166666666666667,0.7,0.7166666666666667,0.7833333333333333,0.7166666666666667,0.7333333333333333,0.65,0.6666666666666666,0.7833333333333333,0.75,0.7166666666666667,0.7166666666666667,0.65,0.6833333333333333,0.7666666666666667,0.7833333333333333,0.75,0.7,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.6833333333333333,0.7,0.7,0.75
ChinatownTruncEnd,0.8163265306122449,0.6005830903790087,0.7288629737609329,0.7201166180758017,0.7988338192419825,0.8134110787172012,0.7900874635568513,0.6763848396501457,0.7434402332361516,0.8513119533527697,0.7201166180758017,0.7026239067055393,0.5918367346938775,0.6793002915451894,0.8163265306122449,0.6997084548104956,0.6880466472303207,0.8338192419825073,0.7755102040816326,0.7959183673469388,0.7725947521865889,0.7463556851311953,0.760932944606414,0.8104956268221575,0.8075801749271136,0.793002915451895,0.7842565597667639,0.8513119533527697,0.7667638483965015,0.7842565597667639
ChlorineConcentrationTruncStart,0.5315104166666667,0.5177083333333333,0.5278645833333333,0.528125,0.5294270833333333,0.5328125,0.5424479166666667,0.5463541666666667,0.53046875,0.5471354166666667,0.5317708333333333,0.5286458333333334,0.5317708333333333,0.5205729166666667,0.4981770833333333,0.5182291666666666,0.5390625,0.5463541666666667,0.5403645833333334,0.5356770833333333,0.5390625,0.5221354166666666,0.5403645833333334,0.5359375,0.52265625,0.53515625,0.5473958333333333,0.50625,0.54296875,0.5268229166666667
CinCECGTorsoTruncEnd,0.7289855072463768,0.6043478260869565,0.7340579710144928,0.7043478260869566,0.6608695652173913,0.6550724637681159,0.7253623188405797,0.6246376811594203,0.7181159420289855,0.7159420289855073,0.6949275362318841,0.6644927536231884,0.6065217391304348,0.6557971014492754,0.6398550724637682,0.6275362318840579,0.5688405797101449,0.6528985507246376,0.6268115942028986,0.6840579710144927,0.6282608695652174,0.6702898550724637,0.5760869565217391,0.7101449275362319,0.6471014492753623,0.6876811594202898,0.7057971014492753,0.6891304347826087,0.7137681159420289,0.6304347826086957
CoffeeTruncStart,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.7142857142857143,0.8928571428571429,0.8571428571428571,0.8214285714285714,0.9642857142857143,0.8928571428571429,0.7857142857142857,0.7857142857142857,0.9642857142857143,0.8928571428571429,0.8571428571428571,0.9642857142857143,0.9642857142857143,0.6428571428571429,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.8214285714285714,0.8928571428571429,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8214285714285714,0.8928571428571429
