Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.69,0.63,0.67,0.72,0.61,0.62,0.67,0.62,0.57,0.66,0.58,0.65,0.68,0.61,0.72,0.66,0.59,0.62,0.66,0.72,0.68,0.78,0.77,0.65,0.75,0.71,0.6,0.72,0.74,0.64
AdiacTruncEnd,0.7186700767263428,0.7084398976982097,0.6777493606138107,0.7135549872122762,0.7058823529411765,0.690537084398977,0.6777493606138107,0.6751918158567775,0.7237851662404092,0.6828644501278772,0.7135549872122762,0.6956521739130435,0.7161125319693095,0.6854219948849105,0.6956521739130435,0.670076726342711,0.710997442455243,0.7161125319693095,0.680306905370844,0.649616368286445,0.7033248081841432,0.6751918158567775,0.7084398976982097,0.7212276214833759,0.7237851662404092,0.6828644501278772,0.6751918158567775,0.7161125319693095,0.6751918158567775,0.710997442455243
ArrowHeadTruncEnd,0.6857142857142857,0.7371428571428571,0.6742857142857143,0.8228571428571428,0.7657142857142857,0.7657142857142857,0.7142857142857143,0.6628571428571428,0.7714285714285715,0.7371428571428571,0.6971428571428572,0.7371428571428571,0.7428571428571429,0.7142857142857143,0.7257142857142858,0.7428571428571429,0.6171428571428571,0.6914285714285714,0.6685714285714286,0.7485714285714286,0.7771428571428571,0.8114285714285714,0.7428571428571429,0.7714285714285715,0.7714285714285715,0.7257142857142858,0.6971428571428572,0.7028571428571428,0.7485714285714286,0.7771428571428571
BMETruncEnd,0.82,0.8266666666666667,0.7733333333333333,0.7733333333333333,0.8266666666666667,0.7866666666666666,0.82,0.8266666666666667,0.8066666666666666,0.84,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.7666666666666667,0.8066666666666666,0.8266666666666667,0.8133333333333334,0.8133333333333334,0.84,0.8333333333333334,0.8466666666666667,0.8266666666666667,0.82,0.7866666666666666,0.82,0.8066666666666666,0.7666666666666667
BeefTruncStart,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.5,0.3,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.3,0.4,0.3333333333333333,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.36666666666666664,0.43333333333333335,0.3,0.26666666666666666,0.43333333333333335,0.26666666666666666,0.4,0.4666666666666667,0.4666666666666667,0.3,0.23333333333333334,0.36666666666666664,0.36666666666666664
BeetleFlyTruncEnd,0.85,0.75,0.8,0.85,0.85,0.75,0.7,0.75,0.85,0.9,0.8,0.85,0.6,0.65,0.8,0.75,0.8,0.8,0.85,0.6,0.8,0.85,0.85,0.65,0.75,0.8,0.75,0.75,0.55,0.85
BirdChickenTruncEnd,0.85,0.65,0.85,0.85,0.8,0.8,0.7,0.75,0.7,0.95,0.75,0.9,0.9,0.85,0.9,0.95,0.65,0.75,0.7,0.9,1.0,0.9,0.85,0.95,0.9,0.75,0.95,0.85,0.9,0.65
CBFTruncEnd,0.97,0.9455555555555556,0.9444444444444444,0.9044444444444445,0.9244444444444444,0.9533333333333334,0.9344444444444444,0.8955555555555555,0.9577777777777777,0.9211111111111111,0.9655555555555555,0.9588888888888889,0.9088888888888889,0.9466666666666667,0.9622222222222222,0.9211111111111111,0.8966666666666666,0.9488888888888889,0.9555555555555556,0.9366666666666666,0.9655555555555555,0.9644444444444444,0.9711111111111111,0.9266666666666666,0.9577777777777777,0.9577777777777777,0.9655555555555555,0.9588888888888889,0.9477777777777778,0.9344444444444444
CarTruncEnd,0.7833333333333333,0.75,0.7666666666666667,0.75,0.8,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.7666666666666667,0.7666666666666667,0.7833333333333333,0.8,0.7333333333333333,0.7666666666666667,0.8,0.7666666666666667,0.8166666666666667,0.6333333333333333,0.7166666666666667,0.7833333333333333,0.8,0.7333333333333333,0.7833333333333333,0.8,0.7833333333333333,0.7166666666666667,0.75,0.8166666666666667,0.75,0.8
ChinatownTruncEnd,0.9825072886297376,0.9766763848396501,0.9825072886297376,0.9854227405247813,0.9708454810495627,0.9795918367346939,0.9766763848396501,0.9766763848396501,0.9737609329446064,0.9883381924198251,0.9883381924198251,0.924198250728863,0.9825072886297376,0.9737609329446064,0.9825072886297376,0.9883381924198251,0.9766763848396501,0.9854227405247813,0.9825072886297376,0.9708454810495627,0.9737609329446064,0.9825072886297376,0.9795918367346939,0.9825072886297376,0.9795918367346939,0.9766763848396501,0.9825072886297376,0.9825072886297376,0.9825072886297376,0.9766763848396501
