Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.88,0.75,0.84,0.79,0.79,0.76,0.77,0.73,0.72,0.77,0.79,0.75,0.78,0.78,0.84,0.81,0.65,0.77,0.84,0.74,0.74,0.74,0.8,0.85,0.83,0.78,0.71,0.74,0.83,0.82
AdiacTruncEnd,0.7033248081841432,0.6726342710997443,0.6445012787723785,0.7084398976982097,0.6879795396419437,0.6930946291560103,0.6624040920716112,0.6930946291560103,0.7161125319693095,0.690537084398977,0.6649616368286445,0.6649616368286445,0.6675191815856778,0.6751918158567775,0.710997442455243,0.6751918158567775,0.680306905370844,0.7007672634271099,0.6547314578005116,0.6470588235294118,0.6572890025575447,0.659846547314578,0.7365728900255755,0.6982097186700768,0.6828644501278772,0.6649616368286445,0.6854219948849105,0.7007672634271099,0.6419437340153452,0.6930946291560103
ArrowHeadTruncEnd,0.7314285714285714,0.6857142857142857,0.7428571428571429,0.7542857142857143,0.6685714285714286,0.76,0.7028571428571428,0.7371428571428571,0.6742857142857143,0.7485714285714286,0.7371428571428571,0.68,0.8228571428571428,0.7142857142857143,0.76,0.7371428571428571,0.6171428571428571,0.7028571428571428,0.6114285714285714,0.7771428571428571,0.7542857142857143,0.7771428571428571,0.6857142857142857,0.7428571428571429,0.7371428571428571,0.6514285714285715,0.6285714285714286,0.7885714285714286,0.7142857142857143,0.7257142857142858
BMETruncEnd,0.8666666666666667,0.7933333333333333,0.7933333333333333,0.7933333333333333,0.78,0.7733333333333333,0.82,0.84,0.8,0.82,0.8466666666666667,0.8266666666666667,0.7933333333333333,0.7733333333333333,0.8066666666666666,0.8066666666666666,0.8266666666666667,0.8333333333333334,0.78,0.8,0.8066666666666666,0.7933333333333333,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.7933333333333333,0.8266666666666667,0.7866666666666666,0.8066666666666666,0.82
BeefTruncStart,0.6,0.5666666666666667,0.6,0.6,0.5666666666666667,0.6,0.6,0.3333333333333333,0.5,0.6666666666666666,0.43333333333333335,0.6666666666666666,0.5,0.6,0.6,0.5,0.43333333333333335,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.43333333333333335,0.6333333333333333,0.4666666666666667,0.7,0.6,0.7666666666666667,0.5,0.36666666666666664,0.36666666666666664,0.7333333333333333
BeetleFlyTruncEnd,0.9,0.95,0.85,0.85,0.9,0.8,0.9,0.85,0.95,0.85,0.8,0.8,0.6,0.8,1.0,0.85,0.8,0.75,0.85,0.85,0.8,0.75,0.95,0.7,0.7,0.8,1.0,0.8,0.65,0.85
BirdChickenTruncEnd,0.95,0.85,1.0,0.9,0.9,0.85,1.0,0.95,0.95,0.95,0.85,0.9,0.65,0.95,0.95,0.95,0.75,0.9,0.9,0.95,0.95,0.75,0.65,0.8,0.95,0.75,1.0,0.8,0.9,0.9
CBFTruncEnd,0.8944444444444445,0.91,0.9211111111111111,0.8844444444444445,0.9088888888888889,0.8988888888888888,0.9366666666666666,0.8655555555555555,0.9388888888888889,0.9111111111111111,0.8644444444444445,0.9055555555555556,0.9011111111111111,0.9122222222222223,0.9155555555555556,0.9088888888888889,0.8755555555555555,0.9066666666666666,0.9344444444444444,0.9277777777777778,0.9411111111111111,0.9344444444444444,0.9355555555555556,0.91,0.9288888888888889,0.89,0.9488888888888889,0.9255555555555556,0.8955555555555555,0.9288888888888889
CarTruncEnd,0.7833333333333333,0.75,0.7666666666666667,0.8166666666666667,0.7833333333333333,0.7166666666666667,0.8,0.6833333333333333,0.8,0.7666666666666667,0.8,0.75,0.75,0.8,0.8333333333333334,0.6833333333333333,0.8166666666666667,0.65,0.7166666666666667,0.8,0.7833333333333333,0.7333333333333333,0.7666666666666667,0.7833333333333333,0.7666666666666667,0.7666666666666667,0.75,0.7333333333333333,0.7166666666666667,0.85
ChinatownTruncEnd,0.9154518950437318,0.924198250728863,0.9125364431486881,0.9708454810495627,0.8425655976676385,0.9795918367346939,0.9329446064139941,0.9008746355685131,0.9416909620991254,0.9708454810495627,0.8483965014577259,0.760932944606414,0.9300291545189504,0.9737609329446064,0.880466472303207,0.7055393586005831,0.9183673469387755,0.967930029154519,0.9037900874635568,0.8600583090379009,0.8542274052478134,0.9766763848396501,0.9271137026239067,0.9154518950437318,0.8483965014577259,0.9475218658892128,0.9183673469387755,0.8658892128279884,0.8425655976676385,0.9329446064139941
ChlorineConcentrationTruncStart,0.59609375,0.5921875,0.6122395833333333,0.5934895833333333,0.6231770833333333,0.5950520833333334,0.5895833333333333,0.6026041666666667,0.5986979166666667,0.6135416666666667,0.5932291666666667,0.60078125,0.5989583333333334,0.6065104166666667,0.6111979166666667,0.6015625,0.6046875,0.5893229166666667,0.6020833333333333,0.6119791666666666,0.6049479166666667,0.6130208333333333,0.60546875,0.59140625,0.609375,0.5877604166666667,0.6153645833333333,0.5890625,0.6122395833333333,0.6083333333333333
CinCECGTorsoTruncEnd,0.9304347826086956,0.9326086956521739,0.9550724637681159,0.8956521739130435,0.9007246376811594,0.8891304347826087,0.8905797101449275,0.7942028985507247,0.9384057971014492,0.9355072463768116,0.8934782608695652,0.8884057971014493,0.9355072463768116,0.894927536231884,0.8528985507246377,0.868840579710145,0.9021739130434783,0.8384057971014492,0.8065217391304348,0.9384057971014492,0.9007246376811594,0.8978260869565218,0.8782608695652174,0.946376811594203,0.8826086956521739,0.9210144927536232,0.9514492753623188,0.8891304347826087,0.9630434782608696,0.8920289855072464
CoffeeTruncStart,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,0.9285714285714286,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0,0.8928571428571429,1.0,1.0,0.9642857142857143,0.9285714285714286,1.0,1.0,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0
ComputersTruncStart,0.78,0.828,0.86,0.828,0.848,0.856,0.812,0.804,0.828,0.848,0.8,0.824,0.856,0.82,0.824,0.868,0.852,0.804,0.848,0.82,0.796,0.828,0.816,0.84,0.788,0.872,0.868,0.856,0.796,0.828
CricketXTruncEnd,0.6820512820512821,0.7256410256410256,0.7025641025641025,0.7384615384615385,0.7487179487179487,0.7410256410256411,0.7230769230769231,0.7564102564102564,0.6794871794871795,0.7410256410256411,0.7282051282051282,0.7307692307692307,0.7743589743589744,0.7205128205128205,0.7282051282051282,0.7333333333333333,0.7230769230769231,0.764102564102564,0.7435897435897436,0.735897435897436,0.7384615384615385,0.735897435897436,0.7692307692307693,0.7128205128205128,0.7307692307692307,0.735897435897436,0.6846153846153846,0.7384615384615385,0.7205128205128205,0.7333333333333333
CricketYTruncEnd,0.764102564102564,0.7230769230769231,0.6641025641025641,0.7461538461538462,0.7153846153846154,0.7333333333333333,0.7307692307692307,0.7307692307692307,0.7153846153846154,0.7333333333333333,0.7282051282051282,0.7538461538461538,0.7051282051282052,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6974358974358974,0.6948717948717948,0.7384615384615385,0.735897435897436,0.717948717948718,0.7512820512820513,0.7717948717948718,0.7153846153846154,0.717948717948718,0.735897435897436,0.7076923076923077,0.735897435897436,0.7333333333333333,0.7538461538461538
