Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.82,0.74,0.67,0.71,0.76,0.66,0.77,0.71,0.68,0.75,0.67,0.7,0.73,0.71,0.84,0.74,0.64,0.77,0.68,0.67,0.79,0.68,0.83,0.74,0.78,0.66,0.68,0.73,0.76,0.74
AdiacTruncEnd,0.6572890025575447,0.5933503836317136,0.578005115089514,0.6265984654731458,0.6342710997442456,0.618925831202046,0.6086956521739131,0.6163682864450127,0.6163682864450127,0.5652173913043478,0.5959079283887468,0.6061381074168798,0.6112531969309463,0.6061381074168798,0.6086956521739131,0.5831202046035806,0.5703324808184144,0.6112531969309463,0.6010230179028133,0.5882352941176471,0.6061381074168798,0.5933503836317136,0.629156010230179,0.5959079283887468,0.59846547314578,0.5882352941176471,0.6265984654731458,0.6010230179028133,0.5421994884910486,0.5754475703324808
ArrowHeadTruncEnd,0.6571428571428571,0.6342857142857142,0.6742857142857143,0.6914285714285714,0.6457142857142857,0.7085714285714285,0.7428571428571429,0.7657142857142857,0.6228571428571429,0.6342857142857142,0.7314285714285714,0.7314285714285714,0.7314285714285714,0.6342857142857142,0.68,0.68,0.6171428571428571,0.6457142857142857,0.6685714285714286,0.7142857142857143,0.7257142857142858,0.6971428571428572,0.6457142857142857,0.6914285714285714,0.6914285714285714,0.6342857142857142,0.6571428571428571,0.7371428571428571,0.6342857142857142,0.6971428571428572
BMETruncEnd,0.82,0.7733333333333333,0.7266666666666667,0.7666666666666667,0.7066666666666667,0.8,0.72,0.7266666666666667,0.7266666666666667,0.8133333333333334,0.8466666666666667,0.7266666666666667,0.7333333333333333,0.7933333333333333,0.7533333333333333,0.7733333333333333,0.8266666666666667,0.82,0.78,0.78,0.7333333333333333,0.76,0.6866666666666666,0.7266666666666667,0.76,0.7533333333333333,0.7533333333333333,0.8133333333333334,0.8066666666666666,0.6933333333333334
BeefTruncStart,0.5666666666666667,0.4666666666666667,0.5,0.5333333333333333,0.3333333333333333,0.43333333333333335,0.5666666666666667,0.4666666666666667,0.5333333333333333,0.43333333333333335,0.4666666666666667,0.5,0.4,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.4,0.43333333333333335,0.43333333333333335,0.36666666666666664,0.5333333333333333,0.36666666666666664,0.5666666666666667,0.4666666666666667,0.5666666666666667,0.4666666666666667,0.5333333333333333,0.36666666666666664,0.6
BeetleFlyTruncEnd,0.75,0.9,0.8,0.85,0.85,0.85,0.9,0.85,0.75,0.75,0.85,0.85,0.55,0.8,0.9,0.85,0.75,0.7,0.75,0.85,0.8,0.85,0.95,0.75,0.65,0.85,0.85,0.85,0.65,0.85
BirdChickenTruncEnd,0.65,0.8,0.8,0.75,0.7,0.75,0.95,0.65,0.75,0.9,0.75,0.8,0.7,0.85,0.7,0.9,0.7,0.65,0.7,0.95,0.85,0.75,0.8,0.55,0.75,0.65,0.85,0.65,0.75,0.85
CBFTruncEnd,0.8144444444444444,0.8455555555555555,0.8044444444444444,0.8711111111111111,0.7955555555555556,0.8277777777777777,0.8277777777777777,0.7922222222222223,0.8922222222222222,0.7877777777777778,0.82,0.8933333333333333,0.8222222222222222,0.8477777777777777,0.8511111111111112,0.8266666666666667,0.7444444444444445,0.8711111111111111,0.8922222222222222,0.8744444444444445,0.89,0.8088888888888889,0.86,0.8411111111111111,0.8533333333333334,0.8877777777777778,0.8844444444444445,0.8211111111111111,0.8566666666666667,0.8866666666666667
CarTruncEnd,0.7166666666666667,0.75,0.8333333333333334,0.7666666666666667,0.75,0.6666666666666666,0.7666666666666667,0.6333333333333333,0.7833333333333333,0.75,0.7666666666666667,0.8166666666666667,0.6333333333333333,0.8333333333333334,0.7666666666666667,0.65,0.7833333333333333,0.75,0.65,0.8,0.7166666666666667,0.8,0.8,0.7833333333333333,0.7833333333333333,0.7666666666666667,0.65,0.7833333333333333,0.7,0.7833333333333333
ChinatownTruncEnd,0.8775510204081632,0.8338192419825073,0.9008746355685131,0.8163265306122449,0.7317784256559767,0.8629737609329446,0.9212827988338192,0.7288629737609329,0.8717201166180758,0.9183673469387755,0.8163265306122449,0.7521865889212828,0.8571428571428571,0.8454810495626822,0.8309037900874635,0.6501457725947521,0.8192419825072886,0.9271137026239067,0.8833819241982507,0.7988338192419825,0.7638483965014577,0.880466472303207,0.8542274052478134,0.8658892128279884,0.8746355685131195,0.8775510204081632,0.8862973760932945,0.8979591836734694,0.8134110787172012,0.8571428571428571
