Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.87,0.78,0.79,0.75,0.87,0.75,0.73,0.73,0.66,0.73,0.79,0.71,0.77,0.68,0.78,0.82,0.63,0.69,0.73,0.73,0.72,0.67,0.69,0.81,0.86,0.74,0.63,0.69,0.78,0.78
AdiacTruncEnd,0.37851662404092073,0.3554987212276215,0.3989769820971867,0.49104859335038364,0.4859335038363171,0.4143222506393862,0.4092071611253197,0.40153452685422,0.4629156010230179,0.4578005115089514,0.41687979539641945,0.38107416879795397,0.3989769820971867,0.4194373401534527,0.4859335038363171,0.41687979539641945,0.3734015345268542,0.45012787723785164,0.44501278772378516,0.4296675191815857,0.4219948849104859,0.3554987212276215,0.4680306905370844,0.3989769820971867,0.3989769820971867,0.3657289002557545,0.49104859335038364,0.4936061381074169,0.43478260869565216,0.4629156010230179
ArrowHeadTruncEnd,0.72,0.6171428571428571,0.68,0.6628571428571428,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6514285714285715,0.6857142857142857,0.7428571428571429,0.6514285714285715,0.6342857142857142,0.7142857142857143,0.6628571428571428,0.6971428571428572,0.7142857142857143,0.6114285714285714,0.5885714285714285,0.6057142857142858,0.68,0.7257142857142858,0.7428571428571429,0.6514285714285715,0.7142857142857143,0.6342857142857142,0.6457142857142857,0.5828571428571429,0.6971428571428572,0.7314285714285714,0.72
BMETruncEnd,0.62,0.6,0.6466666666666666,0.5866666666666667,0.62,0.6533333333333333,0.6333333333333333,0.62,0.6066666666666667,0.7,0.7133333333333334,0.7733333333333333,0.6733333333333333,0.54,0.7066666666666667,0.66,0.54,0.72,0.6,0.58,0.6533333333333333,0.56,0.6066666666666667,0.7,0.6066666666666667,0.7066666666666667,0.6466666666666666,0.6533333333333333,0.7333333333333333,0.6333333333333333
BeefTruncStart,0.7,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.6,0.6,0.6,0.36666666666666664,0.5,0.7,0.43333333333333335,0.6666666666666666,0.43333333333333335,0.6,0.6,0.43333333333333335,0.4666666666666667,0.4666666666666667,0.4,0.5666666666666667,0.5333333333333333,0.6,0.5333333333333333,0.7333333333333333,0.5666666666666667,0.7333333333333333,0.4,0.4,0.43333333333333335,0.7333333333333333
BeetleFlyTruncEnd,0.9,0.8,0.85,0.75,0.8,0.9,0.95,0.7,1.0,0.9,0.65,0.8,0.6,0.8,1.0,0.75,0.75,1.0,0.85,0.6,0.85,0.65,0.85,0.85,0.7,0.7,1.0,0.75,0.55,0.7
BirdChickenTruncEnd,0.9,0.85,0.9,0.8,0.8,0.65,1.0,0.9,0.95,1.0,0.85,0.8,0.45,0.85,0.95,0.9,0.7,0.95,0.85,0.9,0.95,0.8,0.8,0.8,0.8,0.75,0.95,0.8,0.85,0.8
CBFTruncEnd,0.9022222222222223,0.9044444444444445,0.9122222222222223,0.8155555555555556,0.92,0.9111111111111111,0.8988888888888888,0.83,0.8977777777777778,0.8811111111111111,0.8433333333333334,0.87,0.8966666666666666,0.8711111111111111,0.8911111111111111,0.9,0.8555555555555555,0.8855555555555555,0.9188888888888889,0.8866666666666667,0.9211111111111111,0.8677777777777778,0.9077777777777778,0.9133333333333333,0.91,0.8677777777777778,0.92,0.8844444444444445,0.8788888888888889,0.9111111111111111
CarTruncEnd,0.6333333333333333,0.7333333333333333,0.6666666666666666,0.7,0.6,0.6333333333333333,0.6833333333333333,0.5833333333333334,0.7833333333333333,0.6333333333333333,0.75,0.7666666666666667,0.55,0.6666666666666666,0.75,0.7166666666666667,0.7833333333333333,0.5833333333333334,0.75,0.7166666666666667,0.6833333333333333,0.6666666666666666,0.75,0.6333333333333333,0.5833333333333334,0.6666666666666666,0.6,0.6333333333333333,0.6833333333333333,0.7166666666666667
ChinatownTruncEnd,0.8192419825072886,0.7317784256559767,0.7434402332361516,0.8688046647230321,0.7900874635568513,0.8454810495626822,0.8309037900874635,0.7667638483965015,0.7551020408163265,0.8483965014577259,0.8367346938775511,0.6997084548104956,0.749271137026239,0.8862973760932945,0.8250728862973761,0.6384839650145773,0.7434402332361516,0.8338192419825073,0.7988338192419825,0.7959183673469388,0.8046647230320699,0.8600583090379009,0.880466472303207,0.7784256559766763,0.8104956268221575,0.8163265306122449,0.7667638483965015,0.8221574344023324,0.7871720116618076,0.7784256559766763
