Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8762222222222223,0.8191111111111111,0.8327777777777777,0.8115000000000001,0.8199444444444444,0.7886111111111112,0.8076666666666666,0.8361666666666667,0.7715555555555556,0.7973333333333333,0.8288888888888889,0.8257222222222222,0.8332777777777777,0.8322222222222223,0.8635555555555554,0.8134444444444445,0.8062222222222221,0.8224444444444444,0.8267222222222221,0.8067222222222223,0.7905555555555556,0.7926666666666665,0.8331666666666665,0.8379444444444445,0.8288333333333333,0.8351111111111112,0.7617777777777778,0.8057777777777777,0.8146111111111111,0.7940555555555556
AdiacTruncEnd,0.7118657735434296,0.7085085061966914,0.7101773450714601,0.7189274049506823,0.7039963844290072,0.7162012021622358,0.6949269505178554,0.7201612417037656,0.7175367729301254,0.7113855771383838,0.7195683097866304,0.7023110114513227,0.718102537234255,0.736552515499873,0.7259575451051055,0.709760762410288,0.7082191620964329,0.7184265094190265,0.6863943576992314,0.7017530671294463,0.7032305737822742,0.6882481884491494,0.7163236842774553,0.6730673382424178,0.7241346456580043,0.7313534540774357,0.6979298650986969,0.7113689507299575,0.7081736635451243,0.7074153983233571
ArrowHeadTruncEnd,0.7640762670672971,0.7587525959966417,0.8070350404312668,0.7815098758340329,0.7488140161725069,0.7213287084088198,0.6955013035217179,0.7666775661702973,0.7627683266316116,0.7928765852149706,0.7540475454023242,0.7744439043789492,0.8395488489240421,0.7715204807564844,0.7099452079006672,0.8453956961689718,0.7194887543634838,0.7883248641244311,0.6770752507622286,0.8060200609783039,0.739794529627502,0.8312010074676329,0.7354354646281649,0.7769585966152622,0.7962595554770006,0.7520030047280278,0.6246140250099422,0.7919521894746144,0.7905006407140648,0.7608112765675401
BMETruncEnd,0.8517333333333332,0.8970333333333333,0.8381333333333333,0.8078,0.8373333333333333,0.8240333333333333,0.8456999999999999,0.8814333333333334,0.8338666666666665,0.8697666666666665,0.8805333333333333,0.8654000000000001,0.8887999999999999,0.8482,0.8561666666666665,0.8542,0.8727333333333334,0.8810666666666669,0.8624666666666667,0.8156666666666667,0.8535333333333334,0.8807999999999998,0.82,0.8475,0.8576333333333332,0.8386999999999999,0.8882666666666668,0.8819333333333332,0.8346999999999999,0.8565666666666668
BeefTruncStart,0.579861111111111,0.617361111111111,0.5569444444444444,0.607638888888889,0.6020833333333333,0.5923611111111111,0.5993055555555556,0.601388888888889,0.6194444444444444,0.5604166666666667,0.5291666666666667,0.5958333333333333,0.6104166666666667,0.5416666666666666,0.575,0.6152777777777777,0.5590277777777776,0.5708333333333333,0.607638888888889,0.6097222222222222,0.5770833333333333,0.6520833333333333,0.5208333333333334,0.7131944444444446,0.670138888888889,0.6576388888888888,0.538888888888889,0.5715277777777779,0.6097222222222222,0.5993055555555554
BeetleFlyTruncEnd,0.825,0.79,0.8600000000000001,0.66,0.8400000000000001,0.6399999999999999,0.8049999999999999,0.715,0.76,0.85,0.7100000000000001,0.815,0.525,0.745,0.7699999999999999,0.8350000000000001,0.6,0.7300000000000001,0.74,0.8099999999999999,0.8250000000000001,0.7649999999999999,0.91,0.67,0.6149999999999999,0.775,0.9,0.78,0.44999999999999996,0.74
BirdChickenTruncEnd,0.9700000000000001,1.0,0.97,0.795,1.0,1.0,1.0,1.0,0.945,0.9049999999999999,0.9,0.9,0.7649999999999999,0.9,0.8900000000000001,0.9349999999999999,0.73,0.8599999999999999,0.89,0.95,0.8400000000000001,0.74,0.6599999999999999,0.835,0.95,0.945,1.0,0.89,1.0,0.99
CBFTruncEnd,0.9259052440809014,0.897950367205726,0.9406774413851513,0.919086682053669,0.9347301941009221,0.933087102027471,0.9530319887402042,0.9078274577433576,0.9387252331816032,0.9354403368679405,0.9116605578745112,0.9314756997094206,0.9111617290294995,0.9299023085647455,0.9389888110999588,0.9197168801669813,0.9160676300004156,0.9265558150440355,0.9391774225783578,0.9486046399692507,0.9488970318394483,0.8971484260113178,0.9351101600820256,0.9215312534954091,0.9454493389638485,0.9301128595770405,0.9595967638014907,0.9464653352321198,0.9022707565269245,0.9546120760395282
CarTruncEnd,0.8365651534637455,0.7981659371404074,0.8572785286132232,0.8426045215586291,0.8704964915051555,0.805816937794725,0.85735881410618,0.8183696780307305,0.8629123327542249,0.8580471634966119,0.8624226288516355,0.8450857569399005,0.757291408136098,0.8335834969126751,0.8461368952264916,0.774398516880636,0.8448091762369982,0.7455712303422757,0.7938768680008723,0.8803742394500725,0.8399156156223913,0.8134873987500283,0.8406001105570723,0.8268092439250017,0.8061410881222597,0.8300878815911193,0.7540090100253454,0.8410888743485031,0.8279370012710304,0.8792858727615953
ChinatownTruncEnd,0.8873793044518501,0.8505725027770656,0.9054515936084763,0.8963300008544817,0.8513842604460397,0.9193796462445527,0.8903699906007007,0.8919080577629668,0.8473681961890114,0.9612919764163035,0.7589506964026319,0.8554216867469879,0.888084251901222,0.9486029223276083,0.9086772622404511,0.7925318294454413,0.8658677262240452,0.9372810390498162,0.8217123814406564,0.8789840211911475,0.8964368110740836,0.9126292403657181,0.9033794753482013,0.8602922327608307,0.8704178415790823,0.9656284713321371,0.9249551397077672,0.8845167905665214,0.8850294796206101,0.8834059642826625
ChlorineConcentrationTruncStart,0.5715361754524703,0.5544916676769484,0.5581976270773972,0.5964697218686438,0.5519346074528211,0.549148644883624,0.5516073858073599,0.5708962645075265,0.5852392335151142,0.5839563588802413,0.5481358968196627,0.5790665710250528,0.557615532612882,0.5603312492427451,0.5798563600303098,0.5711888088034297,0.557938063056466,0.5544336167403622,0.5724243115082533,0.5555768138078112,0.5514217530837769,0.586754268092241,0.5855574540457158,0.5509934172982417,0.5573805610640848,0.587061253353464,0.5502451934251494,0.5556032380480527,0.5534087639443752,0.5795903050811427
CinCECGTorsoTruncEnd,0.8471354686518571,0.7740046346775888,0.8667465700219502,0.8367890349659751,0.8428391671973627,0.7896778858672895,0.8017439862029291,0.761804171701076,0.7723676537837422,0.8119738290709115,0.8588245250756782,0.7662777458045288,0.8232831368013288,0.7916428108032498,0.8254892077190764,0.8333347946531615,0.7797174366090734,0.8063159787644449,0.7787307323233138,0.8194658677227,0.8133343049036199,0.7734432489034704,0.8521605853739695,0.8381769422027876,0.7977880676933335,0.8302003852029113,0.8333894045249759,0.844652630795317,0.8532088280852455,0.7574050162826137
CoffeeTruncStart,1.0,1.0,0.9948717948717949,1.0,0.9333333333333333,0.9666666666666667,0.9948717948717949,0.9333333333333333,1.0,1.0,0.9948717948717949,0.9615384615384616,0.958974358974359,1.0,0.9948717948717949,1.0,0.9666666666666667,0.958974358974359,1.0,1.0,1.0,0.9333333333333333,1.0,0.9641025641025641,0.9641025641025641,0.9333333333333333,1.0,0.9897435897435898,1.0,0.9666666666666667
ComputersTruncStart,0.7243520000000001,0.7603519999999999,0.8025280000000001,0.8000959999999999,0.794176,0.82192,0.7861759999999999,0.7669440000000001,0.79152,0.810784,0.762496,0.7941119999999999,0.785056,0.7978559999999999,0.794304,0.7813119999999999,0.781984,0.7818239999999999,0.80512,0.8209919999999999,0.7555519999999999,0.775008,0.7736959999999999,0.84416,0.7399359999999999,0.8335039999999998,0.794272,0.8081919999999999,0.799168,0.7966719999999999
CricketXTruncEnd,0.8667049448093215,0.9006341338138487,0.8844926164213112,0.8937008244621228,0.9119643726976998,0.9087376079854272,0.8969965688863293,0.8984967160951768,0.8812137405260092,0.8984407331929655,0.8932497331623275,0.8966788801836093,0.9251643471392027,0.8879743239513699,0.8942653048869186,0.8961571983880472,0.8888906085263029,0.9021203760647185,0.8991239723995424,0.9008418151806786,0.9104911602699596,0.8861621033820274,0.9069891664748816,0.8832311840174542,0.9002624984008274,0.893104380139135,0.8719946236186681,0.9130870606110734,0.8995019851337707,0.8900732789946719
CricketYTruncEnd,0.9068513162893479,0.8973989703022214,0.878040610942999,0.900202181811086,0.8962217902199145,0.9009826973929416,0.9033098012833117,0.8981346627363761,0.8846971146141535,0.902689913011353,0.8932084544086765,0.9170364679781914,0.8903741911872977,0.8989028738480006,0.9033442162082628,0.8985267395892752,0.8820036911574007,0.8834200264874711,0.9017771138085722,0.8927520800488652,0.9007451039916751,0.912843597502272,0.9118001189466642,0.88733074718354,0.8870367551572416,0.9037832726869085,0.8811616208531947,0.9002063941034728,0.9078313936151807,0.9129803404079767
CricketZTruncEnd,0.9091595057727965,0.9011403067493007,0.8856675749866462,0.9133911523428317,0.9008647441098209,0.8976602666373116,0.9067999782106106,0.9060337396776982,0.8921330846474689,0.8986170027669771,0.9126600227340058,0.9014032958494952,0.9045903775803398,0.9086912473266724,0.8971298540646118,0.9031917319528621,0.9030254904777929,0.8906701397908536,0.8968530986687486,0.882027100644728,0.9047640333121885,0.8993645147566788,0.9121663303968522,0.9120079344675902,0.9033792603400171,0.9008948869946912,0.8995733203992431,0.899599532322404,0.9009033318209918,0.891364866997391
CropTruncEnd,0.8600523144040224,0.8629776730257321,0.864401541703638,0.8638616404170364,0.8616254639899438,0.8640512662673765,0.861723959257616,0.8605073850192251,0.8632887995415557,0.8657815808932269,0.8587397108843537,0.8618034106033716,0.8617906203785861,0.8633388013901213,0.8655262570245489,0.8621907146554274,0.8607749519372967,0.8615978538154392,0.8648460921325053,0.8637328453120379,0.8606079913487134,0.8593105497633836,0.8627877661934339,0.8598939829192547,0.8622608381396036,0.860891718426501,0.8598327140638865,0.864732373927832,0.8632619269446908,0.8636301316178645
DiatomSizeReductionTruncEnd,0.6397698985577612,0.6841522683219651,0.6458718033331302,0.7549475957174763,0.6659399022670883,0.7972531381435924,0.7125336349445047,0.7824279459876335,0.7183143780047411,0.7612279014084675,0.780347704470317,0.6651728443762193,0.773606293414625,0.7482031057851734,0.8271827174662645,0.7876605194001789,0.7453987873856103,0.6088139174325419,0.643594541135615,0.7264781601619248,0.7131042537073436,0.8357345311704746,0.7408470533935175,0.6280319573192603,0.6596537547736736,0.6372930180471085,0.5196025034194807,0.6465552184395197,0.7314168518521841,0.7517418572685958
DistalPhalanxOutlineAgeGroupTruncStart,0.7631402375919665,0.8554465668964393,0.8261794531245099,0.8131175007683479,0.8117156579879949,0.844352016207435,0.8068939225254496,0.8504006385127295,0.8706000718170016,0.8565062204813307,0.8012638929832595,0.8308180003512448,0.8044274083784411,0.8396930842422836,0.8035116240050679,0.8562500392014201,0.8388591132325177,0.8285961422666575,0.8163005776721256,0.8342603162456957,0.8477900983485225,0.8885865849604536,0.8239752748803572,0.8280136091649785,0.8296717116280821,0.8973675854434152,0.8667193272409099,0.8295361923190305,0.8431119968889752,0.8544244290705186
DistalPhalanxOutlineCorrectTruncStart,0.6994328922495274,0.7676208479611126,0.803753713205509,0.8165541452876046,0.723062381852552,0.7772616797191465,0.7409937888198758,0.7617607345395626,0.797866594652984,0.7767485822306238,0.7694301917364299,0.7849581420469889,0.7431541992978665,0.7367269781258439,0.7765595463137995,0.7840399675938429,0.7702133405347016,0.7863354037267081,0.7897110450985687,0.813421550094518,0.7349176343505266,0.7471779638131244,0.7596813394544963,0.7761544693491764,0.78822576289495,0.7871455576559545,0.764704293815825,0.8035646772886849,0.7169862273832028,0.7592492573588983
DistalPhalanxTWTruncStart,0.8327296888948214,0.7943889762076193,0.7616770737306866,0.7864113943086455,0.7974765592898191,0.851892382475352,0.794723477765671,0.8088465028402984,0.8060703239168222,0.7783942332617431,0.7881500218031141,0.810545939462342,0.8168193224900733,0.8122629778940756,0.8088013569640493,0.8058015474692872,0.803696459557455,0.7802392273549554,0.7828397142157689,0.823549742045952,0.7851938812800194,0.8089267338149047,0.7923042309754088,0.8207278521928619,0.8143373175931664,0.7693872617433263,0.7763023772245486,0.792405137191323,0.8162479268167927,0.8100055088563888
ECG200TruncEnd,0.8307291666666666,0.9097222222222223,0.8372395833333334,0.8697916666666666,0.9047309027777778,0.8155381944444445,0.8546006944444445,0.9021267361111112,0.8289930555555556,0.8504774305555555,0.877170138888889,0.9205729166666667,0.8435329861111112,0.9273003472222222,0.8799913194444444,0.8882378472222223,0.8107638888888888,0.9088541666666666,0.8038194444444444,0.8619791666666667,0.8823784722222222,0.8602430555555557,0.8782552083333334,0.8396267361111112,0.8530815972222223,0.8270399305555555,0.8500434027777777,0.8802083333333335,0.9364149305555556,0.8812934027777778
ECG5000TruncStart,0.9489573367406818,0.952041676461074,0.9563310291669073,0.9503474859486739,0.9473628352801202,0.9487787807416643,0.9586971337741514,0.9504684912556592,0.95497235584091,0.945552490113337,0.9580570543427639,0.9560385905684998,0.9551662498532595,0.9585179404693487,0.9440128324418982,0.9550410380831915,0.950166077341661,0.9560567386897031,0.9540013132086452,0.9556087396708612,0.939949636556469,0.9529501573140183,0.959717153764345,0.9471848312755163,0.9483061947681705,0.9577777804960169,0.9446820281717022,0.9553907180398372,0.9498939132484115,0.9548706222973637
