Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.960888888888889,0.9225555555555556,0.9454999999999998,0.9363888888888888,0.9469444444444445,0.9134444444444444,0.9360555555555556,0.9244444444444444,0.9126666666666666,0.9237222222222222,0.9238333333333333,0.9337777777777779,0.9481111111111111,0.9397222222222222,0.9510555555555555,0.9428333333333333,0.9329444444444445,0.9378888888888888,0.9436666666666668,0.9432222222222222,0.9505555555555556,0.9763333333333335,0.9638333333333334,0.9457222222222222,0.9642777777777778,0.946111111111111,0.9344444444444444,0.9486666666666664,0.9422777777777778,0.9427222222222221
AdiacTruncEnd,0.9790748944532605,0.9763287542750717,0.9685263832522025,0.9770264114314867,0.9710422409036573,0.9719270530114676,0.9763539397302986,0.9746009311507986,0.9762451092463417,0.976868167692032,0.9747384246800027,0.9776829103057848,0.9762629890090598,0.968926333426016,0.978898545631195,0.9730695334779855,0.9729396864427846,0.979247474912103,0.9713745370169699,0.9738607159457245,0.9721387067993573,0.9779567149566587,0.9817036825806346,0.9742350937675411,0.9778754347654655,0.9759736747231735,0.9766615611873916,0.9768525374327,0.9707370471339378,0.9793406186466102
ArrowHeadTruncEnd,0.8819610269099907,0.8829808669524104,0.8622288012018913,0.9447474702841235,0.9218156510980512,0.910674738190977,0.8612818700013257,0.8704414298970439,0.945043524369228,0.907546727939552,0.8804127082320711,0.9226273695373604,0.9152976006362954,0.9074256550748973,0.9056820290751625,0.8859029649595687,0.8003495205691309,0.849247492377712,0.8415894127524192,0.9204944545093015,0.9225416464142105,0.9201254915823428,0.8892651672484645,0.9075834032963634,0.9271958817551147,0.8789616013432902,0.8804948963810701,0.8891463037426537,0.8830405196412001,0.9058861738323539
BMETruncEnd,0.9339333333333334,0.9256666666666669,0.9122666666666667,0.9084666666666665,0.9190333333333335,0.8825666666666666,0.9249666666666667,0.9352666666666668,0.9427,0.9427,0.9398333333333335,0.9416000000000001,0.9367666666666665,0.8919666666666666,0.9431666666666666,0.9427333333333333,0.9104,0.9303666666666667,0.9279666666666666,0.9067333333333335,0.9284333333333332,0.9383666666666667,0.9218333333333334,0.9534333333333335,0.9418666666666666,0.9175999999999999,0.9181333333333334,0.9325333333333333,0.8894666666666666,0.8944666666666667
BeefTruncStart,0.6402777777777777,0.6715277777777777,0.6520833333333333,0.775,0.6250000000000001,0.6604166666666668,0.6229166666666667,0.6215277777777778,0.6083333333333333,0.6493055555555556,0.570138888888889,0.6534722222222221,0.6194444444444442,0.6229166666666667,0.6375,0.6020833333333333,0.5944444444444444,0.6402777777777778,0.6888888888888889,0.6326388888888889,0.6041666666666666,0.7305555555555556,0.6090277777777778,0.6979166666666666,0.7354166666666667,0.6840277777777776,0.6513888888888889,0.6229166666666667,0.5708333333333333,0.6451388888888889
BeetleFlyTruncEnd,0.95,0.92,0.8500000000000001,0.7599999999999999,0.8700000000000001,0.77,0.845,0.9099999999999999,0.93,0.855,0.77,0.885,0.57,0.78,0.91,0.7849999999999999,0.87,0.7,0.8,0.66,0.87,0.8899999999999999,0.8900000000000001,0.6799999999999999,0.7400000000000001,0.8400000000000001,0.955,0.865,0.73,0.92
BirdChickenTruncEnd,0.93,0.84,0.92,0.845,0.8999999999999999,0.9299999999999999,0.89,0.8399999999999999,0.8599999999999999,1.0,0.87,0.9800000000000001,0.99,0.9299999999999999,1.0,0.92,0.73,0.88,0.805,0.9400000000000001,1.0,0.9,0.9299999999999999,0.95,1.0,0.79,0.9600000000000001,0.8949999999999999,0.93,0.83
CBFTruncEnd,0.9957972790747059,0.9837949930410749,0.985811522329672,0.9777933528582418,0.9860740628085168,0.986774731149276,0.9885107547799913,0.9652654309945007,0.9870326945916683,0.9791980569640074,0.9956831487428048,0.9904993660320506,0.9863631075633351,0.9839059234197253,0.9889737568894799,0.9800156447828845,0.9876773369086816,0.9866418368948954,0.9889276294325081,0.9895235379878707,0.9955011970297611,0.9949010892404978,0.9940591236404684,0.9848723360300711,0.991477911194898,0.9926182851723044,0.9923785110472422,0.9910580260356804,0.9898716989756676,0.9907862363594162
CarTruncEnd,0.8744190113038965,0.9240859299203537,0.9391520573392599,0.8995802403676211,0.9434224182667358,0.9698122786038221,0.9520454938591939,0.9103881342929988,0.924093168776276,0.9285483555575612,0.9186187134766813,0.9156445778148808,0.9003638230184338,0.9398983175770702,0.9445108789663289,0.8900447868956026,0.9437584139948707,0.8488553206531141,0.9560770665523491,0.9191262794912871,0.947743451185668,0.8883204350082354,0.9281166565134662,0.9310386160059565,0.8996304423034979,0.9237382768138506,0.920134924753503,0.9390731820130412,0.9408821439046954,0.9283908869384715
ChinatownTruncEnd,0.9933991284286081,0.9924591984961121,0.9912415619926516,0.9932923182090062,0.9936127488678117,0.9948517474151927,0.9912629240365718,0.9944458685807058,0.9907715970264035,0.9939331795266171,0.9957703153037682,0.9920533196616252,0.991626078783218,0.9913483722122534,0.9940613517901393,0.9935273006921302,0.9959839357429718,0.9945526788003076,0.9922242160129882,0.9911347517730495,0.9937622831752543,0.9925232846278732,0.995172178073998,0.9934418525164488,0.993441852516449,0.9938904554387764,0.9943817824489447,0.994509954712467,0.9952789882936,0.9945099547124671
ChlorineConcentrationTruncStart,0.5779629993076305,0.5765825600587535,0.5847547946523274,0.5945967000214002,0.5772441442149983,0.5890853593947033,0.579984093074636,0.591251934084738,0.5758285335030978,0.6016257770762213,0.5679829332172159,0.5833499356291635,0.5728760920568939,0.5881104984905315,0.5752459065336544,0.5863664130561055,0.5906895538683621,0.5789480397476349,0.5839616800592561,0.5808478586982875,0.5921407959054666,0.5818088121086968,0.5940088448234733,0.577909873854311,0.5892436284872957,0.5891663350574571,0.5772931797183024,0.5761160136381522,0.5698305157522106,0.5858405696514548
