Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9901111111111112,0.9785555555555555,0.9790000000000001,0.965,0.9828888888888889,0.9636666666666666,0.9603333333333333,0.9775555555555556,0.9586666666666668,0.9597222222222223,0.9799999999999999,0.9711111111111111,0.9831111111111112,0.9779444444444443,0.9882222222222222,0.983,0.953,0.9735555555555554,0.9828888888888889,0.9752222222222221,0.9797777777777779,0.9691111111111111,0.9774444444444444,0.9824444444444445,0.9890000000000001,0.9778888888888889,0.9607777777777778,0.9716666666666667,0.9897777777777779,0.9847777777777778
AdiacTruncEnd,0.9790808379159485,0.9778695616937837,0.9742906829814352,0.9776661798267386,0.9736850031046653,0.9746049208636809,0.9744084833019436,0.9788647580197695,0.9791891275401962,0.979901181136488,0.9725051668051244,0.9775913794747458,0.9765451839578104,0.9698952503935372,0.9796278148047184,0.9736707733972566,0.975584379992612,0.9794770287830552,0.9724021645675941,0.9751047937242162,0.9741219790060327,0.9779568080727142,0.983284096413847,0.9722713515038715,0.9777245207658645,0.9774777073398153,0.9814797938785045,0.9796248111928831,0.974209399718927,0.981672089781918
ArrowHeadTruncEnd,0.9038221908002297,0.8422579647386328,0.8970323892006541,0.9164217224161548,0.870072908841854,0.8944518580707879,0.8768618266978924,0.8828801201891211,0.8699332773629093,0.8863815120851929,0.8767787548053556,0.8944050196632938,0.9275100525827404,0.8714321064027221,0.9100879324819937,0.8747700057443331,0.8257072157659848,0.8135062524855287,0.8418452565065617,0.9218169767133578,0.9226353232291991,0.9075144713004286,0.8547125624143874,0.8931076841500596,0.8950307100879324,0.8410861208077417,0.8252953912774514,0.90861561574831,0.8814449206840175,0.8918138836109759
BMETruncEnd,0.9228666666666667,0.9204,0.9033333333333333,0.8987333333333334,0.902,0.8968,0.9113333333333332,0.9213999999999999,0.9117333333333333,0.9289333333333334,0.9282666666666667,0.9340666666666667,0.9276666666666668,0.9037666666666666,0.9139333333333332,0.921,0.9144,0.9506666666666667,0.9345333333333333,0.8986666666666665,0.9254,0.9275333333333333,0.9208000000000001,0.9294,0.9386666666666665,0.917,0.9339333333333334,0.9338,0.9026,0.9067333333333333
BeefTruncStart,0.8138888888888889,0.8486111111111112,0.8416666666666667,0.8583333333333333,0.8236111111111111,0.8541666666666666,0.8694444444444446,0.7305555555555556,0.788888888888889,0.8777777777777779,0.6861111111111111,0.8805555555555554,0.7722222222222224,0.8333333333333334,0.8486111111111112,0.7541666666666667,0.7125,0.7444444444444446,0.7541666666666667,0.8305555555555555,0.7569444444444445,0.8111111111111111,0.7652777777777777,0.9291666666666667,0.85,0.8847222222222223,0.775,0.7416666666666667,0.6944444444444445,0.9513888888888888
BeetleFlyTruncEnd,0.9500000000000001,1.0,0.97,0.89,0.9500000000000001,0.93,0.93,0.9199999999999999,1.0,0.99,0.8400000000000001,0.91,0.62,0.88,1.0,0.9299999999999999,0.85,0.92,0.9500000000000001,0.95,0.9600000000000001,0.86,1.0,0.92,0.7,0.8999999999999999,1.0,1.0,0.78,0.9
BirdChickenTruncEnd,0.99,0.94,1.0,0.98,1.0,0.9600000000000001,1.0,1.0,1.0,1.0,0.9400000000000001,1.0,0.76,1.0,1.0,1.0,0.8600000000000001,0.99,0.99,1.0,0.99,0.89,0.85,0.9299999999999999,1.0,0.9199999999999999,1.0,0.9299999999999999,0.9500000000000001,1.0
CBFTruncEnd,0.9904989764495327,0.9740097397172726,0.9755770824202573,0.9704761166482095,0.978889282535238,0.9789503131516277,0.9837533843380152,0.9528861297327171,0.9804959556752276,0.9597993374206215,0.9805661779369567,0.975178583465742,0.9798820039975754,0.9806232026857912,0.9866301511992108,0.9682010440033696,0.9603776178171527,0.9740555476336569,0.9783390620801136,0.9825139155455638,0.9921214732427068,0.990053669053113,0.9899822329095838,0.9806940441313546,0.9843735405496276,0.9883029227896771,0.9872510828309615,0.983952159962271,0.973680486655613,0.9881738640717408
CarTruncEnd,0.9030594977550145,0.9493642968344578,0.9577734031271857,0.9309629370576776,0.9562504230500214,0.9361021487180644,0.975181817498101,0.9218333295728888,0.9412511375345022,0.9599834164391597,0.9592292592676157,0.972968795830419,0.9105803870249619,0.9717729744364973,0.9789950963801961,0.9212837405894874,0.9724507945819514,0.8815749494220196,0.9432985116160135,0.9750955152937284,0.9851580890924543,0.9529604100388831,0.955905026210299,0.9515519355008536,0.9411535539962246,0.9525087806382226,0.9278778682791452,0.9664604062784383,0.9509549649150516,0.9735541090378526
ChinatownTruncEnd,0.9812014013500812,0.9784670597282747,0.9787234042553191,0.9926514568913953,0.946167649320687,0.9944885926685465,0.9774416816200974,0.971759377937281,0.986328291890968,0.9920960437494658,0.9541143296590617,0.9698367939844484,0.9408271383405964,0.9909852174656071,0.9812868495257626,0.9727847560454586,0.9795778860121336,0.9917969751345809,0.9709476202683073,0.9827394685123472,0.9779116465863453,0.989917115269589,0.986328291890968,0.9918396992224217,0.9676151414167308,0.9915833546953773,0.9868837050328976,0.9806459882081517,0.9727420319576177,0.9825685721609843
