Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9758333333333333,0.9528333333333334,0.9647777777777778,0.9421111111111111,0.9733333333333333,0.9493888888888888,0.9264999999999999,0.9607777777777777,0.9463333333333332,0.933888888888889,0.9645,0.958111111111111,0.9581111111111111,0.9585555555555554,0.9702222222222222,0.96,0.9264999999999999,0.9714444444444444,0.9527222222222222,0.9465,0.9720555555555557,0.96,0.968111111111111,0.9770555555555557,0.9768888888888889,0.9591666666666667,0.9448888888888889,0.9513888888888888,0.9628888888888889,0.9625555555555555
AdiacTruncEnd,0.965896538885048,0.9663824860312846,0.9561312254173958,0.9567635337588191,0.9592107720514779,0.9584017021439413,0.9561621032691157,0.9596668404539777,0.9600748073377381,0.9613507767568398,0.9557133963003545,0.9621668236609193,0.9578774219584861,0.9559802228883869,0.9607782915462694,0.9568976726791836,0.9632179655166757,0.9616753046797875,0.955597584077128,0.9595608395994044,0.9524158785361565,0.965110454352476,0.9640138977840459,0.9525914358665416,0.9629005296735952,0.9611841508786821,0.9663975376911156,0.9667387214463,0.9539148944332486,0.9640582625374763
ArrowHeadTruncEnd,0.8779245283018869,0.831505015244576,0.8572595112898237,0.8860324333878308,0.8128620034465998,0.8732601299103001,0.8570005744332995,0.8709752109937696,0.8355887941319429,0.8134426229508197,0.8806464583977731,0.8770350404312668,0.8935535327647917,0.8151645972338827,0.8744836728381423,0.8351433873889798,0.8168901064910962,0.8059056161901815,0.8678507357164951,0.8956515399231143,0.910712739163095,0.8617219742830631,0.8114161990190447,0.8513914541999912,0.8778396889222748,0.7963629534709029,0.8520564712120543,0.8885838009809552,0.8200225354602094,0.8784892404224295
BMETruncEnd,0.9004666666666666,0.9188333333333333,0.8935333333333333,0.9107333333333333,0.8883666666666666,0.8973333333333333,0.8649333333333334,0.8866666666666667,0.8920666666666667,0.9356333333333333,0.9204666666666667,0.9037999999999999,0.8898666666666668,0.9103000000000001,0.8935000000000001,0.8669666666666668,0.9138333333333333,0.9380666666666665,0.9119333333333333,0.9162333333333333,0.8954333333333333,0.9057333333333333,0.8451333333333333,0.8829333333333333,0.9094333333333333,0.9121,0.8998666666666668,0.9274000000000001,0.8996999999999999,0.8629999999999999
BeefTruncStart,0.8347222222222223,0.7659722222222224,0.7458333333333333,0.8645833333333334,0.6965277777777777,0.7916666666666667,0.8145833333333334,0.75,0.7930555555555555,0.7680555555555556,0.7256944444444444,0.7930555555555555,0.7909722222222223,0.7645833333333333,0.7666666666666667,0.69375,0.6305555555555556,0.7576388888888889,0.7069444444444445,0.8236111111111112,0.7638888888888888,0.7868055555555556,0.7388888888888889,0.8631944444444444,0.757638888888889,0.7868055555555556,0.8229166666666667,0.7909722222222223,0.6493055555555555,0.8506944444444444
BeetleFlyTruncEnd,0.86,0.8900000000000001,0.955,0.86,0.9299999999999999,0.9400000000000001,0.885,0.8999999999999999,0.8849999999999999,0.96,0.89,0.8950000000000001,0.53,0.815,0.9400000000000001,0.8900000000000001,0.89,0.71,0.925,0.9199999999999999,0.8799999999999999,0.925,0.99,0.815,0.6799999999999999,0.905,0.93,0.9299999999999999,0.83,0.93
BirdChickenTruncEnd,0.72,0.845,0.8200000000000001,0.85,0.79,0.8400000000000001,1.0,0.78,0.8200000000000001,0.9800000000000001,0.815,0.88,0.8200000000000001,0.95,0.9500000000000001,0.9600000000000001,0.81,0.765,0.89,0.98,0.9,0.85,0.8,0.62,0.78,0.81,0.93,0.71,0.79,0.9200000000000002
CBFTruncEnd,0.941135991932832,0.9445131025529913,0.9403562699050566,0.9467808325030771,0.9412320114976586,0.9498251073674481,0.9476652188110732,0.9221095143341099,0.9642030298999208,0.9124444479732903,0.9394850367164574,0.941208487728053,0.9379958488530531,0.9571456343342086,0.9576140533145842,0.9346916674794329,0.8819736443779416,0.9469745667647337,0.9616674054094427,0.9616115872789532,0.9620511034793391,0.9401281657038986,0.9575934963577786,0.9465785199670944,0.9447545979831875,0.9746702081360576,0.9616635570024852,0.9433132338404582,0.947990927491787,0.9602800614451272
CarTruncEnd,0.9272532584252762,0.9399374262012741,0.9759780916495566,0.8997854666335747,0.9511794634597595,0.8992060761264412,0.9643298323593782,0.8762994216436152,0.9069763768868031,0.9659895986101397,0.9604357979287472,0.9682376864240427,0.9068019862668562,0.9796515760023465,0.9585298165655106,0.8848850808119553,0.9779629483390114,0.87911919105315,0.8815123380188473,0.9725070132292442,0.9622805780555493,0.947282796717884,0.9362551988147078,0.946623590773373,0.9652971127306093,0.9601477478697081,0.9208077623098155,0.9359668667223213,0.8928681287275407,0.9775170536164196
ChinatownTruncEnd,0.9414039135264463,0.9305306331709818,0.9220071776467573,0.8484576604289499,0.812676236862343,0.9434973938306417,0.9292702725796804,0.8476672648038964,0.9515508843886182,0.9672092625822438,0.8885114927796292,0.8753311116807656,0.9133769119029309,0.908784072460053,0.947641630351192,0.9013500811757666,0.9161326155686575,0.964389472784756,0.92040502435273,0.9428351704691106,0.8958600358882338,0.9610569939331796,0.9356788857557891,0.9584935486627361,0.9428778945569511,0.9441382551482527,0.955310604118602,0.969516363325643,0.9108561907203282,0.9412330171750832
ChlorineConcentrationTruncStart,0.6639683648806713,0.6970448343525898,0.670006389123653,0.6871876052138776,0.6695272018171546,0.6603772215269965,0.6646713385661862,0.6817514006518024,0.6546701190408473,0.6670772828834195,0.6337814132488868,0.6893333562279257,0.6314516353711118,0.6656720557810443,0.6608619187667844,0.6490157897902064,0.6717781540514917,0.6624838733538058,0.6574991700526609,0.6520768749701953,0.6690849833539975,0.6746355237624606,0.6747368387117073,0.6625708536304896,0.6933971418439568,0.6514811816504161,0.6741862595328958,0.6881905918291089,0.6637950024898494,0.6704973323574812
CinCECGTorsoTruncEnd,0.9884993760921813,0.9919947200226643,0.9921907574995317,0.9913385581647776,0.9723403397279925,0.9665122231538079,0.9752214772197453,0.9203731783548462,0.9713356803991973,0.9792353886077262,0.9739316957740872,0.9419793717924693,0.990236107060596,0.9743019715790296,0.9773034940277627,0.9597715879878818,0.984490004027686,0.9742816621192351,0.9471523360517624,0.9797206809465852,0.9326024411735481,0.9814444380837485,0.9776488539390159,0.9857173712012318,0.966680880263842,0.9615333984841489,0.9850027447184271,0.9524211845260099,0.9881506569603877,0.968670299346305
CoffeeTruncStart,1.0,1.0,0.9358974358974359,1.0,1.0,1.0,0.9794871794871796,1.0,1.0,0.9948717948717949,1.0,1.0,1.0,1.0,1.0,1.0,0.976923076923077,1.0,1.0,0.9897435897435898,1.0,0.9794871794871796,1.0,1.0,1.0,0.9871794871794872,0.9897435897435898,0.9538461538461538,0.941025641025641,0.9948717948717949
ComputersTruncStart,0.7643519999999999,0.835904,0.8220479999999999,0.810688,0.814816,0.854336,0.8447680000000001,0.8000320000000001,0.8092159999999999,0.8389759999999999,0.81248,0.8376,0.8508160000000001,0.8214079999999999,0.839648,0.875552,0.8515520000000001,0.814048,0.851232,0.816064,0.780192,0.844064,0.8410559999999999,0.81312,0.7823360000000001,0.883808,0.856736,0.8513600000000001,0.784096,0.845632
CricketXTruncEnd,0.9440114824245388,0.944087873586154,0.9405987005415726,0.9463185126729154,0.9556167076487162,0.9528159520178806,0.9522897761024158,0.9497929025112379,0.9364724230354817,0.9455253043411963,0.953423032401061,0.944023981758468,0.9533795583066472,0.9397255680226457,0.9379987061276279,0.9469459450582584,0.9464426705331549,0.9478924582551573,0.9442971034260853,0.9467447412178908,0.9466537519861055,0.9460216082423422,0.9438824057071056,0.9402181996323198,0.9434620095021949,0.9466506621980512,0.9294815865675813,0.9551065213013017,0.9420902901718483,0.9477101349262366
CricketYTruncEnd,0.9485888456599159,0.9502452870479149,0.940261380915774,0.9515560731584116,0.9511969284392295,0.9446917420999847,0.9405466801339508,0.9454547867750998,0.9394423844476191,0.9509557377654625,0.9409532432908307,0.9557208280680046,0.9468848854037819,0.9523250467747102,0.9463272767251522,0.9492106368665228,0.9333405553781917,0.9475149763595895,0.9534688806673619,0.9452378511699958,0.9456123281518993,0.9500704941099466,0.947242210777357,0.952151308284707,0.9457280846423385,0.9515708276353517,0.9448762796898135,0.9484090109928333,0.9544881446253787,0.9537287626376494
CricketZTruncEnd,0.9467638825193027,0.9519960810319894,0.9406872642801949,0.9592734054510704,0.9350017868185809,0.9464970003968513,0.9494242567661446,0.9554078450757701,0.9410680227795712,0.9496253646702566,0.9473301135891264,0.9420019033404409,0.9496413466032759,0.945801960299064,0.9400762110036941,0.9457935196686087,0.9468342415059691,0.936442467794695,0.933877911989095,0.9443362593279875,0.9490728431999553,0.9511251129281185,0.9455110957619007,0.9557594614801095,0.9549930071281879,0.9553675449549148,0.9561213212359705,0.9512503771096629,0.9451048499748581,0.9465833537621096
CropTruncEnd,0.9496945837030465,0.9511352392043774,0.9507692472641229,0.9518114093463471,0.9512353094498669,0.9514152746968353,0.9520822962880805,0.9512823461993493,0.9503026933599527,0.9511314182194617,0.9504818969979296,0.9512119639160012,0.9513615627772848,0.9511437370600414,0.9519293200976043,0.9508569709405501,0.9502230201863354,0.9496488224637682,0.9514441160159716,0.9517387995415557,0.9501552998373263,0.9500981366459627,0.9505943359952677,0.9506330948683821,0.9519166943951494,0.9510707760278023,0.9503316936557231,0.9510924911268857,0.951840385610766,0.9522548672729961
