Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9847222222222222,0.9674444444444444,0.9774444444444444,0.9561666666666667,0.9782222222222223,0.9511666666666667,0.9279999999999999,0.9664999999999999,0.9397777777777779,0.9404444444444442,0.9683888888888889,0.9662777777777778,0.98,0.9601666666666666,0.9785555555555555,0.975611111111111,0.9351666666666667,0.9537222222222224,0.9760555555555556,0.9605,0.9629444444444445,0.934888888888889,0.9513888888888888,0.9741111111111109,0.9766111111111112,0.965,0.955888888888889,0.9556111111111112,0.9759444444444444,0.9860000000000001
AdiacTruncEnd,0.8599314833362118,0.8583044494300477,0.8530545433529219,0.901331252076246,0.8894645346420954,0.8647925497250996,0.8797664572069182,0.866968920733875,0.898062053211831,0.8947976728787469,0.8494570205159188,0.8641235826250717,0.867462644042079,0.8726754515387274,0.8978142210772639,0.8751299160010102,0.8172496274982083,0.8792023555137918,0.858832684333823,0.8866062243385444,0.8680532744530296,0.8380292645600325,0.8927109315506705,0.8596396319177588,0.8506523441070548,0.8589768140339775,0.9066719309857908,0.8998396997442839,0.8863952101197249,0.8866014836649706
ArrowHeadTruncEnd,0.8938142371083911,0.7992386549423358,0.8804431973841191,0.8633432018028367,0.865246343511113,0.8694299854182318,0.8688453890680924,0.84867880341125,0.85923335248111,0.8801714462462993,0.8028964694445672,0.852901771905793,0.896791569086651,0.8458464053731607,0.8876218461402501,0.837624497370863,0.8085851265962619,0.7711581459060581,0.8072462551367593,0.8725244134152269,0.903068799434404,0.8710772833723652,0.8498678803411249,0.8762339269144094,0.8564880031814767,0.7935190667668243,0.7795802218196279,0.8516075294949407,0.8726242764349785,0.8678507357164951
BMETruncEnd,0.8011666666666666,0.81,0.8035666666666667,0.8070666666666667,0.8158000000000001,0.8414666666666667,0.8462666666666666,0.8205666666666667,0.8037666666666666,0.8740999999999999,0.8761666666666668,0.8780333333333332,0.8438,0.7660999999999999,0.866,0.8186,0.7855333333333334,0.8900666666666668,0.7960999999999999,0.7926666666666666,0.8364999999999999,0.7685333333333333,0.8296333333333333,0.8735666666666666,0.8238333333333333,0.8275666666666667,0.8648000000000002,0.8540666666666665,0.8595,0.8351333333333332
BeefTruncStart,0.8326388888888889,0.8347222222222224,0.8458333333333335,0.8284722222222222,0.8305555555555556,0.8270833333333333,0.8590277777777778,0.7125,0.7868055555555554,0.8743055555555556,0.6770833333333334,0.875,0.7479166666666667,0.8659722222222221,0.8569444444444445,0.8041666666666667,0.7229166666666667,0.7402777777777778,0.7423611111111111,0.8388888888888889,0.7430555555555555,0.8055555555555556,0.788888888888889,0.9097222222222224,0.8458333333333333,0.9041666666666667,0.6895833333333334,0.6986111111111112,0.6972222222222222,0.9465277777777779
BeetleFlyTruncEnd,0.93,0.8899999999999999,0.9600000000000001,0.8799999999999999,0.89,0.8900000000000001,0.9400000000000001,0.8400000000000001,1.0,0.9400000000000001,0.7,0.8499999999999999,0.64,0.85,1.0,0.9,0.8,1.0,0.98,0.7949999999999999,0.9299999999999999,0.6499999999999999,0.9700000000000001,0.91,0.74,0.71,1.0,0.8400000000000001,0.75,0.8699999999999999
BirdChickenTruncEnd,0.98,0.92,0.9800000000000001,0.9299999999999999,0.91,0.71,1.0,0.98,0.96,1.0,0.92,0.9400000000000001,0.44,0.88,1.0,0.95,0.8200000000000001,1.0,0.9200000000000002,0.99,1.0,0.9099999999999999,0.96,0.89,0.86,0.9,0.98,0.8200000000000001,0.9099999999999999,0.825
CBFTruncEnd,0.9845602506694519,0.968099940040486,0.9659267743612789,0.9516143313320766,0.9781796395268592,0.9719587856737503,0.9641596464034785,0.916975830513343,0.9678185862250323,0.9520256687008456,0.9482311511177285,0.9449594301767962,0.9805112889628814,0.958389111319344,0.9688450436486331,0.9484481563992685,0.9577085596012794,0.9576658538592815,0.9665088112295899,0.9722682511595807,0.9854205319153752,0.9683301714360613,0.980765506334844,0.9637156419124822,0.9752076604349101,0.9626314851029208,0.9717432105932864,0.9703207148495064,0.9595640957327509,0.9803069693984254
CarTruncEnd,0.8008160164857894,0.9325220174033377,0.8945208441446117,0.9064440859487227,0.8765632168347585,0.8709830930409213,0.8975158502741363,0.870752013718102,0.928401886239029,0.9138470852793634,0.9141308108270721,0.9344804569692321,0.8351127757346029,0.9333987650699818,0.9463348826365229,0.9528630145228372,0.9369768281401594,0.8409247309401864,0.935454600151922,0.9295266352293495,0.9384430255033355,0.8972712333506313,0.9181300436963667,0.8959590261952572,0.840977377165076,0.9391424682054407,0.8369394117160414,0.9267856471349172,0.9290191632258599,0.9437666869730676
ChinatownTruncEnd,0.8838545672049902,0.847175937793728,0.8446552166111253,0.9354439032726651,0.847111851661967,0.9262795864308297,0.8852858241476544,0.8431171494488593,0.8641160386225754,0.9280953601640605,0.8269247201572246,0.8064171579936769,0.7610014526189867,0.9437323763137657,0.8748825087584381,0.7551482525848073,0.8102409638554217,0.8875074767153721,0.8627275057677519,0.8627915918995129,0.8577928736221481,0.9214517645048278,0.9294411689310433,0.8796248825087585,0.8315816457318637,0.8790908314107494,0.8873793044518499,0.8835554985901051,0.8591173203452106,0.9373451251815773
ChlorineConcentrationTruncStart,0.7364707736008621,0.7296441275735959,0.7359230313458152,0.7334583536103378,0.722195361236894,0.7111608733096453,0.720167963560494,0.7432253288022165,0.7192926266654406,0.7388607501963838,0.7436293002770215,0.7385145421188252,0.7371899092389659,0.7336547193682336,0.7155935932063755,0.7189793093687694,0.7374131755067472,0.7194537732441558,0.7249264687259396,0.7279181548413699,0.7338078378188756,0.7163817493879143,0.7418621038574339,0.7363141345171228,0.7381711646615722,0.7134710749835929,0.7243242760360857,0.7187302720839599,0.7338997312291847,0.7291115919530606
CinCECGTorsoTruncEnd,0.9909568884766062,0.9858705624429475,0.9344411258817351,0.9771090248167714,0.8581976663543905,0.9489968977660445,0.9765358483752383,0.9820845504534484,0.9863773516672444,0.9831991045642967,0.9170198646210608,0.986495537401049,0.9849036910232314,0.9678482683899775,0.956773991154618,0.9237340907221544,0.9824482166771925,0.9603722471675783,0.9462447438737108,0.9769119013864933,0.983354762042068,0.9862532228844818,0.9641122258302538,0.9739794904822981,0.9709718390410319,0.967238705635753,0.9937355459810985,0.976878012067171,0.9884775285461994,0.9642194824034126
CoffeeTruncStart,1.0,1.0,0.9897435897435898,1.0,0.958974358974359,1.0,1.0,0.9846153846153846,1.0,1.0,1.0,0.9846153846153846,1.0,1.0,1.0,1.0,1.0,0.9538461538461539,1.0,1.0,0.9948717948717949,0.9743589743589743,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,0.941025641025641,1.0
ComputersTruncStart,0.8432000000000001,0.956928,0.930112,0.92656,0.93152,0.9589119999999999,0.918336,0.9438080000000001,0.8657919999999999,0.957248,0.922752,0.9375999999999999,0.947584,0.937184,0.9590719999999999,0.9674879999999999,0.95344,0.915424,0.9276479999999999,0.961472,0.9203199999999999,0.953344,0.9227520000000001,0.894176,0.9354879999999999,0.9561919999999999,0.9472,0.915936,0.9166399999999999,0.953216
CricketXTruncEnd,0.9047881643762529,0.9194972596999905,0.9140515890200395,0.9087181745642433,0.9243291865891581,0.9155858553002735,0.9196989029195805,0.9250292671006254,0.9110720820259343,0.9183381602990526,0.9289658312527163,0.9269877092569861,0.9396855339786556,0.8940978154566411,0.9063921951266632,0.9129872523529107,0.9211838135080868,0.9374248661046966,0.9206866471787098,0.9211969626918425,0.9244474643842426,0.9192798592371324,0.9221498564307959,0.9182894461427201,0.9151202852068074,0.9258417839131248,0.908350972629482,0.9297302118178173,0.9355567273498565,0.9254588318622265
CricketYTruncEnd,0.9269285261046214,0.9390676912810204,0.9171379388768629,0.9540707780587264,0.9346659803449909,0.9418851218073697,0.9509948102071746,0.9369085196335231,0.9126279756853375,0.937916255851264,0.9361218872795616,0.9320630713129866,0.9304804787841746,0.9310999131216519,0.9187971234419202,0.9393369276709856,0.9231058932036929,0.9364324759828474,0.9399664589613619,0.9301099936702983,0.9356774992015514,0.9387203578632685,0.9494113575311288,0.9509934376474208,0.9234613970227341,0.9279332992703551,0.923973841205332,0.934558442857594,0.9164611349154921,0.9396950915693307
CricketZTruncEnd,0.9178767517084314,0.9422601420222451,0.9126263272026715,0.9351437184491204,0.9258202066980169,0.918836297927038,0.9344675286949425,0.9359880311082365,0.9302315968130705,0.9423354832177655,0.9187020967458103,0.9250117208844433,0.9285104901302609,0.920945269677486,0.9212592087953274,0.9215635625496013,0.9336008412298379,0.9083854244394758,0.9176731803308804,0.9171162004963089,0.9382467302714436,0.9387734973591724,0.9032006854688547,0.9320382563829164,0.9327796945868655,0.9405276481305547,0.9032397200179446,0.9233967177016085,0.9043502907898815,0.9419479751959526
