Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.71,0.61,0.61,0.63,0.61,0.6000000000000001,0.61,0.67,0.53,0.6,0.6799999999999999,0.57,0.6199999999999999,0.6,0.63,0.5599999999999999,0.5700000000000001,0.65,0.61,0.5800000000000001,0.54,0.6199999999999999,0.63,0.65,0.66,0.57,0.55,0.58,0.6499999999999999,0.5700000000000001
AdiacTruncEnd,0.3852523977523978,0.33303157053157056,0.3546464421464421,0.39741155991155985,0.36638417888417885,0.403507941007941,0.3733777858777859,0.39371038121038116,0.3652592527592528,0.3759488634488635,0.38616833616833623,0.36473732723732727,0.37881926631926627,0.40542666792666787,0.36437080187080184,0.37440483690483695,0.32728206478206473,0.3846762471762472,0.34698068448068453,0.3570496320496321,0.3515084015084015,0.3271909396909397,0.38189813189813193,0.33253930753930755,0.39034677784677785,0.4063556188556188,0.3612229362229362,0.3773025398025398,0.37987061737061734,0.35244173994174
ArrowHeadTruncEnd,0.6629295415185489,0.646978397593656,0.6677604593929449,0.6730471242366237,0.6169902470148574,0.6048673776319387,0.5497219943487376,0.6179017409534228,0.6276547260960714,0.6774222951417372,0.6130708230790266,0.661926898186127,0.7258226232795552,0.6711329869656367,0.5409716525385107,0.7084130890529577,0.5985780694558381,0.6861726369519644,0.5308540698204357,0.6512624191049129,0.6184486373165617,0.7422295141737307,0.5821711785616626,0.6329413909397502,0.6851699936195425,0.6358581715431592,0.4787166165345001,0.6933734390666303,0.6716798833287759,0.6241910491295233
BMETruncEnd,0.7666666666666666,0.8466666666666667,0.7733333333333333,0.7200000000000001,0.7333333333333334,0.7600000000000001,0.7666666666666667,0.84,0.7733333333333333,0.8133333333333334,0.84,0.7799999999999999,0.7933333333333333,0.7866666666666666,0.7466666666666667,0.8066666666666666,0.8066666666666666,0.8399999999999999,0.7933333333333333,0.7466666666666667,0.7933333333333333,0.7733333333333334,0.7000000000000001,0.7733333333333333,0.7799999999999999,0.7466666666666667,0.8133333333333334,0.7999999999999999,0.7733333333333334,0.7866666666666667
BeefTruncStart,0.29999999999999993,0.3666666666666666,0.2333333333333333,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.3,0.2333333333333333,0.3666666666666667,0.36666666666666664,0.26666666666666666,0.33333333333333337,0.3666666666666667,0.3333333333333333,0.3,0.3333333333333333,0.33333333333333337,0.3,0.4333333333333334,0.26666666666666666,0.5,0.4,0.39999999999999997,0.26666666666666666,0.29999999999999993,0.4,0.33333333333333337
BeetleFlyTruncEnd,0.7,0.7,0.8,0.6,0.8,0.7,0.8,0.7,0.7,0.85,0.6499999999999999,0.75,0.55,0.75,0.7,0.8,0.6,0.7,0.75,0.7,0.8,0.7,0.8500000000000001,0.7,0.65,0.75,0.75,0.75,0.44999999999999996,0.6499999999999999
BirdChickenTruncEnd,0.8500000000000001,0.9,0.8,0.75,1.0,1.0,0.95,0.95,0.95,0.9,0.8,0.9,0.75,0.85,0.8500000000000001,0.9,0.75,0.75,0.8500000000000001,0.95,0.8,0.7,0.6499999999999999,0.8,0.95,0.9,1.0,0.8500000000000001,0.95,0.95
CBFTruncEnd,0.8627281706347443,0.8408535688005886,0.9060264900662253,0.8718101545253863,0.9016114790286975,0.8926194744457777,0.9192416946926038,0.8483367161997323,0.904915378955114,0.9110807887757973,0.8597290743786145,0.8933991634196087,0.8528256070640176,0.8816408136657925,0.9016259981925123,0.877152021571329,0.8444908168758118,0.8916996804796263,0.9070198675496689,0.9059087564385577,0.9092852521840479,0.8431491770004592,0.9004927132563916,0.8850993377483444,0.9115673289183223,0.8784619069489508,0.9279835153167301,0.9125311742250273,0.8226781437199677,0.9113830738156263
CarTruncEnd,0.7389386928860613,0.5909485251590515,0.7186957779063042,0.6839936379410063,0.6998987854251012,0.6458935801041064,0.7328658183921342,0.6918016194331984,0.7618565644881434,0.7177559282822441,0.7238288027761712,0.7355407750144592,0.5970213996529786,0.7280942741469058,0.734600925390399,0.6101792943898207,0.6792943898207057,0.6303499132446501,0.6388085598611914,0.7609167148640832,0.7069115095430885,0.7332272990167727,0.7106709080393292,0.6866685945633314,0.7059716599190284,0.7247686524002313,0.5261711972238288,0.6900665124349334,0.66844997108155,0.7693753614806246
ChinatownTruncEnd,0.8767410065795096,0.8204092967615142,0.9019268563616167,0.8513415363581988,0.8398914808168846,0.8854780825429377,0.8568743057335726,0.8678971203964796,0.8207297274203196,0.9146799965820729,0.7417542510467401,0.8353413654618473,0.8581773904127147,0.9266213791335555,0.8857557891139024,0.7918696060839101,0.833482867640776,0.9199991455182432,0.7962488250875843,0.8522173801589337,0.8869520635734427,0.8798385029479621,0.8831496197556182,0.8361531231308212,0.8571520123045373,0.9358497821071521,0.8959027599760745,0.8731094591130479,0.8736007861232162,0.8597581816628215
ChlorineConcentrationTruncStart,0.3934203260987957,0.39027852811129177,0.3895695943671978,0.40950352033037957,0.3859622191271616,0.3812801890019361,0.38016292709388905,0.39237875176598186,0.38117675424059333,0.39837392802844446,0.386085433205134,0.39188557527401374,0.4015328627337871,0.39729402639966516,0.40063773536881325,0.39594182760274443,0.388974355314224,0.39685624348997955,0.38546215066792494,0.3942436566229435,0.39306204297165176,0.40108245740250464,0.38980304956305245,0.3872808931269074,0.38938454708005094,0.3979652877799899,0.3908104761440249,0.398529949635451,0.39254367628163594,0.38898665816291045
