Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.6900000000000001,0.63,0.6699999999999999,0.72,0.6100000000000001,0.62,0.67,0.62,0.5700000000000001,0.6599999999999999,0.58,0.6500000000000001,0.6799999999999999,0.6100000000000001,0.72,0.6599999999999999,0.5900000000000001,0.6199999999999999,0.6600000000000001,0.72,0.6799999999999999,0.78,0.77,0.6500000000000001,0.75,0.71,0.6,0.72,0.74,0.64
AdiacTruncEnd,0.7260775260775261,0.7124858999859,0.680468442968443,0.7203130203130204,0.7039813789813789,0.7030438030438031,0.678425815925816,0.6851203226203226,0.7232280857280857,0.6911576411576412,0.719953244953245,0.6982983607983608,0.7240337365337365,0.6895727020727019,0.7022896022896024,0.6683396933396932,0.7104677604677605,0.7245393495393496,0.6871964371964373,0.6557976932976932,0.7085866835866835,0.6779314904314904,0.7141482766482766,0.7256322506322506,0.7337324462324463,0.6912143037143037,0.6807709557709558,0.7270773895773895,0.6833066708066708,0.713978738978739
ArrowHeadTruncEnd,0.6817974660468508,0.7296508978215295,0.6750524109014675,0.8108650077476985,0.7596390484003281,0.7552638774952146,0.7001184942120134,0.6508066721356304,0.7688451371798378,0.7311092881232341,0.6739586181751891,0.7281925075198249,0.7344818156959256,0.7001184942120137,0.7112387202625102,0.7388569866010392,0.6019505970285297,0.689545164524656,0.6673047124236624,0.7407711238720261,0.7678424938474159,0.8026615623006107,0.7301066447908121,0.7732203080849512,0.7615531856713152,0.7170722814693282,0.6943760823990521,0.6977486099717437,0.7466046850788443,0.7678424938474159
BMETruncEnd,0.82,0.8266666666666667,0.7733333333333334,0.7733333333333334,0.8266666666666667,0.7866666666666666,0.82,0.8266666666666668,0.8066666666666666,0.84,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.7666666666666666,0.8066666666666666,0.8266666666666667,0.8133333333333334,0.8133333333333334,0.84,0.8333333333333334,0.8466666666666667,0.8266666666666667,0.82,0.7866666666666667,0.82,0.8066666666666666,0.7666666666666666
BeefTruncStart,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.5,0.3,0.36666666666666664,0.36666666666666664,0.33333333333333337,0.26666666666666666,0.3333333333333333,0.3,0.4,0.33333333333333337,0.2333333333333333,0.33333333333333337,0.3333333333333333,0.2333333333333333,0.3666666666666666,0.4333333333333334,0.3,0.2666666666666667,0.4333333333333333,0.26666666666666666,0.4,0.4666666666666667,0.4666666666666667,0.29999999999999993,0.2333333333333333,0.36666666666666664,0.36666666666666664
BeetleFlyTruncEnd,0.85,0.75,0.8,0.85,0.8500000000000001,0.75,0.7,0.75,0.8500000000000001,0.9,0.8,0.8500000000000001,0.6,0.65,0.8,0.75,0.8,0.8,0.8500000000000001,0.6,0.8,0.8500000000000001,0.8500000000000001,0.65,0.75,0.8,0.75,0.75,0.55,0.8500000000000001
BirdChickenTruncEnd,0.85,0.6499999999999999,0.8500000000000001,0.85,0.8,0.8,0.7,0.75,0.7,0.95,0.75,0.9,0.9,0.85,0.9,0.95,0.6499999999999999,0.75,0.7,0.9,1.0,0.9,0.85,0.95,0.9,0.75,0.95,0.85,0.9,0.6499999999999999
CBFTruncEnd,0.9700951647233703,0.9458204562178071,0.9447019867549669,0.9048712288447388,0.9247678168412423,0.9535466267636586,0.9345100769910761,0.8954343649841228,0.9578878567442503,0.9211394580499874,0.9656731904134009,0.9589477557027225,0.9090209441407272,0.9467770419426049,0.962347215431797,0.9213608999906168,0.8962188442943143,0.9490208453709054,0.9556364974245769,0.936850625459897,0.9656430656177312,0.9645548197203827,0.9712362030905077,0.9268650458538898,0.9579617365710081,0.9579838116261957,0.9656585724797645,0.9590654893303899,0.9479249448123621,0.934805003679176
CarTruncEnd,0.798582995951417,0.7628687102371313,0.7928716020821284,0.7716888374783112,0.8111625216888375,0.7171052631578947,0.7952573742047426,0.714358010410642,0.806390977443609,0.7956188548293812,0.796631000578369,0.8144881434355118,0.758530942741469,0.7942452284557548,0.8158617698091383,0.7928716020821284,0.8323452862926547,0.6707634470792366,0.7500722961249277,0.8013302486986698,0.8172353961827648,0.7510844418739155,0.8027038750722961,0.8191873915558125,0.796631000578369,0.745373048004627,0.7628687102371313,0.8350925390399075,0.7810873337189127,0.809788895315211
ChinatownTruncEnd,0.9879518072289157,0.9839357429718876,0.9813295736136034,0.9833376057421174,0.9799196787148594,0.9859437751004017,0.9806246261642314,0.9740023925489191,0.9819277108433735,0.9919678714859438,0.9919678714859438,0.9477911646586346,0.9846406904212595,0.9819277108433735,0.9813295736136034,0.9886567546782876,0.9806246261642314,0.9866487225497735,0.9846406904212595,0.9799196787148594,0.9819277108433735,0.9846406904212595,0.9760104246774332,0.9879518072289157,0.9826326582927455,0.9839357429718876,0.9879518072289157,0.9813295736136034,0.9879518072289157,0.9806246261642314
