Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8800000000000001,0.7500000000000001,0.8400000000000001,0.79,0.7899999999999999,0.76,0.77,0.7300000000000001,0.72,0.7699999999999999,0.7899999999999999,0.75,0.78,0.78,0.8400000000000001,0.8099999999999999,0.65,0.77,0.8399999999999999,0.74,0.74,0.74,0.8,0.85,0.8300000000000001,0.78,0.71,0.74,0.8300000000000001,0.82
AdiacTruncEnd,0.7113709113709112,0.6751525126525126,0.648961473961474,0.7157063282063283,0.6876944751944751,0.698405235905236,0.6662633537633538,0.6996900996900997,0.712045012045012,0.6977441852441852,0.6690044565044566,0.6706782331782332,0.6790699915699915,0.6751089376089376,0.7092620967620967,0.6769938019938021,0.6810538185538186,0.7084699834699835,0.6624559749559749,0.6568719568719569,0.6606473481473483,0.665436852936853,0.7344456594456594,0.7093998343998345,0.6897137772137771,0.6736993861993862,0.6869068619068619,0.7063087063087062,0.6517100767100767,0.6979201729201729
ArrowHeadTruncEnd,0.7306535411539513,0.6817974660468508,0.7373985962993346,0.7514356029532404,0.6629295415185489,0.746057788715705,0.6977486099717437,0.722358946313007,0.6692188496946495,0.7451462947771397,0.725275726916416,0.6725913772673412,0.8181569592562209,0.6986601039103091,0.7475161790174095,0.7354844590283475,0.6048673776319387,0.7006653905751526,0.59274450824902,0.7649257132440069,0.7587275544617628,0.7678424938474159,0.6759639048400329,0.7388569866010392,0.7325676784249384,0.6484367878953604,0.6334882873028894,0.7789627198979127,0.707410445720536,0.7112387202625102
BMETruncEnd,0.8666666666666667,0.7933333333333333,0.7933333333333333,0.7933333333333333,0.7799999999999999,0.7733333333333333,0.82,0.84,0.7999999999999999,0.82,0.8466666666666667,0.8266666666666667,0.7933333333333333,0.7733333333333333,0.8066666666666666,0.8066666666666666,0.8266666666666667,0.8333333333333334,0.7800000000000001,0.7999999999999999,0.8066666666666666,0.7933333333333333,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.7933333333333333,0.8266666666666667,0.7866666666666667,0.8066666666666666,0.82
BeefTruncStart,0.5999999999999999,0.5666666666666667,0.6,0.6,0.5666666666666667,0.5999999999999999,0.6,0.3333333333333333,0.5,0.6666666666666666,0.4333333333333333,0.6666666666666666,0.5,0.6,0.6,0.5,0.4333333333333334,0.4666666666666667,0.33333333333333337,0.5333333333333334,0.4333333333333334,0.6333333333333333,0.4666666666666666,0.7,0.6,0.7666666666666667,0.5,0.36666666666666664,0.3666666666666667,0.7333333333333333
BeetleFlyTruncEnd,0.9,0.95,0.8500000000000001,0.8500000000000001,0.9,0.8,0.9,0.8500000000000001,0.95,0.85,0.8,0.8,0.6,0.8,1.0,0.8500000000000001,0.8,0.75,0.8500000000000001,0.8500000000000001,0.8,0.75,0.95,0.7,0.7,0.8,1.0,0.8,0.6499999999999999,0.8500000000000001
BirdChickenTruncEnd,0.95,0.8500000000000001,1.0,0.9,0.9,0.8500000000000001,1.0,0.95,0.95,0.95,0.8500000000000001,0.9,0.6499999999999999,0.95,0.95,0.95,0.75,0.9,0.9,0.95,0.95,0.75,0.6499999999999999,0.8,0.95,0.75,1.0,0.8,0.9,0.9
CBFTruncEnd,0.8948331530784084,0.9103752759381898,0.921486387049301,0.8850478292862398,0.9093671817512877,0.8992641648270787,0.9368572924228732,0.8659967603498427,0.9391464311994113,0.9110732328844245,0.8641441841859638,0.9056512141280354,0.901449496520833,0.9126195732155997,0.9160117733627667,0.9092640660572568,0.8753144584203744,0.9071670345842531,0.9346357615894041,0.9280132450331126,0.9413162560311322,0.9347901882058957,0.9358349753816219,0.9104709345106695,0.9292273730684326,0.8906327194788904,0.9490139808682855,0.9257983811626196,0.8958940397350993,0.9291243561442237
CarTruncEnd,0.7938837478311163,0.7642423366107576,0.7820994794679006,0.8262724117987277,0.7858588779641411,0.734600925390399,0.8070416425679584,0.7096587622903412,0.8313331405436668,0.7820994794679006,0.8144881434355118,0.7797137073452862,0.7703152111046847,0.8299595141700405,0.8482504337767496,0.6961393869288606,0.8276460381723539,0.6839213418160787,0.7393001735106999,0.8252602660497398,0.8181752458068248,0.7618565644881434,0.7820994794679006,0.8060294968189705,0.7727009832272991,0.7989444765760555,0.7703152111046847,0.7510844418739155,0.7426257952573743,0.8647339502602661
ChinatownTruncEnd,0.9053447833888746,0.9146799965820729,0.9099589848756728,0.969986328291891,0.8485217465607109,0.9859437751004017,0.9008373921216781,0.908549089976929,0.9532171238144065,0.9766085619072034,0.7697598906263351,0.8353413654618473,0.8888960095701957,0.9786165940357174,0.9176706827309237,0.7971887550200802,0.8974194650944203,0.9580449457404084,0.8973126548748185,0.9036144578313253,0.896287276766641,0.9773135093565752,0.9332436127488678,0.9384559514654363,0.8624711612407074,0.963855421686747,0.9172861659403572,0.8877638212424165,0.8816329146372726,0.9273263265829275
ChlorineConcentrationTruncStart,0.4486490522733424,0.4419871906555732,0.467539041411891,0.44934927760503135,0.4950828785627656,0.44929923256822213,0.43368063339326546,0.45733307229954184,0.4625393707905692,0.4707566125853572,0.45093394130632447,0.44770693635673514,0.4595896913745161,0.4617351494716475,0.4991979780470168,0.4537778234692156,0.458429564599477,0.4390424074446167,0.45158701394855205,0.48658134883565124,0.4588191037382827,0.4740058921108618,0.4603863657939729,0.4428346506547645,0.462083172669014,0.453949539162202,0.4711570200365678,0.4471094517930327,0.47523792461224046,0.45652703453548343
CinCECGTorsoTruncEnd,0.9308439354820058,0.933161601133861,0.9550354442746913,0.8963940055699734,0.9004549194636993,0.89022505983978,0.8911165595147289,0.7956899902818271,0.9382533752304452,0.935801942003782,0.8941745927966915,0.888670700709182,0.935945931821568,0.8954543560913524,0.8542614818620049,0.868650834421161,0.9028843218664823,0.8385936484215567,0.8075956787858436,0.938698591346749,0.9009717617023926,0.8985803165114798,0.879302559860165,0.9464195574710215,0.883419877703724,0.9210151710242777,0.9518534876084028,0.8899558531051083,0.9631416236539293,0.8921740390609769
CoffeeTruncStart,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0,0.9333333333333333,1.0,0.9615384615384616,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9615384615384616,0.9666666666666667,1.0,0.9615384615384616,1.0,1.0,0.8897435897435897,1.0,1.0,0.9666666666666667,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0
ComputersTruncStart,0.78,0.8280000000000001,0.86,0.828,0.848,0.8560000000000001,0.812,0.804,0.8280000000000001,0.848,0.8,0.8240000000000001,0.856,0.8200000000000001,0.8240000000000001,0.868,0.852,0.804,0.848,0.8200000000000001,0.796,0.828,0.8160000000000001,0.8400000000000001,0.788,0.872,0.868,0.856,0.796,0.8280000000000001
CricketXTruncEnd,0.6928789096072777,0.7321316881314459,0.71185578852385,0.7479945516931918,0.751520008586318,0.7493579678817676,0.7349137178850792,0.7618618883103859,0.6922828388160598,0.7484597573399946,0.7352959101110571,0.7399949078473463,0.7846136520676286,0.7265718979459507,0.7379957953482271,0.7416889612644041,0.7296198930763795,0.7683075822694891,0.7481301539871447,0.7505327449754078,0.7439353448932877,0.7417567773260689,0.7757354380297786,0.7239002647930525,0.7378811193455389,0.7447891183532408,0.6931932641475034,0.7487850609204988,0.7318261241672374,0.745794409092861
CricketYTruncEnd,0.7652690002929036,0.7246604655676419,0.668622901161915,0.7490588560781952,0.7179735574783382,0.7361317675367599,0.734362824226357,0.7334446290837787,0.718169330826368,0.7362452306954571,0.7295523988635818,0.7546480206942404,0.710373573998394,0.7365862444914743,0.7368057355811314,0.7356039167785675,0.7003572065243939,0.6998770434407661,0.7387330106399088,0.7372844745886892,0.7208262585076283,0.7535616545263703,0.7744854825300621,0.7178857774421473,0.7217036624783386,0.7363820993480991,0.7101406110546168,0.7389992681117827,0.7355341493000576,0.753524370344428
CricketZTruncEnd,0.7612420213621571,0.7417816694039071,0.70244679219421,0.765314059981176,0.7285691003862177,0.7347041814947762,0.7474698690132526,0.7616694248805317,0.7146718018840564,0.7531241810391686,0.7557755556185883,0.7537994779916218,0.7572618382629592,0.7639519648397224,0.7273667560435602,0.7358439186207214,0.7375549810200712,0.7044865031660431,0.7184105522490944,0.6989245279107629,0.7458150883270318,0.7500219660748312,0.7484868025332555,0.7270217112445815,0.7536224749368298,0.72744240051976,0.7466634658753599,0.7239121822788217,0.7300358391766393,0.726362481875186
CropTruncEnd,0.6532738095238095,0.6549404761904762,0.6542857142857144,0.6551190476190476,0.6476785714285714,0.6508333333333334,0.6494047619047619,0.648452380952381,0.6511904761904762,0.6539285714285715,0.6463690476190476,0.652202380952381,0.6506547619047619,0.6551190476190476,0.655595238095238,0.6505952380952381,0.6441666666666667,0.6514285714285714,0.6525595238095238,0.6517857142857143,0.6444642857142857,0.645892857142857,0.6482142857142857,0.6473214285714285,0.6518452380952381,0.6474404761904763,0.6480357142857143,0.6525000000000001,0.65125,0.652797619047619
DiatomSizeReductionTruncEnd,0.6951621505494835,0.6718083777260306,0.5564458462258233,0.7081882173033406,0.729565886785814,0.708961343796187,0.6837990579178496,0.7335239536904662,0.6165693748870246,0.6832149085031952,0.7556497984083392,0.7110318148469286,0.7276784721759043,0.7770214868387856,0.6970218348272672,0.6597067157910406,0.662992729940639,0.6476559834202821,0.6962070826288984,0.6973591903274668,0.6996814092953523,0.7145117600774081,0.6397951290312291,0.7325118267752004,0.6806776133209991,0.6111345922783289,0.6451009867406722,0.7366443108233117,0.6701549491211841,0.680191818984125
DistalPhalanxOutlineAgeGroupTruncStart,0.7207590902506157,0.7510068086339272,0.7942633637548893,0.7473562219324932,0.7183833116036507,0.7435028248587571,0.6889468347095465,0.7874257569172824,0.7359988410835868,0.7541358829494423,0.661451542807475,0.7368100825727945,0.644357525713458,0.7154860205707664,0.7275966970882225,0.7243227582210633,0.7103578154425613,0.6980153556424743,0.7136897001303781,0.7170505577285238,0.8028103723018978,0.8134434303925829,0.7073736056786905,0.6865710560625815,0.7223236274083732,0.8201361726785455,0.7853397073736056,0.726032159930465,0.7290163696943358,0.7475880052151238
