Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8200000000000001,0.74,0.67,0.71,0.76,0.66,0.77,0.71,0.6799999999999999,0.75,0.67,0.7,0.73,0.71,0.8399999999999999,0.74,0.64,0.7699999999999999,0.6799999999999999,0.6699999999999999,0.79,0.6799999999999999,0.8300000000000001,0.74,0.78,0.66,0.6799999999999999,0.73,0.76,0.74
AdiacTruncEnd,0.6546487671487672,0.6017356142356143,0.5852460227460227,0.6311915936915936,0.6382726132726132,0.6164429414429415,0.609035184035184,0.6186202311202311,0.6271928896928896,0.5744496494496496,0.6025856275856275,0.6097276972276973,0.6203481953481954,0.6027332277332277,0.5958770583770583,0.5924138174138174,0.5693481443481444,0.6156865656865657,0.6118198618198617,0.596517334017334,0.6154527154527154,0.5966306216306216,0.6289360414360414,0.6061881811881812,0.603354415854416,0.5946313821313821,0.6250193500193499,0.6138117888117889,0.5541955416955416,0.5804573804573804
ArrowHeadTruncEnd,0.6591012669765747,0.6193601312551271,0.670677239996354,0.7041290675417008,0.6290219670039194,0.7025795278461398,0.7198979126788806,0.7567222677969191,0.6140734664114484,0.6164433506517182,0.7204448090420198,0.7204448090420198,0.7204448090420198,0.6222769118585362,0.6740497675690457,0.6784249384741591,0.6150761097438702,0.6406890894175553,0.6643879318202534,0.6957433233069,0.7301977941846687,0.6797921793820071,0.633397137909033,0.6866283839212469,0.6764196518093155,0.6237353021602406,0.6634764378816881,0.7179837754078936,0.6295688633670586,0.6870841308905296
BMETruncEnd,0.82,0.7733333333333333,0.7266666666666667,0.7666666666666666,0.7066666666666667,0.7999999999999999,0.7200000000000001,0.7266666666666667,0.7266666666666667,0.8133333333333334,0.8466666666666667,0.7266666666666667,0.7333333333333334,0.7933333333333333,0.7533333333333333,0.7733333333333333,0.8266666666666667,0.82,0.7799999999999999,0.7800000000000001,0.7333333333333334,0.7600000000000001,0.6866666666666666,0.7266666666666667,0.7600000000000001,0.7533333333333333,0.7533333333333334,0.8133333333333334,0.8066666666666666,0.6933333333333334
BeefTruncStart,0.5666666666666667,0.4666666666666666,0.5,0.5333333333333334,0.3333333333333333,0.4333333333333334,0.5666666666666667,0.4666666666666667,0.5333333333333333,0.4333333333333333,0.4666666666666667,0.5,0.4,0.33333333333333337,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.4,0.4333333333333334,0.4333333333333334,0.3666666666666667,0.5333333333333333,0.3666666666666666,0.5666666666666667,0.4666666666666666,0.5666666666666667,0.4666666666666666,0.5333333333333333,0.3666666666666667,0.6
BeetleFlyTruncEnd,0.75,0.9,0.8,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.9,0.8500000000000001,0.75,0.75,0.8500000000000001,0.8500000000000001,0.55,0.8,0.9,0.8500000000000001,0.75,0.7,0.75,0.8500000000000001,0.8,0.85,0.95,0.75,0.65,0.8500000000000001,0.85,0.85,0.6499999999999999,0.8500000000000001
BirdChickenTruncEnd,0.65,0.8,0.8,0.75,0.7,0.75,0.95,0.6499999999999999,0.75,0.9,0.75,0.8,0.7,0.85,0.7,0.9,0.7,0.65,0.7,0.95,0.85,0.75,0.8,0.55,0.75,0.6499999999999999,0.8500000000000001,0.6499999999999999,0.75,0.85
CBFTruncEnd,0.8151868478105201,0.8461512857361561,0.8053492253976721,0.8716259981925122,0.7961718792440159,0.8284839820041384,0.8283720264110505,0.7930162328202242,0.8924205026396234,0.7883861504955775,0.8201649949874316,0.8934654873549936,0.8227150342484357,0.8485575655214306,0.8515819468519589,0.8273206710421698,0.7445104226854525,0.8717584485236382,0.8924866290353645,0.8746715656498313,0.8901459817967218,0.809344415307347,0.860418833429634,0.8418984547461368,0.8537079178827701,0.8882703922643476,0.8848490550197292,0.8217807211184694,0.8571075751514883,0.8869532473048185
CarTruncEnd,0.7412521688837478,0.7642423366107576,0.8529496818970503,0.7881723539618276,0.7763880855986119,0.6782822440717178,0.7820994794679006,0.6500144592249856,0.8181752458068248,0.7797137073452862,0.7942452284557548,0.8384181607865818,0.6519664545980335,0.8576489300173511,0.7862203585887797,0.6637507229612493,0.8087767495662233,0.7642423366107576,0.6557258530942741,0.8252602660497398,0.7561451706188549,0.8219346443030653,0.8144881434355118,0.7952573742047426,0.7952573742047426,0.7922932330827067,0.6786437246963563,0.7980046269519954,0.7220213996529785,0.8027038750722961
ChinatownTruncEnd,0.879240365718192,0.8391865333675126,0.8953046227463044,0.7576048876356489,0.755660941638896,0.8427112706143725,0.892805263607622,0.7569640263180382,0.8950910023071008,0.8941083482867641,0.7807827052892421,0.8226950354609929,0.8420063231650003,0.8472186618815689,0.8769119029308724,0.7557250277706571,0.8291463727249424,0.9067546782876186,0.88325642997522,0.8515124327095617,0.8373493975903614,0.8944928650773305,0.8499316414594549,0.8910749380500727,0.8970990344356148,0.882551482525848,0.8918866957190463,0.906541057848415,0.8516192429291635,0.8585619072032812
