Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8699999999999999,0.78,0.79,0.75,0.8699999999999999,0.75,0.7299999999999999,0.73,0.6600000000000001,0.7299999999999999,0.7899999999999999,0.71,0.77,0.68,0.78,0.82,0.6300000000000001,0.6900000000000001,0.73,0.7300000000000001,0.72,0.67,0.69,0.8100000000000002,0.86,0.74,0.63,0.6900000000000001,0.78,0.78
AdiacTruncEnd,0.3828252828252828,0.3689733314733315,0.4089659214659214,0.4942946317946318,0.49446184446184444,0.4265336765336765,0.4167184542184542,0.40588405588405585,0.46999321999321997,0.47913850413850423,0.4255876630876631,0.3777955152955153,0.4151160401160401,0.4149695274695275,0.4995927495927496,0.4128828003828004,0.37391013641013643,0.47509251259251256,0.4563443313443314,0.4413302163302163,0.43310372060372054,0.3568203568203568,0.4767692517692518,0.3977625977625978,0.4082190707190707,0.36924378174378175,0.49517798267798263,0.5082117957117958,0.44847783597783586,0.48246531996532005
ArrowHeadTruncEnd,0.7224500957068636,0.6077841582353477,0.6798833287758637,0.6610154042475617,0.6847142466502598,0.6774222951417372,0.6861726369519644,0.646978397593656,0.6788806854434418,0.7388569866010392,0.6411448363868381,0.6222769118585361,0.7176191778324674,0.6478898915322213,0.6929176920973475,0.7103272263239448,0.6014948500592472,0.5938383009752985,0.596663932184851,0.6755081578707501,0.7360313553914866,0.7359402059976302,0.649895178197065,0.7176191778324674,0.6383192051772855,0.6465226506243732,0.5904657734026069,0.6987512533041654,0.7160696381369064,0.7020326314830007
BMETruncEnd,0.62,0.6,0.6466666666666667,0.5866666666666668,0.62,0.6533333333333333,0.6333333333333333,0.62,0.6066666666666667,0.7000000000000001,0.7133333333333334,0.7733333333333334,0.6733333333333333,0.54,0.7066666666666667,0.66,0.54,0.7200000000000001,0.6,0.5800000000000001,0.6533333333333333,0.5599999999999999,0.6066666666666666,0.7000000000000001,0.6066666666666666,0.7066666666666667,0.6466666666666666,0.6533333333333333,0.7333333333333334,0.6333333333333333
BeefTruncStart,0.7,0.5666666666666667,0.6333333333333333,0.5333333333333334,0.6,0.6,0.5999999999999999,0.36666666666666664,0.5,0.7,0.4333333333333333,0.6666666666666666,0.4333333333333333,0.6,0.6,0.4333333333333333,0.4666666666666666,0.4666666666666667,0.4,0.5666666666666667,0.5333333333333333,0.6,0.5333333333333333,0.7333333333333334,0.5666666666666667,0.7333333333333334,0.39999999999999997,0.39999999999999997,0.4333333333333333,0.7333333333333333
BeetleFlyTruncEnd,0.9,0.8,0.8500000000000001,0.75,0.8,0.9,0.95,0.7,1.0,0.9,0.6499999999999999,0.8,0.6,0.8,1.0,0.75,0.75,1.0,0.8500000000000001,0.6,0.85,0.65,0.85,0.8500000000000001,0.7,0.7,1.0,0.75,0.55,0.7
BirdChickenTruncEnd,0.9,0.85,0.9,0.8,0.8,0.6499999999999999,1.0,0.9,0.95,1.0,0.8500000000000001,0.8,0.45,0.85,0.95,0.9,0.7,0.95,0.8500000000000001,0.9,0.95,0.8,0.8,0.8,0.8,0.75,0.95,0.8,0.8500000000000001,0.8
CBFTruncEnd,0.9021152545051384,0.9044724950738551,0.9124128479784286,0.815847716688643,0.9202341832476506,0.9114345822777308,0.8989012351166226,0.830122523964028,0.8980426784400294,0.8809905131586095,0.8429807744541732,0.8699685911966458,0.8969460864927331,0.8713087001397594,0.8914785348484623,0.900227713824318,0.85511390629707,0.88589354588599,0.9190277098735252,0.8868357112167948,0.9213153671027353,0.8677606905985945,0.9079388713572456,0.9135387745628201,0.9102712713157622,0.8683290615385375,0.9201022267656339,0.884524497385069,0.8791756670666845,0.9113538379483533
CarTruncEnd,0.6458935801041064,0.7309138230190861,0.6769086176980913,0.6991035280508964,0.6182041642567958,0.6356998264893001,0.7008386350491614,0.5975997686524002,0.7999566223250434,0.6411943319838056,0.7473973395026027,0.7652544823597455,0.5591382301908617,0.6741613649508386,0.748770965876229,0.7183342972816656,0.7891844997108155,0.608371891266628,0.7507229612492771,0.7318536726431463,0.7041642567958357,0.6843551185656449,0.7413244650086755,0.6539184499710815,0.5929005205320994,0.6802342394447658,0.5994071717755929,0.6641122035858877,0.7041642567958357,0.7304800462695199
ChinatownTruncEnd,0.8125907886866615,0.7391053576006152,0.7868708878065453,0.8401051012560882,0.7593992993249594,0.8339741946509442,0.7875117491241562,0.7698239767580962,0.76179184824404,0.8657822780483637,0.7418610612663419,0.7832393403400837,0.7213534991027941,0.8488421772195164,0.8728958386738443,0.7112706143723831,0.7107152012304537,0.7564086131761087,0.7919123301717508,0.8263265829274544,0.8422840297359651,0.8274587712552337,0.8646928138084251,0.8142783901563702,0.8098778091087755,0.7807827052892421,0.7830684439887208,0.8278432880458002,0.8269247201572246,0.8242117405793385
ChlorineConcentrationTruncStart,0.5583740957283264,0.5597414506601214,0.556008140216223,0.5566506175693872,0.555526237220299,0.5385326738781381,0.558136219942536,0.5677679693585803,0.5540073830733167,0.5676740307093052,0.5663202652158048,0.5638113547630912,0.566114830229401,0.560566145289029,0.5583483908539577,0.5526438018948383,0.5632502873439115,0.5498507909224107,0.555251430220833,0.5692780918183731,0.563298586367106,0.5529106177500399,0.5825331835837747,0.5556364702426041,0.5594649593758168,0.5331018160162734,0.5444536756287479,0.5502364626015935,0.568460850382624,0.5572465738905018
CinCECGTorsoTruncEnd,0.8899487442356261,0.8967168327503171,0.71979395027053,0.7447164272704833,0.6193495866255405,0.7996101203911881,0.841934646583925,0.7769263108970296,0.8829593986444966,0.8512762385110959,0.6403863807700263,0.8739490770700783,0.8733921353220377,0.8339825384223647,0.6878837992645026,0.7062930284895914,0.8522788930326408,0.8245775596933772,0.7325454052166798,0.7627536231884058,0.8376253299619946,0.8560613082543685,0.7683262652342183,0.8513318418791729,0.758796195605844,0.8100048479673007,0.8178366316560405,0.8217710906962763,0.7680293494754336,0.8085269777519812
CoffeeTruncStart,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9282051282051282,0.9230769230769231,1.0,0.9282051282051282,1.0,0.9615384615384616,1.0,0.9230769230769231,0.9666666666666667,1.0,0.9615384615384616,1.0,1.0,0.8076923076923077,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9615384615384616,0.8948717948717949,0.9615384615384616,0.9666666666666667,0.9230769230769231,1.0
