Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.29,0.3,0.34,0.34,0.25,0.28,0.32,0.29,0.27,0.28,0.24,0.29,0.28,0.34,0.28,0.3,0.32,0.34,0.26,0.23,0.34,0.4,0.34,0.31,0.32,0.35,0.39,0.29,0.37,0.32
AdiacTruncEnd,0.23017902813299232,0.21739130434782608,0.22762148337595908,0.23017902813299232,0.22506393861892582,0.24808184143222506,0.23785166240409208,0.26342710997442453,0.2506393861892583,0.23273657289002558,0.21739130434782608,0.26854219948849106,0.2506393861892583,0.2531969309462916,0.2608695652173913,0.2531969309462916,0.2020460358056266,0.2557544757033248,0.19948849104859334,0.24296675191815856,0.24552429667519182,0.23273657289002558,0.27365728900255754,0.21227621483375958,0.24040920716112532,0.2506393861892583,0.24296675191815856,0.21483375959079284,0.23273657289002558,0.18414322250639387
ArrowHeadTruncEnd,0.5257142857142857,0.5028571428571429,0.4742857142857143,0.4228571428571429,0.5142857142857142,0.45714285714285713,0.4,0.4685714285714286,0.46285714285714286,0.5142857142857142,0.46285714285714286,0.4514285714285714,0.5085714285714286,0.5542857142857143,0.4857142857142857,0.5028571428571429,0.45714285714285713,0.49142857142857144,0.4857142857142857,0.5085714285714286,0.4685714285714286,0.56,0.42857142857142855,0.4857142857142857,0.52,0.5542857142857143,0.4742857142857143,0.5085714285714286,0.45714285714285713,0.52
BMETruncEnd,0.6733333333333333,0.68,0.7,0.5933333333333334,0.74,0.6866666666666666,0.7066666666666667,0.6266666666666667,0.7133333333333334,0.7266666666666667,0.68,0.7733333333333333,0.7133333333333334,0.6266666666666667,0.66,0.6866666666666666,0.6666666666666666,0.6666666666666666,0.7133333333333334,0.6933333333333334,0.7133333333333334,0.6533333333333333,0.66,0.7266666666666667,0.6933333333333334,0.7066666666666667,0.6266666666666667,0.7666666666666667,0.72,0.7533333333333333
BeefTruncStart,0.5,0.36666666666666664,0.3,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.4,0.4,0.4,0.4,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4,0.3,0.4666666666666667,0.4,0.43333333333333335,0.5333333333333333,0.4,0.43333333333333335,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.43333333333333335,0.36666666666666664,0.3333333333333333
BeetleFlyTruncEnd,0.55,0.55,0.6,0.6,0.55,0.55,0.55,0.8,0.5,0.65,0.45,0.6,0.55,0.4,0.65,0.55,0.4,0.55,0.65,0.55,0.45,0.7,0.6,0.35,0.45,0.65,0.55,0.45,0.2,0.6
BirdChickenTruncEnd,0.7,0.55,0.75,0.55,0.7,0.8,0.55,0.65,0.45,0.6,0.55,0.6,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.85,0.85,0.5,0.6,0.55,0.75,0.7,0.65,0.5,0.65,0.65
CBFTruncEnd,0.9533333333333334,0.8988888888888888,0.9366666666666666,0.9533333333333334,0.8711111111111111,0.9177777777777778,0.9433333333333334,0.9122222222222223,0.95,0.9544444444444444,0.9066666666666666,0.9211111111111111,0.9222222222222223,0.9344444444444444,0.9122222222222223,0.9011111111111111,0.87,0.8955555555555555,0.9166666666666666,0.9133333333333333,0.9455555555555556,0.8944444444444445,0.9411111111111111,0.8866666666666667,0.9155555555555556,0.9277777777777778,0.8988888888888888,0.9177777777777778,0.8488888888888889,0.8611111111111112
CarTruncEnd,0.31666666666666665,0.31666666666666665,0.4,0.43333333333333335,0.36666666666666664,0.45,0.36666666666666664,0.43333333333333335,0.4166666666666667,0.2,0.2833333333333333,0.31666666666666665,0.31666666666666665,0.35,0.43333333333333335,0.2833333333333333,0.38333333333333336,0.2833333333333333,0.45,0.4,0.3,0.31666666666666665,0.36666666666666664,0.4166666666666667,0.4166666666666667,0.43333333333333335,0.38333333333333336,0.31666666666666665,0.35,0.45
ChinatownTruncEnd,0.9329446064139941,0.8629737609329446,0.9154518950437318,0.8862973760932945,0.924198250728863,0.8833819241982507,0.9037900874635568,0.8134110787172012,0.8892128279883382,0.9446064139941691,0.7667638483965015,0.6793002915451894,0.8658892128279884,0.8221574344023324,0.9358600583090378,0.6705539358600583,0.8950437317784257,0.8892128279883382,0.8658892128279884,0.8833819241982507,0.8688046647230321,0.7988338192419825,0.8746355685131195,0.9037900874635568,0.8833819241982507,0.9154518950437318,0.8746355685131195,0.9183673469387755,0.8658892128279884,0.8979591836734694
ChlorineConcentrationTruncStart,0.4546875,0.44453125,0.44192708333333336,0.4630208333333333,0.4393229166666667,0.44583333333333336,0.44479166666666664,0.4557291666666667,0.45677083333333335,0.45651041666666664,0.42421875,0.45260416666666664,0.45234375,0.45859375,0.43307291666666664,0.4544270833333333,0.4361979166666667,0.46458333333333335,0.4666666666666667,0.4609375,0.45807291666666666,0.45208333333333334,0.44765625,0.45,0.4513020833333333,0.46119791666666665,0.43411458333333336,0.46015625,0.4317708333333333,0.4661458333333333
