Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.72,0.63,0.63,0.64,0.62,0.61,0.61,0.67,0.53,0.6,0.66,0.59,0.63,0.62,0.65,0.59,0.58,0.66,0.63,0.58,0.54,0.62,0.64,0.65,0.65,0.62,0.55,0.57,0.68,0.57
AdiacTruncEnd,0.3734015345268542,0.3273657289002558,0.33248081841432225,0.3836317135549872,0.35294117647058826,0.38618925831202044,0.35805626598465473,0.38107416879795397,0.3657289002557545,0.3631713554987212,0.38107416879795397,0.3836317135549872,0.3657289002557545,0.29923273657289,0.3554987212276215,0.37084398976982097,0.329923273657289,0.36061381074168797,0.329923273657289,0.35038363171355497,0.3452685421994885,0.32225063938618925,0.3452685421994885,0.319693094629156,0.3836317135549872,0.3836317135549872,0.3452685421994885,0.36061381074168797,0.38107416879795397,0.340153452685422
ArrowHeadTruncEnd,0.6171428571428571,0.6857142857142857,0.6971428571428572,0.6857142857142857,0.6342857142857142,0.6228571428571429,0.5714285714285714,0.68,0.6628571428571428,0.6857142857142857,0.6342857142857142,0.7428571428571429,0.72,0.6685714285714286,0.5942857142857143,0.7314285714285714,0.6057142857142858,0.6971428571428572,0.5657142857142857,0.6971428571428572,0.6114285714285714,0.76,0.64,0.6685714285714286,0.6971428571428572,0.6628571428571428,0.4742857142857143,0.7028571428571428,0.7085714285714285,0.6628571428571428
BMETruncEnd,0.7933333333333333,0.8066666666666666,0.7933333333333333,0.7666666666666667,0.82,0.76,0.8266666666666667,0.8533333333333334,0.7666666666666667,0.8333333333333334,0.8266666666666667,0.7666666666666667,0.82,0.8,0.74,0.8066666666666666,0.8266666666666667,0.8466666666666667,0.78,0.7866666666666666,0.7866666666666666,0.7933333333333333,0.7666666666666667,0.8266666666666667,0.82,0.7333333333333333,0.8066666666666666,0.7533333333333333,0.7666666666666667,0.74
BeefTruncStart,0.4,0.4,0.3333333333333333,0.36666666666666664,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3,0.23333333333333334,0.43333333333333335,0.36666666666666664,0.26666666666666666,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.3,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333
BeetleFlyTruncEnd,0.8,0.65,0.85,0.6,0.85,0.65,0.75,0.7,0.6,0.6,0.65,0.75,0.6,0.7,0.75,0.8,0.6,0.7,0.75,0.65,0.8,0.75,0.8,0.7,0.6,0.8,0.8,0.75,0.55,0.7
BirdChickenTruncEnd,0.95,0.95,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.95,0.85,0.9,0.8,0.9,0.85,0.9,0.8,0.95,0.85,0.95,0.85,0.85,0.75,0.85,1.0,0.9,1.0,1.0,0.95,0.85
CBFTruncEnd,0.9344444444444444,0.9311111111111111,0.9488888888888889,0.9266666666666666,0.9166666666666666,0.9277777777777778,0.9355555555555556,0.8411111111111111,0.96,0.9544444444444444,0.9377777777777778,0.9055555555555556,0.91,0.9233333333333333,0.9622222222222222,0.8966666666666666,0.9333333333333333,0.9233333333333333,0.9577777777777777,0.9255555555555556,0.9455555555555556,0.9322222222222222,0.9566666666666667,0.9311111111111111,0.9411111111111111,0.9288888888888889,0.9577777777777777,0.9611111111111111,0.8877777777777778,0.9411111111111111
CarTruncEnd,0.6833333333333333,0.6,0.7333333333333333,0.6666666666666666,0.6833333333333333,0.7,0.7333333333333333,0.6666666666666666,0.7166666666666667,0.6833333333333333,0.75,0.6833333333333333,0.5833333333333334,0.7,0.7166666666666667,0.6,0.7166666666666667,0.6166666666666667,0.6333333333333333,0.7666666666666667,0.7,0.65,0.6833333333333333,0.6833333333333333,0.6666666666666666,0.65,0.5333333333333333,0.6666666666666666,0.6833333333333333,0.7833333333333333
ChinatownTruncEnd,0.8775510204081632,0.7551020408163265,0.9183673469387755,0.8163265306122449,0.8104956268221575,0.9358600583090378,0.8862973760932945,0.8600583090379009,0.8717201166180758,0.9271137026239067,0.8046647230320699,0.8104956268221575,0.8688046647230321,0.9008746355685131,0.8688046647230321,0.6618075801749271,0.8571428571428571,0.9183673469387755,0.7959183673469388,0.7871720116618076,0.8367346938775511,0.8833819241982507,0.8513119533527697,0.8629737609329446,0.8454810495626822,0.8979591836734694,0.880466472303207,0.8513119533527697,0.8309037900874635,0.9358600583090378
ChlorineConcentrationTruncStart,0.553125,0.55546875,0.5591145833333333,0.5583333333333333,0.54453125,0.5515625,0.5572916666666666,0.5518229166666667,0.55,0.56171875,0.5432291666666667,0.5638020833333334,0.5463541666666667,0.5625,0.5497395833333333,0.5557291666666667,0.5565104166666667,0.5609375,0.5505208333333333,0.5466145833333333,0.54921875,0.5622395833333333,0.54765625,0.5552083333333333,0.5661458333333333,0.5518229166666667,0.5653645833333333,0.5567708333333333,0.5513020833333333,0.5643229166666667
