Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.67,0.63,0.66,0.71,0.63,0.6,0.65,0.63,0.57,0.66,0.6,0.66,0.65,0.64,0.71,0.62,0.61,0.66,0.66,0.7,0.69,0.75,0.75,0.65,0.74,0.69,0.61,0.71,0.7,0.62
AdiacTruncEnd,0.7161125319693095,0.7186700767263428,0.6777493606138107,0.6982097186700768,0.7033248081841432,0.6956521739130435,0.690537084398977,0.670076726342711,0.7263427109974424,0.6956521739130435,0.6854219948849105,0.690537084398977,0.7007672634271099,0.6828644501278772,0.7084398976982097,0.6982097186700768,0.7186700767263428,0.7135549872122762,0.6854219948849105,0.649616368286445,0.6879795396419437,0.6828644501278772,0.7237851662404092,0.7263427109974424,0.7289002557544757,0.6879795396419437,0.6854219948849105,0.710997442455243,0.680306905370844,0.7135549872122762
ArrowHeadTruncEnd,0.6685714285714286,0.76,0.6685714285714286,0.8342857142857143,0.7542857142857143,0.7657142857142857,0.6628571428571428,0.68,0.7657142857142857,0.7142857142857143,0.6971428571428572,0.7771428571428571,0.7485714285714286,0.7142857142857143,0.7428571428571429,0.7428571428571429,0.5828571428571429,0.6971428571428572,0.6571428571428571,0.7542857142857143,0.7942857142857143,0.8114285714285714,0.7657142857142857,0.7771428571428571,0.7771428571428571,0.72,0.7657142857142857,0.68,0.7257142857142858,0.7657142857142857
BMETruncEnd,0.8133333333333334,0.78,0.8066666666666666,0.7733333333333333,0.8266666666666667,0.7933333333333333,0.8133333333333334,0.82,0.8266666666666667,0.8466666666666667,0.8266666666666667,0.8533333333333334,0.8266666666666667,0.8066666666666666,0.8266666666666667,0.7866666666666666,0.8,0.82,0.82,0.8066666666666666,0.7866666666666666,0.8466666666666667,0.7866666666666666,0.84,0.8,0.8133333333333334,0.7266666666666667,0.7866666666666666,0.8133333333333334,0.8
BeefTruncStart,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.5666666666666667,0.3333333333333333,0.4,0.36666666666666664,0.3333333333333333,0.3,0.3,0.26666666666666666,0.4,0.3333333333333333,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.36666666666666664,0.3,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.4666666666666667,0.3333333333333333,0.43333333333333335,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.4
BeetleFlyTruncEnd,0.9,0.8,0.85,0.7,0.85,0.65,0.65,0.75,0.85,0.85,0.8,0.8,0.6,0.7,0.8,0.8,0.8,0.75,0.85,0.5,0.7,0.8,0.9,0.65,0.75,0.85,0.75,0.7,0.6,0.75
BirdChickenTruncEnd,0.85,0.7,0.85,0.85,0.85,0.85,0.7,0.75,0.75,0.95,0.7,0.85,0.9,0.85,0.9,0.9,0.7,0.7,0.7,0.9,0.95,0.9,0.85,0.95,0.95,0.75,0.85,0.85,0.9,0.7
CBFTruncEnd,0.9777777777777777,0.9566666666666667,0.9555555555555556,0.9266666666666666,0.9277777777777778,0.9555555555555556,0.9566666666666667,0.9233333333333333,0.9733333333333334,0.9311111111111111,0.9611111111111111,0.9566666666666667,0.93,0.9533333333333334,0.9688888888888889,0.9522222222222222,0.9366666666666666,0.9633333333333334,0.9744444444444444,0.9322222222222222,0.9711111111111111,0.9411111111111111,0.9722222222222222,0.9422222222222222,0.9677777777777777,0.9611111111111111,0.9688888888888889,0.9666666666666667,0.9566666666666667,0.9511111111111111
CarTruncEnd,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.75,0.8,0.7,0.7833333333333333,0.7,0.75,0.7833333333333333,0.8,0.8166666666666667,0.7166666666666667,0.7333333333333333,0.8,0.7666666666666667,0.8,0.6,0.75,0.7666666666666667,0.8,0.7333333333333333,0.7833333333333333,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.7333333333333333,0.8
ChinatownTruncEnd,0.9854227405247813,0.9854227405247813,0.9854227405247813,0.9854227405247813,0.9795918367346939,0.9825072886297376,0.9825072886297376,0.9795918367346939,0.9766763848396501,0.9883381924198251,0.9883381924198251,0.9008746355685131,0.9854227405247813,0.9795918367346939,0.9766763848396501,0.9766763848396501,0.9825072886297376,0.9854227405247813,0.9883381924198251,0.967930029154519,0.9766763848396501,0.9854227405247813,0.9825072886297376,0.9854227405247813,0.9825072886297376,0.9737609329446064,0.9854227405247813,0.9825072886297376,0.9737609329446064,0.9854227405247813
