Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.67,0.59,0.62,0.62,0.6,0.6,0.57,0.62,0.52,0.6,0.61,0.6,0.61,0.6,0.71,0.65,0.58,0.62,0.68,0.64,0.68,0.7,0.72,0.64,0.65,0.57,0.63,0.62,0.6,0.59
AdiacTruncEnd,0.59846547314578,0.5524296675191815,0.5549872122762148,0.5549872122762148,0.5933503836317136,0.5549872122762148,0.5524296675191815,0.629156010230179,0.5575447570332481,0.5447570332480819,0.578005115089514,0.5677749360613811,0.6035805626598465,0.5933503836317136,0.6163682864450127,0.5933503836317136,0.5959079283887468,0.6010230179028133,0.5703324808184144,0.5498721227621484,0.6086956521739131,0.5524296675191815,0.5831202046035806,0.5473145780051151,0.6112531969309463,0.5575447570332481,0.5805626598465473,0.5907928388746803,0.5703324808184144,0.5677749360613811
ArrowHeadTruncEnd,0.5371428571428571,0.68,0.64,0.6628571428571428,0.5657142857142857,0.6685714285714286,0.6,0.6742857142857143,0.6057142857142858,0.6628571428571428,0.6857142857142857,0.6685714285714286,0.6628571428571428,0.7085714285714285,0.5714285714285714,0.6914285714285714,0.5828571428571429,0.6285714285714286,0.6057142857142858,0.6228571428571429,0.7485714285714286,0.7142857142857143,0.6571428571428571,0.72,0.6742857142857143,0.6285714285714286,0.46285714285714286,0.7028571428571428,0.7085714285714285,0.6857142857142857
BMETruncEnd,0.8266666666666667,0.7733333333333333,0.8133333333333334,0.7866666666666666,0.8066666666666666,0.7866666666666666,0.82,0.8066666666666666,0.82,0.8466666666666667,0.82,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8266666666666667,0.7933333333333333,0.7866666666666666,0.8333333333333334,0.8066666666666666,0.8266666666666667,0.8,0.84,0.8,0.8333333333333334,0.7733333333333333,0.8133333333333334,0.8,0.84,0.8066666666666666,0.8133333333333334
BeefTruncStart,0.36666666666666664,0.4,0.4,0.4666666666666667,0.36666666666666664,0.5,0.36666666666666664,0.43333333333333335,0.43333333333333335,0.36666666666666664,0.43333333333333335,0.43333333333333335,0.4,0.36666666666666664,0.3333333333333333,0.3,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.43333333333333335,0.36666666666666664,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.5,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.3
BeetleFlyTruncEnd,0.75,0.5,0.65,0.6,0.9,0.7,0.65,0.75,0.7,0.65,0.75,0.7,0.7,0.75,0.75,0.85,0.75,0.75,0.75,0.75,0.8,0.85,0.75,0.7,0.75,0.75,0.9,0.65,0.8,0.8
BirdChickenTruncEnd,0.95,1.0,0.9,0.95,0.95,0.85,0.95,0.85,0.95,0.95,0.9,0.95,0.85,0.95,0.95,0.95,0.85,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.8,0.9,0.95,0.95,0.95
CBFTruncEnd,0.9444444444444444,0.81,0.9333333333333333,0.8877777777777778,0.9033333333333333,0.9488888888888889,0.9022222222222223,0.8844444444444445,0.9455555555555556,0.9522222222222222,0.9455555555555556,0.8644444444444445,0.8922222222222222,0.9444444444444444,0.9477777777777778,0.9288888888888889,0.8744444444444445,0.8955555555555555,0.9244444444444444,0.9011111111111111,0.9155555555555556,0.9511111111111111,0.9711111111111111,0.9311111111111111,0.9688888888888889,0.8822222222222222,0.8666666666666667,0.9344444444444444,0.8433333333333334,0.9444444444444444
CarTruncEnd,0.6,0.6666666666666666,0.6333333333333333,0.65,0.55,0.5833333333333334,0.6,0.6833333333333333,0.6166666666666667,0.5166666666666667,0.7,0.6333333333333333,0.5166666666666667,0.55,0.7,0.5333333333333333,0.6833333333333333,0.48333333333333334,0.5833333333333334,0.5833333333333334,0.5333333333333333,0.5833333333333334,0.5333333333333333,0.6166666666666667,0.6166666666666667,0.6833333333333333,0.36666666666666664,0.5833333333333334,0.5666666666666667,0.6666666666666666
ChinatownTruncEnd,0.9854227405247813,0.9737609329446064,0.9883381924198251,0.9766763848396501,0.9854227405247813,0.9737609329446064,0.9737609329446064,0.956268221574344,0.9795918367346939,0.9854227405247813,0.9766763848396501,0.9329446064139941,0.9825072886297376,0.9708454810495627,0.9854227405247813,0.9387755102040817,0.9795918367346939,0.9766763848396501,0.9795918367346939,0.9708454810495627,0.9766763848396501,0.9766763848396501,0.9912536443148688,0.9708454810495627,0.9825072886297376,0.9795918367346939,0.9766763848396501,0.9795918367346939,0.9825072886297376,0.9708454810495627
ChlorineConcentrationTruncStart,0.5291666666666667,0.5354166666666667,0.52421875,0.5497395833333333,0.54140625,0.5421875,0.5453125,0.5442708333333334,0.5520833333333334,0.5455729166666666,0.5393229166666667,0.5546875,0.53671875,0.5268229166666667,0.5255208333333333,0.5361979166666667,0.5466145833333333,0.5419270833333333,0.5515625,0.525,0.5330729166666667,0.5372395833333333,0.5393229166666667,0.5356770833333333,0.5385416666666667,0.5338541666666666,0.5361979166666667,0.53359375,0.5315104166666667,0.5484375
CinCECGTorsoTruncEnd,0.8666666666666667,0.7028985507246377,0.755072463768116,0.7036231884057971,0.8391304347826087,0.7898550724637681,0.8195652173913044,0.7304347826086957,0.8065217391304348,0.8123188405797102,0.9094202898550725,0.8311594202898551,0.8079710144927537,0.7927536231884058,0.8231884057971014,0.7108695652173913,0.8014492753623188,0.7724637681159421,0.8014492753623188,0.8210144927536231,0.8173913043478261,0.782608695652174,0.7913043478260869,0.8253623188405798,0.744927536231884,0.6731884057971015,0.7166666666666667,0.7166666666666667,0.7630434782608696,0.7456521739130435
CoffeeTruncStart,0.9642857142857143,0.9285714285714286,0.8571428571428571,0.9642857142857143,0.8928571428571429,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.8928571428571429,0.9285714285714286,0.9642857142857143,0.8928571428571429,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.9285714285714286,0.8214285714285714,0.8928571428571429,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.8571428571428571,0.8928571428571429,0.9285714285714286
ComputersTruncStart,0.712,0.756,0.804,0.78,0.748,0.772,0.804,0.772,0.784,0.796,0.78,0.768,0.808,0.8,0.78,0.78,0.776,0.772,0.752,0.812,0.78,0.756,0.784,0.784,0.76,0.828,0.792,0.76,0.724,0.792
CricketXTruncEnd,0.5717948717948718,0.6102564102564103,0.6051282051282051,0.617948717948718,0.617948717948718,0.617948717948718,0.6230769230769231,0.6128205128205129,0.5974358974358974,0.6102564102564103,0.6410256410256411,0.6025641025641025,0.6358974358974359,0.6076923076923076,0.6230769230769231,0.6128205128205129,0.5871794871794872,0.6333333333333333,0.6076923076923076,0.5820512820512821,0.5871794871794872,0.6487179487179487,0.6256410256410256,0.5846153846153846,0.6384615384615384,0.5692307692307692,0.5666666666666667,0.6256410256410256,0.6076923076923076,0.6230769230769231
CricketYTruncEnd,0.6538461538461539,0.6153846153846154,0.5487179487179488,0.6564102564102564,0.6410256410256411,0.6025641025641025,0.5897435897435898,0.6666666666666666,0.6615384615384615,0.6641025641025641,0.6461538461538462,0.6897435897435897,0.6333333333333333,0.6256410256410256,0.6615384615384615,0.6358974358974359,0.6307692307692307,0.5974358974358974,0.6538461538461539,0.6205128205128205,0.6487179487179487,0.6384615384615384,0.6615384615384615,0.6128205128205129,0.6615384615384615,0.5794871794871795,0.6461538461538462,0.6256410256410256,0.6205128205128205,0.6615384615384615
CricketZTruncEnd,0.6512820512820513,0.6205128205128205,0.6051282051282051,0.6025641025641025,0.6153846153846154,0.6410256410256411,0.6358974358974359,0.6076923076923076,0.6230769230769231,0.6461538461538462,0.6384615384615384,0.6641025641025641,0.658974358974359,0.6538461538461539,0.6282051282051282,0.6410256410256411,0.6692307692307692,0.6025641025641025,0.617948717948718,0.6256410256410256,0.6564102564102564,0.6538461538461539,0.617948717948718,0.6307692307692307,0.6461538461538462,0.6102564102564103,0.6282051282051282,0.6333333333333333,0.6307692307692307,0.6333333333333333
CropTruncEnd,0.6432142857142857,0.6490476190476191,0.6445238095238095,0.6426785714285714,0.6444047619047619,0.6441666666666667,0.6453571428571429,0.6438690476190476,0.6438095238095238,0.64125,0.6386904761904761,0.645,0.6386309523809524,0.6464880952380953,0.6463690476190476,0.6488690476190476,0.6400595238095238,0.6445833333333333,0.6449404761904762,0.6492857142857142,0.6395238095238095,0.6433928571428571,0.642797619047619,0.643452380952381,0.6435119047619048,0.6455952380952381,0.6394047619047619,0.6439880952380952,0.6449404761904762,0.6391666666666667
