Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.85,0.76,0.73,0.76,0.74,0.79,0.73,0.76,0.73,0.7,0.79,0.74,0.74,0.76,0.83,0.72,0.67,0.77,0.75,0.73,0.76,0.77,0.82,0.77,0.79,0.78,0.76,0.82,0.74,0.72
AdiacTruncEnd,0.6265984654731458,0.6061381074168798,0.6061381074168798,0.6470588235294118,0.6342710997442456,0.6547314578005116,0.6342710997442456,0.6445012787723785,0.6649616368286445,0.618925831202046,0.5831202046035806,0.6061381074168798,0.6214833759590793,0.6445012787723785,0.6445012787723785,0.6112531969309463,0.5907928388746803,0.6470588235294118,0.6240409207161125,0.629156010230179,0.6061381074168798,0.5805626598465473,0.6982097186700768,0.5907928388746803,0.618925831202046,0.6138107416879796,0.6624040920716112,0.6521739130434783,0.6061381074168798,0.6317135549872123
ArrowHeadTruncEnd,0.6971428571428572,0.7485714285714286,0.7371428571428571,0.7828571428571428,0.7028571428571428,0.7828571428571428,0.6571428571428571,0.7257142857142858,0.7828571428571428,0.76,0.7714285714285715,0.7714285714285715,0.7828571428571428,0.7714285714285715,0.7371428571428571,0.7771428571428571,0.68,0.7085714285714285,0.6228571428571429,0.7714285714285715,0.7771428571428571,0.7714285714285715,0.7257142857142858,0.7828571428571428,0.7714285714285715,0.6914285714285714,0.6171428571428571,0.7428571428571429,0.7771428571428571,0.8
BMETruncEnd,0.82,0.7933333333333333,0.8133333333333334,0.82,0.78,0.8,0.82,0.8266666666666667,0.8466666666666667,0.8266666666666667,0.84,0.8466666666666667,0.84,0.82,0.8066666666666666,0.8266666666666667,0.7866666666666666,0.7933333333333333,0.7866666666666666,0.8266666666666667,0.82,0.8333333333333334,0.8266666666666667,0.8333333333333334,0.84,0.8133333333333334,0.8,0.8333333333333334,0.78,0.8333333333333334
BeefTruncStart,0.4666666666666667,0.43333333333333335,0.5333333333333333,0.5333333333333333,0.43333333333333335,0.5666666666666667,0.4,0.5,0.4666666666666667,0.36666666666666664,0.43333333333333335,0.4,0.5,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.5,0.3333333333333333,0.26666666666666666,0.6,0.4,0.4666666666666667,0.5666666666666667,0.6,0.4,0.5,0.4,0.4666666666666667
BeetleFlyTruncEnd,0.8,0.8,0.85,0.75,0.85,0.7,0.75,0.7,0.85,0.7,0.7,0.8,0.55,0.7,0.85,0.8,0.75,0.75,0.9,0.8,0.85,0.8,0.85,0.7,0.65,0.85,0.85,0.85,0.85,0.75
BirdChickenTruncEnd,0.85,0.95,0.8,0.95,0.8,0.85,0.9,0.95,0.85,1.0,0.85,1.0,0.95,0.95,0.95,1.0,0.55,0.9,0.85,0.9,1.0,0.9,0.8,0.95,1.0,0.8,0.95,0.85,0.95,0.9
CBFTruncEnd,0.9677777777777777,0.9122222222222223,0.9688888888888889,0.9622222222222222,0.9111111111111111,0.9677777777777777,0.9744444444444444,0.83,0.9555555555555556,0.9266666666666666,0.9488888888888889,0.9266666666666666,0.9555555555555556,0.94,0.97,0.9188888888888889,0.88,0.9544444444444444,0.9488888888888889,0.9566666666666667,0.9766666666666667,0.9566666666666667,0.9388888888888889,0.9366666666666666,0.9666666666666667,0.9266666666666666,0.9555555555555556,0.9722222222222222,0.9377777777777778,0.9633333333333334
CarTruncEnd,0.7666666666666667,0.7833333333333333,0.8166666666666667,0.6833333333333333,0.8166666666666667,0.8166666666666667,0.7833333333333333,0.6833333333333333,0.8,0.75,0.7833333333333333,0.7833333333333333,0.75,0.8166666666666667,0.7833333333333333,0.6833333333333333,0.8,0.6666666666666666,0.7166666666666667,0.7666666666666667,0.75,0.75,0.7833333333333333,0.75,0.75,0.75,0.7333333333333333,0.8,0.7666666666666667,0.8333333333333334
ChinatownTruncEnd,0.9591836734693877,0.8396501457725948,0.967930029154519,0.9475218658892128,0.9475218658892128,0.924198250728863,0.967930029154519,0.8862973760932945,0.9766763848396501,0.9766763848396501,0.8950437317784257,0.7376093294460642,0.8513119533527697,0.9329446064139941,0.8892128279883382,0.6997084548104956,0.9737609329446064,0.9387755102040817,0.9416909620991254,0.8600583090379009,0.8571428571428571,0.9504373177842566,0.9504373177842566,0.892128279883382,0.8396501457725948,0.9650145772594753,0.9504373177842566,0.8279883381924198,0.8658892128279884,0.9708454810495627
