Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.83,0.78,0.65,0.66,0.81,0.66,0.71,0.62,0.68,0.79,0.8,0.67,0.76,0.68,0.77,0.83,0.59,0.6,0.76,0.69,0.64,0.63,0.67,0.8,0.79,0.68,0.6,0.69,0.8,0.82
AdiacTruncEnd,0.3452685421994885,0.340153452685422,0.36828644501278773,0.4833759590792839,0.5012787723785166,0.4040920716112532,0.43478260869565216,0.3887468030690537,0.4782608695652174,0.5217391304347826,0.35038363171355497,0.37851662404092073,0.3836317135549872,0.42455242966751916,0.4936061381074169,0.4143222506393862,0.35038363171355497,0.4092071611253197,0.43478260869565216,0.4373401534526854,0.4296675191815857,0.35294117647058826,0.47058823529411764,0.3938618925831202,0.3887468030690537,0.37851662404092073,0.4884910485933504,0.5140664961636828,0.4322250639386189,0.4884910485933504
ArrowHeadTruncEnd,0.7257142857142858,0.5771428571428572,0.7428571428571429,0.6857142857142857,0.7142857142857143,0.7028571428571428,0.6742857142857143,0.6742857142857143,0.7257142857142858,0.7371428571428571,0.6914285714285714,0.5942857142857143,0.72,0.6457142857142857,0.6914285714285714,0.6742857142857143,0.6114285714285714,0.6457142857142857,0.6685714285714286,0.6914285714285714,0.7371428571428571,0.72,0.6914285714285714,0.6742857142857143,0.6571428571428571,0.6571428571428571,0.6685714285714286,0.6914285714285714,0.7028571428571428,0.7371428571428571
BMETruncEnd,0.6266666666666667,0.56,0.6066666666666667,0.54,0.5866666666666667,0.58,0.6933333333333334,0.7266666666666667,0.56,0.7133333333333334,0.6533333333333333,0.76,0.6266666666666667,0.5466666666666666,0.6733333333333333,0.56,0.49333333333333335,0.68,0.6133333333333333,0.5266666666666666,0.56,0.5933333333333334,0.6333333333333333,0.7333333333333333,0.6333333333333333,0.68,0.68,0.5466666666666666,0.66,0.6466666666666666
BeefTruncStart,0.43333333333333335,0.6333333333333333,0.6,0.4666666666666667,0.6,0.5333333333333333,0.6333333333333333,0.4,0.43333333333333335,0.6333333333333333,0.43333333333333335,0.7,0.4666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,0.5,0.4666666666666667,0.43333333333333335,0.6333333333333333,0.5333333333333333,0.5333333333333333,0.7,0.7,0.6,0.6333333333333333,0.4,0.43333333333333335,0.43333333333333335,0.7666666666666667
BeetleFlyTruncEnd,0.95,0.75,0.95,0.85,1.0,0.9,0.9,0.95,0.95,1.0,0.9,0.65,0.55,0.85,0.95,0.9,0.75,1.0,0.9,0.9,0.85,0.7,0.9,0.65,0.8,0.85,0.95,0.75,0.6,0.85
BirdChickenTruncEnd,0.95,0.8,0.85,0.75,0.85,0.85,0.95,0.9,0.9,0.95,0.75,0.75,0.55,0.8,0.95,0.9,0.7,0.9,0.85,0.95,0.8,0.75,0.9,0.8,0.8,0.75,0.9,0.75,0.6,0.9
CBFTruncEnd,0.9044444444444445,0.8822222222222222,0.9066666666666666,0.88,0.9033333333333333,0.8666666666666667,0.91,0.7877777777777778,0.93,0.8877777777777778,0.86,0.8488888888888889,0.8744444444444445,0.8577777777777778,0.91,0.8733333333333333,0.8744444444444445,0.9033333333333333,0.9055555555555556,0.8888888888888888,0.8544444444444445,0.8433333333333334,0.8955555555555555,0.9077777777777778,0.8788888888888889,0.8633333333333333,0.9155555555555556,0.9033333333333333,0.8877777777777778,0.8944444444444445
CarTruncEnd,0.6666666666666666,0.8,0.7333333333333333,0.7,0.7,0.6666666666666666,0.65,0.6666666666666666,0.75,0.8,0.6666666666666666,0.8166666666666667,0.55,0.75,0.7333333333333333,0.7833333333333333,0.7833333333333333,0.6,0.85,0.75,0.7666666666666667,0.6666666666666666,0.8166666666666667,0.6666666666666666,0.6,0.7833333333333333,0.7833333333333333,0.75,0.7166666666666667,0.8166666666666667
ChinatownTruncEnd,0.7667638483965015,0.6676384839650146,0.6180758017492711,0.7230320699708455,0.7463556851311953,0.8134110787172012,0.7521865889212828,0.6676384839650146,0.6647230320699709,0.7813411078717201,0.8250728862973761,0.6588921282798834,0.6618075801749271,0.7113702623906706,0.7434402332361516,0.6297376093294461,0.8046647230320699,0.760932944606414,0.7784256559766763,0.6967930029154519,0.7201166180758017,0.7463556851311953,0.7842565597667639,0.6705539358600583,0.717201166180758,0.8279883381924198,0.7376093294460642,0.760932944606414,0.6909620991253644,0.7871720116618076
