Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.82,0.76,0.71,0.78,0.8,0.77,0.79,0.81,0.74,0.74,0.83,0.75,0.8,0.71,0.75,0.7,0.68,0.77,0.74,0.7,0.76,0.78,0.85,0.8,0.77,0.71,0.74,0.7,0.72,0.74
AdiacTruncEnd,0.5242966751918159,0.5115089514066496,0.5242966751918159,0.6214833759590793,0.5677749360613811,0.5524296675191815,0.5242966751918159,0.5421994884910486,0.5421994884910486,0.5703324808184144,0.48081841432225064,0.5191815856777494,0.5242966751918159,0.5345268542199488,0.5959079283887468,0.5294117647058824,0.5063938618925832,0.5601023017902813,0.5268542199488491,0.5754475703324808,0.5549872122762148,0.4961636828644501,0.5882352941176471,0.5191815856777494,0.5242966751918159,0.5601023017902813,0.59846547314578,0.5882352941176471,0.5652173913043478,0.5652173913043478
ArrowHeadTruncEnd,0.6628571428571428,0.6971428571428572,0.7085714285714285,0.7085714285714285,0.6228571428571429,0.7257142857142858,0.6857142857142857,0.7314285714285714,0.7314285714285714,0.7142857142857143,0.7142857142857143,0.7485714285714286,0.7428571428571429,0.6971428571428572,0.6971428571428572,0.6914285714285714,0.68,0.6971428571428572,0.6171428571428571,0.7714285714285715,0.7028571428571428,0.72,0.6971428571428572,0.6857142857142857,0.7314285714285714,0.6457142857142857,0.6628571428571428,0.7657142857142857,0.7085714285714285,0.6914285714285714
BMETruncEnd,0.7333333333333333,0.74,0.7933333333333333,0.8066666666666666,0.7866666666666666,0.7666666666666667,0.8666666666666667,0.8066666666666666,0.7533333333333333,0.84,0.7733333333333333,0.82,0.8133333333333334,0.76,0.7866666666666666,0.7533333333333333,0.7866666666666666,0.8466666666666667,0.82,0.8266666666666667,0.76,0.8133333333333334,0.8066666666666666,0.82,0.7733333333333333,0.7933333333333333,0.8333333333333334,0.8066666666666666,0.8,0.78
BeefTruncStart,0.5,0.5333333333333333,0.6333333333333333,0.6,0.4666666666666667,0.6666666666666666,0.5333333333333333,0.5,0.5666666666666667,0.4,0.4,0.5,0.5,0.43333333333333335,0.5333333333333333,0.4666666666666667,0.5,0.36666666666666664,0.4666666666666667,0.4,0.4666666666666667,0.6666666666666666,0.4,0.4666666666666667,0.6333333333333333,0.6666666666666666,0.4,0.36666666666666664,0.4,0.6
BeetleFlyTruncEnd,0.85,0.8,0.85,0.8,0.95,0.8,0.75,0.85,0.85,0.75,0.7,0.85,0.65,0.75,0.9,0.85,0.85,0.75,0.9,0.8,0.8,0.8,0.95,0.7,0.8,0.9,0.85,0.7,0.85,0.95
BirdChickenTruncEnd,0.85,0.9,0.8,0.9,0.8,0.85,0.9,0.85,0.95,0.95,0.65,0.95,0.7,0.85,0.9,1.0,0.7,0.95,0.8,0.95,1.0,0.7,0.75,0.9,0.9,0.85,0.9,0.85,0.95,0.7
CBFTruncEnd,0.9244444444444444,0.9311111111111111,0.9211111111111111,0.8788888888888889,0.8888888888888888,0.9222222222222223,0.9077777777777778,0.8255555555555556,0.9311111111111111,0.8966666666666666,0.92,0.8733333333333333,0.8788888888888889,0.8877777777777778,0.8533333333333334,0.8877777777777778,0.8711111111111111,0.8844444444444445,0.9433333333333334,0.89,0.8977777777777778,0.9033333333333333,0.9377777777777778,0.8733333333333333,0.9311111111111111,0.8855555555555555,0.8933333333333333,0.9122222222222223,0.8577777777777778,0.9244444444444444
CarTruncEnd,0.7166666666666667,0.7666666666666667,0.7666666666666667,0.75,0.8166666666666667,0.8333333333333334,0.85,0.7666666666666667,0.8166666666666667,0.75,0.8333333333333334,0.75,0.7,0.7833333333333333,0.7833333333333333,0.7333333333333333,0.85,0.7666666666666667,0.7333333333333333,0.85,0.75,0.8,0.8,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.85,0.8333333333333334,0.7333333333333333,0.8333333333333334
ChinatownTruncEnd,0.8833819241982507,0.7900874635568513,0.8688046647230321,0.8892128279883382,0.8775510204081632,0.9008746355685131,0.8833819241982507,0.8454810495626822,0.9067055393586005,0.8862973760932945,0.8746355685131195,0.7434402332361516,0.8192419825072886,0.9037900874635568,0.8571428571428571,0.717201166180758,0.9037900874635568,0.9300291545189504,0.8454810495626822,0.8483965014577259,0.8279883381924198,0.9300291545189504,0.9300291545189504,0.8746355685131195,0.8600583090379009,0.8862973760932945,0.9037900874635568,0.8629737609329446,0.8192419825072886,0.8862973760932945
