Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.6055555555555556,0.6111111111111112,0.6333333333333333,0.6333333333333333,0.5833333333333333,0.6,0.6222222222222222,0.6055555555555556,0.5944444444444444,0.6,0.5777777777777778,0.6055555555555555,0.6,0.6333333333333333,0.6,0.6111111111111112,0.6222222222222222,0.6333333333333333,0.5888888888888889,0.5722222222222222,0.6333333333333333,0.6666666666666665,0.6333333333333333,0.6166666666666666,0.6222222222222222,0.6388888888888888,0.6611111111111111,0.6055555555555555,0.65,0.6222222222222222
AdiacTruncEnd,0.6047571781899984,0.5981035022768962,0.6031880616859533,0.6048144380515078,0.6020776275238022,0.6139447823619985,0.6087052055970692,0.6214344490187647,0.6155554402111538,0.6060754346680933,0.5980392702865424,0.6242696783478688,0.6152280862130567,0.6163088632944461,0.6202641766971545,0.6165479897796714,0.5902803141468295,0.6177375287909191,0.5891434326136472,0.6114477406494867,0.6123715230134336,0.6062720633069921,0.6272331949828699,0.5956775502629374,0.6098720990380326,0.6154460763812541,0.6112976088597117,0.5970086048453278,0.6058056919387017,0.5809454613158848
ArrowHeadTruncEnd,0.6524126198577173,0.6230281472316733,0.6062480668110114,0.5699814413857099,0.6380296937828642,0.5976647077018249,0.5554438601917723,0.5990566037735849,0.6042375502629138,0.6405041756882153,0.6030003093102382,0.5923291060934116,0.6388802969378287,0.664243736467677,0.6076399628827714,0.6372564181874419,0.5964274667491494,0.6203990102072379,0.6156820290751623,0.6240334055057222,0.6151407361583668,0.670197958552428,0.5771729044231363,0.6218682338385402,0.644602536343953,0.6636251159913393,0.6149087534797402,0.6339313331271266,0.602613671512527,0.6415094339622642
BMETruncEnd,0.755,0.76,0.775,0.695,0.805,0.765,0.78,0.72,0.785,0.795,0.76,0.83,0.785,0.72,0.745,0.765,0.75,0.75,0.785,0.77,0.785,0.74,0.745,0.795,0.77,0.78,0.7199999999999999,0.825,0.79,0.815
BeefTruncStart,0.6875,0.6041666666666666,0.5625,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.625,0.625,0.625,0.625,0.5833333333333334,0.5833333333333334,0.625,0.6249999999999999,0.625,0.5625,0.6666666666666666,0.625,0.6458333333333334,0.7083333333333334,0.625,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6458333333333334,0.6041666666666666,0.5833333333333334
BeetleFlyTruncEnd,0.5499999999999999,0.5499999999999999,0.6000000000000001,0.6,0.55,0.5499999999999999,0.5499999999999999,0.8,0.5,0.6500000000000001,0.45000000000000007,0.6,0.5499999999999999,0.39999999999999997,0.65,0.55,0.4,0.5499999999999999,0.65,0.55,0.44999999999999996,0.7000000000000002,0.6,0.35,0.45,0.6499999999999999,0.55,0.45000000000000007,0.2,0.6
BirdChickenTruncEnd,0.7000000000000002,0.5499999999999999,0.75,0.5499999999999999,0.7,0.8,0.5499999999999999,0.65,0.45000000000000007,0.6,0.5499999999999999,0.5999999999999999,0.5,0.5999999999999999,0.5,0.5,0.6,0.7000000000000002,0.7,0.85,0.8500000000000001,0.5,0.6,0.55,0.75,0.7000000000000001,0.6500000000000001,0.5,0.65,0.6500000000000001
CBFTruncEnd,0.9649999814812756,0.924135768175202,0.9525553709856035,0.9649581569424845,0.9033499446290144,0.9383443704930056,0.9575054815423873,0.9341720926528814,0.9625165742582324,0.9658164998129609,0.930022129875517,0.9407523602114098,0.941641416386108,0.9508359722515435,0.9341135642247878,0.925816444256788,0.9023466927410305,0.9216832779623477,0.9375165742582324,0.9350166112956811,0.9590941103049292,0.9208053885783917,0.955838833394445,0.9150387226524739,0.9366915836101882,0.945866537405971,0.9241776853076145,0.9383415649062768,0.886612990144335,0.895799832961107
CarTruncEnd,0.5539022133977122,0.550557297894903,0.6101453035806955,0.62698269443379,0.5820096568218226,0.6378522596511812,0.5791272760091154,0.6263509397351144,0.6157126418627737,0.48248572911261023,0.5339511743868595,0.5534396787076105,0.5532084113625596,0.5755172491595407,0.6252566503463369,0.5314692809277769,0.5933417567293157,0.5229913584982289,0.6418909771891428,0.6079567248031407,0.5393944179959839,0.5458247783217888,0.5771699645766116,0.6177320006317547,0.620383114099411,0.6252566503463369,0.5919541526590104,0.5526838293359807,0.5745921797793371,0.6432165339229711
ChinatownTruncEnd,0.917392976159959,0.8824446723062462,0.9020336665812185,0.8322865931812355,0.914679996582073,0.9130564812441254,0.9039348884901308,0.8218191916602581,0.8872724942322482,0.9486029223276085,0.7598906263351277,0.7625608818251731,0.8480304195505426,0.8543322225070494,0.9326454755190976,0.7466034350166625,0.907844142527557,0.8773391438092798,0.8612748867811673,0.8633897291292831,0.8765273861403059,0.838267965478937,0.8739212167820217,0.9304238229513799,0.8931897803981884,0.9351448346577801,0.880543450397334,0.9007305819020764,0.901008288473041,0.886674357002478
ChlorineConcentrationTruncStart,0.542156172105002,0.5314364857106357,0.5306889526500629,0.5438899187935523,0.5292401477709537,0.5334314763776192,0.5325853686842058,0.5442247629210396,0.537440527973864,0.5433489755760341,0.520552083053778,0.5347735106558938,0.5379324534770559,0.5422744192615991,0.5280782037019646,0.5417042011816946,0.5260108035748875,0.5405976651044395,0.5419384789989167,0.5471887839110026,0.5433650033561631,0.5391640317775213,0.5385351694190786,0.5421669057429186,0.5373700078196125,0.5459890830017744,0.5248451123906881,0.5457518494383519,0.527247832309567,0.5457931783454726
CinCECGTorsoTruncEnd,0.6522632326437511,0.6277080881066048,0.6607437678310066,0.6908886966430527,0.6558445637201462,0.6361206762200217,0.6485851566114639,0.642057531507521,0.6398395069306301,0.6839225682382437,0.661845495136062,0.6187496218783131,0.6135290877811308,0.6700858235507274,0.6594473819763089,0.6497115634288771,0.6333412566486014,0.6796444417832217,0.6157600004070684,0.654454186837918,0.6560429089019063,0.6689465837429655,0.6605199050342244,0.6761074392201367,0.6661394776595073,0.6694574277677836,0.6592346400953474,0.6370366363015673,0.6800871969698183,0.6438154401661559
CoffeeTruncStart,0.8897435897435898,0.8846153846153846,0.8282051282051283,0.7076923076923077,0.5589743589743591,0.7512820512820513,0.7794871794871795,0.7461538461538462,0.817948717948718,0.7307692307692308,0.8128205128205128,0.817948717948718,0.8128205128205128,0.8230769230769232,0.7461538461538462,0.9282051282051282,0.7846153846153847,0.7461538461538462,0.8564102564102565,0.8846153846153846,0.7564102564102566,0.7897435897435898,0.9,0.7076923076923077,0.7743589743589744,0.8512820512820513,0.817948717948718,0.817948717948718,0.6743589743589744,0.7743589743589744
ComputersTruncStart,0.636,0.676,0.632,0.652,0.636,0.6960000000000001,0.616,0.62,0.64,0.664,0.632,0.7080000000000001,0.668,0.6479999999999999,0.6479999999999999,0.6519999999999999,0.6519999999999999,0.68,0.64,0.64,0.632,0.652,0.6880000000000001,0.648,0.676,0.676,0.648,0.652,0.664,0.604
CricketXTruncEnd,0.7968678616518392,0.7985134583551146,0.7870643234048286,0.8012268190744991,0.8123035897111149,0.7927449073008275,0.8039473306479503,0.7897037440351984,0.7797407865349147,0.7969457424126252,0.7859413689335613,0.8067974328070319,0.8108807935760587,0.7870954544812199,0.7870080915291526,0.7983496569336165,0.7870321040857476,0.7969388601011016,0.7844705017647534,0.8167401321732681,0.8038014931751554,0.7981085147601341,0.799459088329544,0.7964263065180288,0.8138195496259495,0.7924291747208287,0.7814926852909427,0.8070068589616747,0.7981743076353504,0.7829768212928436
