Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8880555555555554,0.835388888888889,0.8447777777777777,0.8213333333333334,0.825388888888889,0.8046666666666666,0.8196666666666665,0.8313333333333334,0.7739999999999999,0.7932222222222223,0.8394999999999999,0.8217222222222221,0.8379444444444445,0.8268333333333332,0.8563888888888889,0.8202777777777779,0.821611111111111,0.8345,0.8264999999999999,0.8140000000000001,0.7762222222222221,0.7995555555555555,0.8274999999999999,0.8435555555555555,0.8400000000000002,0.8431111111111111,0.7755,0.805888888888889,0.8311111111111111,0.7943888888888889
AdiacTruncEnd,0.7216248668725557,0.7112492215144166,0.7129128463482411,0.7216156949495641,0.7108998090653108,0.7226817592686314,0.6963485590549242,0.725288385986254,0.7138971522321879,0.7142137775656536,0.7246491188493969,0.7038099170463895,0.717920947087124,0.7231414937260071,0.7220041250299951,0.7108992523590354,0.7106509118436621,0.7186813539416048,0.6887034381756824,0.6991180552587228,0.7048762300759601,0.6998870708929102,0.7265979378902649,0.6763443366098206,0.7244891927273024,0.7367047346387504,0.7154649978757154,0.7112297894623851,0.711139162443723,0.7075334699944497
ArrowHeadTruncEnd,0.7425040873138615,0.7772405108037648,0.8229821925677168,0.8157597985064734,0.73899518359772,0.7484804029870531,0.6996447350978746,0.785333834121338,0.7950545711634484,0.8133648535195086,0.7566271927886526,0.8429574477486634,0.8315019221421942,0.7671967654986523,0.7219650037559101,0.8471393221687067,0.7371441827581636,0.7784627281163007,0.6916698334143431,0.830226238345632,0.7345428836551633,0.8726927665591446,0.765758472891167,0.8010295612213336,0.7963094869868764,0.7740992443992754,0.6250510361892978,0.8068688966461933,0.8163408598824621,0.7721125889266935
BMETruncEnd,0.8654333333333333,0.8816666666666667,0.8831333333333333,0.8312333333333334,0.8696999999999999,0.8319999999999999,0.8838666666666666,0.8932666666666668,0.8393666666666667,0.8834999999999998,0.8804,0.8371999999999999,0.8695333333333334,0.8493666666666667,0.8180666666666667,0.8623,0.8698333333333335,0.8902,0.8765999999999998,0.8523333333333334,0.8752333333333333,0.8685666666666666,0.8470333333333334,0.9128333333333334,0.9054333333333333,0.8060333333333333,0.8599666666666667,0.8497333333333333,0.8262666666666667,0.8566333333333334
BeefTruncStart,0.6340277777777779,0.6298611111111112,0.5743055555555555,0.6354166666666666,0.65,0.648611111111111,0.5972222222222222,0.6173611111111111,0.6236111111111111,0.576388888888889,0.5381944444444445,0.6451388888888889,0.6111111111111112,0.5430555555555555,0.5993055555555554,0.625,0.5784722222222222,0.5951388888888889,0.6277777777777779,0.58125,0.5777777777777777,0.6833333333333333,0.5659722222222222,0.679861111111111,0.7263888888888889,0.675,0.5777777777777777,0.5722222222222223,0.5916666666666667,0.6243055555555554
BeetleFlyTruncEnd,0.785,0.785,0.835,0.635,0.8999999999999999,0.6700000000000002,0.76,0.7450000000000001,0.6799999999999999,0.6300000000000001,0.7000000000000001,0.8549999999999999,0.55,0.775,0.7699999999999999,0.795,0.585,0.7200000000000001,0.7649999999999999,0.745,0.8400000000000001,0.755,0.8899999999999999,0.67,0.6599999999999999,0.75,0.9,0.81,0.6799999999999999,0.7100000000000001
BirdChickenTruncEnd,0.95,1.0,1.0,0.8400000000000001,1.0,1.0,1.0,1.0,0.945,1.0,0.9249999999999999,0.95,0.8499999999999999,0.9,0.935,0.895,0.7849999999999999,0.9400000000000001,0.895,0.95,0.8800000000000001,0.92,0.725,0.85,1.0,0.99,1.0,1.0,0.9500000000000001,0.89
CBFTruncEnd,0.9679130615237288,0.9598557352900629,0.9785650711036707,0.9697424748546589,0.9533006941640916,0.9612257340925188,0.9594677004435852,0.9093746770334485,0.9776478078151485,0.9700552889270785,0.9658511713607517,0.9385051750266362,0.9599387756880426,0.9573661965791388,0.9801952183007795,0.9455148310598512,0.9655568112896729,0.9554173346987805,0.9783926392289133,0.95629674741242,0.9629031337796758,0.9667629056989522,0.9772510155256869,0.9603975035113561,0.9636705635515291,0.9581628509041045,0.9815326983777186,0.9799501270898895,0.936385591722624,0.9701548246832372
CarTruncEnd,0.8290895775516496,0.7957008716710663,0.8641753720959966,0.8147845641268624,0.8765045538984529,0.856034573527974,0.9030133382971203,0.8253123049269345,0.8828471078420311,0.834961605860277,0.8753327053390794,0.8207448688732956,0.7366388581785911,0.8212672886442094,0.8718639771966639,0.7691139640351075,0.858872957138452,0.794058967532321,0.7864161458450848,0.8648116393282341,0.8648864721764702,0.8014623429074255,0.8427364191542008,0.8384073012793032,0.8246842166617782,0.8143378233042274,0.7833276926663809,0.8290800824289464,0.8440121499966157,0.8807066627558042
ChinatownTruncEnd,0.9146799965820731,0.8417499786379561,0.9373451251815774,0.8688370503289755,0.8197257113560625,0.9568913953687088,0.8166709390754507,0.8664445014098949,0.9000469964966249,0.9577458771255234,0.7849696658976332,0.8875502008032128,0.8541186020678458,0.9457190463983594,0.8967358796889686,0.7508117576689738,0.9026745278988295,0.9357643339314705,0.7979791506451337,0.8559770998889173,0.879539434333077,0.940805776296676,0.8932538665299496,0.9303383747756986,0.8746902503631547,0.9497991967871486,0.9263009484747502,0.8819533452960779,0.8817610869007947,0.9497351106553874
