Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9558888888888889,0.9298888888888888,0.9437777777777776,0.9333333333333335,0.9462777777777778,0.9133888888888887,0.9372777777777779,0.9238888888888889,0.9141666666666666,0.9196666666666666,0.9221666666666667,0.9315000000000001,0.9505,0.9441666666666668,0.9542777777777778,0.9411666666666667,0.9258333333333334,0.939,0.9431666666666666,0.9400555555555556,0.9496666666666667,0.9747222222222223,0.9630555555555556,0.9446111111111111,0.9620000000000001,0.9456111111111111,0.9347777777777779,0.9465555555555557,0.9428333333333334,0.9400555555555556
AdiacTruncEnd,0.9777490226614032,0.9769803980686484,0.9739889364486418,0.9791674023021476,0.9719047240313792,0.972788226961607,0.97260108851166,0.9750603685036568,0.9786701916823065,0.9756775125523813,0.9767352949445786,0.9778980895534951,0.9756479441469086,0.9665174216487181,0.9790775835294782,0.9710207201055372,0.9722123405064966,0.9767702534335274,0.970377291288168,0.9729537059796155,0.969491054100719,0.9802355824896906,0.9824153419274116,0.9743574097091176,0.9780982199302298,0.9780279691317622,0.9782746827749986,0.9774634383067916,0.970364735941862,0.978969987920309
ArrowHeadTruncEnd,0.8763439529848438,0.8896584331227079,0.8708620918209536,0.9459387565728427,0.9146904688259467,0.9104233131545225,0.8434868101277009,0.8728425610887721,0.9445981176262649,0.9011563784189829,0.8830524501789582,0.9296160134329018,0.9197529936812338,0.902689231584994,0.8952401573063496,0.8935654633025496,0.7869952719720736,0.8481737439794972,0.8351893420529363,0.9203778003623349,0.9246065131898722,0.914545976757545,0.9013852679952278,0.9078763642790862,0.9268180813927799,0.8894962661835536,0.9163404180106933,0.8853364853519509,0.8819110954001149,0.9141412222173125
BMETruncEnd,0.9191,0.8888999999999999,0.9210333333333331,0.8952666666666667,0.9245333333333332,0.8926333333333334,0.9153666666666667,0.9352666666666666,0.9363666666666666,0.9393,0.9328333333333334,0.9392666666666666,0.9295000000000001,0.8996999999999999,0.9313333333333332,0.9181333333333334,0.9146666666666666,0.9276666666666668,0.9271999999999999,0.9048666666666666,0.9243666666666667,0.9384333333333332,0.9152000000000002,0.9459333333333333,0.9403666666666667,0.9129,0.9037333333333334,0.9234999999999999,0.9066333333333334,0.8995333333333334
BeefTruncStart,0.6673611111111111,0.7083333333333334,0.6944444444444444,0.7916666666666666,0.6125,0.6958333333333333,0.6291666666666667,0.6159722222222221,0.6131944444444445,0.6451388888888889,0.5875,0.65625,0.6513888888888888,0.6368055555555555,0.6631944444444444,0.6270833333333333,0.6090277777777777,0.61875,0.7020833333333335,0.63125,0.6166666666666667,0.7465277777777779,0.625,0.7416666666666667,0.7305555555555556,0.7388888888888888,0.6770833333333334,0.5770833333333333,0.5958333333333333,0.7055555555555556
BeetleFlyTruncEnd,0.95,0.86,0.8650000000000001,0.665,0.9,0.7500000000000001,0.78,0.91,0.89,0.85,0.7000000000000002,0.8600000000000001,0.56,0.76,0.87,0.82,0.86,0.7,0.85,0.56,0.8600000000000001,0.8500000000000001,0.885,0.6900000000000001,0.7400000000000001,0.835,0.94,0.8400000000000001,0.7749999999999999,0.84
BirdChickenTruncEnd,0.97,0.84,0.91,0.83,0.87,0.9600000000000001,0.8799999999999999,0.85,0.8599999999999999,1.0,0.7949999999999999,0.9800000000000001,0.9450000000000001,0.95,1.0,0.91,0.73,0.85,0.765,0.9400000000000001,1.0,0.9,0.915,0.93,1.0,0.7999999999999999,0.9599999999999999,0.8799999999999999,0.92,0.9
CBFTruncEnd,0.9967367136178056,0.9913179384606332,0.994811465281713,0.9850313982295277,0.9894276817067513,0.992382297447338,0.9930910348798114,0.9867525732796208,0.994556748315722,0.9858965234901788,0.9968579723416681,0.9940767853284789,0.9894168439834516,0.9899346861364303,0.994988873415466,0.9900868602655255,0.9927401738723021,0.9921511657022527,0.9980752318029871,0.9888670336151882,0.9966189905505123,0.9936224747764687,0.9980625554172823,0.9920427975331412,0.9956571190914466,0.9945816936751971,0.9964724078209921,0.9961356838738538,0.9920770012670922,0.9934013213932829
CarTruncEnd,0.8762723464422434,0.9318917668825162,0.950334303528049,0.9036878680535185,0.9432990756827088,0.9753467129953446,0.9564037551800124,0.9124859923437347,0.928673390341674,0.9289448944443192,0.9180271955356002,0.9182620353030544,0.9010758632100659,0.935012371862849,0.9520628859156307,0.9002218662334635,0.9460345171213045,0.8603385904349331,0.9546172619450524,0.922582034099712,0.9389786068304716,0.8979020479381482,0.9339778735437677,0.9283910749607034,0.9018507968382181,0.9257703270834745,0.9216849800320389,0.9441440475921873,0.9417441318261471,0.9384218730022638
ChinatownTruncEnd,0.9937836452191746,0.9947662992395112,0.9919678714859439,0.9959198496112107,0.994168162009741,0.9969025036315474,0.9942963342732632,0.9963898145774588,0.9922455780569085,0.9945954028881483,0.996582072972742,0.9910065795095275,0.993100059813723,0.9937622831752543,0.9952362642057592,0.9924591984961122,0.9953003503375203,0.995513970776724,0.9938477313509356,0.9952789882935998,0.9952789882936,0.9937836452191746,0.995983935742972,0.9962402802700162,0.9939972656583781,0.9971374861146715,0.9973724685977955,0.9954926087328037,0.9957916773476886,0.9960907459625737
ChlorineConcentrationTruncStart,0.5774045841277613,0.5807605539711276,0.5819612473360641,0.5962198609948307,0.5781026282244238,0.5885706738563546,0.58035109348982,0.5916366576835567,0.5789747519238291,0.6020191962942875,0.5691810635190694,0.5798121010499628,0.5753372541644716,0.5845053480017574,0.5784887216976105,0.587184018271762,0.5912604073635009,0.5773455557350826,0.5881179821964398,0.5850954186444507,0.5942268797218707,0.5836192208208121,0.5941130834876776,0.57843851086828,0.594850541698665,0.5880230595264505,0.5795473322528187,0.5753812085316433,0.5711551111063293,0.5872233234662444
CinCECGTorsoTruncEnd,0.9957473593037123,0.988235937300646,0.9952433223557487,0.9755238137995854,0.9945659533946467,0.9930578629262441,0.9965448365458507,0.9944057185782355,0.9927328017745922,0.9959718384689956,0.9941256530490475,0.993254898998921,0.9922445959302326,0.9908311203954119,0.9924857486517126,0.9648299634496043,0.994396339824948,0.9876199431378586,0.9929981375500664,0.9987764996379277,0.9924265806760918,0.9886456915005448,0.9874853343135173,0.9941254094414189,0.9949285374342144,0.9922777782095263,0.9970516756070048,0.9967299802124131,0.997612923059472,0.9945581746497035
CoffeeTruncStart,1.0,0.9897435897435898,0.9948717948717949,1.0,0.9743589743589745,0.9282051282051282,0.9794871794871796,0.9538461538461539,0.9794871794871796,0.9948717948717949,0.9897435897435898,0.9538461538461539,0.9897435897435898,0.9897435897435898,0.9384615384615385,0.9794871794871794,0.9897435897435898,0.9230769230769231,0.9897435897435898,0.9743589743589745,0.9487179487179488,0.9897435897435898,1.0,0.9435897435897437,0.9692307692307693,0.9512820512820512,0.9538461538461539,0.9846153846153847,0.9333333333333333,0.9692307692307692
ComputersTruncStart,0.787328,0.857248,0.8550719999999999,0.853568,0.838656,0.849184,0.8458559999999999,0.8393919999999999,0.835808,0.8828480000000001,0.835936,0.8695679999999999,0.8754559999999999,0.821088,0.8485760000000001,0.889632,0.850432,0.817248,0.8539199999999999,0.855488,0.829568,0.838112,0.8385279999999999,0.8421759999999999,0.787744,0.8703039999999999,0.852352,0.86624,0.83376,0.830976
