Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9486111111111112,0.9096666666666667,0.9259444444444443,0.9369444444444442,0.9446111111111111,0.9045555555555554,0.9213333333333334,0.9191111111111111,0.9043333333333333,0.9199999999999998,0.9157777777777778,0.9217777777777778,0.9332777777777777,0.9363888888888888,0.9253333333333333,0.9426666666666667,0.9205555555555556,0.9320555555555555,0.9202777777777779,0.9431111111111111,0.9337777777777778,0.9512222222222222,0.9415,0.9386111111111112,0.9537222222222224,0.915611111111111,0.9251111111111111,0.9349999999999998,0.9277222222222221,0.9298333333333333
AdiacTruncEnd,0.9612160630548195,0.9590389296261751,0.9562745207918346,0.9593592212844976,0.9593623612941673,0.9584808956714652,0.9500744249835645,0.9611758473685306,0.9580347077135121,0.9554959206906316,0.9591402667505687,0.9579476800324752,0.9658002334860165,0.9567656499426986,0.9641320809750721,0.960048335042814,0.9518235114964924,0.9587738694763216,0.9521675447178732,0.9576357338345944,0.9561294528727058,0.9572678976755603,0.9615179967207601,0.9666359861727584,0.9681755447473831,0.9594303793081911,0.9588888032415596,0.9594746379476332,0.9557405177477454,0.9597976120498746
ArrowHeadTruncEnd,0.7450881534178783,0.8300455127921876,0.7894317529053069,0.8479996465025849,0.7696385488931111,0.8319756086783614,0.7478065485396139,0.8356745172550926,0.7915041315010384,0.8515050152445761,0.8452710883301665,0.8465989129954485,0.8023821307056692,0.8584649374751446,0.7271145773496531,0.8624877380584154,0.7615461093190756,0.7909067208696037,0.7944942777605939,0.8298581591622112,0.8720021209844903,0.8803866377977111,0.8259255004197782,0.8813865936105341,0.8504931288939949,0.8424691794441255,0.7176461490875348,0.8643051566435421,0.8210017232998985,0.8076890106491096
BMETruncEnd,0.9096666666666667,0.9099,0.9251333333333334,0.9128000000000001,0.9204666666666667,0.9078666666666667,0.9179333333333333,0.9046333333333333,0.9276999999999999,0.9322333333333334,0.9321333333333333,0.9319,0.9276333333333332,0.9182666666666667,0.9239999999999999,0.9149666666666667,0.9167,0.9388,0.9113666666666665,0.9179666666666666,0.9304666666666667,0.9230666666666667,0.9267666666666666,0.9248333333333335,0.9294333333333333,0.9129,0.9264333333333333,0.9238999999999998,0.9274000000000001,0.9096333333333333
BeefTruncStart,0.7104166666666667,0.7222222222222222,0.6597222222222222,0.8069444444444446,0.6694444444444444,0.7777777777777779,0.7256944444444443,0.7534722222222221,0.7125000000000001,0.6958333333333333,0.6673611111111111,0.7131944444444446,0.7479166666666667,0.7201388888888889,0.6979166666666666,0.6625,0.638888888888889,0.7090277777777777,0.7152777777777779,0.7548611111111112,0.6972222222222222,0.7659722222222222,0.70625,0.8138888888888889,0.7944444444444445,0.7708333333333335,0.6777777777777777,0.6888888888888888,0.6430555555555555,0.6222222222222222
BeetleFlyTruncEnd,0.885,0.595,0.81,0.61,0.8750000000000001,0.79,0.8049999999999999,0.8949999999999999,0.735,0.855,0.7350000000000001,0.735,0.59,0.86,0.845,0.87,0.73,0.735,0.815,0.8200000000000001,0.76,0.89,0.8200000000000001,0.69,0.79,0.8200000000000001,0.89,0.575,0.78,0.8899999999999999
BirdChickenTruncEnd,1.0,1.0,0.9199999999999999,0.9800000000000001,1.0,1.0,1.0,0.9600000000000001,1.0,1.0,0.99,1.0,0.97,1.0,0.9800000000000001,1.0,0.9400000000000001,0.99,0.99,1.0,1.0,0.97,0.99,0.96,1.0,0.89,0.99,1.0,0.97,1.0
CBFTruncEnd,0.9909659393026179,0.9456157954327064,0.9913044364587591,0.9668314999796292,0.9791649699708599,0.9877410363407331,0.9802428432023731,0.9757939871142601,0.9872653535245041,0.9911210402749331,0.9941119187744062,0.9714970937434284,0.9787540082955655,0.9895220190100877,0.9896356496965192,0.9826746818483169,0.9792078074015637,0.9828015501201042,0.9862547911129053,0.9838652591304513,0.9849542460554089,0.9933057578623301,0.9976986349231042,0.9875640493639231,0.9928249989300293,0.9762474894371255,0.9764718096353334,0.989833130357827,0.9658120120367593,0.9891022864863108
CarTruncEnd,0.7798949707813453,0.8489979355158953,0.8385420192083513,0.8419337522468656,0.7688751758007866,0.8036122831163557,0.845140847453803,0.8287117468769506,0.8363218526958627,0.823837364529982,0.8539055977978836,0.836909046125614,0.7396082932845979,0.7821529297624151,0.8073468746944639,0.7527761482517692,0.8140562600121838,0.7468599347186812,0.8261048186337552,0.7959655129622526,0.7824492527996509,0.7744179771816219,0.7596479847777201,0.781172863879425,0.8064165406917715,0.8132968382181509,0.7210096041755977,0.8155216112753172,0.8323782744071659,0.8155240555643298
ChinatownTruncEnd,0.9935273006921302,0.9934845766042893,0.9917756130906605,0.9925019225839528,0.9927582671109972,0.9937195590874134,0.9914338203879348,0.9844911561138169,0.9920105955737845,0.9935486627360506,0.9948517474151926,0.9976288131248398,0.9923096641886695,0.993035973681962,0.9936768349995728,0.9922242160129882,0.9926728189353157,0.9934845766042896,0.9930146116380415,0.9930786977698027,0.9942322481415024,0.9934204904725283,0.9931855079894044,0.996283004357857,0.992566008715714,0.9927369050670768,0.9926514568913954,0.993270956165086,0.9942963342732634,0.9932709561650859
ChlorineConcentrationTruncStart,0.5739653946912479,0.5711761215470148,0.5708358933246188,0.5907837346816817,0.5823340955641371,0.5915763956974895,0.5722247039883922,0.5819488711520244,0.5740168701984619,0.5921563469495487,0.572678905293966,0.5725142238165136,0.5794436044346482,0.5732005857426448,0.5732144845814705,0.5833001647835933,0.593683293080899,0.5758913105875528,0.5796188553981906,0.5744985321968236,0.5841553528389902,0.5770014099295153,0.5811524824939499,0.5804689086734648,0.5769866022079102,0.593045287344326,0.5709885105567828,0.5776675776581804,0.5704769371996424,0.5797414077162041
CinCECGTorsoTruncEnd,0.9732709500079345,0.8794905225602918,0.9635556343702779,0.9268329995763828,0.9710316770779932,0.9460767020124301,0.9648172999136388,0.913700100550519,0.945142897819689,0.9522810445634222,0.979285170387328,0.9457402955311089,0.9568571155049734,0.9214006129491146,0.9238123583559805,0.8951064424447602,0.9466417164244627,0.937924483311784,0.933611148765103,0.9506559457191732,0.9268073594397584,0.9587398288907236,0.9425950876850756,0.972013794924556,0.9323715087556672,0.9279027153776411,0.9350590748442429,0.9157324207564802,0.948866274776463,0.942101082030969
CoffeeTruncStart,0.9948717948717949,0.9820512820512821,0.9641025641025641,0.9846153846153847,0.9794871794871796,0.9769230769230769,0.9743589743589743,0.9692307692307692,0.9641025641025641,0.9897435897435898,0.9717948717948718,0.9538461538461538,1.0,0.9846153846153847,0.9333333333333335,0.9846153846153847,0.9794871794871794,0.9179487179487179,0.9692307692307692,0.9794871794871796,0.9846153846153847,0.9692307692307693,1.0,0.9846153846153847,0.9692307692307692,0.9948717948717949,0.9743589743589743,0.9743589743589743,0.9717948717948719,0.9897435897435898
