Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9927777777777778,0.9793333333333333,0.9728888888888889,0.9616666666666667,0.9856666666666668,0.9635555555555555,0.9627777777777777,0.9725555555555555,0.9595555555555555,0.9678888888888888,0.9845555555555556,0.9632222222222222,0.983888888888889,0.9738333333333332,0.9902222222222224,0.9843333333333334,0.9535555555555555,0.9731111111111111,0.9815555555555556,0.9762222222222222,0.9738888888888888,0.9656666666666668,0.9728888888888888,0.9880000000000001,0.9876666666666667,0.9770000000000002,0.956,0.973,0.9897777777777778,0.9868888888888888
AdiacTruncEnd,0.9770441451618572,0.9776741446505269,0.9767186086391042,0.9791147740734057,0.9757968283172218,0.9766959723387396,0.9729741753515011,0.9784315321686848,0.9798304645980712,0.9803675251501923,0.973433165703021,0.9756965512390863,0.9753967802547214,0.9718356839472174,0.9804812903180516,0.9712959644323107,0.9747182359174653,0.978334978167993,0.9732174359092148,0.9756891487902413,0.9761583569914892,0.9776894594180462,0.9829840359965086,0.9728403923504559,0.9786366348275467,0.9773612793057967,0.982036335709158,0.9806416794746032,0.9747534526296174,0.9818820991531323
ArrowHeadTruncEnd,0.8989191816534841,0.850627899783483,0.9165489814855728,0.922167822897795,0.882795280809509,0.9073827935133223,0.8666395651981794,0.8910193981706509,0.9010127700941187,0.8911917281604879,0.8997251557597985,0.9068923158499403,0.9230029605408511,0.8657240068931995,0.9164667933365737,0.8824161548318677,0.8307958110556316,0.8290530687994344,0.8415112014493393,0.933604348018205,0.9188855993990543,0.9073014891078609,0.8793999381379524,0.905170783438646,0.894107198091114,0.8695859661526226,0.8914011753789052,0.9106128761433432,0.8859802925191109,0.9077619194909636
BMETruncEnd,0.9010666666666667,0.9084666666666668,0.9204,0.8779333333333333,0.9121999999999999,0.8728000000000001,0.9244666666666665,0.9176666666666667,0.8968,0.9193333333333332,0.9083333333333333,0.9264666666666667,0.9122666666666667,0.8882666666666668,0.8943333333333334,0.9157333333333334,0.9058666666666666,0.9388666666666667,0.9190666666666668,0.8893333333333334,0.915,0.9065333333333333,0.8998666666666666,0.9294666666666666,0.9436666666666668,0.8867333333333333,0.9201333333333334,0.9042666666666668,0.8936666666666667,0.8866
BeefTruncStart,0.8208333333333333,0.8930555555555555,0.8499999999999999,0.8208333333333333,0.85,0.8375,0.8652777777777778,0.7555555555555558,0.788888888888889,0.8625,0.7194444444444444,0.8972222222222221,0.7902777777777779,0.8194444444444445,0.8416666666666667,0.7430555555555556,0.7180555555555554,0.7986111111111109,0.7625,0.8680555555555555,0.7486111111111112,0.8277777777777778,0.8180555555555556,0.9152777777777779,0.8472222222222221,0.8666666666666667,0.7833333333333333,0.7347222222222223,0.6958333333333334,0.9263888888888888
BeetleFlyTruncEnd,0.98,1.0,0.99,0.9099999999999999,1.0,0.9400000000000001,0.91,1.0,1.0,1.0,0.9800000000000001,0.9099999999999999,0.58,0.9099999999999999,1.0,0.9800000000000001,0.84,0.9500000000000001,0.9800000000000001,0.97,1.0,0.9299999999999999,1.0,0.89,0.8300000000000001,0.97,1.0,1.0,0.77,0.9800000000000001
BirdChickenTruncEnd,1.0,0.96,1.0,0.9800000000000001,1.0,0.99,1.0,1.0,1.0,1.0,0.94,1.0,0.85,1.0,1.0,0.9800000000000001,0.85,1.0,1.0,1.0,0.99,0.9600000000000001,0.9199999999999999,0.93,1.0,0.93,1.0,0.9299999999999999,0.95,0.98
CBFTruncEnd,0.9945406085376257,0.9863677480572829,0.9945844576256608,0.9902022516711092,0.9896961313973447,0.9873105765784228,0.9883295554518507,0.9664721829213742,0.9960448431937309,0.9812252714947863,0.9931061597597999,0.9832426346712494,0.9880083149277792,0.9881448121851559,0.9978264425983333,0.983292698087592,0.9919377811193787,0.9917871959276914,0.9968044587326689,0.9861003632344886,0.9946154997812734,0.9932156980345049,0.9971592877575184,0.9889918061229488,0.9904229193081568,0.9954077773703658,0.9966989111195885,0.9966525312421168,0.9833261407225513,0.9916070349958619
CarTruncEnd,0.9039244000210584,0.9717404465904048,0.9703453216308296,0.9265365176778502,0.9739179320562863,0.9394216812195872,0.9798774847137927,0.9357872114798854,0.9374444394305181,0.9682729405924957,0.9672391943623414,0.9763900483593181,0.9321078044267954,0.9745081338417454,0.9782627497875348,0.9169966456833857,0.9819609590637997,0.9236317622195648,0.9674322931943473,0.9741941367147252,0.9881660687559697,0.948309868158811,0.9654276001594428,0.9548193858441822,0.9413611305400751,0.9778793724569994,0.961190707189218,0.9763580845799208,0.9618747320683199,0.97842350879568
ChinatownTruncEnd,0.9905579765871998,0.9931214218576434,0.9905579765871999,0.9952576262496795,0.95283260702384,0.9949585576347945,0.9851747415192685,0.9715030334102367,0.9922669401008287,0.993634110911732,0.9396735879688969,0.9741092027685209,0.9794069896607708,0.9933777663846877,0.9818422626676921,0.933435871144151,0.9856874305733573,0.9925660087157139,0.9746646159104503,0.9776980261471417,0.962616423139366,0.9952149021618388,0.9935059386482099,0.9929078014184397,0.9678287618559344,0.9898743911817482,0.9909424933777664,0.9789797487823635,0.9658634538152611,0.9952576262496796
