Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9166666666666667,0.8666666666666668,0.85,0.8666666666666666,0.8555555555555554,0.8833333333333333,0.85,0.8666666666666666,0.85,0.8333333333333333,0.8833333333333333,0.8555555555555554,0.8555555555555556,0.8666666666666667,0.9055555555555556,0.8444444444444443,0.8166666666666668,0.8722222222222222,0.861111111111111,0.85,0.8666666666666666,0.8722222222222222,0.9,0.8722222222222222,0.8833333333333333,0.8777777777777779,0.8666666666666667,0.9,0.8555555555555554,0.8444444444444444
AdiacTruncEnd,0.8083413784204427,0.7979569611720618,0.7979022127101967,0.81901030336798,0.8124879820548632,0.8229241460187584,0.8125475662002021,0.8174578847460093,0.8281169874644436,0.804542649822839,0.7861023774931951,0.7978192023333709,0.8060037732260201,0.8176387713795099,0.8173345439591307,0.8005131075884282,0.7901375507883736,0.8188272133162968,0.8070906740365689,0.8096803239849469,0.7977134755372026,0.7848857220483944,0.8451862508252042,0.7900905470050362,0.8045152156887511,0.8019686182264575,0.8266154338129243,0.8215874747467821,0.7979116988235617,0.8107961555293978
ArrowHeadTruncEnd,0.7766006804825241,0.8134859263841634,0.8059078255490255,0.8368388493659141,0.7806990411382617,0.8356016084132385,0.7398700896999691,0.7970924837612124,0.8417878131766162,0.8192081657902878,0.8280235075781008,0.8311166099597895,0.8386947107949274,0.8280235075781008,0.7991030003093101,0.8321218682338385,0.7605938756572842,0.7835601608413238,0.7128054438601917,0.8230745437673986,0.8352149706155274,0.8280235075781008,0.7927621404268481,0.834364367460563,0.8274048871017632,0.7681719764924219,0.7192236313021961,0.8100061862047634,0.8383080729972162,0.8522270337148159
BMETruncEnd,0.865,0.845,0.86,0.865,0.835,0.85,0.865,0.87,0.885,0.87,0.88,0.885,0.88,0.865,0.855,0.87,0.84,0.845,0.84,0.87,0.865,0.875,0.87,0.875,0.88,0.86,0.85,0.875,0.835,0.875
BeefTruncStart,0.6666666666666666,0.6458333333333334,0.7083333333333334,0.7083333333333334,0.6458333333333334,0.7291666666666666,0.625,0.6875,0.6666666666666666,0.6041666666666666,0.6458333333333334,0.625,0.6875,0.625,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.6875,0.5833333333333334,0.5416666666666666,0.75,0.625,0.6666666666666666,0.7291666666666666,0.75,0.625,0.6875,0.625,0.6666666666666666
BeetleFlyTruncEnd,0.8,0.8,0.8500000000000001,0.75,0.85,0.7000000000000001,0.75,0.7000000000000002,0.85,0.7,0.7,0.8,0.5499999999999999,0.7,0.85,0.8,0.7500000000000001,0.75,0.9,0.8,0.8500000000000001,0.8,0.8500000000000001,0.7,0.6500000000000001,0.85,0.85,0.85,0.85,0.75
BirdChickenTruncEnd,0.85,0.95,0.8,0.95,0.8,0.85,0.9,0.95,0.85,1.0,0.85,1.0,0.9500000000000001,0.95,0.95,1.0,0.55,0.9,0.85,0.9,1.0,0.9,0.8,0.95,1.0,0.8,0.9500000000000001,0.85,0.95,0.9
CBFTruncEnd,0.9758221480238669,0.9341803612632733,0.9766970281151272,0.9716719815405357,0.9333524724348788,0.9758442593806598,0.9808303981155346,0.8723685448356833,0.9666664074045267,0.9449301195939215,0.961652638733023,0.9449578976803445,0.9666358792875475,0.9549774997499973,0.9775026389182103,0.9390494246232366,0.9099776293810672,0.965860944751238,0.9616803057071004,0.9675082130542191,0.9824748237943383,0.9675026389182103,0.9541915650914641,0.952513583484261,0.9750276854928017,0.9449914906461924,0.9666358237313749,0.9791887224672865,0.9532968421871356,0.9724719996888855
CarTruncEnd,0.8436801967464633,0.8587576995103902,0.8802655626001219,0.7915829967735386,0.8776144491324656,0.8807280972902235,0.8558753186976827,0.7933710881974684,0.8691647300376797,0.8385753931544866,0.8572008754315111,0.8612395929694727,0.8341361882629001,0.878246203831141,0.8581259448117146,0.790951242074863,0.8680704406489023,0.7784628054421155,0.8164357753660793,0.8467938449042214,0.8367873017305565,0.8374811037657093,0.8576634101216128,0.8379436384558109,0.8361555470318811,0.8390379278445884,0.8268428058933687,0.8685329753390041,0.8478881342929988,0.8902721057737868
ChinatownTruncEnd,0.94870973254721,0.8829359993164146,0.971289412971033,0.9539220712637786,0.9572331880714346,0.9477911646586346,0.971289412971033,0.8951978125267025,0.9839357429718876,0.9839357429718876,0.8383106895667777,0.8192771084337349,0.8512347261385969,0.9538152610441767,0.9203836623088097,0.7898615739553961,0.9786165940357174,0.9478979748782365,0.9234170725455012,0.9003033410236692,0.8982953088951552,0.9658634538152611,0.9493078697769801,0.9257028112449799,0.8498248312398531,0.9759036144578312,0.9592412201999487,0.8417927027257968,0.9043194052806972,0.9732974450995472
