Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9728888888888888,0.9428333333333333,0.9540000000000001,0.9073333333333333,0.9476111111111111,0.9266666666666667,0.9317222222222221,0.9278888888888889,0.9254444444444446,0.9248333333333334,0.9426666666666665,0.9225555555555556,0.9676666666666667,0.96,0.9542777777777779,0.936111111111111,0.9251666666666667,0.9563333333333336,0.9456666666666667,0.9501666666666666,0.9403333333333334,0.9712222222222222,0.9392777777777779,0.9556111111111112,0.9676666666666667,0.9496666666666667,0.9460555555555555,0.945,0.9465555555555557,0.9371111111111111
AdiacTruncEnd,0.9797785654899469,0.9763435170587066,0.9722671402758577,0.9763686695878728,0.9719491554898579,0.9759268454960769,0.973034755160006,0.9783860903380949,0.9777722709832378,0.9775201662767331,0.9775589582041474,0.9770517987207388,0.9795422725850057,0.9672784328459654,0.9777091410982388,0.9759056299980342,0.9736565037285684,0.9757566629079173,0.9746439332752852,0.9768002805695017,0.9701412670609141,0.9762667604674662,0.9781225720577883,0.9735509893304014,0.9822072125574751,0.9779814896680855,0.976622888154013,0.9788256798331837,0.9702449372323777,0.975106557643574
ArrowHeadTruncEnd,0.8877075692633998,0.9105859219654456,0.8928942600857231,0.9386372674649816,0.9155286995713845,0.9245959082674209,0.8636821174495162,0.8716318324422252,0.9341659670363661,0.9008148115416905,0.9096531306614822,0.9091016746940038,0.9250479430869163,0.9120516106225974,0.92345366974504,0.9021505898988114,0.8043899960231542,0.8606283416552516,0.8849030091467457,0.9166625425301579,0.9067363351155495,0.9165083292828422,0.9235424859705712,0.906560470151562,0.9328796783173522,0.89323405947594,0.8985568468030577,0.911028677477796,0.8967712429852857,0.9125999734876938
BMETruncEnd,0.9000333333333334,0.9117,0.9343666666666667,0.8967666666666666,0.9126666666666667,0.9179333333333333,0.9225,0.9268000000000001,0.9385,0.9426666666666665,0.9314333333333333,0.9275999999999999,0.9287666666666666,0.9221333333333332,0.9271333333333333,0.9189333333333334,0.9216000000000001,0.9359333333333334,0.9276666666666668,0.9280333333333334,0.9235,0.9499333333333334,0.9270333333333334,0.9481999999999999,0.9354,0.9236333333333332,0.9299333333333334,0.9217,0.9215,0.9083333333333333
BeefTruncStart,0.7118055555555556,0.71875,0.70625,0.7701388888888888,0.6534722222222221,0.7027777777777777,0.6618055555555556,0.6986111111111112,0.6680555555555555,0.6930555555555556,0.5513888888888888,0.7055555555555555,0.6520833333333333,0.6277777777777778,0.6854166666666667,0.6590277777777779,0.6118055555555555,0.6333333333333333,0.75625,0.6472222222222221,0.6097222222222223,0.7604166666666666,0.6493055555555557,0.7652777777777778,0.7138888888888889,0.7472222222222223,0.6743055555555556,0.61875,0.64375,0.7201388888888888
BeetleFlyTruncEnd,0.81,0.91,0.9100000000000001,0.66,0.94,0.785,0.775,0.88,0.72,0.8699999999999999,0.81,0.9000000000000001,0.53,0.765,0.7,0.77,0.86,0.71,0.895,0.5700000000000001,0.8999999999999999,0.88,0.935,0.6900000000000001,0.79,0.8,0.89,0.59,0.7,0.92
BirdChickenTruncEnd,0.9400000000000002,0.95,0.95,0.925,0.9600000000000001,0.9699999999999999,1.0,0.8999999999999999,0.97,0.9800000000000001,0.845,1.0,0.95,1.0,1.0,0.9700000000000001,0.7600000000000001,0.9800000000000001,0.67,0.9900000000000001,1.0,0.865,0.9500000000000001,0.91,0.9049999999999999,0.8600000000000001,0.99,0.92,0.9249999999999999,0.8799999999999999
CBFTruncEnd,0.9954754531840477,0.9903950065083028,0.994388744988113,0.9887922599654398,0.9817500394140182,0.9892330020950851,0.9902413645748327,0.961667353855372,0.9944284513037801,0.9758329217238216,0.9974074456897258,0.9815734887692166,0.9830007038452692,0.9882861076748588,0.9928406402972377,0.9803551211474366,0.9654257270554035,0.986059161254055,0.9952000368934141,0.9852566598785254,0.9929798434180133,0.9906759447635838,0.997778697211862,0.986329934602154,0.9868199676086936,0.9938789836142213,0.9943748676425624,0.9947471990943932,0.9851658330977341,0.9945238189992236
CarTruncEnd,0.891186081842317,0.9452090055128117,0.9572385738889767,0.9187678151064581,0.9542478922707821,0.9541102599971422,0.9559291870670787,0.9256220715537405,0.9320733963583854,0.9347322187375436,0.9318804855486114,0.9426085640366118,0.8855112888547941,0.9145296059806113,0.9509723569714882,0.9228982874935133,0.9424768544632717,0.9191363386806854,0.9546696261365942,0.935348367590984,0.9493466227446733,0.9125751148815837,0.9442981318111052,0.9403020013086347,0.9031337665365553,0.9317793295879305,0.9247982521453337,0.9565330204643397,0.941446492633289,0.9632700450501267
ChinatownTruncEnd,0.9925446466717935,0.9926941809792361,0.9917542510467401,0.9922669401008289,0.9940186277022987,0.9946594890199094,0.9920105955737846,0.9907502349824832,0.9928437152866786,0.9916688028710587,0.9943604204050244,0.9905793386311202,0.9914124583440144,0.9913056481244125,0.9929718875502008,0.988614030590447,0.9923096641886695,0.9926941809792362,0.9919892335298642,0.9919678714859438,0.9923310262325901,0.9941040758779801,0.9920533196616254,0.9928650773305989,0.9909211313338461,0.9959198496112108,0.9940399897462189,0.9949585576347946,0.9953857985132017,0.9920533196616252
ChlorineConcentrationTruncStart,0.5712342667816481,0.5729385307416253,0.5621779190177132,0.5850790424701628,0.5694557270245788,0.5808611848112443,0.5682024186944841,0.5795564417388358,0.5730473876265495,0.5893026167903946,0.5610401002564674,0.572172641977068,0.5668648015046202,0.5796172912896947,0.5663311747699892,0.577543125403779,0.5799750628551048,0.570735819918626,0.5771690167582112,0.5799338936239194,0.5839320505481725,0.5754095868952253,0.5844237407596624,0.570016445019187,0.583968253673628,0.5834999603560758,0.5679406427508008,0.5689872327104768,0.5555246475870488,0.5796860909522948
CinCECGTorsoTruncEnd,0.9752459079318279,0.9772072565050605,0.9826185546047548,0.9616494237329959,0.9431349268907584,0.9774588528759127,0.9743632556459706,0.9720986174908932,0.9719046365300914,0.9595457234742367,0.9696242129320622,0.9714020717249493,0.9694438879362883,0.9546361398567299,0.9579643993360638,0.9090341611455247,0.940701652615151,0.959216842853411,0.9627367201511562,0.9877184456065097,0.9600008644485171,0.9510157714523938,0.9751622129709995,0.9772245107232845,0.9728915271116186,0.955638536299617,0.9818461693928745,0.9743141356208986,0.980731559649151,0.9884147329036294
CoffeeTruncStart,0.9897435897435898,0.9794871794871796,0.9846153846153847,0.9948717948717949,0.9897435897435898,0.9282051282051282,0.9641025641025642,0.9435897435897437,0.9794871794871796,0.9794871794871796,0.917948717948718,0.9307692307692308,0.9820512820512821,0.9897435897435898,0.9794871794871796,0.9794871794871794,1.0,0.9102564102564102,0.9948717948717949,0.9717948717948719,0.9743589743589745,0.9487179487179487,0.9846153846153846,0.9615384615384616,0.9435897435897436,0.958974358974359,0.9641025641025641,0.9846153846153847,0.876923076923077,0.9666666666666668
ComputersTruncStart,0.809152,0.8428159999999999,0.895584,0.869888,0.8263360000000001,0.8450559999999999,0.859552,0.854624,0.841056,0.8910079999999999,0.8365440000000001,0.87552,0.8607360000000001,0.826016,0.841984,0.88336,0.8719680000000001,0.844032,0.843456,0.885664,0.845088,0.8216000000000001,0.847264,0.852096,0.7808640000000001,0.884416,0.847648,0.870048,0.823712,0.8665600000000001
CricketXTruncEnd,0.9367118120038529,0.942579802764208,0.9334464185023401,0.9375106938207731,0.9469025183556347,0.9378370191726754,0.9438477497317275,0.9473112551287063,0.9362775203943257,0.9404998807677325,0.9544198568332255,0.9439203138189964,0.9561874314014004,0.9505217725912064,0.9405861333700634,0.9439314884261797,0.945207805065352,0.9385379069515876,0.9398556573954573,0.9447285281133962,0.9430617170409187,0.9417148507684749,0.9388121451549833,0.9425761973785194,0.9433650443983809,0.9345162307926946,0.9271503925343316,0.9556758675806889,0.9434049546151139,0.9365593031546633
CricketYTruncEnd,0.9611768886865826,0.9530062279356313,0.9424093753817586,0.9607571042970239,0.9532171401103569,0.9440799762970802,0.9569187054354338,0.9527592873373539,0.9437937874147977,0.9520999620170822,0.9588535188586764,0.9604159259081437,0.9560180701651406,0.9597633592428424,0.9449343823994651,0.9589400487633115,0.9391863083411849,0.9522618321736748,0.9535180606019527,0.9539137634273152,0.9451873315953737,0.9535262584368267,0.953757154233782,0.9596988171567237,0.9491458209959809,0.9429109481834643,0.951975036972749,0.9527775600221932,0.9565016603883565,0.9593832493681359
