Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9333333333333335,0.9055555555555554,0.8388888888888889,0.8555555555555554,0.9,0.8722222222222221,0.85,0.8444444444444446,0.8611111111111112,0.8777777777777778,0.9055555555555556,0.8499999999999999,0.8722222222222222,0.8555555555555556,0.8777777777777778,0.8499999999999999,0.8277777777777778,0.8833333333333334,0.8888888888888888,0.8555555555555556,0.85,0.8777777777777779,0.8888888888888888,0.8833333333333332,0.9111111111111111,0.8388888888888889,0.8277777777777777,0.8722222222222221,0.8722222222222221,0.8944444444444444
AdiacTruncEnd,0.7469583801957712,0.7298156940203339,0.744123470985546,0.766639676632037,0.752334157359301,0.76391139591882,0.7572194569575359,0.7543956376069371,0.7588473382134153,0.7718243854184782,0.734956432783517,0.7469015542283434,0.749693387858142,0.7469642049533977,0.7637718213377744,0.7442355412827033,0.73370343197269,0.7505307604415709,0.719344566840216,0.756030435673845,0.7505693132869473,0.7231744317071879,0.7811320985879503,0.7294392744705815,0.7521407817315586,0.7469215258029787,0.7547763604876119,0.7757174655659985,0.753284601924741,0.7651703576408709
ArrowHeadTruncEnd,0.7337612124961337,0.7495360346427468,0.7431951747602846,0.7997216207856481,0.739096814104547,0.7858026600680482,0.7382462109495824,0.7532477575007733,0.7977111042375502,0.7962418806062481,0.7603618929786575,0.8745746984225178,0.8188215279925765,0.786034642746675,0.7653108567893597,0.8270182493040519,0.752397154345809,0.782554902567275,0.6884472626043922,0.7841787813176617,0.7960872254871638,0.7989483451902257,0.7974791215589238,0.8235385091246521,0.7700278379214351,0.7659294772656975,0.7374729353541603,0.7917568821527992,0.8030467058459635,0.8159604082895144
BMETruncEnd,0.88,0.87,0.845,0.85,0.865,0.845,0.86,0.88,0.865,0.88,0.865,0.875,0.88,0.865,0.87,0.875,0.835,0.875,0.87,0.875,0.86,0.865,0.86,0.895,0.83,0.875,0.87,0.84,0.855,0.875
BeefTruncStart,0.6041666666666666,0.5416666666666666,0.625,0.5833333333333334,0.6458333333333334,0.6458333333333334,0.625,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5416666666666666,0.6041666666666666,0.5625,0.5416666666666666,0.5833333333333334,0.6041666666666666,0.6041666666666666,0.5625,0.6041666666666666,0.625,0.5625,0.6875,0.5625,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.6041666666666666,0.6458333333333334
BeetleFlyTruncEnd,0.85,0.8500000000000001,0.85,0.85,0.9500000000000001,0.75,0.7,0.7999999999999999,0.85,0.7,0.6499999999999999,0.85,0.7,0.8,0.9500000000000001,0.85,0.8,0.8,0.85,0.9,0.8500000000000001,0.7,0.9,0.7,0.7000000000000002,0.85,0.8,0.75,0.8,0.75
BirdChickenTruncEnd,0.85,0.85,0.9,0.7999999999999999,0.85,0.9,1.0,0.75,0.85,1.0,0.7,0.95,0.9500000000000001,0.9,0.9,1.0,0.65,0.85,0.9,0.95,0.9,0.75,0.75,0.95,0.9500000000000001,0.8500000000000001,1.0,0.7,0.9,0.75
CBFTruncEnd,0.944108138238573,0.9333024163231444,0.9575301207050448,0.9265825916584258,0.9616997225895103,0.9533275554913573,0.9482578787912459,0.8824688792838439,0.9733274999351846,0.9398772208580095,0.9482579899035914,0.9248798597762198,0.9207297488490611,0.9482606473405261,0.9632635455208761,0.9292465286651332,0.9164826275847509,0.9442134357048411,0.9724830553672819,0.9315355263206628,0.9557440175261207,0.93419418549095,0.9666108141942318,0.952555259873258,0.9583719819109102,0.9550108334537049,0.9674718700578154,0.9524579161990689,0.9182214802386693,0.9391077678640873
CarTruncEnd,0.8359242796868303,0.9137372802960222,0.8802655626001219,0.8904413257823606,0.8900408384287357,0.9246068455134134,0.910623632138264,0.8818223866790009,0.8919981498612395,0.8693959973827304,0.9323627625730466,0.8918289298526658,0.8465625775591706,0.8800342952550709,0.9325940299180976,0.847718914284425,0.9099918774395885,0.9228187540894836,0.8600832562442183,0.9450204192143679,0.8582951648202883,0.8585264321653393,0.8895783037386341,0.9024672277250063,0.8687642426840549,0.8711840888066605,0.9250693802035154,0.9017734256898536,0.9030989824236818,0.9237438234696872
ChinatownTruncEnd,0.969281380842519,0.9740023925489191,0.9526189865846365,0.9507177646757242,0.9384559514654361,0.9806246261642315,0.9759036144578312,0.933841749978638,0.9859437751004017,0.9766085619072034,0.9285226010424679,0.8755020080321285,0.9048534563787063,0.969281380842519,0.9043194052806972,0.8460864735537896,0.8742416474408272,0.969281380842519,0.9773135093565753,0.9236947791164658,0.8855421686746988,0.9658634538152611,0.9806246261642315,0.9417670682730923,0.9304238229513799,0.9411689310433222,0.9746005297786892,0.9243997265658379,0.9143595659232675,0.9365547295565239
ChlorineConcentrationTruncStart,0.567162730433309,0.5823715610333072,0.5583886559564334,0.5791130607542019,0.5641546975128112,0.5509880495281542,0.5576409798909313,0.5661433627613154,0.5732140779549872,0.5631999971202121,0.5616463703357837,0.5810655482328688,0.5584024992839892,0.5648299641182197,0.5712757088752249,0.5585859427577888,0.562785340735284,0.5496137494772012,0.5567427557320618,0.5926402666003608,0.5576467163350036,0.5676276303856161,0.564509243858892,0.5580806865570842,0.5616337473920253,0.5778721794120371,0.55319877678789,0.5720650816713246,0.6102565314239163,0.5593200427492662
CinCECGTorsoTruncEnd,0.8934178855039531,0.8219945222838618,0.9111660304891628,0.8766301681851774,0.8758748041165577,0.8395172655476935,0.8920250821697409,0.8438813349570922,0.8817911587187727,0.8813729437638059,0.8692168134013517,0.8461077155933627,0.8823350558577719,0.8586975633329543,0.850106577443278,0.8428081524366281,0.8341137789395383,0.8890695676141963,0.82833821294443,0.87747699814983,0.8308191877714677,0.8602166655164601,0.8312405089938617,0.8682376368495605,0.9059144963842294,0.8925176752688507,0.8862273042514197,0.8687831652920301,0.9031317468857608,0.8169961335102534
CoffeeTruncStart,0.9615384615384616,1.0,0.9282051282051282,0.9230769230769231,0.9333333333333333,0.9615384615384616,0.9230769230769231,0.9333333333333333,0.9615384615384616,0.9230769230769231,0.8512820512820513,0.9230769230769231,0.9615384615384616,0.9666666666666667,0.9615384615384616,1.0,0.9666666666666667,0.735897435897436,0.9282051282051282,0.9666666666666667,0.9666666666666667,0.8666666666666667,0.9666666666666667,0.9282051282051282,1.0,0.9333333333333333,0.9615384615384616,0.8948717948717949,0.9615384615384616,1.0
ComputersTruncStart,0.752,0.792,0.792,0.7639999999999999,0.792,0.7719999999999999,0.796,0.756,0.7999999999999999,0.8360000000000001,0.772,0.76,0.8119999999999999,0.748,0.792,0.7959999999999999,0.7839999999999999,0.7479999999999999,0.7959999999999999,0.7960000000000002,0.816,0.7799999999999999,0.7919999999999999,0.8079999999999999,0.7559999999999999,0.7999999999999999,0.796,0.796,0.744,0.784
CricketXTruncEnd,0.8266201566614717,0.8601768737638861,0.8606530183605454,0.8574948524539284,0.8770961344488184,0.8661295618887298,0.8743803800581431,0.8644949830072797,0.8482498901370957,0.8703511833521858,0.8701177086360266,0.8644994805304448,0.880056197065455,0.8503199541716246,0.8564635090708435,0.8547566722964313,0.8643105698963721,0.8688160429269706,0.8843636227596957,0.8706982678850438,0.8730315783650383,0.8601310896527268,0.8671756217287357,0.8828478327362846,0.8745684821978778,0.8491489415472672,0.8522227558509125,0.8716034592752229,0.8658979385121107,0.881524854849616
CricketYTruncEnd,0.8643604618450265,0.8685435520918929,0.8768370354807737,0.8937105790654082,0.8726691312317802,0.8600680531614281,0.882365198476507,0.8866726678850675,0.8642195521038132,0.8684811456336986,0.862750916611878,0.895013522663668,0.8627590878514462,0.889404026161363,0.8699054257051314,0.8726856629031114,0.8754755578776594,0.8783205459357946,0.8935106837283193,0.8460786498858472,0.8740093868781628,0.8880767925017014,0.8950715102844802,0.8754904963759482,0.8630154942378763,0.883922632943078,0.8810977479848011,0.8782378971963307,0.8741417289859704,0.8895279487332681
CricketZTruncEnd,0.8604538097693963,0.8801659940723342,0.8619875876754597,0.900859552043851,0.8593440850857142,0.8828051481669222,0.9008439424099407,0.8815117355353997,0.8772814333861219,0.8969995571644749,0.8842978618065477,0.8924611461177041,0.8840650772834033,0.8857029495045857,0.8840766489849381,0.8773653920319405,0.8870509734192529,0.8508162201524787,0.8774327859652438,0.8717587793968162,0.8995253912485965,0.9051469381457659,0.8511060520661132,0.8895714513867456,0.9022877176582541,0.882702743902714,0.8953854686061851,0.88687085094466,0.895405467936744,0.8760437909358545
CropTruncEnd,0.8115527950310559,0.8118322981366459,0.8113664596273291,0.8112732919254658,0.8115217391304348,0.8095962732919255,0.8114596273291925,0.810527950310559,0.8132608695652174,0.8103416149068323,0.808695652173913,0.8101552795031055,0.8105590062111802,0.8131366459627329,0.8125155279503106,0.8138819875776397,0.8092857142857143,0.81027950310559,0.8122360248447205,0.8140993788819876,0.8112422360248448,0.8108385093167703,0.8106521739130436,0.8089751552795031,0.8113354037267081,0.813695652173913,0.8103416149068323,0.8109316770186336,0.8110248447204969,0.8117391304347826
DiatomSizeReductionTruncEnd,0.7323405590728765,0.8249132009446443,0.6726570495245778,0.8203275657857126,0.7706022952633319,0.7993480640881016,0.8345135292446535,0.7403008295831793,0.7616788209499745,0.8240028717623812,0.8163653459200017,0.7938393605534527,0.8641562576241054,0.864112676929568,0.8914345516603339,0.8111019354557737,0.79430667040273,0.7828163581047758,0.8758800406935717,0.7903200825989926,0.8569427971679996,0.8711155757054985,0.7412713198775066,0.7799598433812278,0.8134341667814058,0.7544212765580552,0.7562215564159485,0.7885371042867848,0.8192054394935914,0.7990230598115463
DistalPhalanxOutlineAgeGroupTruncStart,0.768330427201395,0.8203356582388841,0.8527027027027027,0.8002561028770707,0.8206517000871839,0.8306179163034002,0.8191314298169137,0.8473626852659111,0.8671261987794247,0.8221501743679164,0.8013949433304273,0.8132846556233654,0.7846501743679163,0.8524084568439407,0.8083424149956407,0.8390856582388843,0.8105601569311247,0.8320346556233654,0.8293101569311248,0.8145924149956408,0.8461366608544029,0.864695945945946,0.8068221447253705,0.8511824324324324,0.8174204446381865,0.847656931124673,0.8398866608544028,0.7960331299040976,0.7991772013949433,0.8414069311246731
DistalPhalanxOutlineCorrectTruncStart,0.6987577639751552,0.7577639751552796,0.7546583850931676,0.7968944099378883,0.7391304347826086,0.7459627329192546,0.7583850931677018,0.7453416149068324,0.7981366459627329,0.7409937888198759,0.7720496894409938,0.7683229813664596,0.753416149068323,0.7291925465838509,0.7565217391304349,0.7708074534161491,0.7534161490683231,0.7335403726708075,0.7478260869565216,0.7826086956521738,0.6906832298136646,0.7347826086956522,0.7298136645962733,0.7652173913043477,0.7801242236024843,0.7453416149068324,0.7614906832298137,0.7571428571428571,0.7031055900621118,0.7540372670807454
DistalPhalanxTWTruncStart,0.7894701635446715,0.7885072880363415,0.7808164352049076,0.7720536196075091,0.7932849515370601,0.7938895278937452,0.7606022637676808,0.7999475103153642,0.772872367401421,0.7702909795164243,0.7943919547598085,0.7909308576459466,0.7846685762430843,0.7910586214264752,0.8023138771568951,0.7997887801566339,0.7853869529408424,0.8017717508462588,0.7771038589802407,0.8134477557743724,0.811957646183091,0.799956910853911,0.7860461040648947,0.7817699724517907,0.8019211427435419,0.7934938418865317,0.762210571371771,0.7931221134899672,0.8032860909266719,0.7802346263545888
