Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8383888888888889,0.8435555555555555,0.8166111111111111,0.7897222222222223,0.8122222222222223,0.8018888888888889,0.7633333333333333,0.8108333333333333,0.7615555555555555,0.7701111111111111,0.8074444444444444,0.7884444444444445,0.8095555555555556,0.7982777777777776,0.8078888888888888,0.7767777777777778,0.8174444444444445,0.7683888888888889,0.826388888888889,0.7870555555555555,0.7985,0.8170555555555555,0.8318333333333332,0.8032222222222223,0.7989444444444445,0.7909444444444443,0.8073888888888888,0.8211666666666666,0.7589444444444444,0.8006666666666666
AdiacTruncEnd,0.9698001744354248,0.9699196711673775,0.9542540804175162,0.9707146458343193,0.9598383526405663,0.9645693437460923,0.9656544677467122,0.965792799986844,0.9677499688851783,0.9660764488505047,0.9685839949885238,0.9719744807600422,0.9720194509194288,0.9589617779135967,0.9659730492549414,0.9684996376299806,0.9602655268468919,0.9692313941199212,0.9652705398486837,0.9585850613194322,0.9582300116768494,0.9663120235840369,0.9712133212364715,0.971959001972824,0.9761329154043077,0.9679715590582959,0.9674155290272123,0.9627570580165573,0.96417271173498,0.9703942738179129
ArrowHeadTruncEnd,0.8750276169855508,0.8764363041845257,0.8145022314524325,0.911288056206089,0.9166020060978305,0.9018125579956696,0.8479788785294508,0.8801029561221334,0.885621492642835,0.8994503115195971,0.8369060138747736,0.9053033449692898,0.9112681719764926,0.8890004860589455,0.8783032124077592,0.8964416066457515,0.7783778887366888,0.8166307277628032,0.8239251469223632,0.8761137377932924,0.9222650346869339,0.9235424859705712,0.8491326057178208,0.8965874243294596,0.9004546860501081,0.8438367725686005,0.9167137996553402,0.8993946356767266,0.8334492510273518,0.9045163713490345
BMETruncEnd,0.8995333333333334,0.9387333333333333,0.9290666666666667,0.8966666666666666,0.907,0.9115666666666667,0.9138000000000002,0.9530666666666665,0.9362666666666667,0.9279333333333333,0.9174000000000001,0.9167666666666666,0.9354666666666667,0.9244666666666665,0.9417,0.9227333333333333,0.9196666666666666,0.9145000000000001,0.9292666666666668,0.9173,0.9131,0.9191,0.8978666666666667,0.9535333333333333,0.9279999999999999,0.9008666666666666,0.9339000000000001,0.9077999999999999,0.9145666666666666,0.9177666666666666
BeefTruncStart,0.5625,0.5701388888888889,0.5118055555555555,0.6076388888888888,0.5423611111111111,0.6194444444444446,0.5826388888888889,0.5826388888888889,0.5902777777777779,0.5409722222222223,0.47638888888888886,0.6048611111111112,0.5263888888888889,0.43402777777777773,0.5631944444444444,0.507638888888889,0.49375,0.5055555555555554,0.5611111111111112,0.5729166666666666,0.5041666666666667,0.6298611111111111,0.5409722222222223,0.6305555555555554,0.5965277777777778,0.6020833333333332,0.5909722222222222,0.5423611111111111,0.5006944444444446,0.5923611111111111
BeetleFlyTruncEnd,0.6699999999999999,0.53,0.51,0.43,0.54,0.38,0.39,0.67,0.41000000000000003,0.33,0.54,0.31,0.58,0.535,0.42,0.13,0.52,0.56,0.7050000000000001,0.64,0.485,0.52,0.51,0.5900000000000001,0.39,0.38,0.45999999999999996,0.61,0.5800000000000001,0.32999999999999996
BirdChickenTruncEnd,0.7800000000000001,0.69,0.71,0.615,0.675,0.8,0.7500000000000001,0.45499999999999996,0.52,0.64,0.47,0.715,0.595,0.6950000000000001,0.595,0.635,0.44999999999999996,0.76,0.48,0.9,0.7200000000000002,0.49,0.51,0.815,0.62,0.68,0.6599999999999999,0.63,0.705,0.6799999999999999
CBFTruncEnd,0.9696506054079613,0.9472305852369552,0.9537752869682091,0.9502165681882062,0.9656549021429457,0.9662784484745304,0.9512574609985379,0.8971073054721185,0.9582297408551453,0.916533196037569,0.9718828967235439,0.9242711593503302,0.9428928032842341,0.9496666615225765,0.9262928366385141,0.9347325351557404,0.9225418706915672,0.9563676979744219,0.968957012948292,0.9503620361111008,0.9732921518983957,0.9379144150161338,0.9590175286927057,0.9515337867128564,0.9467996139977687,0.9667176955875643,0.9560215429554157,0.9648268048245804,0.9534461270968854,0.9534849175896193
CarTruncEnd,0.8555820040161548,0.8920828538766424,0.9375559366139452,0.8261521062250401,0.9464908470777584,0.9403028474086776,0.9378418244173191,0.9093863518422417,0.9261467475914351,0.8877333355896001,0.9060733061077142,0.8358090220587683,0.8804091175740619,0.9381758459120206,0.9162083624767792,0.8811879056579651,0.9116481652790627,0.9133476042207231,0.9322205237547289,0.9113017343170656,0.925474286079586,0.8699319547543302,0.90266333491272,0.9202257394914375,0.8755814587516829,0.9251382903514511,0.9080748027646789,0.8857559057782992,0.9143745816505343,0.9362534126035063
ChinatownTruncEnd,0.9940186277022984,0.9953644364692813,0.9922883021447493,0.9939545415705375,0.9949799196787149,0.9967743313680253,0.9917115269588995,0.9929718875502009,0.9927796291549176,0.9953217123814407,0.9943390583611039,0.9929505255062805,0.9929932495941212,0.9935913868238913,0.9937409211313339,0.9936554729556525,0.9941681620097411,0.9948303853712723,0.9930573357258823,0.991861061266342,0.9964966247970605,0.9926300948474751,0.9955566948645647,0.9960693839186533,0.992630094847475,0.9947662992395112,0.9938690933948561,0.9943390583611039,0.9944885926685466,0.9942963342732632
