Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9752777777777777,0.9584999999999999,0.9597777777777778,0.9536111111111112,0.9722777777777778,0.946,0.9313333333333332,0.9635555555555555,0.9454444444444445,0.9323888888888889,0.965388888888889,0.9617222222222224,0.9722222222222223,0.96,0.9714444444444444,0.9620555555555557,0.9361666666666666,0.9675000000000001,0.9540555555555557,0.9596666666666667,0.9802222222222222,0.9696111111111111,0.9749444444444444,0.9817777777777777,0.9786111111111111,0.9570000000000001,0.9461666666666667,0.9540555555555555,0.9718333333333333,0.9612222222222222
AdiacTruncEnd,0.9645136200316172,0.9638022159924134,0.9558125091895223,0.9589017810762518,0.961683299637981,0.9636785819250285,0.9582197327073363,0.9637448227649731,0.9570639394018249,0.9633866819399599,0.9588360367316823,0.9612191260047528,0.9564891959609443,0.9552018405503576,0.955673847332105,0.9554812381818335,0.9658896226128816,0.961033098181289,0.9574587327400867,0.959624814145779,0.9540250892324691,0.9619651303870389,0.9643798020140654,0.954456725475673,0.9635698631304304,0.9617735956055807,0.969586867092076,0.9653898107368996,0.9485605447991322,0.9636423976766458
ArrowHeadTruncEnd,0.87882771419734,0.8461185983827493,0.862849631037073,0.8709986301975167,0.8323565021430781,0.8951486898502055,0.8471552295523839,0.8687419910741901,0.850068048252397,0.8197362025540188,0.887336838849366,0.8810092351199682,0.8951425036454421,0.8057681940700809,0.8845097432725025,0.8263324643188547,0.8328191418850248,0.7875515885290088,0.8020432150589899,0.9017701383058635,0.9220993327736291,0.8764027219300958,0.8312394503115197,0.8547704476161019,0.8857019133047589,0.8125522513366621,0.855583933542486,0.8959652688789713,0.8285219389333216,0.8912509389775086
BMETruncEnd,0.8789666666666667,0.9005000000000001,0.8670333333333334,0.8597333333333333,0.8747333333333334,0.8610666666666666,0.8417000000000001,0.8982000000000001,0.8791333333333333,0.9244333333333333,0.9022333333333333,0.8902666666666668,0.8866,0.8881666666666667,0.8823,0.8664666666666665,0.8902666666666667,0.8894666666666666,0.8574333333333334,0.8944000000000002,0.8794,0.8729,0.8570000000000001,0.8539666666666667,0.8784333333333333,0.8575666666666666,0.8924666666666667,0.8863,0.8960333333333333,0.8671333333333333
BeefTruncStart,0.8555555555555555,0.7847222222222222,0.7715277777777778,0.84375,0.7180555555555556,0.8159722222222222,0.8548611111111112,0.7625,0.8187500000000001,0.8034722222222223,0.7388888888888888,0.7819444444444447,0.7875,0.7819444444444446,0.7805555555555556,0.7055555555555555,0.6402777777777777,0.8145833333333333,0.7402777777777778,0.825,0.7715277777777777,0.8083333333333333,0.7444444444444446,0.8534722222222223,0.7826388888888888,0.74375,0.8118055555555556,0.7520833333333333,0.6708333333333335,0.8173611111111112
BeetleFlyTruncEnd,0.925,0.93,1.0,0.8799999999999999,0.9400000000000001,0.8600000000000001,0.9,0.9400000000000001,0.98,0.96,0.92,0.9400000000000001,0.57,0.8499999999999999,0.9600000000000001,0.98,0.8800000000000001,0.7100000000000001,0.83,0.9299999999999999,0.885,0.97,0.99,0.8049999999999999,0.76,0.9450000000000001,0.96,0.94,0.92,0.9500000000000002
BirdChickenTruncEnd,0.77,0.855,0.8500000000000001,0.905,0.8,0.855,0.99,0.77,0.8200000000000001,0.99,0.85,0.9500000000000001,0.8800000000000002,0.93,0.96,0.95,0.76,0.86,0.92,0.99,0.9000000000000001,0.9199999999999999,0.785,0.665,0.845,0.77,0.88,0.79,0.81,0.8999999999999999
CBFTruncEnd,0.9552894775579811,0.9699958859933836,0.983157493786968,0.9626961178580997,0.984654427713806,0.9735260538285815,0.9728971051735966,0.95921686524912,0.9863010791889456,0.9642545775817262,0.9679303799157439,0.9677013854372045,0.9710478308195194,0.9746174209137303,0.9924123010626045,0.9439721994441912,0.9714901884403654,0.9793569236880408,0.9850812868188248,0.9732526887541548,0.9713183811918897,0.9473279549299519,0.9711567826473791,0.9671447321739788,0.9708302102122123,0.9598963713382823,0.9783711129917905,0.9794939741100004,0.9740747479395861,0.9688573106162085
CarTruncEnd,0.926072102765431,0.9478933049043718,0.9834820589186465,0.8989513060024217,0.9571871498085933,0.904491851116476,0.9657142400517437,0.9042851206726683,0.9071927904755458,0.9676893195851477,0.9803195249806339,0.9662869557696503,0.9315427036092747,0.9595430683724044,0.9589853944330378,0.8668590134097456,0.9695989673819032,0.9112480539699013,0.8804540548874499,0.9606948925640969,0.9738849341546144,0.9369926220076263,0.9366193038664892,0.9539330490437189,0.964904522310718,0.9740865879981648,0.9105187157329483,0.9368530155005529,0.9118988929250995,0.9714932913667712
ChinatownTruncEnd,0.9741946509442023,0.9796846962317355,0.9697513458087669,0.8589891480816885,0.9561437238314963,0.9698581560283688,0.9678928479876955,0.9424079295907034,0.9619969238656755,0.9742800991198838,0.9173502520721183,0.9389045543877638,0.9728488421772196,0.9701145005554132,0.9465521661112535,0.9282662565154235,0.92865077330599,0.9772066991369734,0.9246774331368025,0.9628300435785696,0.9402717251986671,0.9717593779372811,0.9735324275826711,0.9725924976501751,0.9549047252841152,0.9627445954028883,0.9602665983081262,0.9659489019909425,0.9328590959583013,0.9728488421772196
