Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9867777777777778,0.9583333333333333,0.9522222222222223,0.9432777777777779,0.9823333333333332,0.9485000000000001,0.9361666666666667,0.9441666666666667,0.9372777777777778,0.9695555555555556,0.9726666666666667,0.9390555555555556,0.9710555555555556,0.9566111111111111,0.9799444444444444,0.9836666666666666,0.9255,0.9324444444444445,0.9677222222222224,0.9527222222222222,0.9425,0.9315555555555554,0.9393333333333335,0.9696111111111112,0.9773888888888888,0.9535555555555555,0.924611111111111,0.9662777777777778,0.9827222222222223,0.9876666666666667
AdiacTruncEnd,0.8343035492774621,0.8294260348387417,0.8542724260597835,0.8967561512862857,0.8865760462279187,0.8596013855942671,0.8737786805039632,0.8523588145107941,0.8976778444489013,0.8915377818474297,0.8358492986239249,0.8525101899544149,0.8554638716374378,0.866508239773481,0.9119372005461526,0.8691651897930961,0.8050887422535977,0.8751867417718356,0.857413115406863,0.8820419545627575,0.8596905288232862,0.8361911769702145,0.8894792520641589,0.8525086388631168,0.8396940446525338,0.869166435386327,0.8907880537396218,0.9100655485315495,0.8560826349552316,0.8802571736122217
ArrowHeadTruncEnd,0.8962564623746189,0.7809230701250496,0.9023410366311695,0.8678741549202422,0.8729384472626043,0.8715447837037691,0.8590870929256329,0.8550952233661792,0.8936936061155053,0.87961292033052,0.8566802174009102,0.8231748486589192,0.886756219345146,0.84244134152269,0.8816141575714728,0.8519393751933187,0.8096239671247404,0.8048367283814238,0.8350289426008574,0.876730148910786,0.8910317705801777,0.861589854624188,0.862005214086872,0.8686390349520571,0.8458150324775752,0.8497892271662764,0.8705085944059034,0.8643250408731388,0.8641911537271884,0.8891878396889222
BMETruncEnd,0.7998999999999999,0.7771333333333333,0.8262999999999999,0.7707333333333334,0.7957333333333332,0.7988,0.8676666666666667,0.8550666666666668,0.7601333333333333,0.8459666666666668,0.8258333333333333,0.8547000000000001,0.7816000000000001,0.7603,0.8324333333333334,0.7743000000000001,0.7641666666666665,0.8664333333333334,0.7987333333333334,0.7596666666666667,0.7600999999999999,0.7750000000000001,0.7887,0.8825,0.8383333333333334,0.7965333333333333,0.8660333333333333,0.7663666666666668,0.8355333333333332,0.8230000000000001
BeefTruncStart,0.8243055555555555,0.8847222222222223,0.8506944444444444,0.8069444444444446,0.8756944444444446,0.8277777777777777,0.8527777777777777,0.7229166666666667,0.7694444444444445,0.8479166666666667,0.7111111111111109,0.898611111111111,0.8,0.84375,0.8319444444444445,0.775,0.7270833333333333,0.7708333333333334,0.7493055555555554,0.8958333333333334,0.7236111111111112,0.8055555555555556,0.8076388888888889,0.8756944444444444,0.8416666666666667,0.867361111111111,0.7340277777777778,0.7312499999999998,0.6819444444444446,0.9263888888888889
BeetleFlyTruncEnd,1.0,0.8799999999999999,0.99,0.8900000000000001,1.0,0.96,0.9500000000000001,1.0,0.98,1.0,0.99,0.82,0.56,0.88,1.0,0.96,0.8500000000000001,1.0,0.93,0.97,0.9400000000000001,0.715,1.0,0.84,0.875,0.9099999999999999,1.0,0.7899999999999999,0.5800000000000001,0.97
BirdChickenTruncEnd,0.9800000000000001,0.9,0.98,0.91,0.9800000000000001,0.9299999999999999,0.965,0.99,0.98,0.9800000000000001,0.87,0.9500000000000002,0.59,0.9400000000000001,1.0,0.9200000000000002,0.77,1.0,0.98,1.0,1.0,0.92,0.98,0.9199999999999999,0.85,0.91,0.99,0.79,0.805,0.95
CBFTruncEnd,0.9879310013629782,0.9701222186625118,0.9793636529706298,0.9634307673480323,0.9714250292904489,0.9676957859922724,0.9728289019569353,0.9062491163173417,0.9910788873991603,0.9521239672930522,0.974465522086048,0.9495470624467844,0.9765827264130095,0.9623720585269876,0.9876115490069232,0.9557559106006528,0.9779214610717898,0.9816051638536724,0.9861268638684463,0.9759089080722295,0.9856995544806465,0.9633637309447471,0.9857313518812759,0.9641756486388944,0.9706103565554018,0.9766133296954328,0.9884022170102302,0.98467004553137,0.9646984293138237,0.974248730459145
CarTruncEnd,0.8330808194760949,0.9623911351278175,0.8996957800290306,0.8909145777396719,0.8865402405180388,0.8703252032520326,0.8596397117995231,0.8457832254085723,0.9109962922015898,0.9167515587043014,0.9078187164850372,0.9531253055361266,0.8529748877507276,0.9577186886577469,0.9281033069350121,0.9465601332701579,0.9400718620969744,0.8459178493265044,0.9623115077126719,0.942738581409866,0.9281414754480569,0.8913840692523484,0.9503324233057318,0.8808034001940389,0.8646843482773403,0.9242988650978091,0.9742449027172972,0.9392900656573634,0.9536525198739499,0.9520324263140874
ChinatownTruncEnd,0.8665513116294967,0.786208664445014,0.7056096727334871,0.8265188413227378,0.8148551653422199,0.8929334358711442,0.793514483465778,0.745578056908485,0.7855464410834829,0.9107493805007263,0.6992010595573784,0.7293642655729301,0.7068913953687089,0.8830641715799369,0.858262838588396,0.6497692899256602,0.8082970178586688,0.7983636674357003,0.826112962488251,0.8148124412543793,0.8216055712210545,0.8489703494830386,0.8551012560881825,0.7744809023327351,0.827181064684269,0.77830470819448,0.8066094163889601,0.8618516619670171,0.8053276937537386,0.8966077074254465
ChlorineConcentrationTruncStart,0.7388738252044628,0.7399662433394139,0.7344189978879967,0.7415446925807078,0.7268882080365195,0.7180778980504517,0.7207625635713288,0.7414368152834193,0.7242231695888689,0.7346018295273112,0.7438479928266764,0.7398158787107185,0.7370516340553518,0.7366896047871804,0.7224752143174392,0.7197974343299965,0.7395045643807414,0.7190339452059883,0.7278189946745334,0.7288977164709767,0.7350989215347756,0.7247378099677106,0.7374524018026953,0.7426254655030724,0.7390209494730245,0.7295841276001769,0.7233505006203684,0.7259223183849081,0.7359694215024203,0.7298318574845394
