Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8999999999999999,0.8666666666666668,0.8388888888888889,0.8777777777777775,0.8888888888888888,0.8722222222222221,0.8833333333333334,0.8944444444444443,0.8555555555555554,0.8555555555555554,0.9055555555555554,0.8611111111111112,0.8888888888888888,0.8388888888888889,0.8611111111111113,0.8333333333333331,0.8222222222222223,0.8722222222222221,0.8555555555555554,0.8333333333333333,0.8666666666666667,0.8777777777777779,0.9166666666666665,0.8888888888888888,0.8722222222222222,0.8388888888888889,0.8555555555555557,0.8333333333333333,0.8444444444444446,0.8555555555555556
AdiacTruncEnd,0.7562429589733194,0.7493152996883774,0.7557522275013789,0.8059528828889263,0.7783481890896299,0.770273017581149,0.7558156921809694,0.7649019885517613,0.7651759925268342,0.7796289784969349,0.733473538852822,0.753288470582354,0.7558881931672101,0.761292457451841,0.7924794902526067,0.7585791993191725,0.7468238859275366,0.7741325418559957,0.7572367163435129,0.7822975592831278,0.7715344252259333,0.7414561803763549,0.788703702340083,0.7532561559520816,0.755798746644768,0.7742989013961007,0.7938116738096801,0.788798704740329,0.7767727583810731,0.7770014760130122
ArrowHeadTruncEnd,0.7501546551190844,0.7728889576244974,0.7810856789359728,0.7823229198886484,0.7208475100525827,0.7915248994741725,0.7609805134549954,0.8011908444169501,0.8036653263223011,0.7858026600680482,0.778379214351995,0.8072997216207858,0.8087689452520878,0.7747448190535107,0.7704144757191465,0.7700278379214351,0.758738014228271,0.7766006804825241,0.7043767398700898,0.8255490256727498,0.782554902567275,0.7911382616764615,0.7691772347664708,0.7634549953603464,0.7974791215589238,0.733529229817507,0.7544849984534487,0.8276368697803898,0.7854160222703371,0.7694092174450975
BMETruncEnd,0.8,0.805,0.845,0.855,0.84,0.825,0.9,0.855,0.815,0.88,0.83,0.865,0.86,0.82,0.84,0.815,0.84,0.885,0.865,0.87,0.82,0.86,0.855,0.865,0.83,0.845,0.875,0.855,0.85,0.835
BeefTruncStart,0.6875,0.7083333333333334,0.7708333333333334,0.75,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.6875,0.7291666666666666,0.625,0.625,0.6875,0.6875,0.6458333333333334,0.7083333333333334,0.6666666666666666,0.6875,0.6041666666666666,0.6666666666666666,0.625,0.6666666666666666,0.7916666666666666,0.625,0.6666666666666666,0.7708333333333334,0.7916666666666666,0.625,0.6041666666666666,0.625,0.75
BeetleFlyTruncEnd,0.85,0.8,0.85,0.8,0.9500000000000001,0.8,0.75,0.8500000000000001,0.85,0.7500000000000001,0.7000000000000001,0.85,0.6499999999999999,0.75,0.9,0.8500000000000001,0.85,0.75,0.9,0.8,0.8,0.8,0.9500000000000001,0.7,0.8,0.9,0.85,0.7,0.85,0.9500000000000001
BirdChickenTruncEnd,0.85,0.9,0.8,0.9,0.7999999999999999,0.85,0.9,0.8500000000000001,0.95,0.9500000000000001,0.65,0.9500000000000001,0.7,0.85,0.9,1.0,0.7000000000000001,0.95,0.7999999999999999,0.95,1.0,0.7,0.75,0.9,0.9,0.8500000000000001,0.9,0.8500000000000001,0.9500000000000001,0.7000000000000002
CBFTruncEnd,0.9433248239795257,0.948321888761727,0.9408525835472245,0.909180083482409,0.9167579361992914,0.9416719630218113,0.9307856568776689,0.8691684907610084,0.9483689726182143,0.9224991851761316,0.9400134353344667,0.9048712393100664,0.9090965640358968,0.9157994440678972,0.8901492979551626,0.9159880757934348,0.9032659992518436,0.9133995377726417,0.9575247502750031,0.9174133416297218,0.9233192128060682,0.92761053826524,0.9533162775882695,0.9051217606121549,0.9483358981766463,0.9141775927139931,0.9200547969051508,0.934199444808646,0.8934436678926062,0.9433552224654348
CarTruncEnd,0.8117653031294421,0.8467938449042214,0.8483506689831005,0.8352304776516776,0.8776144491324653,0.891135127817513,0.8988910448771462,0.8465625775591706,0.878246203831141,0.8354617449967283,0.8882527470048059,0.8370806164120846,0.800664470567,0.8580638974752374,0.8565691207328354,0.8244229597707632,0.8988910448771462,0.8478881342929988,0.8283996299722478,0.9006791363010762,0.8367873017305565,0.8678391733038515,0.8638625031023668,0.8809593646352745,0.8791712732113444,0.8818223866790009,0.9004478689560252,0.8911351278175133,0.8277058279370952,0.8905033731188375
ChinatownTruncEnd,0.9163675980517817,0.8388661027087072,0.8963940869862429,0.8707169101939674,0.8924848329488165,0.9217935572075536,0.8733230795522515,0.8770187131504743,0.932431855079894,0.9216867469879518,0.7944544133982739,0.8232931726907631,0.8059685550713492,0.9271127061437238,0.8982953088951552,0.8052208835341366,0.890690421259506,0.9186960608391009,0.827351961035632,0.892271212509613,0.8782149876100145,0.9451849953003503,0.9352516448773818,0.9103435016662396,0.8903699906007008,0.8951978125267025,0.9238015893360676,0.8990002563445271,0.8721908912244725,0.9216867469879518
