Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.29,0.3,0.34,0.33999999999999997,0.25,0.27999999999999997,0.31999999999999995,0.29,0.26999999999999996,0.27999999999999997,0.24,0.29,0.27999999999999997,0.33999999999999997,0.28,0.29999999999999993,0.32,0.33999999999999997,0.25999999999999995,0.22999999999999998,0.33999999999999997,0.4,0.33999999999999997,0.30999999999999994,0.31999999999999995,0.35,0.39,0.29,0.37,0.32
AdiacTruncEnd,0.23440429690429684,0.2212070962070962,0.2250921750921751,0.23343458343458337,0.22657076407076407,0.24804351054351054,0.24096189096189097,0.26381025131025126,0.2450320325320325,0.24152611652611652,0.21816655566655563,0.2674364674364674,0.2578492828492829,0.24988498738498738,0.25579683079683074,0.2476124476124476,0.19744474744474744,0.26397851397851396,0.20124578874578872,0.2398015273015273,0.24056067806067807,0.2332012582012582,0.2722690597690597,0.21284908784908785,0.24120492870492868,0.24571667071667064,0.24912538662538664,0.21984081984081982,0.23577586077586074,0.18385330885330886
ArrowHeadTruncEnd,0.5202807401330781,0.4863731656184487,0.46805213745328594,0.42457387658372076,0.5135356849876948,0.457934554735211,0.3950414729742047,0.4646796098805943,0.46714064351472057,0.5208276364962173,0.45255674049767575,0.44435329505058796,0.5101631574150032,0.5444353295050588,0.46896363139185127,0.514082581350834,0.446267432321575,0.4912952328867013,0.47771397320207826,0.4955792543979582,0.4705131710874122,0.5638501503964998,0.4381551362683438,0.4879227053140096,0.5169082125603864,0.5458937198067634,0.48409443077203534,0.5072463768115942,0.45210099352839306,0.5169082125603864
BMETruncEnd,0.6733333333333333,0.68,0.7000000000000001,0.5933333333333334,0.7400000000000001,0.6866666666666666,0.7066666666666667,0.6266666666666666,0.7133333333333334,0.7266666666666667,0.68,0.7733333333333334,0.7133333333333334,0.6266666666666666,0.66,0.6866666666666666,0.6666666666666666,0.6666666666666666,0.7133333333333333,0.6933333333333334,0.7133333333333334,0.6533333333333333,0.66,0.7266666666666667,0.6933333333333334,0.7066666666666667,0.6266666666666666,0.7666666666666667,0.7200000000000001,0.7533333333333333
BeefTruncStart,0.5,0.36666666666666664,0.3,0.4666666666666667,0.4666666666666666,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.4,0.4,0.4,0.39999999999999997,0.3333333333333333,0.3333333333333333,0.4,0.4,0.39999999999999997,0.29999999999999993,0.4666666666666667,0.39999999999999997,0.4333333333333333,0.5333333333333334,0.4,0.4333333333333333,0.4666666666666666,0.4666666666666666,0.3333333333333333,0.4333333333333333,0.3666666666666667,0.3333333333333333
BeetleFlyTruncEnd,0.55,0.55,0.6000000000000001,0.6,0.55,0.55,0.55,0.8,0.5,0.65,0.44999999999999996,0.6,0.55,0.4,0.6499999999999999,0.55,0.4,0.55,0.65,0.55,0.45,0.7,0.6,0.35,0.44999999999999996,0.6499999999999999,0.55,0.44999999999999996,0.2,0.6
BirdChickenTruncEnd,0.7,0.55,0.75,0.55,0.7,0.8,0.55,0.65,0.44999999999999996,0.6,0.55,0.6,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.85,0.8500000000000001,0.5,0.6,0.55,0.75,0.7,0.65,0.5,0.6499999999999999,0.65
CBFTruncEnd,0.9534646971964186,0.899004548350297,0.9369973974151936,0.953413287504136,0.871631479917626,0.9181891540858605,0.9435830234430173,0.9126558711251365,0.9502351709458692,0.9544875080867792,0.9072110859248065,0.9212726985396883,0.9225089016301959,0.9347754715024371,0.9124421826155237,0.9012626734027686,0.8700537307830966,0.896180719143073,0.9170486095678326,0.913722338276763,0.9456436582366624,0.8949216508388028,0.9412865263147497,0.8871364159394739,0.9160039211619281,0.92810085386511,0.8988551096098097,0.9181817957341313,0.8491091455916558,0.8611719039364711
CarTruncEnd,0.32735685367264317,0.3138374783111625,0.40782244071717755,0.4421631000578368,0.36878253325621746,0.45474262579525737,0.37015615962984383,0.4429583574320416,0.4190283400809717,0.21233371891266625,0.2841960670908039,0.3414545980335454,0.3353817235396183,0.3677703875072296,0.43355986119144013,0.2888953152111047,0.383314054366686,0.29222093695777906,0.451417004048583,0.4105696934644303,0.31145170618854834,0.31853672643146325,0.36408328513591676,0.4190283400809717,0.4143290919606709,0.4429583574320416,0.3833140543666859,0.3293088490456912,0.3515037593984962,0.4668883747831116
ChinatownTruncEnd,0.917392976159959,0.8824446723062462,0.9020336665812185,0.8322865931812355,0.9146799965820729,0.9130564812441254,0.9039348884901308,0.8218191916602581,0.8872724942322481,0.9486029223276083,0.7598906263351277,0.762560881825173,0.8480304195505426,0.8543322225070494,0.9326454755190976,0.7466034350166624,0.907844142527557,0.8773391438092797,0.8612748867811673,0.8633897291292831,0.8765273861403059,0.838267965478937,0.8739212167820217,0.9304238229513799,0.8931897803981885,0.93514483465778,0.880543450397334,0.9007305819020763,0.901008288473041,0.886674357002478
