Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.72,0.63,0.6300000000000001,0.6399999999999999,0.62,0.6100000000000001,0.61,0.67,0.53,0.6,0.6599999999999999,0.59,0.63,0.62,0.6500000000000001,0.5900000000000001,0.58,0.66,0.63,0.58,0.5399999999999999,0.6199999999999999,0.6399999999999999,0.65,0.65,0.6199999999999999,0.55,0.5700000000000001,0.6799999999999999,0.5700000000000001
AdiacTruncEnd,0.39609020859020855,0.3377160752160752,0.3480603105603105,0.40402724152724145,0.3620975870975871,0.4003681378681379,0.38043649293649295,0.4011088761088761,0.36938575688575687,0.3721780471780472,0.38963183963183967,0.3818574818574818,0.3871277371277371,0.32534368784368783,0.3681152931152932,0.3742003867003867,0.33585134835134833,0.38287639537639534,0.34851972351972355,0.35830445830445834,0.35427039177039177,0.3311571311571312,0.3620816120816121,0.33841661341661344,0.3934202809202809,0.39529179529179526,0.3626178626178626,0.37787974037974037,0.39528977028977025,0.35028796278796276
ArrowHeadTruncEnd,0.6107009388387566,0.6832558563485552,0.6870841308905296,0.6745055145383283,0.6324856439704676,0.6126150761097439,0.5574696928265427,0.6667578160605232,0.6639321848509706,0.6774222951417372,0.6164433506517182,0.7315650350925166,0.7195333151034546,0.6600127609151399,0.5724181934190137,0.7306535411539513,0.5922887612797375,0.70020964360587,0.5482636040470331,0.6768753987785981,0.6058700209643605,0.754808130525932,0.6329413909397502,0.6629295415185489,0.6900009114939385,0.6610154042475617,0.47534408896180835,0.6933734390666301,0.7069546987512533,0.6522650624373347
BMETruncEnd,0.7933333333333333,0.8066666666666666,0.7933333333333333,0.7666666666666666,0.82,0.7600000000000001,0.8266666666666667,0.8533333333333334,0.7666666666666666,0.8333333333333334,0.8266666666666667,0.7666666666666666,0.82,0.7999999999999999,0.7400000000000001,0.8066666666666666,0.8266666666666667,0.8466666666666667,0.7799999999999999,0.7866666666666667,0.7866666666666666,0.7933333333333333,0.7666666666666666,0.8266666666666665,0.82,0.7333333333333334,0.8066666666666666,0.7533333333333333,0.7666666666666666,0.7399999999999999
BeefTruncStart,0.39999999999999997,0.39999999999999997,0.3333333333333333,0.36666666666666664,0.4,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3,0.2333333333333333,0.4333333333333333,0.36666666666666664,0.2666666666666667,0.36666666666666664,0.3666666666666667,0.3333333333333333,0.36666666666666664,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.3,0.4666666666666666,0.5333333333333333,0.4666666666666666,0.3333333333333333,0.29999999999999993,0.3333333333333333,0.33333333333333337
BeetleFlyTruncEnd,0.8,0.65,0.8500000000000001,0.6,0.8500000000000001,0.65,0.75,0.7,0.6,0.6000000000000001,0.6499999999999999,0.75,0.6,0.7,0.75,0.8,0.6,0.7,0.75,0.6499999999999999,0.8,0.75,0.8,0.7,0.6000000000000001,0.8,0.8,0.75,0.55,0.7
BirdChickenTruncEnd,0.95,0.95,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.95,0.85,0.9,0.8,0.9,0.8500000000000001,0.9,0.8,0.95,0.8500000000000001,0.95,0.8500000000000001,0.8500000000000001,0.75,0.85,1.0,0.9,1.0,1.0,0.95,0.8500000000000001
CBFTruncEnd,0.9345236084566722,0.9313833701250919,0.9490507726269315,0.9267917586460633,0.9170640176600443,0.9281015452538632,0.9357760097979663,0.8418025986340134,0.9601618837380427,0.9544736803117176,0.9377907166244426,0.9057100809418689,0.9101538339975604,0.9234952170713759,0.9622507667007422,0.8969093935039089,0.9333679521558983,0.923730486787067,0.9579102281089037,0.9257464776212276,0.9455106152866053,0.9325676696742078,0.956835612446973,0.9314935478613865,0.941360702450973,0.929145937350302,0.9578733375804357,0.9611919542103106,0.8879911699779249,0.9412656364974246
CarTruncEnd,0.6839936379410063,0.6088056680161943,0.7497108155002892,0.6694621168305378,0.6900665124349334,0.7106709080393292,0.7389386928860613,0.6918016194331984,0.7426257952573743,0.6900665124349334,0.7595430884904568,0.7223828802776171,0.6044679005205321,0.7341671486408328,0.7359745517640255,0.6101792943898207,0.7163823019086176,0.6576055523423945,0.6519664545980336,0.7787738577212262,0.7200694042799305,0.6637507229612493,0.7035858877964141,0.7082851359167148,0.673582995951417,0.6711972238288028,0.5440283400809717,0.6769086176980913,0.7055378831694621,0.7980046269519955
ChinatownTruncEnd,0.8858625993335043,0.8114586003588824,0.9172861659403572,0.7973382893275229,0.7833888746475264,0.9425788259420662,0.8091087755276425,0.8473254721011707,0.8652909510381953,0.9332436127488678,0.7628172263522174,0.8694779116465863,0.8268606340254636,0.9184824403998975,0.8897718533709306,0.7438904554387764,0.8817397248568744,0.9073528155173887,0.7899042980432367,0.8368580705801931,0.8676834999572759,0.9196787148594378,0.8545458429462531,0.9023113731521832,0.8571520123045373,0.929718875502008,0.8911817482696744,0.87441254379219,0.8636674357002478,0.9392677091344099
