Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.6699999999999999,0.6299999999999999,0.6599999999999999,0.7099999999999999,0.6300000000000001,0.6,0.65,0.63,0.5700000000000001,0.6599999999999999,0.6,0.6600000000000001,0.65,0.64,0.71,0.6199999999999999,0.6100000000000001,0.6599999999999999,0.6600000000000001,0.7,0.69,0.7500000000000001,0.75,0.6500000000000001,0.74,0.69,0.6100000000000001,0.71,0.7,0.62
AdiacTruncEnd,0.7213994713994712,0.7211292836292836,0.6809169434169434,0.7053815553815554,0.7026336276336276,0.701493063993064,0.6929682554682555,0.6823781323781323,0.7294559044559044,0.7049431799431799,0.6887120762120762,0.6963644463644464,0.7112224112224113,0.6816737316737317,0.7161764286764286,0.6986598236598237,0.7211713211713211,0.721026046026046,0.6922014172014173,0.6541640791640791,0.6923977673977674,0.6856136356136356,0.7294764544764545,0.7302737427737429,0.7365272865272865,0.6940661815661816,0.6899917274917275,0.7224841599841599,0.6859040734040734,0.7178511428511428
ArrowHeadTruncEnd,0.6629295415185489,0.7591833014310455,0.6673047124236624,0.8234436240998998,0.7426852611430134,0.7538054871935101,0.6478898915322212,0.6682162063622278,0.7640142193054417,0.7088688360222405,0.6739586181751891,0.7663841035457114,0.7393127335703218,0.7001184942120134,0.7315650350925167,0.7388569866010392,0.5700483091787439,0.6958344727007567,0.6518093154680522,0.7470604320481269,0.7852520280740133,0.8012031719989062,0.7523470968918056,0.7765928356576429,0.7678424938474159,0.7078661926898185,0.765472609607146,0.6725913772673411,0.7272810135812596,0.7538054871935103
BMETruncEnd,0.8133333333333334,0.7799999999999999,0.8066666666666666,0.7733333333333334,0.8266666666666667,0.7933333333333333,0.8133333333333334,0.82,0.8266666666666667,0.8466666666666667,0.8266666666666667,0.8533333333333334,0.8266666666666667,0.8066666666666666,0.8266666666666667,0.7866666666666667,0.8000000000000002,0.82,0.82,0.8066666666666666,0.7866666666666667,0.8466666666666667,0.7866666666666666,0.84,0.7999999999999999,0.8133333333333334,0.7266666666666667,0.7866666666666667,0.8133333333333334,0.7999999999999999
BeefTruncStart,0.36666666666666664,0.3333333333333333,0.3666666666666667,0.5666666666666667,0.3333333333333333,0.39999999999999997,0.36666666666666664,0.33333333333333337,0.3,0.3,0.2666666666666667,0.4,0.33333333333333337,0.2333333333333333,0.36666666666666664,0.33333333333333337,0.36666666666666664,0.3,0.33333333333333337,0.3333333333333333,0.23333333333333334,0.4666666666666667,0.3333333333333333,0.4333333333333333,0.4666666666666667,0.4666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.39999999999999997
BeetleFlyTruncEnd,0.9,0.8,0.8500000000000001,0.7,0.8500000000000001,0.65,0.6499999999999999,0.75,0.8500000000000001,0.85,0.8,0.8,0.6,0.7,0.8,0.8,0.8,0.75,0.8500000000000001,0.5,0.7,0.8,0.9,0.65,0.75,0.8500000000000001,0.75,0.7,0.6,0.75
BirdChickenTruncEnd,0.85,0.7,0.8500000000000001,0.85,0.85,0.85,0.7,0.75,0.75,0.95,0.7,0.8500000000000001,0.9,0.85,0.9,0.9,0.7,0.7,0.7,0.9,0.95,0.9,0.85,0.95,0.95,0.75,0.8500000000000001,0.85,0.9,0.7
CBFTruncEnd,0.9778584233373335,0.9568947755702722,0.9558278145695365,0.9269610007358352,0.9280863347012954,0.9557614906341517,0.9567177800494838,0.9231605355299742,0.9734066205411599,0.9311617306448188,0.961205979525016,0.9567181751287711,0.930132252791482,0.9534069168506255,0.9689845474613686,0.9523323011886947,0.9364945602520606,0.963443313529984,0.9745180279617366,0.9323759574499607,0.9712136341862108,0.9410950116301464,0.9722581250524714,0.9424356144223694,0.9679396615158203,0.9612801556612394,0.9689698307579103,0.9668211920529801,0.9567843015245122,0.9513612950699044
CarTruncEnd,0.7793522267206477,0.7497108155002892,0.7928716020821284,0.7716888374783112,0.8111625216888375,0.7349624060150376,0.7952573742047426,0.7335887796414111,0.7871602082128397,0.8087767495662233,0.8158617698091383,0.8276460381723539,0.7453730480046269,0.7632301908617698,0.8158617698091383,0.7928716020821284,0.8144881434355118,0.6444476576055523,0.7763880855986119,0.7834731058415269,0.8172353961827648,0.7510844418739155,0.8027038750722961,0.7760266049739734,0.7774002313475998,0.7646038172353962,0.7450115673799884,0.8529496818970503,0.7679294389820706,0.809788895315211
ChinatownTruncEnd,0.9899598393574297,0.9899598393574297,0.9866487225497735,0.9833376057421174,0.9859437751004017,0.9879518072289157,0.9879518072289157,0.9760104246774332,0.9839357429718876,0.9919678714859438,0.9919678714859438,0.9317269076305221,0.9899598393574297,0.9859437751004017,0.9806246261642314,0.9806246261642314,0.9879518072289157,0.9899598393574297,0.9919678714859438,0.9779116465863453,0.9839357429718876,0.9899598393574297,0.9813295736136034,0.9899598393574297,0.9846406904212595,0.9819277108433735,0.9866487225497735,0.9813295736136034,0.9786165940357174,0.9899598393574297
