Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.6700000000000002,0.5900000000000001,0.62,0.6199999999999999,0.6,0.6,0.5700000000000001,0.62,0.5199999999999999,0.5999999999999999,0.61,0.6,0.6100000000000001,0.6,0.7100000000000002,0.6500000000000001,0.5800000000000001,0.62,0.6799999999999999,0.64,0.6799999999999999,0.7,0.7200000000000001,0.64,0.6500000000000001,0.57,0.63,0.6200000000000001,0.6,0.5900000000000001
AdiacTruncEnd,0.5942863442863444,0.5458979083979084,0.5548924798924798,0.5621926121926122,0.5862258237258237,0.5572291822291823,0.5512963012963012,0.6301038676038676,0.553106578106578,0.5412605037605036,0.5706317331317331,0.5606748356748356,0.6076380076380076,0.583521846021846,0.6139422514422515,0.5883380508380508,0.5891048891048891,0.6015176265176265,0.5746863496863498,0.5498059373059373,0.6143886893886894,0.5491456366456366,0.589942414942415,0.5535319035319035,0.6026789651789651,0.5572185697185698,0.5719008844008844,0.5899918399918399,0.5667288042288042,0.5642013017013017
ArrowHeadTruncEnd,0.5197338437699389,0.6755081578707501,0.6300246103363413,0.6537234527390393,0.5643058973657825,0.6731382736304803,0.5947497949138638,0.6633852884878316,0.59958071278826,0.6508066721356304,0.6642967824263968,0.6556375900100265,0.6537234527390393,0.7011211375444354,0.5574696928265427,0.6851699936195425,0.5729650897821529,0.6305715066994805,0.596663932184851,0.6082399052046304,0.7393127335703217,0.7015768845137179,0.643058973657825,0.7253668763102725,0.6677604593929449,0.6159876036824355,0.45984869200619816,0.6992070002734482,0.7011211375444354,0.6730471242366237
BMETruncEnd,0.8266666666666667,0.7733333333333334,0.8133333333333335,0.7866666666666667,0.8066666666666666,0.7866666666666666,0.82,0.8066666666666666,0.82,0.8466666666666667,0.82,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8266666666666667,0.7933333333333333,0.7866666666666667,0.8333333333333334,0.8066666666666666,0.8266666666666667,0.8000000000000002,0.84,0.8000000000000002,0.8333333333333334,0.7733333333333333,0.8133333333333334,0.7999999999999999,0.8399999999999999,0.8066666666666666,0.8133333333333335
BeefTruncStart,0.3666666666666667,0.39999999999999997,0.39999999999999997,0.4666666666666667,0.3666666666666667,0.5,0.36666666666666664,0.4333333333333334,0.4333333333333333,0.3666666666666667,0.4333333333333333,0.4333333333333333,0.4,0.3666666666666666,0.33333333333333337,0.3,0.36666666666666664,0.36666666666666664,0.3666666666666667,0.4333333333333333,0.36666666666666664,0.4666666666666667,0.4333333333333334,0.4333333333333333,0.5,0.5333333333333333,0.3333333333333333,0.33333333333333337,0.36666666666666664,0.3
BeetleFlyTruncEnd,0.75,0.5,0.65,0.6,0.9,0.7,0.6499999999999999,0.75,0.7,0.65,0.75,0.7,0.7,0.75,0.75,0.85,0.75,0.75,0.75,0.75,0.8,0.8500000000000001,0.75,0.7,0.75,0.75,0.9,0.65,0.8,0.8
BirdChickenTruncEnd,0.95,1.0,0.9,0.95,0.95,0.85,0.95,0.8500000000000001,0.95,0.95,0.9,0.95,0.8500000000000001,0.95,0.95,0.95,0.8500000000000001,0.9,0.95,0.9,0.95,0.9,0.95,0.9,0.95,0.8,0.9,0.95,0.95,0.95
CBFTruncEnd,0.9445907225506319,0.8106622516556291,0.9336644591611479,0.8882853065074497,0.9038332074018104,0.9490727489122973,0.9023759574499608,0.8843956521524413,0.9457761085677882,0.9523469191223314,0.9458128015566124,0.8647828298541663,0.8924575907077351,0.944598871060936,0.9478727449615044,0.929094132578732,0.8744543214266313,0.89605582470332,0.9246431199411331,0.9015155241467522,0.915842432503173,0.9512578830664079,0.9711617306448188,0.9314492989811892,0.9690357596140076,0.882736714224336,0.8671883194808658,0.9347681131507078,0.8437820940189934,0.9447312226222401
CarTruncEnd,0.6041064198958936,0.6782822440717178,0.6533400809716599,0.6604251012145749,0.5593551185656449,0.5997686524002313,0.6115529207634471,0.7035858877964142,0.6354829381145171,0.5289184499710815,0.7092972816657027,0.6472672064777327,0.5289184499710816,0.5613071139386928,0.7059716599190284,0.5387507229612493,0.6773423944476576,0.5100491613649509,0.6077935222672065,0.587622903412377,0.5252313475997687,0.58155002891845,0.5373770965876229,0.6200115673799884,0.618637941006362,0.6975130133024869,0.39032677848467323,0.6226865240023135,0.6040341237709659,0.6702573742047426
ChinatownTruncEnd,0.9866487225497735,0.9786165940357174,0.9886567546782876,0.9740023925489191,0.9866487225497735,0.9819277108433735,0.9819277108433735,0.9367683499957276,0.9859437751004017,0.9866487225497735,0.9740023925489191,0.9538152610441767,0.9846406904212595,0.9799196787148594,0.9833376057421174,0.9545202084935487,0.9826326582927455,0.9806246261642314,0.9793215414850893,0.9799196787148594,0.9839357429718876,0.9839357429718876,0.9906647868068017,0.9799196787148594,0.9846406904212595,0.9859437751004017,0.9839357429718876,0.9826326582927455,0.9879518072289157,0.9732974450995471
