Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.9,0.77,0.77,0.7899999999999999,0.8300000000000001,0.73,0.78,0.76,0.6900000000000001,0.8300000000000001,0.85,0.76,0.8,0.7899999999999999,0.8300000000000001,0.8100000000000002,0.7,0.77,0.8600000000000001,0.78,0.79,0.73,0.77,0.8699999999999999,0.85,0.7899999999999999,0.72,0.77,0.85,0.8699999999999999
AdiacTruncEnd,0.7133818508818509,0.6728288978288979,0.6669526794526793,0.7166832791832792,0.7023458148458149,0.6889113514113514,0.6840858840858841,0.7027852402852403,0.7297006297006297,0.7029045654045654,0.6611098736098736,0.6613592863592864,0.6730712980712981,0.6750117375117375,0.7034679284679284,0.6861235236235236,0.6835795585795585,0.7067546567546568,0.6747655497655497,0.6611424611424611,0.6654539154539154,0.656132606132606,0.729492766992767,0.699578462078462,0.6933524808524808,0.6868375243375243,0.6996866871866873,0.6967367467367467,0.6499092499092498,0.7109798234798235
ArrowHeadTruncEnd,0.7321119314556558,0.6755081578707501,0.733023425394221,0.7765928356576429,0.7025795278461399,0.7678424938474159,0.6663020690912406,0.748974569319114,0.6929176920973475,0.7514356029532404,0.7301066447908121,0.7219031993437244,0.8007474250296235,0.6841673502871206,0.7518913499225229,0.7369428493300519,0.6232795551909579,0.6798833287758637,0.611612432777322,0.7663841035457115,0.7268252666119771,0.7441436514447178,0.6889982681615168,0.7509798559839577,0.7248199799471333,0.6658463221219578,0.7035821711785616,0.7596390484003281,0.754808130525932,0.7344818156959256
BMETruncEnd,0.86,0.82,0.8000000000000002,0.7666666666666666,0.7999999999999999,0.7733333333333333,0.8466666666666667,0.82,0.7933333333333333,0.8333333333333334,0.82,0.7999999999999999,0.8066666666666666,0.7866666666666666,0.82,0.8133333333333334,0.82,0.8533333333333332,0.82,0.8133333333333335,0.7866666666666666,0.7666666666666666,0.7600000000000001,0.8533333333333334,0.84,0.7799999999999999,0.8066666666666666,0.7733333333333334,0.7933333333333333,0.7399999999999999
BeefTruncStart,0.4333333333333333,0.6333333333333333,0.5999999999999999,0.4,0.6666666666666667,0.5333333333333333,0.7333333333333333,0.4,0.5000000000000001,0.6,0.4666666666666667,0.7333333333333334,0.4333333333333333,0.6,0.6,0.4666666666666667,0.4666666666666667,0.4666666666666666,0.4666666666666666,0.6333333333333334,0.5333333333333333,0.5666666666666667,0.6,0.7,0.6,0.6666666666666666,0.5,0.4,0.4,0.7666666666666667
BeetleFlyTruncEnd,0.8500000000000001,1.0,0.95,0.8500000000000001,0.95,0.9,0.8500000000000001,0.95,0.95,0.9,0.95,0.8,0.6,0.85,1.0,0.9,0.8,0.8,0.95,0.95,0.9,0.8500000000000001,0.9,0.75,0.8,0.9,1.0,0.8,0.65,0.9
BirdChickenTruncEnd,0.95,0.8500000000000001,1.0,0.95,0.9,0.95,1.0,0.95,1.0,0.95,0.9,0.85,0.8,0.95,1.0,0.9,0.75,1.0,1.0,0.95,0.9,0.9,0.75,0.8,1.0,0.9,1.0,0.8,0.8500000000000001,0.8500000000000001
CBFTruncEnd,0.9411757559595242,0.928057395143488,0.9635172921265637,0.9401324503311258,0.925952906548933,0.9281015452538632,0.9435021803438177,0.8550106424483063,0.9667917586460634,0.9522663723325975,0.9455095288185648,0.9178807947019868,0.9201834649441211,0.9279396615158205,0.9711844970887595,0.9324871228844738,0.9344050846704297,0.9337306843267109,0.964569536423841,0.9290946264278412,0.9477476529821077,0.9391753707572188,0.9601099801966507,0.9359529065489332,0.9424940861569157,0.9424793694534572,0.966747608535688,0.9622884473877851,0.9146577378747698,0.9523546725533479
CarTruncEnd,0.7450115673799884,0.8276460381723539,0.8238866396761133,0.8309716599190284,0.8553354540196646,0.8013302486986698,0.8333574320416426,0.7228166570271833,0.8623481781376519,0.8131145170618854,0.8455031810294968,0.8623481781376519,0.7439994216310005,0.8121023713128976,0.8350925390399075,0.6843551185656449,0.8144881434355118,0.71631000578369,0.8384181607865818,0.8013302486986698,0.8360323886639676,0.7928716020821284,0.7716888374783112,0.7867987275882014,0.7581694621168306,0.8360323886639676,0.7942452284557548,0.7774002313475998,0.7914979757085021,0.8694331983805669
ChinatownTruncEnd,0.9605443048790909,0.9759036144578312,0.9725924976501752,0.9740023925489191,0.8844527044347603,0.9705844655216611,0.8835768606340255,0.9205972827480133,0.9759036144578312,0.9692813808425189,0.7916346236007861,0.8654618473895582,0.8656113816970008,0.9779116465863453,0.9090404169870974,0.7758053490557977,0.9353584550969837,0.9740023925489191,0.936554729556524,0.9016064257028112,0.9003033410236692,0.9799196787148594,0.9773135093565752,0.9477911646586346,0.8784286080492181,0.9505041442365205,0.9552251559429206,0.8997052037938991,0.8936811074083568,0.9725924976501752
