Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.85,0.76,0.73,0.76,0.74,0.79,0.7300000000000001,0.76,0.73,0.7,0.7899999999999999,0.74,0.74,0.76,0.8299999999999998,0.72,0.6700000000000002,0.77,0.7500000000000001,0.73,0.76,0.77,0.82,0.7700000000000001,0.79,0.78,0.76,0.82,0.74,0.72
AdiacTruncEnd,0.6267728892728893,0.6089255714255714,0.612026112026112,0.6617601242601243,0.6379011754011754,0.6611876861876862,0.6463777213777214,0.6529938904938906,0.6713944088944087,0.6369554244554245,0.5926778926778927,0.612105162105162,0.6349098724098724,0.6413844788844789,0.6493717618717618,0.6158268158268158,0.5954029079029078,0.6574851199851199,0.6400950025950026,0.6385701385701386,0.6180712680712679,0.5904695154695155,0.7111219861219862,0.5948802323802324,0.6332890082890082,0.6227182352182351,0.6743662118662119,0.6608279483279483,0.6203994953994955,0.6477103227103227
ArrowHeadTruncEnd,0.6914593017956431,0.7422295141737307,0.7238173366147115,0.7682982408166986,0.6977486099717436,0.769756631118403,0.6474341445629387,0.7097803299608058,0.7799653632303345,0.754808130525932,0.7600947953696108,0.7615531856713152,0.775590192325221,0.7600947953696108,0.722358946313007,0.773676055054234,0.6652994257588186,0.7040379181478444,0.6009479536961079,0.7513444535593838,0.7693008841491205,0.7571780147662017,0.7097803299608058,0.7712150214201076,0.7615531856713152,0.6764196518093155,0.6034089873302343,0.7301066447908121,0.7649257132440069,0.7900829459484094
BMETruncEnd,0.82,0.7933333333333333,0.8133333333333334,0.82,0.7799999999999999,0.7999999999999999,0.82,0.8266666666666667,0.8466666666666667,0.8266666666666667,0.84,0.8466666666666667,0.84,0.82,0.8066666666666666,0.8266666666666667,0.7866666666666666,0.7933333333333333,0.7866666666666667,0.8266666666666667,0.82,0.8333333333333334,0.8266666666666667,0.8333333333333334,0.84,0.8133333333333334,0.7999999999999999,0.8333333333333334,0.7799999999999999,0.8333333333333334
BeefTruncStart,0.4666666666666666,0.4333333333333333,0.5333333333333333,0.5333333333333334,0.4333333333333334,0.5666666666666667,0.39999999999999997,0.5,0.4666666666666667,0.3666666666666667,0.4333333333333333,0.4,0.5000000000000001,0.4,0.36666666666666664,0.3666666666666667,0.36666666666666664,0.33333333333333337,0.5,0.33333333333333337,0.2666666666666667,0.6000000000000001,0.39999999999999997,0.4666666666666666,0.5666666666666667,0.6,0.4,0.5,0.4,0.4666666666666666
BeetleFlyTruncEnd,0.8,0.8,0.8500000000000001,0.75,0.8500000000000001,0.7,0.75,0.7,0.8500000000000001,0.7,0.7,0.8,0.55,0.7,0.85,0.8,0.75,0.75,0.9,0.8,0.8500000000000001,0.8,0.8500000000000001,0.7,0.65,0.8500000000000001,0.85,0.85,0.85,0.75
BirdChickenTruncEnd,0.8500000000000001,0.95,0.8,0.95,0.8,0.8500000000000001,0.9,0.95,0.85,1.0,0.8500000000000001,1.0,0.95,0.95,0.95,1.0,0.55,0.9,0.8500000000000001,0.9,1.0,0.9,0.8,0.95,1.0,0.8,0.95,0.8500000000000001,0.95,0.9
CBFTruncEnd,0.9679100305692598,0.9126857983811627,0.9689919058130979,0.9623252391464311,0.9114640156846477,0.9678955114054452,0.9745105708401854,0.830143512551175,0.9556730916435793,0.9268211920529801,0.94903536453472,0.9268432671081678,0.9555767416823464,0.9401985767268668,0.9700732872078265,0.9187762419070477,0.8799579734407948,0.9546281069282091,0.9490728476821193,0.9568132410823198,0.9766961000735835,0.9567840052150466,0.9389828683743969,0.9369020351521796,0.9668505266900751,0.9269752235901842,0.9556438557763061,0.9723104236731509,0.9379470198675497,0.9633920026075233
CarTruncEnd,0.7732793522267207,0.8013302486986698,0.8384181607865818,0.7055378831694621,0.8243204164256795,0.8337189126662811,0.7952573742047426,0.7218045112781954,0.826633892423366,0.7689415847310583,0.7952573742047426,0.8195488721804511,0.7750144592249856,0.8337189126662811,0.8087767495662233,0.7008386350491614,0.8084152689415847,0.6984528629265472,0.7486986697513013,0.7881723539618276,0.7750144592249856,0.7642423366107576,0.7980046269519955,0.7810873337189127,0.7642423366107576,0.7838345864661654,0.7510844418739155,0.809788895315211,0.789545980335454,0.8482504337767496
ChinatownTruncEnd,0.94870973254721,0.8829359993164145,0.971289412971033,0.9539220712637786,0.9572331880714346,0.9477911646586346,0.971289412971033,0.8951978125267026,0.9839357429718876,0.9839357429718876,0.8383106895667778,0.8192771084337349,0.851234726138597,0.9538152610441767,0.9203836623088097,0.789861573955396,0.9786165940357174,0.9478979748782363,0.9234170725455011,0.9003033410236692,0.8982953088951551,0.9658634538152611,0.9493078697769802,0.9257028112449799,0.8498248312398531,0.9759036144578312,0.9592412201999487,0.8417927027257968,0.9043194052806973,0.9732974450995471
ChlorineConcentrationTruncStart,0.5016187187587754,0.5081013491544552,0.4855165713642162,0.4808256383303431,0.5036301648970514,0.48715880372699893,0.4919890355364247,0.5033121576713074,0.4984030344619675,0.501791034738812,0.4872225470876162,0.5018139794261308,0.48705572759972665,0.5002219562379852,0.511589104145632,0.49565216299281384,0.49570456242586514,0.49766309445476864,0.4872839751131513,0.4849554887658292,0.48088257533442086,0.49116995438075456,0.5031903157936722,0.4857216244417652,0.522629404862,0.48559870666191873,0.4778830301985937,0.49128382838891,0.49718482434911776,0.4943963748296693
CinCECGTorsoTruncEnd,0.8660598775851193,0.8586331104306165,0.8891477362438928,0.8000631644179955,0.8662134521455962,0.8301503055183063,0.8268094481990247,0.8219849831618383,0.8276874306440458,0.8880330410468643,0.8497693397943247,0.802503826854922,0.8451162400233059,0.7983042492359262,0.7730586819014409,0.7865475615984653,0.8469360772531743,0.8348767956566958,0.8010222502425838,0.8751311730968949,0.8467870763866188,0.8270261982966882,0.8280796786405529,0.8733859493454132,0.8880895673077993,0.8267047461896385,0.8862305756998233,0.8669576040070599,0.9056694864935186,0.8334105005192662
CoffeeTruncStart,0.9615384615384616,1.0,0.9666666666666667,1.0,0.9333333333333333,0.9615384615384616,0.9282051282051282,1.0,1.0,0.9615384615384616,0.9666666666666667,0.9615384615384616,1.0,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9282051282051282,0.9666666666666667,0.9333333333333333,1.0,0.9,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9282051282051282,0.9615384615384616,1.0
ComputersTruncStart,0.732,0.8280000000000001,0.804,0.8360000000000001,0.808,0.812,0.84,0.836,0.796,0.8480000000000001,0.792,0.844,0.844,0.808,0.8280000000000001,0.852,0.8400000000000001,0.788,0.8200000000000001,0.812,0.804,0.8160000000000001,0.804,0.8440000000000001,0.792,0.844,0.832,0.812,0.788,0.8240000000000001
CricketXTruncEnd,0.6998986115723006,0.7507927351534828,0.7567189755967476,0.745594273155075,0.7564622919989176,0.7412252661802313,0.7529836758040093,0.7541983777215117,0.7137972027845508,0.7659761114812365,0.7644950536926958,0.7386716639133971,0.7776152397295485,0.7278038864396139,0.7577704731317175,0.756980157437953,0.7604273067790968,0.7679317022604656,0.7903637140093971,0.7647814282950746,0.7661173035725916,0.7437197640020535,0.7856896824710077,0.7271024550208592,0.7679427677895402,0.7480034999192494,0.7271332526995066,0.7643284245631509,0.7588833792644988,0.7589058476959522
