Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.7899999999999999,0.73,0.66,0.7000000000000001,0.5700000000000001,0.6900000000000001,0.7,0.6799999999999999,0.6500000000000001,0.6900000000000001,0.6799999999999999,0.6499999999999999,0.67,0.74,0.71,0.6599999999999999,0.64,0.71,0.7,0.6799999999999999,0.69,0.77,0.7300000000000001,0.69,0.71,0.65,0.62,0.71,0.6599999999999999,0.63
AdiacTruncEnd,0.7015362640362641,0.6988085863085863,0.6835053835053835,0.7054705804705805,0.6979414354414356,0.7146180396180395,0.6920951420951422,0.6961101586101587,0.7172807672807672,0.6815805065805065,0.6770166395166395,0.7070047445047445,0.70494017994018,0.6812102312102313,0.7058610308610308,0.6955729705729705,0.7217287217287218,0.7191018816018815,0.6868075993075994,0.667930417930418,0.6881993006993008,0.6859397734397734,0.731540644040644,0.7161726786726786,0.7426972051972052,0.6946347946347946,0.6805155055155055,0.7038088038088037,0.6497083997083997,0.7161543411543413
ArrowHeadTruncEnd,0.6958344727007567,0.7470604320481269,0.751891349922523,0.8219852337981953,0.7499772126515358,0.7693008841491205,0.6889982681615167,0.683711603317838,0.7910855892808312,0.7707592744508248,0.7068635493573967,0.7189864187403154,0.751891349922523,0.7349375626652083,0.7494303162883966,0.7466046850788443,0.5952055418831464,0.7132440069273539,0.7059520554188313,0.7485188223498312,0.7456020417464223,0.7852520280740133,0.7571780147662018,0.7577249111293409,0.775590192325221,0.7267341172181204,0.689545164524656,0.7649257132440068,0.7785069729286299,0.7281925075198249
BMETruncEnd,0.7999999999999999,0.7666666666666667,0.8066666666666666,0.7866666666666667,0.8133333333333334,0.7733333333333334,0.8333333333333334,0.8333333333333334,0.8066666666666666,0.86,0.8133333333333334,0.8266666666666667,0.86,0.8133333333333334,0.84,0.82,0.7733333333333333,0.8333333333333334,0.7799999999999999,0.8066666666666666,0.7999999999999999,0.86,0.7866666666666667,0.8333333333333334,0.7933333333333333,0.82,0.7933333333333333,0.7933333333333333,0.8066666666666666,0.7999999999999999
BeefTruncStart,0.36666666666666664,0.4333333333333333,0.36666666666666664,0.4999999999999999,0.26666666666666666,0.4,0.3666666666666666,0.36666666666666664,0.3666666666666667,0.36666666666666664,0.30000000000000004,0.36666666666666664,0.3,0.2666666666666667,0.3,0.3666666666666667,0.3333333333333333,0.33333333333333337,0.39999999999999997,0.3666666666666667,0.29999999999999993,0.4,0.3,0.4333333333333333,0.4,0.4333333333333333,0.2666666666666667,0.36666666666666664,0.3333333333333333,0.33333333333333337
BeetleFlyTruncEnd,0.7,0.75,0.9,0.55,0.9,0.8,0.7,0.75,0.85,0.75,0.7,0.8500000000000001,0.7,0.75,0.6,0.6499999999999999,0.7,0.7,0.8500000000000001,0.5,0.8,0.8500000000000001,0.8500000000000001,0.65,0.75,0.75,0.75,0.7,0.55,0.8
BirdChickenTruncEnd,0.9,0.75,0.9,0.9,0.8500000000000001,0.9,0.95,0.8500000000000001,0.8500000000000001,0.95,0.7,1.0,0.8,0.95,0.85,0.95,0.65,0.9,0.5,0.9,1.0,0.85,0.9,0.75,0.8,0.65,0.95,0.75,0.85,0.7
CBFTruncEnd,0.95445002493938,0.9590728476821192,0.95691685062546,0.9391168990226726,0.9225970043113026,0.924849153789551,0.9423617345956116,0.8080824826782425,0.9722806939567684,0.9144799521954062,0.9544353082359217,0.9012876127827903,0.9135907768740338,0.9545842531272996,0.9501912183751376,0.9014786336182844,0.8897961884725741,0.9214636206053601,0.9667991169977924,0.9178864739667442,0.9555241467522014,0.9301759090527479,0.9578648927606658,0.9346872700515085,0.9458646063281825,0.9478128904494522,0.9678734363502576,0.9623767476085355,0.9312576855267641,0.9557689477557028
CarTruncEnd,0.7854251012145749,0.7867987275882014,0.8562753036437247,0.7656159629843841,0.7703152111046847,0.7646038172353962,0.8408039329091961,0.7646038172353962,0.806390977443609,0.7261422787738576,0.7952573742047426,0.8276460381723539,0.7082851359167148,0.7989444765760555,0.8158617698091383,0.8060294968189705,0.8455031810294968,0.6707634470792366,0.7500722961249277,0.8323452862926547,0.8290196645459803,0.7510844418739155,0.8350925390399075,0.8290196645459803,0.796631000578369,0.7716888374783112,0.7332272990167727,0.8087767495662233,0.8144881434355118,0.8323452862926547
ChinatownTruncEnd,0.9826326582927455,0.9766085619072034,0.9846406904212595,0.9719943604204051,0.9826326582927455,0.9819277108433735,0.9766085619072034,0.9540288814833804,0.9826326582927455,0.9826326582927455,0.9613560625480646,0.9698795180722892,0.9806246261642314,0.9799196787148594,0.9766085619072034,0.9545202084935487,0.9753054772280612,0.9806246261642314,0.9826326582927455,0.9799196787148594,0.9678714859437751,0.9839357429718876,0.9846406904212595,0.9819277108433735,0.9806246261642314,0.9738955823293173,0.9859437751004017,0.9806246261642314,0.9786165940357174,0.9826326582927455
ChlorineConcentrationTruncStart,0.3916964654238333,0.39479387900450275,0.3838417014795208,0.39557939690900623,0.38639524608762565,0.38932530222929995,0.39077961013679524,0.39139999223107935,0.3941441277752152,0.40308790755151985,0.3936400206348977,0.39961086483049707,0.3948211819458128,0.3943520964748965,0.3918363406044832,0.40414877040659486,0.39575763783961354,0.3970104871058413,0.3982532790341112,0.4024535854804479,0.39627039105639167,0.4002452806078752,0.3981244747576857,0.38832539117743065,0.3936599327189936,0.40249794661249777,0.3853188451888214,0.3944551958769533,0.39088517282060775,0.39841003308846584
CinCECGTorsoTruncEnd,0.8625985623627244,0.8800178018248817,0.8666529307593147,0.8005558187097439,0.8239762190154476,0.863486848591458,0.8505302631022988,0.8480266178608307,0.8874543872250872,0.8384970967792151,0.8686933579141582,0.8488737186058907,0.8706092427163739,0.7767629366228348,0.8721052520387037,0.7592081764600795,0.742620674727339,0.7934358226236993,0.8212514390086426,0.9092552588214102,0.8545143100282502,0.8058986974979596,0.8485045911139872,0.9051989260343999,0.8621270085892044,0.8201824251548717,0.8962164172632112,0.8735111514367108,0.8937063599549004,0.8888416397396923
CoffeeTruncStart,0.9615384615384616,0.8846153846153846,0.8948717948717949,0.9666666666666667,0.8846153846153846,0.823076923076923,0.8897435897435897,0.8128205128205128,0.8948717948717949,0.8846153846153846,0.8128205128205128,0.9230769230769231,0.9615384615384616,0.9282051282051282,0.8897435897435897,0.9615384615384616,0.9230769230769231,0.8846153846153846,0.9282051282051282,0.8846153846153846,0.9282051282051282,0.823076923076923,0.9,0.9282051282051282,0.9230769230769231,0.8846153846153846,0.8897435897435897,0.8948717948717949,0.8846153846153846,0.9230769230769231
