Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1TruncStart,0.8800000000000001,0.8300000000000001,0.71,0.74,0.82,0.77,0.7300000000000001,0.7200000000000001,0.75,0.78,0.8300000000000001,0.7300000000000001,0.77,0.74,0.78,0.73,0.6900000000000001,0.79,0.8,0.74,0.7300000000000001,0.78,0.8,0.79,0.8400000000000001,0.71,0.6900000000000001,0.7699999999999999,0.77,0.8100000000000002
AdiacTruncEnd,0.5185701685701685,0.48682181182181183,0.5123273498273497,0.5622317997317997,0.5309975309975311,0.5521391521391521,0.5470793845793845,0.545661733161733,0.544112569112569,0.5722656472656472,0.4977688227688228,0.5156848406848408,0.5316499191499192,0.5158829908829908,0.550449587949588,0.5154289029289029,0.48583938583938585,0.5349311724311724,0.4701891576891576,0.5348241473241473,0.526977301977302,0.4755392880392881,0.5885780885780887,0.48843172593172607,0.534626672126672,0.5188057063057063,0.5383494508494509,0.5748275373275373,0.5399153774153773,0.5549811674811675
ArrowHeadTruncEnd,0.6300246103363412,0.6595570139458573,0.6411448363868381,0.725275726916416,0.6406890894175553,0.7001184942120134,0.6513535684987694,0.6595570139458573,0.7243642329778507,0.7219031993437244,0.6759639048400329,0.822987877130617,0.7543523835566495,0.7113298696563669,0.6759639048400329,0.7669309999088506,0.6570959803117309,0.7035821711785616,0.5729650897821529,0.7054963084495488,0.7224500957068636,0.7199890620727372,0.7189864187403154,0.7533497402242274,0.683711603317838,0.6803390757451463,0.6416917327499773,0.715158144198341,0.7262783702488379,0.7436879044754353
BMETruncEnd,0.84,0.8266666666666667,0.7933333333333333,0.8000000000000002,0.82,0.7933333333333333,0.8133333333333334,0.84,0.82,0.8399999999999999,0.82,0.8333333333333334,0.84,0.82,0.8266666666666667,0.8333333333333334,0.7799999999999999,0.8333333333333334,0.8266666666666667,0.8333333333333334,0.8133333333333334,0.82,0.8133333333333335,0.86,0.7733333333333333,0.8333333333333334,0.8266666666666667,0.7866666666666666,0.8066666666666666,0.8333333333333334
BeefTruncStart,0.3666666666666666,0.26666666666666666,0.39999999999999997,0.3333333333333333,0.4333333333333334,0.4333333333333333,0.4,0.3666666666666667,0.36666666666666664,0.3666666666666667,0.2666666666666667,0.36666666666666664,0.29999999999999993,0.26666666666666666,0.33333333333333337,0.3666666666666667,0.36666666666666664,0.29999999999999993,0.3666666666666667,0.4,0.29999999999999993,0.5,0.3,0.4666666666666666,0.4666666666666666,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.3666666666666667,0.4333333333333334
BeetleFlyTruncEnd,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.85,0.95,0.75,0.7,0.8,0.85,0.7,0.6499999999999999,0.8500000000000001,0.7,0.8,0.95,0.8500000000000001,0.8,0.8,0.8500000000000001,0.9,0.8500000000000001,0.7,0.9,0.7,0.7,0.8500000000000001,0.8,0.75,0.8,0.75
BirdChickenTruncEnd,0.85,0.85,0.9,0.8,0.8500000000000001,0.9,1.0,0.75,0.8500000000000001,1.0,0.7,0.95,0.95,0.9,0.9,1.0,0.65,0.8500000000000001,0.9,0.95,0.9,0.75,0.75,0.95,0.95,0.8500000000000001,1.0,0.7,0.9,0.75
CBFTruncEnd,0.9257607004755767,0.9114716703458425,0.9435099337748345,0.9024282560706401,0.9491317144959529,0.9380794701986755,0.9312433639025932,0.8439733123941311,0.9645180279617366,0.9201028193845652,0.9312651426483152,0.9001692420897719,0.8946208473463019,0.9312362030905078,0.9511846946284033,0.9058940397350993,0.8885891224795176,0.9258646063281825,0.9634142752023548,0.9090432167355585,0.9411475077904697,0.9125751267957588,0.9556142248297456,0.9370125091979397,0.9447165059187816,0.9402426280674202,0.9566960013037616,0.9368285504047092,0.8913245033112583,0.9190875643855776
CarTruncEnd,0.7567958357432041,0.8886639676113361,0.8431174089068826,0.8455031810294968,0.8374783111625218,0.8971226142278774,0.865746096009254,0.8505639097744361,0.8637218045112782,0.8191873915558125,0.8981347599768652,0.8529496818970503,0.7975708502024291,0.8431174089068826,0.9055812608444187,0.789545980335454,0.871818970503181,0.8971226142278774,0.8074031231925969,0.9234384037015617,0.8060294968189705,0.7952573742047426,0.8468768074031232,0.8600347021399654,0.8158617698091383,0.8280075187969924,0.8971226142278774,0.8553354540196646,0.8647339502602661,0.8971226142278774
ChinatownTruncEnd,0.9692813808425189,0.9740023925489191,0.9526189865846364,0.9507177646757241,0.9384559514654363,0.9806246261642314,0.9759036144578312,0.933841749978638,0.9859437751004017,0.9766085619072034,0.9285226010424678,0.8755020080321285,0.9048534563787063,0.9692813808425189,0.9043194052806973,0.8460864735537896,0.8742416474408271,0.9692813808425189,0.9773135093565752,0.9236947791164658,0.8855421686746988,0.9658634538152611,0.9806246261642314,0.9417670682730923,0.9304238229513799,0.9411689310433222,0.9746005297786893,0.9243997265658379,0.9143595659232675,0.936554729556524
ChlorineConcentrationTruncStart,0.42540626657461916,0.4477044020362895,0.40907199773055064,0.4410851322621707,0.4160399927909695,0.3994526681442836,0.4083993250887287,0.4221446929031735,0.42842492091567236,0.4155192868839188,0.41774797945574843,0.4452698302332565,0.4111023498750647,0.41631005962758943,0.4347066300140218,0.4078491644359456,0.4151354316498724,0.39804350906850067,0.40883529155327775,0.45595809234596185,0.40995354375280707,0.4215031121351855,0.4188307582526683,0.4104195029141942,0.4147812337533782,0.4365095462267264,0.40312621157270084,0.4324504167298551,0.48213548632942477,0.4113844313578225
CinCECGTorsoTruncEnd,0.8408151367771692,0.7341879654771356,0.8665337182055998,0.8153695907915307,0.8139336769904649,0.7600657663087028,0.8382340167188156,0.7661844570017176,0.8226263343955867,0.8226445253921554,0.804641569169893,0.7694056051100837,0.823815242780124,0.7886685324669259,0.7762923502189368,0.763383562425733,0.7521610963225871,0.8340783932620667,0.7423814898085201,0.8168193702238442,0.746487025015956,0.7912616686644146,0.7479573601261361,0.8022948045950428,0.8590575262468505,0.839078663829049,0.8299549042674714,0.8038911609102615,0.8553058555883942,0.7263546213952509
CoffeeTruncStart,0.9615384615384616,1.0,0.9282051282051282,0.9230769230769231,0.9333333333333333,0.9615384615384616,0.9230769230769231,0.9333333333333333,0.9615384615384616,0.9230769230769231,0.8512820512820514,0.9230769230769231,0.9615384615384616,0.9666666666666667,0.9615384615384616,1.0,0.9666666666666667,0.735897435897436,0.9282051282051282,0.9666666666666667,0.9666666666666667,0.8666666666666667,0.9666666666666667,0.9282051282051282,1.0,0.9333333333333333,0.9615384615384616,0.8948717948717949,0.9615384615384616,1.0
